region,date,type,median,lower_90,upper_90,lower_50,upper_50
Afghanistan,2020-06-21,estimate,475.8,325,710,371,513
Afghanistan,2020-06-22,estimate,452.6,309,674,365,502
Afghanistan,2020-06-23,estimate,431.1,281,627,354,483
Afghanistan,2020-06-24,estimate,410.7,269,599,326,447
Afghanistan,2020-06-25,estimate,390.9,247,562,310,426
Afghanistan,2020-06-26,estimate,371.8,241,543,293,403
Afghanistan,2020-06-27,estimate,353.6,223,509,281,386
Afghanistan,2020-06-28,estimate,337.2,207,481,272,373
Afghanistan,2020-06-29,estimate,321.7,199,465,263,359
Afghanistan,2020-06-30,estimate,306.6,198,453,258,350
Afghanistan,2020-07-01,estimate,291.1,191,435,233,320
Afghanistan,2020-07-02,estimate,276.9,172,405,226,308
Afghanistan,2020-07-03,estimate,264,168,392,220,298
Afghanistan,2020-07-04,estimate,251.5,153,363,204,279
Afghanistan,2020-07-05,estimate,240.2,149,347,198,270
Afghanistan,2020-07-06,estimate,229.1,137,325,193,263
Afghanistan,2020-07-07,estimate,218.2,132,308,178,244
Afghanistan,2020-07-08,estimate,208.2,132,300,173,236
Afghanistan,2020-07-09,estimate,198.3,129,286,164,225
Afghanistan,2020-07-10,estimate,188.5,117,264,155,212
Afghanistan,2020-07-11,estimate,178.5,112,251,142,196
Afghanistan,2020-07-12,estimate,169.1,99,235,137,190
Afghanistan,2020-07-13,estimate,160.1,97,230,133,184
Afghanistan,2020-07-14,estimate,151.8,86,214,123,173
Afghanistan,2020-07-15,estimate,144.3,81,205,110,159
Afghanistan,2020-07-16,estimate,135.4,76,198,108,155
Afghanistan,2020-07-17,estimate,128.6,72,191,100,146
Afghanistan,2020-07-18,estimate,121.1,66,183,93,139
Afghanistan,2020-07-19,estimate,114.2,61,178,89,135
Afghanistan,2020-07-20,estimate,108,56,173,83,130
Afghanistan,2020-07-21,estimate based on partial data,102.1,54,170,75,122
Afghanistan,2020-07-22,estimate based on partial data,96.6,40,157,62,109
Afghanistan,2020-07-23,estimate based on partial data,91.7,36,153,57,104
Afghanistan,2020-07-24,estimate based on partial data,87.3,35,155,49,97
Afghanistan,2020-07-25,estimate based on partial data,82.5,25,151,47,97
Afghanistan,2020-07-26,estimate based on partial data,78.7,17,146,42,93
Afghanistan,2020-07-27,estimate based on partial data,74.1,9,140,36,87
Afghanistan,2020-07-28,estimate based on partial data,69.8,7,143,30,82
Afghanistan,2020-07-29,estimate based on partial data,66.1,5,143,26,79
Afghanistan,2020-07-30,estimate based on partial data,62.9,3,144,24,76
Afghanistan,2020-07-31,estimate based on partial data,59.6,2,147,19,72
Afghanistan,2020-08-01,estimate based on partial data,56.4,0,146,14,66
Afghanistan,2020-08-02,estimate based on partial data,53.5,0,147,8,59
Afghanistan,2020-08-03,forecast,51.1,0,153,5,55
Afghanistan,2020-08-04,forecast,48.5,0,156,0,49
Afghanistan,2020-08-05,forecast,46.2,0,161,1,47
Afghanistan,2020-08-06,forecast,43.6,0,166,0,44
Afghanistan,2020-08-07,forecast,41.2,0,172,0,41
Afghanistan,2020-08-08,forecast,39.3,0,177,0,39
Afghanistan,2020-08-09,forecast,37.1,0,185,0,37
Afghanistan,2020-08-10,forecast,34.9,0,191,0,35
Afghanistan,2020-08-11,forecast,33.2,0,202,0,33
Afghanistan,2020-08-12,forecast,31.7,0,218,0,32
Afghanistan,2020-08-13,forecast,30.3,0,223,0,30
Afghanistan,2020-08-14,forecast,29,0,231,0,29
Afghanistan,2020-08-15,forecast,27.6,0,239,0,28
Afghanistan,2020-08-16,forecast,26.6,0,252,0,27
Albania,2020-06-21,estimate,100.9,85,117,95,108
Albania,2020-06-22,estimate,101.5,86,118,95,107
Albania,2020-06-23,estimate,102.2,85,118,96,109
Albania,2020-06-24,estimate,102.9,85,119,96,110
Albania,2020-06-25,estimate,103.6,87,122,96,110
Albania,2020-06-26,estimate,104.3,87,122,97,111
Albania,2020-06-27,estimate,105.1,87,122,99,113
Albania,2020-06-28,estimate,106.4,87,123,100,114
Albania,2020-06-29,estimate,107.7,91,127,101,115
Albania,2020-06-30,estimate,109,92,128,102,116
Albania,2020-07-01,estimate,110.7,94,130,103,117
Albania,2020-07-02,estimate,112.4,95,131,104,118
Albania,2020-07-03,estimate,114.2,96,132,106,120
