country,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Afghanistan,2020-08-20,estimate,47,48,12,44,49,39,54,31,67
Afghanistan,2020-08-21,estimate,47,48,12,44,49,37,52,30,66
Afghanistan,2020-08-22,estimate,46,47,12,44,49,36,51,29,65
Afghanistan,2020-08-23,estimate,46,47,12,43,49,35,50,28,63
Afghanistan,2020-08-24,estimate,45,46,12,43,48,35,50,28,63
Afghanistan,2020-08-25,estimate,45,46,12,40,45,34,49,28,64
Afghanistan,2020-08-26,estimate,44,46,11,40,45,35,50,28,63
Afghanistan,2020-08-27,estimate,44,45,11,40,45,35,49,27,62
Afghanistan,2020-08-28,estimate,44,45,11,38,44,34,48,27,62
Afghanistan,2020-08-29,estimate,43,45,11,38,43,34,48,27,62
Afghanistan,2020-08-30,estimate,43,44,11,38,43,34,49,27,62
Afghanistan,2020-08-31,estimate,43,44,11,37,42,34,48,27,61
Afghanistan,2020-09-01,estimate,43,44,11,37,42,33,47,26,61
Afghanistan,2020-09-02,estimate,42,44,11,36,41,32,46,26,61
Afghanistan,2020-09-03,estimate,42,44,11,37,42,32,46,27,61
Afghanistan,2020-09-04,estimate,42,44,12,37,42,32,45,27,61
Afghanistan,2020-09-05,estimate,42,44,12,37,42,32,46,27,62
Afghanistan,2020-09-06,estimate,42,44,12,36,41,31,45,26,61
Afghanistan,2020-09-07,estimate,42,44,12,36,41,32,46,27,62
Afghanistan,2020-09-08,estimate,42,43,12,35,40,31,46,27,62
Afghanistan,2020-09-09,estimate,42,43,12,35,40,32,46,26,62
Afghanistan,2020-09-10,estimate,41,43,12,36,41,31,46,26,61
Afghanistan,2020-09-11,estimate,41,43,12,36,41,32,46,25,61
Afghanistan,2020-09-12,estimate,41,43,12,35,41,31,46,25,61
Afghanistan,2020-09-13,estimate,41,43,12,34,40,32,46,24,61
Afghanistan,2020-09-14,estimate,41,43,12,35,41,31,46,24,61
Afghanistan,2020-09-15,estimate,42,43,12,35,40,32,47,24,62
Afghanistan,2020-09-16,estimate,42,43,12,36,42,32,47,24,62
Afghanistan,2020-09-17,estimate,42,43,12,35,41,32,48,24,63
Afghanistan,2020-09-18,estimate,42,43,12,36,42,33,49,24,63
Afghanistan,2020-09-19,estimate,42,44,13,36,42,34,50,24,63
