region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Lesotho,277216 (2501 -- 6434110),277216,1419240,3685300,2501,41742,137270,525127,1342800,6434110,New confirmed cases by infection date,Likely increasing,0.073
United States,67887 (20568 -- 190024),67887,82632,63076,20568,43544,58872,79665,102638,190024,New confirmed cases by infection date,Likely decreasing,0.79
United Kingdom,38908 (16931 -- 100977),38908,46993,30439,16931,27784,34413,45181,57577,100977,New confirmed cases by infection date,Likely increasing,0.35
Turkey,35983 (23599 -- 55201),35983,37282,10064,23599,30317,33620,38439,42745,55201,New confirmed cases by infection date,Likely increasing,0.25
Russia,31794 (29067 -- 35081),31794,31889,1805,29067,30660,31365,32243,33034,35081,New confirmed cases by infection date,Increasing,0.001
India,23176 (13387 -- 46545),23176,25835,11395,13387,18304,21138,25468,30536,46545,New confirmed cases by infection date,Likely increasing,0.36
Romania,18476 (14022 -- 24486),18476,18775,3296,14022,16508,17725,19244,20674,24486,New confirmed cases by infection date,Increasing,0.048
Ukraine,17593 (12206 -- 25245),17593,18060,4054,12206,15247,16643,18621,20397,25245,New confirmed cases by infection date,Increasing,0.02
Brazil,15645 (9859 -- 26877),15645,16706,5572,9859,13182,14657,16795,19236,26877,New confirmed cases by infection date,Likely decreasing,0.81
Iran,13125 (9829 -- 18769),13125,13564,2827,9829,11593,12509,13765,15077,18769,New confirmed cases by infection date,Likely increasing,0.39
Thailand,9106 (7294 -- 11524),9106,9241,1322,7294,8367,8842,9433,9991,11524,New confirmed cases by infection date,Likely decreasing,0.79
Germany,7549 (4386 -- 12620),7549,7913,2582,4386,6112,6987,8180,9300,12620,New confirmed cases by infection date,Stable,0.51
Philippines,7390 (5300 -- 9886),7390,7443,1396,5300,6471,7018,7728,8325,9886,New confirmed cases by infection date,Decreasing,1
Malaysia,5953 (4615 -- 7520),5953,6004,894,4615,5398,5737,6164,6552,7520,New confirmed cases by infection date,Decreasing,1
Mexico,5180 (3632 -- 7175),5180,5245,1098,3632,4498,4903,5425,5893,7175,New confirmed cases by infection date,Likely decreasing,0.92
Cuba,3902 (1860 -- 6647),3902,4032,1475,1860,3009,3548,4256,4896,6647,New confirmed cases by infection date,Likely decreasing,0.92
Guatemala,3348 (1012 -- 8552),3348,3971,3438,1012,2163,2878,3868,4850,8552,New confirmed cases by infection date,Stable,0.51
Croatia,3156 (1987 -- 8489),3156,4135,3165,1987,2532,2865,3559,4735,8489,New confirmed cases by infection date,Increasing,0.0058
Greece,3151 (1544 -- 6781),3151,3563,1815,1544,2384,2837,3538,4266,6781,New confirmed cases by infection date,Likely increasing,0.21
Vietnam,2882 (1258 -- 5928),2882,3156,1494,1258,2129,2562,3250,3869,5928,New confirmed cases by infection date,Decreasing,0.96
Australia,2858 (2002 -- 4076),2858,2928,652,2002,2465,2708,3015,3307,4076,New confirmed cases by infection date,Likely increasing,0.079
Italy,2558 (1471 -- 4464),2558,2709,945,1471,2040,2359,2796,3200,4464,New confirmed cases by infection date,Stable,0.59
Bulgaria,2454 (1501 -- 3931),2454,2558,774,1501,2036,2277,2632,2966,3931,New confirmed cases by infection date,Likely increasing,0.22
France,2305 (854 -- 5704),2305,2680,1668,854,1589,1986,2654,3312,5704,New confirmed cases by infection date,Likely decreasing,0.81
Poland,2209 (1553 -- 3102),2209,2256,480,1553,1917,2097,2327,2554,3102,New confirmed cases by infection date,Increasing,0.02
Iraq,2160 (1331 -- 3650),2160,2271,721,1331,1762,1994,2333,2649,3650,New confirmed cases by infection date,Stable,0.41
Belize,2147 (459 -- 19656),2147,5517,15467,459,1046,1616,2928,4970,19656,New confirmed cases by infection date,Increasing,0.0085
Lithuania,2118 (1126 -- 3995),2118,2282,922,1126,1643,1932,2331,2732,3995,New confirmed cases by infection date,Stable,0.4
Canada,2111 (458 -- 7605),2111,2857,3012,458,1162,1672,2569,3570,7605,New confirmed cases by infection date,Likely decreasing,0.79
Belarus,1941 (1454 -- 2512),1941,1959,330,1454,1742,1868,2016,2147,2512,New confirmed cases by infection date,Likely decreasing,0.63
Latvia,1931 (1186 -- 3264),1931,2034,661,1186,1581,1783,2090,2370,3264,New confirmed cases by infection date,Increasing,0.042
Georgia,1909 (1043 -- 3669),1909,2078,881,1043,1488,1742,2083,2464,3669,New confirmed cases by infection date,Likely increasing,0.29
