Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Afghanistan,16 (8 -- 46),Stable,1 (0.83 -- 1.4),0.0049 (-0.047 -- 0.12),140 (5.9 -- -15)
Albania,565 (299 -- 962),Likely decreasing,0.85 (0.62 -- 1.1),-0.042 (-0.11 -- 0.022),-16 (31 -- -6.3)
Algeria,139 (94 -- 212),Likely decreasing,0.95 (0.85 -- 1.1),-0.014 (-0.041 -- 0.021),-50 (33 -- -17)
Andorra,22 (10 -- 55),Stable,0.99 (0.73 -- 1.4),-0.0023 (-0.078 -- 0.098),-300 (7.1 -- -8.9)
Angola,57 (26 -- 136),Likely increasing,1.1 (0.84 -- 1.5),0.037 (-0.046 -- 0.13),19 (5.2 -- -15)
Antigua & Barbuda,35 (4 -- 141),Likely increasing,1.1 (0.58 -- 1.4),0.022 (-0.12 -- 0.11),31 (6.2 -- -5.6)
Argentina,6537 (3780 -- 11464),Stable,1 (0.81 -- 1.2),-0.00071 (-0.054 -- 0.059),-970 (12 -- -13)
Armenia,681 (389 -- 1349),Increasing,1.3 (1 -- 1.6),0.073 (0.0073 -- 0.16),9.5 (4.4 -- 95)
Aruba,24 (1 -- 345),Stable,0.94 (0.22 -- 2.7),-0.018 (-0.25 -- 0.39),-39 (1.8 -- -2.7)
Australia,23 (8 -- 73),Likely increasing,1.4 (0.98 -- 2.1),0.11 (-0.0047 -- 0.28),6.5 (2.5 -- -150)
Austria,2788 (1830 -- 4101),Likely increasing,1.1 (0.92 -- 1.2),0.022 (-0.022 -- 0.066),31 (11 -- -32)
Azerbaijan,781 (337 -- 1621),Likely increasing,1.3 (0.87 -- 1.8),0.083 (-0.037 -- 0.19),8.3 (3.6 -- -19)
Bahamas,12 (5 -- 31),Stable,1 (0.81 -- 1.2),-8e-04 (-0.055 -- 0.05),-860 (14 -- -13)
Bahrain,573 (350 -- 1012),Stable,0.99 (0.79 -- 1.3),-0.0024 (-0.06 -- 0.079),-290 (8.7 -- -12)
Bangladesh,858 (608 -- 1351),Increasing,1.2 (1.1 -- 1.5),0.055 (0.015 -- 0.12),13 (5.8 -- 45)
Barbados,18 (1 -- 133),Likely decreasing,0.7 (0.2 -- 1.4),-0.087 (-0.27 -- 0.091),-8 (7.6 -- -2.6)
Belarus,1132 (941 -- 1359),Likely decreasing,0.97 (0.92 -- 1),-0.0078 (-0.023 -- 0.0065),-88 (110 -- -31)
Belgium,1725 (863 -- 2599),Likely decreasing,0.96 (0.75 -- 1.1),-0.012 (-0.071 -- 0.014),-57 (48 -- -9.7)
Belize,3 (0 -- 12),Likely decreasing,0.79 (0.41 -- 1.2),-0.059 (-0.18 -- 0.049),-12 (14 -- -3.8)
Benin,740 (66 -- 5972),Stable,0.97 (0.45 -- 1.6),-0.007 (-0.17 -- 0.14),-99 (4.8 -- -4.2)
Bermuda,8 (1 -- 107),Likely increasing,1.6 (0.72 -- 3.5),0.16 (-0.08 -- 0.56),4.3 (1.2 -- -8.7)
Bhutan,0 (0 -- 0),Likely decreasing,0.28 (0.0056 -- 1.8),-0.23 (-0.38 -- 0.19),-3 (3.6 -- -1.8)
Bolivia,682 (306 -- 1361),Likely decreasing,0.93 (0.62 -- 1.2),-0.02 (-0.11 -- 0.066),-34 (11 -- -6.2)
Bosnia & Herzegovina,1077 (710 -- 1630),Increasing,1.2 (1 -- 1.4),0.051 (0.0079 -- 0.096),14 (7.2 -- 87)
Botswana,720 (333 -- 1673),Likely increasing,1 (0.88 -- 1.3),0.011 (-0.033 -- 0.067),61 (10 -- -21)
Brazil,67431 (41843 -- 111383),Likely increasing,1.1 (0.85 -- 1.3),0.014 (-0.043 -- 0.072),49 (9.6 -- -16)
British Virgin Islands,0 (0 -- 0),Likely decreasing,0.69 (0.23 -- 1.2),-0.089 (-0.25 -- 0.061),-7.8 (11 -- -2.8)
Brunei,0 (0 -- 3),Stable,0.96 (0.47 -- 2.1),-0.012 (-0.16 -- 0.28),-58 (2.5 -- -4.3)
Bulgaria,2952 (1799 -- 5108),Likely increasing,1.2 (0.99 -- 1.4),0.049 (-0.0035 -- 0.12),14 (6 -- -200)
Burkina Faso,14 (4 -- 56),Likely decreasing,0.87 (0.57 -- 1.4),-0.036 (-0.13 -- 0.11),-19 (6.4 -- -5.5)
Burundi,19 (4 -- 88),Stable,0.96 (0.55 -- 1.5),-0.01 (-0.13 -- 0.12),-68 (5.9 -- -5.2)
Cambodia,1 (0 -- 61),Likely decreasing,0.19 (0.011 -- 1.4),-0.27 (-0.37 -- 0.11),-2.6 (6.5 -- -1.9)
Cameroon,564 (250 -- 1522),Likely increasing,1.1 (0.89 -- 1.3),0.018 (-0.03 -- 0.077),38 (9 -- -23)
Canada,2895 (1961 -- 4369),Stable,1 (0.86 -- 1.2),0.0014 (-0.04 -- 0.045),490 (16 -- -17)
Cape Verde,60 (20 -- 198),Stable,0.99 (0.76 -- 1.4),-0.0014 (-0.067 -- 0.11),-480 (6.5 -- -10)
Cayman Islands,1 (0 -- 4),Stable,1 (0.82 -- 1.3),-0.00082 (-0.052 -- 0.068),-840 (10 -- -13)
Central African Republic,0 (0 -- 0),Likely decreasing,0.7 (0.13 -- 1),-0.086 (-0.3 -- 0.0087),-8 (79 -- -2.3)
Chad,19 (5 -- 72),Stable,0.96 (0.59 -- 1.4),-0.01 (-0.12 -- 0.11),-69 (6.4 -- -5.8)
Chile,5491 (4082 -- 7389),Likely increasing,1.1 (0.97 -- 1.3),0.031 (-0.0073 -- 0.072),22 (9.6 -- -95)
China,7 (1 -- 26),Decreasing,0.49 (0.19 -- 1),-0.16 (-0.27 -- 0.0037),-4.5 (190 -- -2.6)
Colombia,2971 (1392 -- 5785),Likely decreasing,0.93 (0.61 -- 1.3),-0.019 (-0.11 -- 0.086),-37 (8.1 -- -6.1)
Comoros,0 (0 -- 5),Decreasing,0.46 (0.13 -- 0.98),-0.17 (-0.29 -- -0.0045),-4.2 (-150 -- -2.4)
Congo - Brazzaville,21 (0 -- 4901),Likely decreasing,0.54 (0.0046 -- 5.7),-0.14 (-0.37 -- 0.96),-5 (0.72 -- -1.9)
Congo - Kinshasa,219 (105 -- 540),Likely increasing,1.1 (0.88 -- 1.5),0.031 (-0.033 -- 0.12),22 (5.7 -- -21)
Costa Rica,322 (195 -- 558),Stable,0.98 (0.81 -- 1.2),-0.0042 (-0.055 -- 0.049),-160 (14 -- -13)
Croatia,774 (374 -- 1745),Likely increasing,1.2 (0.91 -- 1.5),0.049 (-0.026 -- 0.14),14 (4.9 -- -27)
Cuba,753 (495 -- 1178),Likely decreasing,0.97 (0.84 -- 1.1),-0.007 (-0.044 -- 0.038),-100 (18 -- -16)
Curaçao,7 (1 -- 50),Stable,1.1 (0.5 -- 2),0.018 (-0.15 -- 0.25),38 (2.7 -- -4.6)
Cyprus,698 (262 -- 1750),Likely increasing,1.3 (0.83 -- 1.9),0.088 (-0.048 -- 0.22),7.9 (3.1 -- -14)
Czechia,13527 (6974 -- 24776),Stable,1 (0.76 -- 1.3),0.0017 (-0.069 -- 0.075),400 (9.2 -- -10)
Côte d’Ivoire,177 (41 -- 996),Stable,1.1 (0.67 -- 1.8),0.016 (-0.096 -- 0.21),43 (3.3 -- -7.3)
Denmark,511 (270 -- 915),Likely decreasing,0.95 (0.69 -- 1.3),-0.013 (-0.091 -- 0.071),-55 (9.8 -- -7.6)
Djibouti,16 (5 -- 51),Likely increasing,1.2 (0.82 -- 1.6),0.049 (-0.052 -- 0.16),14 (4.4 -- -13)
Dominica,0 (0 -- 2),Stable,0.99 (0.64 -- 1.3),-0.0029 (-0.1 -- 0.07),-240 (9.9 -- -6.7)
