region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Kazakhstan,1235 (272 -- 7890),1235,2382,4248,272,637,953,1585,2507,7890,New confirmed cases by infection date,Stable,0.59
United States,1188 (810 -- 1832),1188,1237,320,810,1011,1112,1272,1419,1832,New confirmed cases by infection date,Likely increasing,0.31
Poland,497 (278 -- 907),497,531,200,278,386,453,543,634,907,New confirmed cases by infection date,Likely increasing,0.12
Germany,389 (242 -- 637),389,407,124,242,320,360,418,472,637,New confirmed cases by infection date,Likely increasing,0.16
Ukraine,375 (278 -- 508),375,381,70,278,331,358,392,423,508,New confirmed cases by infection date,Decreasing,0.96
Vietnam,307 (122 -- 821),307,366,236,122,208,264,356,454,821,New confirmed cases by infection date,Likely increasing,0.14
Hungary,239 (131 -- 453),239,259,104,131,187,218,263,310,453,New confirmed cases by infection date,Likely increasing,0.17
Brazil,217 (161 -- 295),217,221,40,161,193,208,227,245,295,New confirmed cases by infection date,Stable,0.47
Philippines,128 (58 -- 292),128,145,76,58,93,113,145,179,292,New confirmed cases by infection date,Likely decreasing,0.75
France,126 (66 -- 246),126,138,57,66,98,115,139,165,246,New confirmed cases by infection date,Likely increasing,0.08
United Kingdom,101 (64 -- 162),101,106,30,64,85,95,109,122,162,New confirmed cases by infection date,Likely decreasing,0.66
Slovakia,100 (54 -- 195),100,110,48,54,78,91,111,131,195,New confirmed cases by infection date,Likely increasing,0.18
Greece,93 (65 -- 133),93,95,20,65,80,88,99,108,133,New confirmed cases by infection date,Stable,0.51
Bulgaria,81 (54 -- 127),81,85,22,54,69,76,87,97,127,New confirmed cases by infection date,Likely decreasing,0.9
Georgia,60 (44 -- 86),60,62,12,44,53,57,64,69,86,New confirmed cases by infection date,Stable,0.57
South Korea,54 (35 -- 82),54,55,14,35,46,51,57,64,82,New confirmed cases by infection date,Likely increasing,0.17
Mauritius,35 (12 -- 122),35,48,48,12,22,29,41,57,122,New confirmed cases by infection date,Likely increasing,0.1
Chile,32 (20 -- 53),32,34,10,20,26,30,35,39,53,New confirmed cases by infection date,Likely increasing,0.16
Trinidad & Tobago,32 (19 -- 54),32,34,11,19,26,30,34,39,54,New confirmed cases by infection date,Likely increasing,0.097
South Africa,26 (13 -- 54),26,28,13,13,19,23,29,34,54,New confirmed cases by infection date,Likely increasing,0.31
Jordan,24 (17 -- 35),24,25,5,17,21,23,26,28,35,New confirmed cases by infection date,Stable,0.49
Argentina,21 (13 -- 35),21,22,6,13,17,19,23,25,35,New confirmed cases by infection date,Likely increasing,0.35
Ecuador,18 (3 -- 127),18,38,67,3,8,14,25,40,127,New confirmed cases by infection date,Stable,0.4
Lithuania,18 (13 -- 26),18,19,4,13,16,17,19,21,26,New confirmed cases by infection date,Likely decreasing,0.83
Armenia,17 (11 -- 25),17,17,4,11,14,16,18,20,25,New confirmed cases by infection date,Decreasing,0.98
Bolivia,17 (8 -- 36),17,19,9,8,12,15,19,23,36,New confirmed cases by infection date,Likely increasing,0.22
Canada,17 (9 -- 30),17,18,6,9,13,15,18,21,30,New confirmed cases by infection date,Likely decreasing,0.68
Latvia,16 (9 -- 26),16,16,5,9,13,14,17,19,26,New confirmed cases by infection date,Likely decreasing,0.93
North Macedonia,16 (9 -- 30),16,18,6,9,13,15,18,21,30,New confirmed cases by infection date,Stable,0.41
Paraguay,16 (8 -- 30),16,17,6,8,12,14,17,20,30,New confirmed cases by infection date,Likely increasing,0.11
Belarus,14 (12 -- 17),14,14,1,12,13,14,15,15,17,New confirmed cases by infection date,Likely decreasing,0.67
Denmark,14 (8 -- 23),14,14,4,8,11,12,15,17,23,New confirmed cases by infection date,Likely increasing,0.11
Moldova,13 (9 -- 17),13,13,2,9,11,12,13,15,17,New confirmed cases by infection date,Decreasing,1
Norway,13 (4 -- 49),13,18,17,4,8,11,16,23,49,New confirmed cases by infection date,Likely increasing,0.19
Ethiopia,9 (5 -- 18),9,10,4,5,7,8,10,12,18,New confirmed cases by infection date,Stable,0.44
Guatemala,8 (4 -- 15),8,8,3,4,6,7,9,10,15,New confirmed cases by infection date,Decreasing,1
Laos,8 (4 -- 16),8,9,4,4,6,7,9,10,16,New confirmed cases by infection date,Likely increasing,0.05
Indonesia,7 (4 -- 11),7,7,2,4,5,6,7,8,11,New confirmed cases by infection date,Likely decreasing,0.83
Lebanon,7 (3 -- 12),7,7,2,3,5,6,7,9,12,New confirmed cases by infection date,Likely decreasing,0.66
Pakistan,7 (4 -- 12),7,7,2,4,5,6,7,8,12,New confirmed cases by infection date,Stable,0.57
Algeria,6 (2 -- 13),6,6,3,2,4,5,6,8,13,New confirmed cases by infection date,Stable,0.43
Libya,6 (3 -- 13),6,7,3,3,5,6,7,9,13,New confirmed cases by infection date,Likely decreasing,0.82
Venezuela,6 (4 -- 9),6,6,1,4,5,6,7,7,9,New confirmed cases by infection date,Likely decreasing,0.74
Australia,5 (2 -- 11),5,5,2,2,3,4,5,7,11,New confirmed cases by infection date,Likely decreasing,0.71
Montenegro,5 (3 -- 8),5,5,1,3,4,5,5,6,8,New confirmed cases by infection date,Likely decreasing,0.69
Singapore,5 (3 -- 9),5,5,2,3,4,5,6,6,9,New confirmed cases by infection date,Likely decreasing,0.84
Albania,4 (2 -- 8),4,4,1,2,3,4,4,5,8,New confirmed cases by infection date,Likely decreasing,0.77
Cambodia,4 (2 -- 8),4,4,2,2,3,4,4,5,8,New confirmed cases by infection date,Stable,0.48
Burkina Faso,3 (0 -- 14),3,5,6,0,1,2,3,5,14,New confirmed cases by infection date,Likely increasing,0.25
Estonia,3 (1 -- 6),3,3,1,1,2,2,3,4,6,New confirmed cases by infection date,Decreasing,0.96
