Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Afghanistan,0 (0 -- 1),Likely decreasing,0.84 (0.65 -- 1.1),-0.044 (-0.1 -- 0.017),-16 (41 -- -6.9)
Albania,4 (2 -- 8),Likely decreasing,0.92 (0.74 -- 1.1),-0.023 (-0.076 -- 0.031),-30 (23 -- -9.1)
Algeria,6 (2 -- 13),Stable,1 (0.79 -- 1.3),0.0068 (-0.059 -- 0.084),100 (8.2 -- -12)
Andorra,0 (0 -- 5),Likely increasing,1.5 (0.89 -- 2.8),0.14 (-0.03 -- 0.43),5 (1.6 -- -23)
Angola,0 (0 -- 0),Decreasing,0.77 (0.62 -- 0.95),-0.066 (-0.11 -- -0.015),-10 (-46 -- -6.3)
Antigua & Barbuda,0 (0 -- 2),Likely decreasing,0.92 (0.57 -- 1.4),-0.021 (-0.13 -- 0.11),-33 (6.1 -- -5.4)
Argentina,21 (13 -- 35),Likely increasing,1 (0.9 -- 1.2),0.0079 (-0.028 -- 0.048),87 (14 -- -25)
Armenia,17 (11 -- 25),Decreasing,0.84 (0.72 -- 0.97),-0.046 (-0.082 -- -0.0085),-15 (-82 -- -8.5)
Aruba,0 (0 -- 0),Likely decreasing,0.91 (0.61 -- 1.4),-0.026 (-0.11 -- 0.093),-27 (7.5 -- -6.1)
Australia,5 (2 -- 11),Likely decreasing,0.92 (0.7 -- 1.2),-0.021 (-0.085 -- 0.054),-32 (13 -- -8.1)
Bahamas,1 (0 -- 4),Likely increasing,1.1 (0.82 -- 1.5),0.018 (-0.05 -- 0.13),38 (5.5 -- -14)
Bahrain,0 (0 -- 0),Likely decreasing,0.85 (0.52 -- 1.3),-0.042 (-0.14 -- 0.076),-17 (9.2 -- -4.8)
Barbados,1 (0 -- 4),Likely decreasing,0.92 (0.69 -- 1.2),-0.022 (-0.091 -- 0.064),-31 (11 -- -7.6)
Belarus,14 (12 -- 17),Likely decreasing,0.99 (0.96 -- 1),-0.0025 (-0.012 -- 0.0071),-270 (98 -- -56)
Belize,1 (0 -- 3),Likely decreasing,0.92 (0.76 -- 1.1),-0.021 (-0.068 -- 0.027),-33 (26 -- -10)
Benin,0 (0 -- 0),Decreasing,0.6 (0.31 -- 0.98),-0.12 (-0.22 -- -0.0059),-5.8 (-120 -- -3.2)
Bermuda,0 (0 -- 0),Likely decreasing,0.44 (0.13 -- 1.1),-0.17 (-0.29 -- 0.034),-4.1 (21 -- -2.4)
Bolivia,17 (8 -- 36),Likely increasing,1.1 (0.87 -- 1.4),0.033 (-0.037 -- 0.11),21 (6.1 -- -19)
Botswana,0 (0 -- 0),Likely decreasing,0.89 (0.65 -- 1.2),-0.032 (-0.1 -- 0.053),-22 (13 -- -6.8)
Brazil,217 (161 -- 295),Stable,1 (0.91 -- 1.1),0.0011 (-0.025 -- 0.028),620 (25 -- -28)
Brunei,0 (0 -- 0),Likely decreasing,0.66 (0.32 -- 1.1),-0.098 (-0.21 -- 0.021),-7.1 (33 -- -3.2)
Bulgaria,81 (54 -- 127),Likely decreasing,0.89 (0.76 -- 1),-0.031 (-0.067 -- 0.0098),-22 (71 -- -10)
Burkina Faso,3 (0 -- 14),Likely increasing,1.1 (0.83 -- 1.5),0.03 (-0.047 -- 0.13),23 (5.4 -- -15)
Cambodia,4 (2 -- 8),Stable,1 (0.81 -- 1.2),0.0019 (-0.053 -- 0.066),370 (10 -- -13)
Cameroon,1 (0 -- 3),Likely decreasing,0.85 (0.66 -- 1.1),-0.042 (-0.097 -- 0.02),-17 (35 -- -7.1)
Canada,17 (9 -- 30),Likely decreasing,0.95 (0.8 -- 1.1),-0.014 (-0.057 -- 0.035),-50 (20 -- -12)
Cape Verde,0 (0 -- 0),Likely decreasing,0.81 (0.57 -- 1.1),-0.055 (-0.13 -- 0.037),-13 (19 -- -5.4)
Central African Republic,0 (0 -- 0),Stable,0.93 (0.45 -- 1.6),-0.019 (-0.17 -- 0.16),-37 (4.4 -- -4.1)
Chad,2 (0 -- 10),Increasing,1.7 (1.2 -- 2.5),0.18 (0.058 -- 0.37),3.9 (1.9 -- 12)
Chile,32 (20 -- 53),Likely increasing,1.1 (0.94 -- 1.2),0.021 (-0.016 -- 0.061),32 (11 -- -44)
China,0 (0 -- 0),Likely decreasing,0.48 (0.077 -- 2),-0.16 (-0.32 -- 0.25),-4.4 (2.7 -- -2.1)
Comoros,0 (0 -- 0),Likely decreasing,0.78 (0.24 -- 1.6),-0.063 (-0.24 -- 0.15),-11 (4.6 -- -2.8)
Congo - Brazzaville,2 (0 -- 7),Likely decreasing,0.97 (0.72 -- 1.1),-0.0091 (-0.082 -- 0.037),-76 (19 -- -8.4)
Congo - Kinshasa,0 (0 -- 1),Stable,0.98 (0.76 -- 1.3),-0.0052 (-0.07 -- 0.071),-130 (9.8 -- -9.9)
Costa Rica,2 (1 -- 4),Decreasing,0.83 (0.7 -- 0.98),-0.049 (-0.086 -- -0.0068),-14 (-100 -- -8)
Curaçao,0 (0 -- 1),Stable,1.1 (0.66 -- 1.7),0.019 (-0.098 -- 0.18),37 (3.9 -- -7.1)
Cyprus,0 (0 -- 2),Likely increasing,1.1 (0.87 -- 1.4),0.027 (-0.037 -- 0.11),26 (6.4 -- -19)
Côte d’Ivoire,0 (0 -- 0),Likely decreasing,0.79 (0.62 -- 1),-0.059 (-0.11 -- 0.0026),-12 (270 -- -6.1)
Denmark,14 (8 -- 23),Likely increasing,1.1 (0.95 -- 1.3),0.038 (-0.013 -- 0.09),18 (7.7 -- -52)
Djibouti,0 (0 -- 0),Likely decreasing,0.6 (0.25 -- 1.2),-0.12 (-0.24 -- 0.046),-5.9 (15 -- -2.9)
Dominica,0 (0 -- 0),Likely decreasing,0.89 (0.51 -- 1.4),-0.031 (-0.15 -- 0.1),-23 (6.8 -- -4.7)
Dominican Republic,1 (0 -- 3),Likely decreasing,0.9 (0.68 -- 1.2),-0.028 (-0.093 -- 0.044),-25 (16 -- -7.4)
Ecuador,18 (3 -- 127),Stable,1.1 (0.59 -- 1.9),0.028 (-0.12 -- 0.23),25 (3.1 -- -5.8)
El Salvador,1 (0 -- 2),Decreasing,0.8 (0.7 -- 0.91),-0.056 (-0.088 -- -0.024),-12 (-29 -- -7.9)
Equatorial Guinea,0 (0 -- 11),Likely increasing,1.2 (0.65 -- 2.5),0.061 (-0.1 -- 0.36),11 (1.9 -- -6.8)
Eritrea,0 (0 -- 4),Stable,0.96 (0.43 -- 1.5),-0.011 (-0.17 -- 0.14),-61 (5 -- -4)
Estonia,3 (1 -- 6),Decreasing,0.79 (0.62 -- 0.98),-0.059 (-0.11 -- -0.0067),-12 (-100 -- -6.3)
Eswatini,0 (0 -- 0),Likely decreasing,0.77 (0.5 -- 1.1),-0.067 (-0.15 -- 0.027),-10 (26 -- -4.6)
Ethiopia,9 (5 -- 18),Stable,1 (0.85 -- 1.2),0.0048 (-0.044 -- 0.062),140 (11 -- -16)
Fiji,0 (0 -- 0),Likely decreasing,0.81 (0.52 -- 1.1),-0.054 (-0.14 -- 0.029),-13 (24 -- -4.8)
Finland,0 (0 -- 0),Decreasing,0.55 (0.35 -- 0.79),-0.14 (-0.2 -- -0.06),-5.1 (-12 -- -3.5)
France,126 (66 -- 246),Likely increasing,1.2 (0.97 -- 1.5),0.055 (-0.0089 -- 0.13),13 (5.3 -- -78)
French Guiana,0 (0 -- 0),Likely decreasing,0.88 (0.74 -- 1),-0.033 (-0.076 -- 0.011),-21 (66 -- -9.2)
French Polynesia,0 (0 -- 0),Decreasing,0.55 (0.26 -- 1),-0.14 (-0.24 -- -0.00097),-5.1 (-720 -- -2.9)
Gabon,0 (0 -- 2),Likely decreasing,0.88 (0.68 -- 1.1),-0.035 (-0.093 -- 0.021),-20 (34 -- -7.5)
