region,time
Afghanistan,7.1
Albania,10.7
Algeria,6.7
Andorra,5.6
Angola,4.3
Argentina,8.9
Armenia,10.1
Aruba,5.2
Austria,12.4
Azerbaijan,16.2
Bahamas,7.1
Bahrain,5.7
Bangladesh,11.4
Belarus,7.2
Belgium,45.2
Belize,5.7
Bolivia,27.7
Bosnia & Herzegovina,18.8
Botswana,4.1
Brazil,13.7
Bulgaria,9
Burkina Faso,6.1
Cameroon,3.8
Canada,8.2
Cape Verde,3.7
Chad,5.6
Chile,5.5
China,4.8
Colombia,15.2
Comoros,52
Congo - Kinshasa,6.9
Costa Rica,7.7
Côte d’Ivoire,3.5
Croatia,23.8
Cuba,5.6
Cyprus,7.1
Czechia,27.8
Denmark,13.4
Dominican Republic,7.7
Ecuador,8
Egypt,22.8
El Salvador,6.3
Estonia,7
Eswatini,7.8
Ethiopia,3.9
Finland,5.8
France,14.5
French Polynesia,3.1
Georgia,21.6
Germany,15.5
Ghana,5.4
Gibraltar,8.5
Greece,26.4
Guadeloupe,2.5
Guam,3.7
Guatemala,7.5
Guyana,3.8
Honduras,6.8
Hungary,21.3
India,25.6
Indonesia,12.4
Iran,23.8
Iraq,9.1
Ireland,7.5
Israel,14.9
Italy,21.7
Jamaica,4.4
Japan,20.2
Jersey,51.3
Jordan,13.8
Kazakhstan,3.4
Kenya,5.1
Kosovo,12
Kuwait,3
Kyrgyzstan,5.4
Latvia,6.6
Lebanon,20.4
Lesotho,6.7
Libya,3.8
Liechtenstein,3.1
Lithuania,13
Luxembourg,4.7
Madagascar,3.6
Malawi,9
Malaysia,5.4
Maldives,3.2
Mali,5.3
Malta,4.8
Martinique,2.8
Mauritania,5.7
Mayotte,2.6
Mexico,5.8
Moldova,9.6
Montenegro,4.5
Morocco,12.1
Mozambique,6.7
Myanmar (Burma),8.9
Nepal,8.6
Netherlands,22.7
Nicaragua,2.9
Niger,3.1
Nigeria,7.1
North Macedonia,9.1
Norway,5.8
Oman,4
Pakistan,13.6
Palestinian Territories,14
Panama,12.6
Paraguay,10.7
Peru,12.1
Philippines,4.3
Poland,6.3
Portugal,29.4
Puerto Rico,6.1
Qatar,2.8
Réunion,3.3
Romania,13
Russia,19.5
Rwanda,6.6
San Marino,2
Saudi Arabia,6.6
Senegal,9.3
Serbia,26.4
Slovakia,4.3
Slovenia,7.7
South Africa,12.4
South Korea,14.9
Spain,29.2
Sri Lanka,4.3
Sudan,3.5
Suriname,7.3
Sweden,40.8
Switzerland,28.3
Syria,19.5
Thailand,5
Togo,3.4
Trinidad & Tobago,3.2
Tunisia,8.3
Turkey,1.1
Uganda,6.4
Ukraine,13.2
United Arab Emirates,5.2
United Kingdom,13.5
United States,15.2
Uruguay,9.7
Uzbekistan,3.8
Venezuela,6.8
Yemen,3.9
Zambia,5.6
Zimbabwe,6
