region,date,type,median,lower_90,upper_90,lower_50,upper_50
Afghanistan,2020-06-12,estimate,21.4,12,32,17,24
Afghanistan,2020-06-13,estimate,22,12,34,17,25
Afghanistan,2020-06-14,estimate,22.8,13,35,18,26
Afghanistan,2020-06-15,estimate,23.6,14,36,18,26
Afghanistan,2020-06-16,estimate,24.5,14,37,18,27
Afghanistan,2020-06-17,estimate,25.1,14,37,18,27
Afghanistan,2020-06-18,estimate,25.8,15,39,20,29
Afghanistan,2020-06-19,estimate,26.4,16,40,21,30
Afghanistan,2020-06-20,estimate,27.2,15,41,21,30
Afghanistan,2020-06-21,estimate,27.7,16,42,21,30
Afghanistan,2020-06-22,estimate,28.3,16,43,20,31
Afghanistan,2020-06-23,estimate,28.6,16,44,21,32
Afghanistan,2020-06-24,estimate,28.7,16,44,21,32
Afghanistan,2020-06-25,estimate,28.6,16,44,22,33
Afghanistan,2020-06-26,estimate,28.3,16,43,20,31
Afghanistan,2020-06-27,estimate,27.7,16,43,21,31
Afghanistan,2020-06-28,estimate,26.9,16,42,21,31
Afghanistan,2020-06-29,estimate,25.8,15,40,20,29
Afghanistan,2020-06-30,estimate,24.7,15,38,19,27
Afghanistan,2020-07-01,estimate,23.2,13,34,17,25
Afghanistan,2020-07-02,estimate,21.7,13,32,18,25
Afghanistan,2020-07-03,estimate,20,12,29,16,23
Afghanistan,2020-07-04,estimate,18.3,11,27,14,21
Afghanistan,2020-07-05,estimate,16.6,9,25,14,20
Afghanistan,2020-07-06,estimate,14.9,8,23,12,17
Afghanistan,2020-07-07,estimate,13.5,7,21,10,16
Afghanistan,2020-07-08,estimate,12,5,19,9,15
Afghanistan,2020-07-09,estimate,10.6,3,18,8,13
Afghanistan,2020-07-10,estimate,9.4,2,16,6,12
Afghanistan,2020-07-11,estimate,8.2,1,14,5,10
Afghanistan,2020-07-12,estimate,7.2,1,13,4,9
Afghanistan,2020-07-13,estimate,6.2,1,12,3,7
Afghanistan,2020-07-14,estimate based on partial data,5.4,0,11,2,6
Afghanistan,2020-07-15,estimate based on partial data,4.6,0,10,1,6
Afghanistan,2020-07-16,estimate based on partial data,4,0,9,1,4
Afghanistan,2020-07-17,estimate based on partial data,3.5,0,9,1,4
Afghanistan,2020-07-18,estimate based on partial data,3,0,8,0,3
Afghanistan,2020-07-19,estimate based on partial data,2.6,0,8,0,3
Afghanistan,2020-07-20,estimate based on partial data,2.2,0,7,0,2
Afghanistan,2020-07-21,estimate based on partial data,1.9,0,7,0,2
Afghanistan,2020-07-22,estimate based on partial data,1.6,0,6,0,2
Afghanistan,2020-07-23,estimate based on partial data,1.4,0,6,0,1
Afghanistan,2020-07-24,estimate based on partial data,1.3,0,6,0,1
Afghanistan,2020-07-25,estimate based on partial data,1.1,0,6,0,1
Afghanistan,2020-07-26,estimate based on partial data,1,0,5,0,1
Afghanistan,2020-07-27,estimate based on partial data,0.8,0,5,0,1
Afghanistan,2020-07-28,estimate based on partial data,0.7,0,5,0,1
Afghanistan,2020-07-29,estimate based on partial data,0.6,0,5,0,1
Afghanistan,2020-07-30,estimate based on partial data,0.5,0,5,0,1
Afghanistan,2020-07-31,estimate based on partial data,0.5,0,5,0,0
Afghanistan,2020-08-01,forecast,0.4,0,5,0,0
Afghanistan,2020-08-02,forecast,0.4,0,5,0,0
Afghanistan,2020-08-03,forecast,0.3,0,5,0,0
Afghanistan,2020-08-04,forecast,0.3,0,5,0,0
Afghanistan,2020-08-05,forecast,0.2,0,5,0,0
Afghanistan,2020-08-06,forecast,0.2,0,5,0,0
Afghanistan,2020-08-07,forecast,0.2,0,5,0,0
Afghanistan,2020-08-08,forecast,0.2,0,5,0,0
Afghanistan,2020-08-09,forecast,0.1,0,5,0,0
Afghanistan,2020-08-10,forecast,0.1,0,5,0,0
Afghanistan,2020-08-11,forecast,0.1,0,5,0,0
Afghanistan,2020-08-12,forecast,0.1,0,5,0,0
Afghanistan,2020-08-13,forecast,0.1,0,6,0,0
Afghanistan,2020-08-14,forecast,0.1,0,6,0,0
Albania,2020-06-14,estimate,1.6,1,2,1,2
Albania,2020-06-15,estimate,1.7,1,2,1,2
Albania,2020-06-16,estimate,1.8,1,3,1,2
Albania,2020-06-17,estimate,1.9,1,3,1,2
Albania,2020-06-18,estimate,2,1,3,2,2
Albania,2020-06-19,estimate,2.1,1,3,2,2
Albania,2020-06-20,estimate,2.1,2,3,2,2
Albania,2020-06-21,estimate,2.2,2,3,2,2
Albania,2020-06-22,estimate,2.3,2,3,2,2
Albania,2020-06-23,estimate,2.4,2,3,2,2
Albania,2020-06-24,estimate,2.5,2,3,2,3
Albania,2020-06-25,estimate,2.5,2,4,2,3
Albania,2020-06-26,estimate,2.6,2,4,2,3
Albania,2020-06-27,estimate,2.7,2,4,2,3
Albania,2020-06-28,estimate,2.7,2,4,2,3
Albania,2020-06-29,estimate,2.8,2,4,2,3
Albania,2020-06-30,estimate,2.9,2,4,2,3
Albania,2020-07-01,estimate,2.9,2,4,2,3
Albania,2020-07-02,estimate,3,2,4,3,3
Albania,2020-07-03,estimate,3.1,2,4,3,3
Albania,2020-07-04,estimate,3.1,2,4,3,3
Albania,2020-07-05,estimate,3.2,2,4,3,3
Albania,2020-07-06,estimate,3.3,2,4,3,4
Albania,2020-07-07,estimate,3.4,2,4,3,4
Albania,2020-07-08,estimate,3.5,2,5,3,4
Albania,2020-07-09,estimate,3.5,2,5,3,4
Albania,2020-07-10,estimate,3.6,3,5,3,4
Albania,2020-07-11,estimate,3.7,3,5,3,4
Albania,2020-07-12,estimate,3.8,3,5,3,4
Albania,2020-07-13,estimate,3.9,3,5,3,4
Albania,2020-07-14,estimate based on partial data,4,3,6,3,5
Albania,2020-07-15,estimate based on partial data,4.1,3,6,3,5
Albania,2020-07-16,estimate based on partial data,4.3,3,6,4,5
Albania,2020-07-17,estimate based on partial data,4.4,2,6,4,5
Albania,2020-07-18,estimate based on partial data,4.5,3,6,4,5
Albania,2020-07-19,estimate based on partial data,4.6,3,7,4,6
Albania,2020-07-20,estimate based on partial data,4.8,2,7,3,5
Albania,2020-07-21,estimate based on partial data,4.9,2,8,4,6
Albania,2020-07-22,estimate based on partial data,5.1,2,8,4,6
Albania,2020-07-23,estimate based on partial data,5.2,2,9,4,6
Albania,2020-07-24,estimate based on partial data,5.3,2,9,4,6
Albania,2020-07-25,estimate based on partial data,5.5,2,10,4,7
Albania,2020-07-26,estimate based on partial data,5.7,1,10,4,7
Albania,2020-07-27,estimate based on partial data,5.8,1,11,4,7
Albania,2020-07-28,estimate based on partial data,6,1,12,3,8
Albania,2020-07-29,estimate based on partial data,6.1,1,13,3,8
Albania,2020-07-30,estimate based on partial data,6.3,1,14,3,8
Albania,2020-07-31,estimate based on partial data,6.5,0,15,3,9
Albania,2020-08-01,forecast,6.7,1,16,3,9
Albania,2020-08-02,forecast,6.9,0,17,3,9
Albania,2020-08-03,forecast,7.2,0,19,3,9
Albania,2020-08-04,forecast,7.3,0,20,2,9
Albania,2020-08-05,forecast,7.5,0,22,2,9
Albania,2020-08-06,forecast,7.6,0,24,0,8
Albania,2020-08-07,forecast,7.8,0,26,0,8
Albania,2020-08-08,forecast,8,0,29,0,8
Albania,2020-08-09,forecast,8.3,0,32,0,8
Albania,2020-08-10,forecast,8.5,0,35,0,9
Albania,2020-08-11,forecast,8.8,0,39,0,9
Albania,2020-08-12,forecast,9.1,0,44,0,9
Albania,2020-08-13,forecast,9.5,0,48,0,10
Albania,2020-08-14,forecast,9.8,0,54,0,10
Algeria,2020-06-12,estimate,9.2,7,11,9,10
Algeria,2020-06-13,estimate,9.1,7,11,8,10
Algeria,2020-06-14,estimate,8.9,7,11,8,10
Algeria,2020-06-15,estimate,8.8,7,11,8,10
Algeria,2020-06-16,estimate,8.7,7,11,8,10
Algeria,2020-06-17,estimate,8.6,7,10,8,9
Algeria,2020-06-18,estimate,8.5,7,11,8,10
Algeria,2020-06-19,estimate,8.5,6,10,8,9
Algeria,2020-06-20,estimate,8.4,6,10,8,9
Algeria,2020-06-21,estimate,8.4,6,10,8,9
Algeria,2020-06-22,estimate,8.4,6,10,8,9
Algeria,2020-06-23,estimate,8.4,6,10,8,9
Algeria,2020-06-24,estimate,8.4,6,10,7,9
Algeria,2020-06-25,estimate,8.4,6,10,8,9
Algeria,2020-06-26,estimate,8.5,6,10,8,9
Algeria,2020-06-27,estimate,8.5,7,11,8,10
Algeria,2020-06-28,estimate,8.6,7,11,8,10
Algeria,2020-06-29,estimate,8.7,7,11,8,10
Algeria,2020-06-30,estimate,8.8,7,11,8,10
Algeria,2020-07-01,estimate,8.9,7,11,8,10
Algeria,2020-07-02,estimate,9.1,7,11,8,10
Algeria,2020-07-03,estimate,9.2,7,11,8,10
Algeria,2020-07-04,estimate,9.3,7,11,9,10
Algeria,2020-07-05,estimate,9.4,7,11,9,10
Algeria,2020-07-06,estimate,9.5,8,12,9,10
Algeria,2020-07-07,estimate,9.7,8,12,9,10
Algeria,2020-07-08,estimate,9.8,8,12,9,10
Algeria,2020-07-09,estimate,9.9,8,12,9,11
Algeria,2020-07-10,estimate,10.1,8,13,9,11
Algeria,2020-07-11,estimate,10.2,8,13,9,11
Algeria,2020-07-12,estimate,10.3,8,13,9,11
Algeria,2020-07-13,estimate,10.5,8,13,9,11
Algeria,2020-07-14,estimate based on partial data,10.6,8,13,9,11
Algeria,2020-07-15,estimate based on partial data,10.6,8,14,9,11
Algeria,2020-07-16,estimate based on partial data,10.8,8,14,9,12
Algeria,2020-07-17,estimate based on partial data,10.8,8,14,9,12
Algeria,2020-07-18,estimate based on partial data,10.9,8,14,9,12
Algeria,2020-07-19,estimate based on partial data,11,8,15,9,12
Algeria,2020-07-20,estimate based on partial data,11.1,8,16,9,12
Algeria,2020-07-21,estimate based on partial data,11.2,7,16,9,12
Algeria,2020-07-22,estimate based on partial data,11.2,7,17,9,13
Algeria,2020-07-23,estimate based on partial data,11.3,7,17,9,13
Algeria,2020-07-24,estimate based on partial data,11.4,6,18,9,13
Algeria,2020-07-25,estimate based on partial data,11.5,6,19,9,13
Algeria,2020-07-26,estimate based on partial data,11.6,5,21,8,13
Algeria,2020-07-27,estimate based on partial data,11.7,4,21,7,13
Algeria,2020-07-28,estimate based on partial data,11.7,4,23,8,13
Algeria,2020-07-29,estimate based on partial data,11.8,2,23,7,14
Algeria,2020-07-30,estimate based on partial data,11.9,2,25,7,14
Algeria,2020-07-31,estimate based on partial data,12,2,27,7,14
Algeria,2020-08-01,forecast,12.1,1,28,7,15
Algeria,2020-08-02,forecast,12.2,0,30,7,15
Algeria,2020-08-03,forecast,12.4,0,32,7,15
Algeria,2020-08-04,forecast,12.5,0,34,6,15
Algeria,2020-08-05,forecast,12.6,0,37,6,16
Algeria,2020-08-06,forecast,12.6,0,39,6,16
Algeria,2020-08-07,forecast,12.6,0,42,5,16
Algeria,2020-08-08,forecast,12.6,0,46,5,16
Algeria,2020-08-09,forecast,12.8,0,50,3,15
Algeria,2020-08-10,forecast,12.9,0,54,3,15
Algeria,2020-08-11,forecast,12.9,0,61,2,15
Algeria,2020-08-12,forecast,13.1,0,67,2,15
Algeria,2020-08-13,forecast,13.2,0,75,0,13
Algeria,2020-08-14,forecast,13.3,0,82,0,13
Angola,2020-06-19,estimate,0.6,0,1,0,1
Angola,2020-06-20,estimate,0.6,0,1,0,1
Angola,2020-06-21,estimate,0.6,0,1,1,1
Angola,2020-06-22,estimate,0.7,0,1,1,1
Angola,2020-06-23,estimate,0.7,0,1,1,1
Angola,2020-06-24,estimate,0.7,0,1,1,1
Angola,2020-06-25,estimate,0.8,0,1,1,1
Angola,2020-06-26,estimate,0.8,0,1,1,1
Angola,2020-06-27,estimate,0.8,0,1,1,1
Angola,2020-06-28,estimate,0.8,0,1,1,1
Angola,2020-06-29,estimate,0.9,0,1,1,1
Angola,2020-06-30,estimate,0.9,0,1,1,1
Angola,2020-07-01,estimate,0.9,0,1,1,1
Angola,2020-07-02,estimate,0.9,0,1,1,1
Angola,2020-07-03,estimate,1,0,1,1,1
Angola,2020-07-04,estimate,1,0,1,1,1
Angola,2020-07-05,estimate,1,0,2,1,1
Angola,2020-07-06,estimate,1.1,0,2,1,1
Angola,2020-07-07,estimate,1.1,1,2,1,1
Angola,2020-07-08,estimate,1.1,1,2,1,1
Angola,2020-07-09,estimate,1.2,1,2,1,1
Angola,2020-07-10,estimate,1.2,1,2,1,1
Angola,2020-07-11,estimate,1.3,1,2,1,2
Angola,2020-07-12,estimate,1.3,1,2,1,2
Angola,2020-07-13,estimate,1.4,1,2,1,2
Angola,2020-07-14,estimate based on partial data,1.5,1,2,1,2
Angola,2020-07-15,estimate based on partial data,1.5,1,2,1,2
Angola,2020-07-16,estimate based on partial data,1.6,1,2,1,2
Angola,2020-07-17,estimate based on partial data,1.7,1,3,1,2
Angola,2020-07-18,estimate based on partial data,1.8,1,3,1,2
Angola,2020-07-19,estimate based on partial data,1.9,1,3,1,2
