region,date,confirm
Afghanistan,2021-10-12,2
Albania,2021-10-12,9
Algeria,2021-10-12,2
American Samoa,2021-10-12,0
Andorra,2021-10-12,0
Angola,2021-10-12,7
Anguilla,2021-10-12,0
Antigua & Barbuda,2021-10-12,0
Argentina,2021-10-12,0
Armenia,2021-10-12,43
Aruba,2021-10-12,0
Australia,2021-10-12,16
Austria,2021-10-12,8
Azerbaijan,2021-10-12,13
Bahamas,2021-10-12,3
Bahrain,2021-10-12,0
Bangladesh,2021-10-12,14
Barbados,2021-10-12,4
Belarus,2021-10-12,15
Belgium,2021-10-12,18
Belize,2021-10-12,0
Benin,2021-10-12,0
Bermuda,2021-10-12,0
Bhutan,2021-10-12,0
Bolivia,2021-10-12,3
Bosnia & Herzegovina,2021-10-12,51
Botswana,2021-10-12,5
Brazil,2021-10-12,182
British Virgin Islands,2021-10-12,0
Brunei,2021-10-12,0
Bulgaria,2021-10-12,157
Burkina Faso,2021-10-12,0
Burundi,2021-10-12,0
Cambodia,2021-10-12,21
Cameroon,2021-10-12,0
Canada,2021-10-12,10
Cape Verde,2021-10-12,0
Cayman Islands,2021-10-12,0
Central African Republic,2021-10-12,0
Chad,2021-10-12,0
Chile,2021-10-12,7
China,2021-10-12,0
Colombia,2021-10-12,38
Comoros,2021-10-12,0
Congo - Brazzaville,2021-10-12,13
Congo - Kinshasa,2021-10-12,0
Cook Islands,2021-10-12,0
Costa Rica,2021-10-12,23
Côte d’Ivoire,2021-10-12,3
Croatia,2021-10-12,6
Cuba,2021-10-12,40
Curaçao,2021-10-12,0
Cyprus,2021-10-12,2
Czechia,2021-10-12,5
Denmark,2021-10-12,2
Djibouti,2021-10-12,0
Dominica,2021-10-12,1
Dominican Republic,2021-10-12,0
Ecuador,2021-10-12,0
Egypt,2021-10-12,31
El Salvador,2021-10-12,11
Equatorial Guinea,2021-10-12,1
Eritrea,2021-10-12,0
Estonia,2021-10-12,2
Eswatini,2021-10-12,2
Ethiopia,2021-10-12,36
Falkland Islands,2021-10-12,0
Faroe Islands,2021-10-12,0
Fiji,2021-10-12,0
Finland,2021-10-12,5
France,2021-10-12,28
French Guiana,2021-10-12,3
French Polynesia,2021-10-12,3
Gabon,2021-10-12,4
Gambia,2021-10-12,0
Georgia,2021-10-12,37
Germany,2021-10-12,88
Ghana,2021-10-12,0
Gibraltar,2021-10-12,0
Greece,2021-10-12,42
Greenland,2021-10-12,0
Grenada,2021-10-12,3
Guadeloupe,2021-10-12,0
Guam,2021-10-12,2
Guatemala,2021-10-12,39
Guernsey,2021-10-12,0
Guinea,2021-10-12,0
Guinea-Bissau,2021-10-12,0
Guyana,2021-10-12,5
Haiti,2021-10-12,0
Honduras,2021-10-12,61
Hungary,2021-10-12,17
Iceland,2021-10-12,0
India,2021-10-12,181
Indonesia,2021-10-12,47
Iran,2021-10-12,276
Iraq,2021-10-12,28
Ireland,2021-10-12,0
Isle of Man,2021-10-12,0
Israel,2021-10-12,13
Italy,2021-10-12,34
Jamaica,2021-10-12,25
Japan,2021-10-12,18
Jersey,2021-10-12,0
Jordan,2021-10-12,7
Kazakhstan,2021-10-12,36
Kenya,2021-10-12,9
Kiribati,2021-10-12,0
Kosovo,2021-10-12,6
Kuwait,2021-10-12,1
Kyrgyzstan,2021-10-12,2
Laos,2021-10-12,4
Latvia,2021-10-12,2
Lebanon,2021-10-12,4
Lesotho,2021-10-12,0
Liberia,2021-10-12,0
Libya,2021-10-12,17
Liechtenstein,2021-10-12,0
Lithuania,2021-10-12,23
Luxembourg,2021-10-12,1
Madagascar,2021-10-12,0
Malawi,2021-10-12,0
Malaysia,2021-10-12,93
Maldives,2021-10-12,1
Mali,2021-10-12,0
Malta,2021-10-12,0
Marshall Islands,2021-10-12,0
Martinique,2021-10-12,3
Mauritania,2021-10-12,0
Mauritius,2021-10-12,5
Mayotte,2021-10-12,0
Mexico,2021-10-12,273
Micronesia (Federated States of),2021-10-12,0
Moldova,2021-10-12,24
Monaco,2021-10-12,0
Mongolia,2021-10-12,15
Montenegro,2021-10-12,3
Montserrat,2021-10-12,0
Morocco,2021-10-12,17
Mozambique,2021-10-12,2
Myanmar (Burma),2021-10-12,26
Nauru,2021-10-12,0
Nepal,2021-10-12,14
Netherlands,2021-10-12,5
New Caledonia,2021-10-12,1
New Zealand,2021-10-12,0
Nicaragua,2021-10-12,0
Niger,2021-10-12,0
Nigeria,2021-10-12,9
Niue,2021-10-12,0
North Korea,2021-10-12,0
North Macedonia,2021-10-12,18
Northern Mariana Islands,2021-10-12,0
Norway,2021-10-12,0
Oman,2021-10-12,0
Pakistan,2021-10-12,28
Palau,2021-10-12,0
Palestinian Territories,2021-10-12,17
Panama,2021-10-12,3
Papua New Guinea,2021-10-12,7
Paraguay,2021-10-12,0
Peru,2021-10-12,31
Philippines,2021-10-12,36
Pitcairn Islands,2021-10-12,0
Poland,2021-10-12,49
Portugal,2021-10-12,7
Puerto Rico,2021-10-12,2
Qatar,2021-10-12,0
Réunion,2021-10-12,1
Romania,2021-10-12,209
Russia,2021-10-12,973
Rwanda,2021-10-12,0
Saint Martin (French part),2021-10-12,0
Samoa,2021-10-12,0
San Marino,2021-10-12,0
São Tomé & Príncipe,2021-10-12,0
Saudi Arabia,2021-10-12,3
Senegal,2021-10-12,0
Serbia,2021-10-12,51
Seychelles,2021-10-12,0
Sierra Leone,2021-10-12,0
Singapore,2021-10-12,10
Sint Maarten,2021-10-12,0
Slovakia,2021-10-12,17
Slovenia,2021-10-12,6
Solomon Islands,2021-10-12,0
Somalia,2021-10-12,0
South Africa,2021-10-12,29
South Korea,2021-10-12,11
South Sudan,2021-10-12,0
Spain,2021-10-12,16
Sri Lanka,2021-10-12,23
St. Barthélemy,2021-10-12,0
St. Helena,2021-10-12,0
St. Kitts & Nevis,2021-10-12,0
St. Lucia,2021-10-12,0
St. Pierre & Miquelon,2021-10-12,0
St. Vincent & Grenadines,2021-10-12,0
Sudan,2021-10-12,2
Suriname,2021-10-12,8
Sweden,2021-10-12,5
Switzerland,2021-10-12,10
Syria,2021-10-12,7
Tajikistan,2021-10-12,0
Tanzania,2021-10-12,1
Thailand,2021-10-12,84
Timor-Leste,2021-10-12,0
Togo,2021-10-12,0
Tokelau,2021-10-12,0
Tonga,2021-10-12,0
Trinidad & Tobago,2021-10-12,11
Tunisia,2021-10-12,11
Turkey,2021-10-12,188
Turkmenistan,2021-10-12,0
Turks & Caicos Islands,2021-10-12,0
Tuvalu,2021-10-12,0
U.S. Virgin Islands,2021-10-12,0
Uganda,2021-10-12,2
Ukraine,2021-10-12,352
United Arab Emirates,2021-10-12,1
United Kingdom,2021-10-12,28
United States,2021-10-12,1039
Uruguay,2021-10-12,1
Uzbekistan,2021-10-12,2
Vanuatu,2021-10-12,0
Vatican City,2021-10-12,0
Venezuela,2021-10-12,11
Vietnam,2021-10-12,115
Wallis & Futuna,2021-10-12,0
Yemen,2021-10-12,4
Zambia,2021-10-12,0
Zimbabwe,2021-10-12,6
Afghanistan,2021-10-13,2
Albania,2021-10-13,6
Algeria,2021-10-13,4
American Samoa,2021-10-13,0
Andorra,2021-10-13,0
Angola,2021-10-13,13
Anguilla,2021-10-13,0
Antigua & Barbuda,2021-10-13,0
Argentina,2021-10-13,0
Armenia,2021-10-13,28
Aruba,2021-10-13,1
Australia,2021-10-13,13
Austria,2021-10-13,11
Azerbaijan,2021-10-13,15
Bahamas,2021-10-13,0
Bahrain,2021-10-13,0
Bangladesh,2021-10-13,17
Barbados,2021-10-13,4
Belarus,2021-10-13,15
Belgium,2021-10-13,13
Belize,2021-10-13,11
Benin,2021-10-13,2
Bermuda,2021-10-13,3
Bhutan,2021-10-13,0
Bolivia,2021-10-13,5
Bosnia & Herzegovina,2021-10-13,44
Botswana,2021-10-13,0
Brazil,2021-10-13,202
British Virgin Islands,2021-10-13,0
Brunei,2021-10-13,0
Bulgaria,2021-10-13,93
Burkina Faso,2021-10-13,5
Burundi,2021-10-13,0
Cambodia,2021-10-13,17
Cameroon,2021-10-13,33
Canada,2021-10-13,12
Cape Verde,2021-10-13,1
Cayman Islands,2021-10-13,0
Central African Republic,2021-10-13,0
Chad,2021-10-13,0
Chile,2021-10-13,3
China,2021-10-13,0
Colombia,2021-10-13,32
Comoros,2021-10-13,0
Congo - Brazzaville,2021-10-13,0
Congo - Kinshasa,2021-10-13,2
Cook Islands,2021-10-13,0
Costa Rica,2021-10-13,34
Côte d’Ivoire,2021-10-13,3
Croatia,2021-10-13,24
Cuba,2021-10-13,37
Curaçao,2021-10-13,0
Cyprus,2021-10-13,0
Czechia,2021-10-13,7
Denmark,2021-10-13,0
Djibouti,2021-10-13,1
Dominica,2021-10-13,0
Dominican Republic,2021-10-13,5
Ecuador,2021-10-13,12
Egypt,2021-10-13,39
El Salvador,2021-10-13,13
Equatorial Guinea,2021-10-13,0
Eritrea,2021-10-13,0
Estonia,2021-10-13,2
Eswatini,2021-10-13,1
Ethiopia,2021-10-13,40
Falkland Islands,2021-10-13,0
Faroe Islands,2021-10-13,0
Fiji,2021-10-13,0
Finland,2021-10-13,3
France,2021-10-13,32
French Guiana,2021-10-13,2
French Polynesia,2021-10-13,0
Gabon,2021-10-13,0
Gambia,2021-10-13,0
Georgia,2021-10-13,26
Germany,2021-10-13,92
Ghana,2021-10-13,0
Gibraltar,2021-10-13,0
Greece,2021-10-13,33
Greenland,2021-10-13,0
Grenada,2021-10-13,3
Guadeloupe,2021-10-13,15
Guam,2021-10-13,3
Guatemala,2021-10-13,52
Guernsey,2021-10-13,0
Guinea,2021-10-13,1
Guinea-Bissau,2021-10-13,0
Guyana,2021-10-13,2
Haiti,2021-10-13,5
Honduras,2021-10-13,0
Hungary,2021-10-13,10
Iceland,2021-10-13,0
India,2021-10-13,226
Indonesia,2021-10-13,48
Iran,2021-10-13,213
Iraq,2021-10-13,29
Ireland,2021-10-13,0
Isle of Man,2021-10-13,0
Israel,2021-10-13,10
Italy,2021-10-13,49
Jamaica,2021-10-13,9
Japan,2021-10-13,27
Jersey,2021-10-13,0
Jordan,2021-10-13,9
Kazakhstan,2021-10-13,35
Kenya,2021-10-13,5
Kiribati,2021-10-13,0
Kosovo,2021-10-13,0
Kuwait,2021-10-13,0
Kyrgyzstan,2021-10-13,2
Laos,2021-10-13,3
Latvia,2021-10-13,18
Lebanon,2021-10-13,5
Lesotho,2021-10-13,1
Liberia,2021-10-13,0
Libya,2021-10-13,16
Liechtenstein,2021-10-13,0
Lithuania,2021-10-13,31
Luxembourg,2021-10-13,0
Madagascar,2021-10-13,0
Malawi,2021-10-13,2
Malaysia,2021-10-13,103
Maldives,2021-10-13,2
Mali,2021-10-13,1
Malta,2021-10-13,0
Marshall Islands,2021-10-13,0
