region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Brazil,3461 (1843 -- 5748),3461,3603,1266,1843,2785,3194,3741,4250,5748,New confirmed cases by infection date,Likely increasing,0.14
Colombia,594 (207 -- 2296),594,854,909,207,379,502,714,999,2296,New confirmed cases by infection date,Increasing,0.028
Italy,573 (320 -- 990),573,605,215,320,455,529,625,718,990,New confirmed cases by infection date,Likely increasing,0.21
United States,476 (225 -- 835),476,497,196,225,365,431,526,605,835,New confirmed cases by infection date,Decreasing,0.97
Ukraine,462 (224 -- 884),462,495,225,224,352,415,504,596,884,New confirmed cases by infection date,Likely increasing,0.12
South Africa,411 (129 -- 2385),411,791,1720,129,248,334,511,779,2385,New confirmed cases by infection date,Increasing,0.048
Poland,394 (127 -- 1258),394,510,496,127,260,332,457,603,1258,New confirmed cases by infection date,Likely increasing,0.33
India,347 (200 -- 707),347,389,184,200,276,316,380,453,707,New confirmed cases by infection date,Increasing,0.036
Hungary,322 (210 -- 486),322,331,85,210,272,302,340,378,486,New confirmed cases by infection date,Increasing,0.049
Russia,318 (124 -- 535),318,322,133,124,225,283,351,406,535,New confirmed cases by infection date,Likely decreasing,0.76
Mexico,275 (119 -- 563),275,301,151,119,203,248,306,363,563,New confirmed cases by infection date,Likely decreasing,0.87
Madagascar,240 (5 -- 23086),240,7298,71722,5,38,124,486,1631,23086,New confirmed cases by infection date,Increasing,0.028
Bulgaria,227 (104 -- 457),227,247,113,104,173,204,253,298,457,New confirmed cases by infection date,Likely increasing,0.098
France,212 (115 -- 376),212,223,84,115,170,195,228,257,376,New confirmed cases by infection date,Likely decreasing,0.75
Somalia,190 (2 -- 27677),190,6314,40861,2,28,88,414,1425,27677,New confirmed cases by infection date,Likely increasing,0.22
Peru,161 (55 -- 485),161,208,221,55,105,137,186,240,485,New confirmed cases by infection date,Stable,0.51
Turkey,145 (73 -- 354),145,173,109,73,109,130,164,204,354,New confirmed cases by infection date,Likely increasing,0.092
Romania,140 (91 -- 221),140,146,43,91,117,131,149,169,221,New confirmed cases by infection date,Likely increasing,0.08
Indonesia,135 (85 -- 254),135,149,72,85,112,125,146,166,254,New confirmed cases by infection date,Likely decreasing,0.67
Argentina,126 (55 -- 408),126,177,384,55,94,113,139,174,408,New confirmed cases by infection date,Stable,0.54
Czechia,126 (43 -- 299),126,143,88,43,86,110,143,177,299,New confirmed cases by infection date,Likely decreasing,0.8
Germany,123 (67 -- 256),123,138,73,67,96,111,135,160,256,New confirmed cases by infection date,Likely decreasing,0.75
Jordan,108 (39 -- 241),108,121,67,39,74,93,124,154,241,New confirmed cases by infection date,Stable,0.41
Greece,93 (51 -- 149),93,95,30,51,75,86,100,112,149,New confirmed cases by infection date,Likely increasing,0.13
Chile,91 (57 -- 152),91,96,33,57,77,86,96,107,152,New confirmed cases by infection date,Likely increasing,0.32
Lebanon,89 (16 -- 629),89,199,515,16,44,68,115,183,629,New confirmed cases by infection date,Likely increasing,0.35
Bosnia & Herzegovina,79 (23 -- 184),79,88,55,23,53,69,90,111,184,New confirmed cases by infection date,Likely increasing,0.21
Bangladesh,66 (26 -- 190),66,82,60,26,45,58,77,99,190,New confirmed cases by infection date,Increasing,0.02
Iran,65 (35 -- 116),65,69,27,35,52,60,71,80,116,New confirmed cases by infection date,Likely decreasing,0.7
Serbia,63 (33 -- 131),63,70,33,33,49,57,70,84,131,New confirmed cases by infection date,Likely increasing,0.064
Slovakia,63 (25 -- 127),63,68,38,25,46,56,70,84,127,New confirmed cases by infection date,Likely decreasing,0.74
Kazakhstan,58 (4 -- 851),58,244,881,4,22,40,84,160,851,New confirmed cases by infection date,Likely increasing,0.26
Iraq,57 (26 -- 125),57,65,41,26,43,51,63,77,125,New confirmed cases by infection date,Likely increasing,0.17
Armenia,52 (16 -- 206),52,75,89,16,32,44,63,86,206,New confirmed cases by infection date,Increasing,0.022
Paraguay,52 (33 -- 98),52,57,22,33,42,48,56,65,98,New confirmed cases by infection date,Increasing,0.017
Pakistan,49 (24 -- 104),49,55,27,24,39,45,54,64,104,New confirmed cases by infection date,Stable,0.42
Moldova,47 (27 -- 75),47,48,15,27,38,43,50,57,75,New confirmed cases by infection date,Likely increasing,0.2
Egypt,39 (16 -- 98),39,46,29,16,28,35,44,55,98,New confirmed cases by infection date,Stable,0.52
Kenya,33 (8 -- 319),33,126,705,8,19,26,42,67,319,New confirmed cases by infection date,Likely increasing,0.06
Palestinian Territories,32 (10 -- 84),32,38,26,10,21,28,38,48,84,New confirmed cases by infection date,Stable,0.42
Yemen,30 (3 -- 163),30,57,155,3,15,24,39,60,163,New confirmed cases by infection date,Likely increasing,0.19
Austria,29 (12 -- 88),29,37,39,12,20,25,34,43,88,New confirmed cases by infection date,Likely increasing,0.27
Azerbaijan,29 (9 -- 99),29,39,36,9,18,24,35,47,99,New confirmed cases by infection date,Likely increasing,0.074
North Macedonia,26 (12 -- 56),26,29,15,12,19,23,28,34,56,New confirmed cases by infection date,Likely increasing,0.16
Botswana,25 (2 -- 606),25,413,4316,2,11,18,34,61,606,New confirmed cases by infection date,Likely increasing,0.24
Canada,25 (10 -- 66),25,30,20,10,18,22,29,36,66,New confirmed cases by infection date,Stable,0.56
Netherlands,25 (11 -- 80),25,34,40,11,18,22,29,37,80,New confirmed cases by infection date,Likely decreasing,0.61
Japan,24 (11 -- 44),24,25,11,11,18,22,26,30,44,New confirmed cases by infection date,Likely decreasing,0.87
United Kingdom,22 (7 -- 68),22,29,24,7,15,19,26,35,68,New confirmed cases by infection date,Likely decreasing,0.94
Ethiopia,21 (7 -- 62),21,27,24,7,14,18,25,32,62,New confirmed cases by infection date,Likely increasing,0.25
Croatia,20 (6 -- 76),20,29,30,6,12,17,24,34,76,New confirmed cases by infection date,Likely increasing,0.27
Libya,20 (11 -- 71),20,28,30,11,15,18,23,30,71,New confirmed cases by infection date,Likely increasing,0.16
Uruguay,20 (5 -- 66),20,27,42,5,12,17,23,32,66,New confirmed cases by infection date,Likely increasing,0.18
Philippines,17 (2 -- 100),17,37,156,2,9,13,21,32,100,New confirmed cases by infection date,Likely decreasing,0.72
Syria,17 (4 -- 119),17,41,116,4,10,14,21,30,119,New confirmed cases by infection date,Likely increasing,0.16
Guatemala,16 (4 -- 164),16,49,153,4,9,13,22,37,164,New confirmed cases by infection date,Stable,0.45
Tunisia,15 (4 -- 46),15,19,17,4,9,13,18,24,46,New confirmed cases by infection date,Likely decreasing,0.72
Belgium,14 (9 -- 19),14,14,3,9,13,14,15,16,19,New confirmed cases by infection date,Decreasing,0.96
Estonia,13 (6 -- 29),13,15,8,6,10,11,14,17,29,New confirmed cases by infection date,Likely increasing,0.2
Bolivia,10 (2 -- 48),10,16,21,2,5,8,13,19,48,New confirmed cases by infection date,Likely decreasing,0.65
