region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Africa,2020-02-14,,estimate,0.7,0.7,0.2,0.4,0.6,0.6,0.7,0.8,1
Africa,2020-02-15,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.2
Africa,2020-02-16,,estimate,0.9,0.9,0.2,0.6,0.8,0.9,1,1.1,1.3
Africa,2020-02-17,,estimate,1.1,1.1,0.2,0.8,0.9,1,1.2,1.3,1.5
Africa,2020-02-18,,estimate,1.3,1.3,0.3,0.9,1.1,1.2,1.4,1.5,1.8
Africa,2020-02-19,,estimate,1.6,1.6,0.3,1.1,1.4,1.5,1.6,1.8,2.1
Africa,2020-02-20,,estimate,1.9,1.9,0.3,1.4,1.7,1.8,2,2.1,2.5
Africa,2020-02-21,,estimate,2.3,2.3,0.4,1.7,2,2.2,2.4,2.5,2.9
Africa,2020-02-22,,estimate,2.8,2.8,0.4,2.2,2.5,2.7,2.9,3,3.5
Africa,2020-02-23,,estimate,3.4,3.4,0.5,2.7,3.1,3.2,3.5,3.7,4.2
Africa,2020-02-24,,estimate,4.1,4.1,0.5,3.3,3.7,4,4.2,4.5,5
Africa,2020-02-25,,estimate,5,5,0.6,4.1,4.6,4.9,5.2,5.4,6
Africa,2020-02-26,,estimate,6.1,6.2,0.7,5.1,5.7,6,6.3,6.6,7.3
Africa,2020-02-27,,estimate,7.5,7.6,0.8,6.3,7,7.3,7.8,8.1,8.9
Africa,2020-02-28,,estimate,9.3,9.3,0.9,7.8,8.7,9,9.5,9.9,10.9
Africa,2020-02-29,,estimate,11.5,11.5,1.1,9.7,10.7,11.2,11.7,12.2,13.3
Africa,2020-03-01,,estimate,14.1,14.2,1.3,12.1,13.3,13.8,14.5,15,16.3
Africa,2020-03-02,,estimate,17.5,17.5,1.5,15.1,16.5,17.1,17.8,18.5,20
Africa,2020-03-03,,estimate,21.6,21.6,1.7,18.8,20.4,21.2,22,22.7,24.5
Africa,2020-03-04,,estimate,26.7,26.7,2,23.4,25.2,26.1,27.2,28,30.1
Africa,2020-03-05,,estimate,32.9,32.9,2.4,29,31.2,32.2,33.5,34.5,36.9
Africa,2020-03-06,,estimate,40.5,40.5,2.8,35.9,38.4,39.7,41.1,42.3,45.2
Africa,2020-03-07,,estimate,49.7,49.7,3.3,44.3,47.3,48.8,50.5,51.9,55.2
Africa,2020-03-08,,estimate,60.7,60.8,3.9,54.4,58,59.7,61.7,63.3,67.3
Africa,2020-03-09,,estimate,74,74,4.6,66.6,70.8,72.8,75.2,77,81.8
Africa,2020-03-10,,estimate,89.7,89.8,5.4,81.2,86.1,88.4,91,93.2,98.9
Africa,2020-03-11,,estimate,108.1,108.2,6.3,98,104,106.7,109.6,112.4,119
