region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Africa,2020-02-14,,estimate,0,0.5,0.7,0,0,0,0,1,2
Africa,2020-02-15,,estimate,0,0.5,0.7,0,0,0,0,1,2
Africa,2020-02-16,,estimate,0,0.4,0.7,0,0,0,0,1,2
Africa,2020-02-17,,estimate,0,0.4,0.7,0,0,0,0,1,2
Africa,2020-02-18,,estimate,0,0.5,0.7,0,0,0,0,1,2
Africa,2020-02-19,,estimate,0,0.6,0.8,0,0,0,1,1,2
Africa,2020-02-20,,estimate,1,0.8,0.9,0,0,0,1,1,3
Africa,2020-02-21,,estimate,1,0.9,1,0,0,0,1,1,3
Africa,2020-02-22,,estimate,1,1,1,0,0,1,1,2,3
Africa,2020-02-23,,estimate,1,1.1,1.1,0,0,1,1,2,3
Africa,2020-02-24,,estimate,1,1.2,1.1,0,0,1,1,2,3
Africa,2020-02-25,,estimate,1,1.3,1.2,0,0,1,1,2,4
Africa,2020-02-26,,estimate,2,1.9,1.5,0,1,1,2,3,5
Africa,2020-02-27,,estimate,2,2.5,1.7,0,1,2,3,4,6
Africa,2020-02-28,,estimate,3,3.1,1.9,0,2,2,3,4,7
Africa,2020-02-29,,estimate,3,3.6,2.1,1,2,3,4,5,7
Africa,2020-03-01,,estimate,4,4,2.2,1,2,3,4,5,8
Africa,2020-03-02,,estimate,4,4.5,2.4,1,3,4,5,6,9
Africa,2020-03-03,,estimate,5,5.2,2.6,1,3,4,6,7,10
Africa,2020-03-04,,estimate,7,7.5,3.2,3,5,6,8,9,13
Africa,2020-03-05,,estimate,10,10.4,3.9,5,8,9,11,13,17
Africa,2020-03-06,,estimate,13,12.9,4.5,6,10,11,14,16,20
Africa,2020-03-07,,estimate,15,15.1,5,8,12,13,16,18,24
Africa,2020-03-08,,estimate,16,16.9,5.5,9,13,15,18,20,27
Africa,2020-03-09,,estimate,19,19.2,6,10,15,17,20,23,30
Africa,2020-03-10,,estimate,22,22.4,6.7,12,18,20,24,27,34
Africa,2020-03-11,,estimate,32,32.2,8.8,19,26,29,34,38,48
Africa,2020-03-12,,estimate,44,44.6,11.2,28,37,41,47,52,64
Africa,2020-03-13,,estimate,54,54.7,13.3,35,45,50,57,63,79
Africa,2020-03-14,,estimate,62,63.7,15.4,40,53,59,67,73,91
Africa,2020-03-15,,estimate,68,69.6,16.4,44,58,64,73,80,98
