region,date,confirm
Asia,2020-01-03,0
Europe,2020-01-03,0
Africa,2020-01-03,0
Oceania,2020-01-03,0
Americas,2020-01-03,0
,2020-01-03,0
Global,2020-01-03,0
Asia,2020-01-04,1
Europe,2020-01-04,0
Africa,2020-01-04,0
Oceania,2020-01-04,0
Americas,2020-01-04,0
,2020-01-04,0
Global,2020-01-04,1
Asia,2020-01-05,0
Europe,2020-01-05,0
Africa,2020-01-05,0
Oceania,2020-01-05,0
Americas,2020-01-05,0
,2020-01-05,0
Global,2020-01-05,0
Asia,2020-01-06,3
Europe,2020-01-06,0
Africa,2020-01-06,0
Oceania,2020-01-06,0
Americas,2020-01-06,0
,2020-01-06,0
Global,2020-01-06,3
Asia,2020-01-07,0
Europe,2020-01-07,0
Africa,2020-01-07,0
Oceania,2020-01-07,0
Americas,2020-01-07,0
,2020-01-07,0
Global,2020-01-07,0
Asia,2020-01-08,0
Europe,2020-01-08,0
Africa,2020-01-08,0
Oceania,2020-01-08,0
Americas,2020-01-08,0
,2020-01-08,0
Global,2020-01-08,0
Asia,2020-01-09,0
Europe,2020-01-09,0
Africa,2020-01-09,0
Oceania,2020-01-09,0
Americas,2020-01-09,0
,2020-01-09,0
Global,2020-01-09,0
Asia,2020-01-10,0
Europe,2020-01-10,0
Africa,2020-01-10,0
Oceania,2020-01-10,0
Americas,2020-01-10,0
,2020-01-10,0
Global,2020-01-10,0
Asia,2020-01-11,0
Europe,2020-01-11,0
Africa,2020-01-11,0
Oceania,2020-01-11,0
Americas,2020-01-11,0
,2020-01-11,0
Global,2020-01-11,0
Asia,2020-01-12,41
Europe,2020-01-12,0
Africa,2020-01-12,0
Oceania,2020-01-12,0
Americas,2020-01-12,0
,2020-01-12,0
Global,2020-01-12,41
Asia,2020-01-13,1
Europe,2020-01-13,0
Africa,2020-01-13,0
Oceania,2020-01-13,0
Americas,2020-01-13,0
,2020-01-13,0
Global,2020-01-13,1
Asia,2020-01-14,5
Europe,2020-01-14,0
Africa,2020-01-14,0
Oceania,2020-01-14,0
Americas,2020-01-14,0
,2020-01-14,0
Global,2020-01-14,5
Asia,2020-01-15,0
Europe,2020-01-15,0
Africa,2020-01-15,0
Oceania,2020-01-15,0
Americas,2020-01-15,0
,2020-01-15,0
Global,2020-01-15,0
Asia,2020-01-16,0
Europe,2020-01-16,0
Africa,2020-01-16,0
Oceania,2020-01-16,0
Americas,2020-01-16,0
,2020-01-16,0
Global,2020-01-16,0
Asia,2020-01-17,4
Europe,2020-01-17,0
Africa,2020-01-17,0
Oceania,2020-01-17,0
Americas,2020-01-17,0
,2020-01-17,0
Global,2020-01-17,4
Asia,2020-01-18,4
Europe,2020-01-18,0
Africa,2020-01-18,0
Oceania,2020-01-18,0
Americas,2020-01-18,0
,2020-01-18,0
Global,2020-01-18,4
Asia,2020-01-19,81
Europe,2020-01-19,0
Africa,2020-01-19,0
Oceania,2020-01-19,0
Americas,2020-01-19,0
,2020-01-19,0
Global,2020-01-19,81
Asia,2020-01-20,77
Europe,2020-01-20,1
Africa,2020-01-20,0
Oceania,2020-01-20,0
Americas,2020-01-20,1
,2020-01-20,0
Global,2020-01-20,79
Asia,2020-01-21,93
Europe,2020-01-21,0
Africa,2020-01-21,0
Oceania,2020-01-21,0
Americas,2020-01-21,0
,2020-01-21,0
Global,2020-01-21,93
Asia,2020-01-22,148
Europe,2020-01-22,0
Africa,2020-01-22,0
Oceania,2020-01-22,0
Americas,2020-01-22,0
,2020-01-22,0
Global,2020-01-22,148
Asia,2020-01-23,133
Europe,2020-01-23,0
Africa,2020-01-23,0
Oceania,2020-01-23,0
Americas,2020-01-23,0
,2020-01-23,0
Global,2020-01-23,133
Asia,2020-01-24,277
Europe,2020-01-24,3
Africa,2020-01-24,0
Oceania,2020-01-24,0
Americas,2020-01-24,0
,2020-01-24,0
Global,2020-01-24,280
Asia,2020-01-25,472
Europe,2020-01-25,0
Africa,2020-01-25,0
Oceania,2020-01-25,1
Americas,2020-01-25,0
,2020-01-25,0
Global,2020-01-25,473
Asia,2020-01-26,691
Europe,2020-01-26,0
Africa,2020-01-26,0
Oceania,2020-01-26,3
Americas,2020-01-26,6
,2020-01-26,0
Global,2020-01-26,700
Asia,2020-01-27,795
Europe,2020-01-27,0
Africa,2020-01-27,0
Oceania,2020-01-27,0
Americas,2020-01-27,1
,2020-01-27,0
Global,2020-01-27,796
Asia,2020-01-28,1775
Europe,2020-01-28,2
Africa,2020-01-28,0
Oceania,2020-01-28,1
Americas,2020-01-28,2
,2020-01-28,0
Global,2020-01-28,1780
Asia,2020-01-29,1485
Europe,2020-01-29,6
Africa,2020-01-29,0
Oceania,2020-01-29,0
Americas,2020-01-29,0
,2020-01-29,0
Global,2020-01-29,1491
Asia,2020-01-30,1750
Europe,2020-01-30,1
Africa,2020-01-30,0
Oceania,2020-01-30,2
Americas,2020-01-30,0
,2020-01-30,0
Global,2020-01-30,1753
Asia,2020-01-31,2006
Europe,2020-01-31,6
Africa,2020-01-31,0
Oceania,2020-01-31,2
Americas,2020-01-31,1
,2020-01-31,0
Global,2020-01-31,2015
Asia,2020-02-01,2110
Europe,2020-02-01,4
Africa,2020-02-01,0
Oceania,2020-02-01,0
Americas,2020-02-01,0
,2020-02-01,0
Global,2020-02-01,2114
Asia,2020-02-02,2602
Europe,2020-02-02,3
Africa,2020-02-02,0
Oceania,2020-02-02,3
Americas,2020-02-02,1
,2020-02-02,0
Global,2020-02-02,2609
Asia,2020-02-03,2835
Europe,2020-02-03,1
Africa,2020-02-03,0
Oceania,2020-02-03,0
Americas,2020-02-03,1
,2020-02-03,0
Global,2020-02-03,2837
Asia,2020-02-04,3245
Europe,2020-02-04,3
Africa,2020-02-04,0
Oceania,2020-02-04,0
Americas,2020-02-04,3
,2020-02-04,0
Global,2020-02-04,3251
Asia,2020-02-05,3910
Europe,2020-02-05,0
Africa,2020-02-05,0
Oceania,2020-02-05,1
Americas,2020-02-05,4
,2020-02-05,14
Global,2020-02-05,3929
Asia,2020-02-06,3713
Europe,2020-02-06,0
Africa,2020-02-06,0
Oceania,2020-02-06,1
Americas,2020-02-06,0
,2020-02-06,10
Global,2020-02-06,3724
Asia,2020-02-07,3157
Europe,2020-02-07,2
Africa,2020-02-07,0
Oceania,2020-02-07,1
Americas,2020-02-07,2
,2020-02-07,41
Global,2020-02-07,3203
Asia,2020-02-08,3397
Europe,2020-02-08,6
Africa,2020-02-08,0
Oceania,2020-02-08,0
Americas,2020-02-08,0
,2020-02-08,3
Global,2020-02-08,3406
Asia,2020-02-09,2664
Europe,2020-02-09,0
Africa,2020-02-09,0
Oceania,2020-02-09,0
Americas,2020-02-09,1
,2020-02-09,6
Global,2020-02-09,2671
Asia,2020-02-10,2991
Europe,2020-02-10,4
Africa,2020-02-10,0
Oceania,2020-02-10,0
Americas,2020-02-10,0
,2020-02-10,65
Global,2020-02-10,3060
Asia,2020-02-11,2481
Europe,2020-02-11,3
Africa,2020-02-11,0
Oceania,2020-02-11,0
Americas,2020-02-11,0
,2020-02-11,0
Global,2020-02-11,2484
Asia,2020-02-12,2031
Europe,2020-02-12,2
Africa,2020-02-12,0
Oceania,2020-02-12,0
Americas,2020-02-12,0
,2020-02-12,39
Global,2020-02-12,2072
Asia,2020-02-13,15155
Europe,2020-02-13,1
Africa,2020-02-13,0
Oceania,2020-02-13,0
Americas,2020-02-13,0
,2020-02-13,44
Global,2020-02-13,15200
Asia,2020-02-14,4065
Europe,2020-02-14,3
Africa,2020-02-14,5
Oceania,2020-02-14,0
Americas,2020-02-14,1
,2020-02-14,0
Global,2020-02-14,4074
Asia,2020-02-15,2660
Europe,2020-02-15,0
Africa,2020-02-15,0
Oceania,2020-02-15,0
Americas,2020-02-15,1
,2020-02-15,67
Global,2020-02-15,2728
Asia,2020-02-16,2035
Europe,2020-02-16,0
Africa,2020-02-16,0
Oceania,2020-02-16,0
Americas,2020-02-16,0
,2020-02-16,70
Global,2020-02-16,2105
Asia,2020-02-17,2060
Europe,2020-02-17,1
Africa,2020-02-17,0
Oceania,2020-02-17,0
Americas,2020-02-17,1
,2020-02-17,99
Global,2020-02-17,2161
Asia,2020-02-18,1908
Europe,2020-02-18,0
Africa,2020-02-18,0
Oceania,2020-02-18,0
Americas,2020-02-18,0
,2020-02-18,88
Global,2020-02-18,1996
Asia,2020-02-19,1802
Europe,2020-02-19,0
Africa,2020-02-19,0
Oceania,2020-02-19,0
Americas,2020-02-19,2
,2020-02-19,79
Global,2020-02-19,1883
Asia,2020-02-20,420
Europe,2020-02-20,0
Africa,2020-02-20,0
Oceania,2020-02-20,0
Americas,2020-02-20,5
,2020-02-20,0
Global,2020-02-20,425
Asia,2020-02-21,1008
Europe,2020-02-21,1
Africa,2020-02-21,0
Oceania,2020-02-21,0
Americas,2020-02-21,4
,2020-02-21,13
Global,2020-02-21,1026
Asia,2020-02-22,1040
Europe,2020-02-22,14
Africa,2020-02-22,0
Oceania,2020-02-22,6
Americas,2020-02-22,2
,2020-02-22,0
Global,2020-02-22,1062
Asia,2020-02-23,904
Europe,2020-02-23,65
Africa,2020-02-23,0
Oceania,2020-02-23,1
Americas,2020-02-23,5
,2020-02-23,57
Global,2020-02-23,1032
Asia,2020-02-24,471
Europe,2020-02-24,55
Africa,2020-02-24,0
Oceania,2020-02-24,0
Americas,2020-02-24,7
,2020-02-24,0
Global,2020-02-24,533
Asia,2020-02-25,727
Europe,2020-02-25,101
Africa,2020-02-25,5
Oceania,2020-02-25,0
Americas,2020-02-25,0
,2020-02-25,0
Global,2020-02-25,833
Asia,2020-02-26,749
Europe,2020-02-26,106
Africa,2020-02-26,0
Oceania,2020-02-26,1
Americas,2020-02-26,10
,2020-02-26,4
Global,2020-02-26,870
Asia,2020-02-27,965
Europe,2020-02-27,105
Africa,2020-02-27,0
Oceania,2020-02-27,0
Americas,2020-02-27,4
,2020-02-27,0
Global,2020-02-27,1074
Asia,2020-02-28,1042
Europe,2020-02-28,331
Africa,2020-02-28,5
Oceania,2020-02-28,1
Americas,2020-02-28,14
,2020-02-28,0
Global,2020-02-28,1393
Asia,2020-02-29,1389
Europe,2020-02-29,323
Africa,2020-02-29,0
Oceania,2020-02-29,2
Americas,2020-02-29,11
,2020-02-29,0
Global,2020-02-29,1725
Asia,2020-03-01,1410
Europe,2020-03-01,413
Africa,2020-03-01,0
Oceania,2020-03-01,0
Americas,2020-03-01,12
,2020-03-01,1
Global,2020-03-01,1836
Asia,2020-03-02,944
Europe,2020-03-02,689
Africa,2020-03-02,18
Oceania,2020-03-02,4
Americas,2020-03-02,33
,2020-03-02,0
Global,2020-03-02,1688
Asia,2020-03-03,1709
Europe,2020-03-03,568
Africa,2020-03-03,2
Oceania,2020-03-03,0
Americas,2020-03-03,32
,2020-03-03,0
Global,2020-03-03,2311
Asia,2020-03-04,2108
Europe,2020-03-04,769
Africa,2020-03-04,6
Oceania,2020-03-04,5
Americas,2020-03-04,42
,2020-03-04,0
Global,2020-03-04,2930
Asia,2020-03-05,1246
Europe,2020-03-05,1088
Africa,2020-03-05,11
Oceania,2020-03-05,11
Americas,2020-03-05,89
,2020-03-05,0
Global,2020-03-05,2445
Asia,2020-03-06,2005
Europe,2020-03-06,1505
Africa,2020-03-06,10
Oceania,2020-03-06,15
Americas,2020-03-06,100
,2020-03-06,0
Global,2020-03-06,3635
Asia,2020-03-07,1810
Europe,2020-03-07,1856
Africa,2020-03-07,18
Oceania,2020-03-07,7
Americas,2020-03-07,125
,2020-03-07,0
Global,2020-03-07,3816
Asia,2020-03-08,1287
Europe,2020-03-08,2189
Africa,2020-03-08,36
Oceania,2020-03-08,7
Americas,2020-03-08,154
,2020-03-08,0
Global,2020-03-08,3673
Asia,2020-03-09,1020
Europe,2020-03-09,2684
Africa,2020-03-09,11
Oceania,2020-03-09,7
Americas,2020-03-09,186
,2020-03-09,0
Global,2020-03-09,3908
Asia,2020-03-10,1189
Europe,2020-03-10,3527
Africa,2020-03-10,13
Oceania,2020-03-10,16
Americas,2020-03-10,258
,2020-03-10,0
Global,2020-03-10,5003
Asia,2020-03-11,1503
Europe,2020-03-11,3548
Africa,2020-03-11,21
Oceania,2020-03-11,8
Americas,2020-03-11,465
,2020-03-11,0
Global,2020-03-11,5545
Asia,2020-03-12,1448
Europe,2020-03-12,5970
Africa,2020-03-12,24
Oceania,2020-03-12,24
Americas,2020-03-12,569
,2020-03-12,0
Global,2020-03-12,8035
Asia,2020-03-13,1582
Europe,2020-03-13,7360
Africa,2020-03-13,10
Oceania,2020-03-13,18
Americas,2020-03-13,712
,2020-03-13,1
Global,2020-03-13,9683
Asia,2020-03-14,2140
Europe,2020-03-14,8127
Africa,2020-03-14,110
Oceania,2020-03-14,58
Americas,2020-03-14,951
,2020-03-14,6
Global,2020-03-14,11392
Asia,2020-03-15,1812
Europe,2020-03-15,9537
Africa,2020-03-15,85
Oceania,2020-03-15,54
Americas,2020-03-15,1152
,2020-03-15,11
Global,2020-03-15,12651
Asia,2020-03-16,1694
Europe,2020-03-16,9764
Africa,2020-03-16,76
Oceania,2020-03-16,49
Americas,2020-03-16,1529
,2020-03-16,0
Global,2020-03-16,13112
Asia,2020-03-17,2047
Europe,2020-03-17,11200
Africa,2020-03-17,103
Oceania,2020-03-17,45
Americas,2020-03-17,2637
,2020-03-17,0
Global,2020-03-17,16032
Asia,2020-03-18,2101
Europe,2020-03-18,12714
Africa,2020-03-18,142
Oceania,2020-03-18,91
Americas,2020-03-18,2944
,2020-03-18,0
Global,2020-03-18,17992
Asia,2020-03-19,2165
Europe,2020-03-19,15715
Africa,2020-03-19,150
Oceania,2020-03-19,170
Americas,2020-03-19,3873
,2020-03-19,1
Global,2020-03-19,22074
Asia,2020-03-20,2385
Europe,2020-03-20,23037
Africa,2020-03-20,131
Oceania,2020-03-20,146
Americas,2020-03-20,5900
,2020-03-20,0
Global,2020-03-20,31599
Asia,2020-03-21,2495
Europe,2020-03-21,23238
Africa,2020-03-21,189
Oceania,2020-03-21,200
Americas,2020-03-21,7236
,2020-03-21,0
Global,2020-03-21,33358
Asia,2020-03-22,2942
Europe,2020-03-22,23961
Africa,2020-03-22,148
Oceania,2020-03-22,226
Americas,2020-03-22,7721
,2020-03-22,0
Global,2020-03-22,34998
Asia,2020-03-23,3122
Europe,2020-03-23,21487
Africa,2020-03-23,253
Oceania,2020-03-23,369
Americas,2020-03-23,10090
,2020-03-23,0
Global,2020-03-23,35321
Asia,2020-03-24,4015
Europe,2020-03-24,25903
Africa,2020-03-24,381
Oceania,2020-03-24,362
Americas,2020-03-24,12616
,2020-03-24,0
Global,2020-03-24,43277
Asia,2020-03-25,4418
Europe,2020-03-25,27290
Africa,2020-03-25,495
Oceania,2020-03-25,596
Americas,2020-03-25,12256
,2020-03-25,0
Global,2020-03-25,45055
Asia,2020-03-26,4722
Europe,2020-03-26,32250
Africa,2020-03-26,384
Oceania,2020-03-26,258
Americas,2020-03-26,14954
,2020-03-26,1
Global,2020-03-26,52569
Asia,2020-03-27,6328
Europe,2020-03-27,36353
Africa,2020-03-27,601
Oceania,2020-03-27,646
Americas,2020-03-27,15007
,2020-03-27,3
Global,2020-03-27,58938
Asia,2020-03-28,7217
Europe,2020-03-28,38254
Africa,2020-03-28,570
Oceania,2020-03-28,482
Americas,2020-03-28,21160
,2020-03-28,0
Global,2020-03-28,67683
Asia,2020-03-29,7247
Europe,2020-03-29,38737
Africa,2020-03-29,368
Oceania,2020-03-29,496
Americas,2020-03-29,22553
,2020-03-29,3
Global,2020-03-29,69404
Asia,2020-03-30,7445
Europe,2020-03-30,28728
Africa,2020-03-30,658
Oceania,2020-03-30,363
Americas,2020-03-30,22865
,2020-03-30,0
Global,2020-03-30,60059
Asia,2020-03-31,7286
Europe,2020-03-31,28984
Africa,2020-03-31,462
Oceania,2020-03-31,317
Americas,2020-03-31,29039
,2020-03-31,0
Global,2020-03-31,66088
Asia,2020-04-01,9061
Europe,2020-04-01,38493
Africa,2020-04-01,450
Oceania,2020-04-01,408
Americas,2020-04-01,19232
,2020-04-01,0
Global,2020-04-01,67644
Asia,2020-04-02,8389
Europe,2020-04-02,36170
Africa,2020-04-02,758
Oceania,2020-04-02,357
Americas,2020-04-02,27499
,2020-04-02,4
Global,2020-04-02,73177
Asia,2020-04-03,8584
Europe,2020-04-03,34370
Africa,2020-04-03,743
Oceania,2020-04-03,310
Americas,2020-04-03,32814
,2020-04-03,0
Global,2020-04-03,76821
Asia,2020-04-04,8734
Europe,2020-04-04,37593
Africa,2020-04-04,967
Oceania,2020-04-04,284
Americas,2020-04-04,34123
,2020-04-04,0
