region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Africa,2021-04-14,,estimate,11657.1,11669.2,472.7,10927.9,11348.9,11537.3,11774.4,11974.3,12467.9
Africa,2021-04-15,,estimate,11376.9,11389,456.9,10666.9,11078.5,11260.4,11492.7,11683.3,12156.5
Africa,2021-04-16,,estimate,11075.7,11093.4,439,10408.4,10797.6,10970.7,11197,11372.6,11826.1
Africa,2021-04-17,,estimate,10787.9,10801.7,423.5,10138.2,10519.6,10684.8,10897.9,11075.5,11503
Africa,2021-04-18,,estimate,10505.9,10521.3,410.5,9868.2,10239.5,10407.8,10617.2,10788.4,11202.9
Africa,2021-04-19,,estimate,10244.4,10255.4,399.2,9631.8,9987.8,10147.7,10343.9,10519.4,10916.7
Africa,2021-04-20,,estimate,9995.2,10005.6,388.7,9396.4,9741.3,9898.2,10097.6,10263.1,10645.2
Africa,2021-04-21,,estimate,9765.9,9772.6,378.7,9172,9516.4,9670.7,9860.8,10024.6,10388.3
Africa,2021-04-22,,estimate,9551.4,9556.6,369,8971.4,9298.8,9458.7,9642.2,9804.2,10156.7
Africa,2021-04-23,,estimate,9355,9358,359.8,8784.3,9109.4,9264.6,9448.1,9600.4,9947.7
Africa,2021-04-24,,estimate,9178.9,9176.7,351.2,8607,8934.1,9086,9266.2,9413.5,9759.7
Africa,2021-04-25,,estimate,9011.4,9012.7,343.2,8452.2,8777.4,8921.9,9103.2,9241.7,9575.1
Africa,2021-04-26,,estimate,8864,8865.8,335.9,8312.7,8634.5,8780.1,8954.1,9091.2,9419.2
Africa,2021-04-27,,estimate,8731,8735.9,329.4,8194.1,8505.7,8654.3,8818.4,8961,9286.1
Africa,2021-04-28,,estimate,8623.3,8622.8,323.5,8092.9,8396.3,8541.1,8705.6,8844.2,9161
Africa,2021-04-29,,estimate,8528.7,8526.4,318.3,8012,8306.6,8447.6,8602.9,8747.7,9052.2
Africa,2021-04-30,,estimate,8447.1,8446.5,313.7,7934.4,8228.4,8364.8,8522.8,8658.6,8973.4
Africa,2021-05-01,,estimate,8383.1,8382.9,309.6,7891.6,8169.1,8298.2,8459.5,8590,8897.5
Africa,2021-05-02,,estimate,8332.8,8335.5,306.1,7856.1,8126.2,8253.3,8410.7,8538.5,8849.2
Africa,2021-05-03,,estimate,8298.7,8304.2,303.2,7828.5,8098.9,8221,8381.4,8505.3,8808.9
Africa,2021-05-04,,estimate,8282.1,8288.6,300.8,7812.2,8084.2,8204.4,8364.5,8485.2,8789.6
Africa,2021-05-05,,estimate,8283.9,8288.9,299.1,7813.8,8088.3,8206.8,8359.6,8481.5,8789.7
Africa,2021-05-06,,estimate,8302.4,8305.1,298,7837.1,8110.1,8225.1,8374.1,8492.9,8804.9
Africa,2021-05-07,,estimate,8333.3,8337.1,297.6,7871.6,8140,8256.1,8408.5,8529,8822.6
