region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Africa,2020-12-05,,estimate,13535.5,13752.1,2857.3,9498.5,11737.8,12866.6,14201.4,15480.5,18871.5
Africa,2020-12-06,,estimate,14882,15131.7,3150.1,10455.9,12920,14102.6,15622.8,17006.2,20743
Africa,2020-12-07,,estimate,13926.5,14193.7,2936.4,9809,12135,13208.6,14682.4,16022.2,19434.4
Africa,2020-12-08,,estimate,12097,12269.5,2610.6,8346.9,10460,11441.2,12731.4,13857.8,16932.1
Africa,2020-12-09,,estimate,14300,14525.4,2954.1,10097.8,12430,13600,15057.8,16419.5,19577.4
Africa,2020-12-10,,estimate,18415.5,18680.7,3802.1,12960,16024.8,17520.6,19401.2,21039,25291.9
Africa,2020-12-11,,estimate,17392,17633.8,3464.1,12339.8,15205.8,16580.6,18281.4,19744.5,23749.1
Africa,2020-12-12,,estimate,16741.5,16996.8,3367,11988.9,14618,15875,17538.4,19082.2,22862
Africa,2020-12-13,,estimate,17700.5,18018.1,3573.2,12867.9,15464,16830.6,18692.6,20251.2,24123.2
Africa,2020-12-14,,estimate,16150,16379.2,3266.8,11439.9,14072.5,15332.2,16960.2,18464.5,21962.1
Africa,2020-12-15,,estimate,13735,13946.5,2832.1,9693,11953,13036.8,14457,15720.2,18896.7
Africa,2020-12-16,,estimate,16098,16442.9,3329.3,11466,14081.5,15317,16979,18565,22611.3
Africa,2020-12-17,,estimate,20897,21148.7,4266.3,14709.2,18188.8,19828,21960,23616.5,28796
Africa,2020-12-18,,estimate,19648.5,19922.7,4008.2,13989.6,17101,18668.2,20638.2,22381.8,26825.2
Africa,2020-12-19,,estimate,18889.5,19157.3,3856.3,13389,16434,17911,19911,21517.2,25833.5
Africa,2020-12-20,,estimate,20024,20307.6,4037,14244.9,17502.2,19043.2,21007.4,22775.2,27259.8
Africa,2020-12-21,,estimate,18438,18692.9,3751.2,13128.5,16014.2,17505.8,19332.4,21043.8,25328.2
