region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Africa,2021-09-27,,estimate,-0.0540898434743156,-0.0542518006985485,0.0218015789127645,-0.0900540192300213,-0.069219712534451,-0.059983300906564,-0.0491281515128258,-0.0394583773513436,-0.0181696554829325
Africa,2021-09-28,,estimate,-0.053302431110809,-0.053362549144255,0.0196178629556651,-0.0853945806019902,-0.0668673017552779,-0.0584088313989552,-0.0484908867926156,-0.0399120024147546,-0.0211477099473512
Africa,2021-09-29,,estimate,-0.0521653708088549,-0.0522652275991342,0.0176600084729025,-0.0817559985459059,-0.0642367963884918,-0.057011300655335,-0.0476603896441038,-0.0399947064374731,-0.0235199064996912
Africa,2021-09-30,,estimate,-0.0508708001932757,-0.0509527184782576,0.0159336452976331,-0.0777772012057293,-0.0617282671352409,-0.0550480581008426,-0.0468741830423716,-0.0397308375928754,-0.0253978275325606
Africa,2021-10-01,,estimate,-0.0494595879961965,-0.0494211961358739,0.0144407007080134,-0.0736088548272389,-0.0592021279370702,-0.0531197484622343,-0.0457852252926326,-0.0394393872364279,-0.0262983985738315
Africa,2021-10-02,,estimate,-0.0476322703345177,-0.0476706457741972,0.0131799855048707,-0.0693670068079918,-0.0565028534653482,-0.0510527678392564,-0.044308310243104,-0.0386243711667818,-0.0264697042298756
Africa,2021-10-03,,estimate,-0.0457328762281225,-0.0457053997740952,0.0121460650871292,-0.0653537730082827,-0.0537085040342872,-0.0488086871169377,-0.042670880635015,-0.0374301235708708,-0.0255528145987017
Africa,2021-10-04,,estimate,-0.0436569873404319,-0.0435345795187887,0.0113268740028558,-0.0618861221218229,-0.0510913749678296,-0.0464496852820668,-0.0407637858677274,-0.0357099130652858,-0.0245851929674791
Africa,2021-10-05,,estimate,-0.0412744870961603,-0.0411723256661446,0.0107017858946169,-0.0586478694725288,-0.0481786076011754,-0.0438772052247594,-0.0386068773477131,-0.0338659214366494,-0.0236469186455769
Africa,2021-10-06,,estimate,-0.0387140207945368,-0.0386377407652484,0.0102421083539715,-0.0553238659910181,-0.0453363102460617,-0.0413281481840945,-0.0360824718049124,-0.0317236424583746,-0.022154874229919
Africa,2021-10-07,,estimate,-0.0359742370695811,-0.0359545318760029,0.00991466119927277,-0.051988048571143,-0.0425075149525023,-0.0384690683179028,-0.0333777644627235,-0.0294522691524275,-0.0197856808240388
Africa,2021-10-08,,estimate,-0.0330934585023194,-0.0331503975000882,0.00968705602971898,-0.048937797189427,-0.039543616239248,-0.0355395917627481,-0.0306592434523119,-0.026758907899014,-0.0173930245014613
