region,date,confirm
Asia,2021-02-04,75770
Europe,2021-02-04,178611
Africa,2021-02-04,16526
Oceania,2021-02-04,44
Americas,2021-02-04,221638
,2021-02-04,102
Global,2021-02-04,492691
Asia,2021-02-05,73628
Europe,2021-02-05,160583
Africa,2021-02-05,15457
Oceania,2021-02-05,59
Americas,2021-02-05,234631
,2021-02-05,147
Global,2021-02-05,484505
Asia,2021-02-06,71941
Europe,2021-02-06,142411
Africa,2021-02-06,18910
Oceania,2021-02-06,43
Americas,2021-02-06,240989
,2021-02-06,96
Global,2021-02-06,474390
Asia,2021-02-07,69773
Europe,2021-02-07,149746
Africa,2021-02-07,12453
Oceania,2021-02-07,18
Americas,2021-02-07,235074
,2021-02-07,230
Global,2021-02-07,467294
Asia,2021-02-08,62385
Europe,2021-02-08,109081
Africa,2021-02-08,11075
Oceania,2021-02-08,13
Americas,2021-02-08,210847
,2021-02-08,129
Global,2021-02-08,393530
Asia,2021-02-09,61421
Europe,2021-02-09,100509
Africa,2021-02-09,11369
Oceania,2021-02-09,51
Americas,2021-02-09,153581
,2021-02-09,98
Global,2021-02-09,327029
Asia,2021-02-10,68364
Europe,2021-02-10,130885
Africa,2021-02-10,13540
Oceania,2021-02-10,30
Americas,2021-02-10,138917
,2021-02-10,131
Global,2021-02-10,351867
Asia,2021-02-11,70735
Europe,2021-02-11,147630
Africa,2021-02-11,13371
Oceania,2021-02-11,58
Americas,2021-02-11,186907
,2021-02-11,41
Global,2021-02-11,418742
Asia,2021-02-12,66142
Europe,2021-02-12,137089
Africa,2021-02-12,11953
Oceania,2021-02-12,34
Americas,2021-02-12,206604
,2021-02-12,112
Global,2021-02-12,421934
Asia,2021-02-13,68070
Europe,2021-02-13,122953
Africa,2021-02-13,12446
Oceania,2021-02-13,19
Americas,2021-02-13,206025
,2021-02-13,204
Global,2021-02-13,409717
Asia,2021-02-14,64637
Europe,2021-02-14,129197
Africa,2021-02-14,11490
Oceania,2021-02-14,12
Americas,2021-02-14,206107
,2021-02-14,243
Global,2021-02-14,411686
Asia,2021-02-15,65108
Europe,2021-02-15,97017
Africa,2021-02-15,10806
Oceania,2021-02-15,15
Americas,2021-02-15,173572
,2021-02-15,173
Global,2021-02-15,346691
Asia,2021-02-16,52612
Europe,2021-02-16,97525
Africa,2021-02-16,10556
Oceania,2021-02-16,70
Americas,2021-02-16,120490
,2021-02-16,278
Global,2021-02-16,281531
Asia,2021-02-17,68898
Europe,2021-02-17,131800
Africa,2021-02-17,10844
Oceania,2021-02-17,17
Americas,2021-02-17,111573
