region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Global,2937000 (2197700 -- 3863770),2937000,2973670,506413,2197700,2630480,2823300,3066840,3290950,3863770,New confirmed cases by infection date,Likely decreasing,0.73
Europe,1657220 (1194020 -- 2196440),1657220,1675450,309287,1194020,1466800,1582410,1731790,1867250,2196440,New confirmed cases by infection date,Likely increasing,0.32
Americas,716592 (447189 -- 1146060),716592,748457,222903,447189,595617,666703,766509,867626,1146060,New confirmed cases by infection date,Likely decreasing,0.88
Asia,413055 (252314 -- 623879),413055,421696,113417,252314,340111,385327,442772,491483,623879,New confirmed cases by infection date,Decreasing,0.97
Oceania,91839 (40736 -- 224768),91839,107513,62392,40736,64786,80207,104519,132788,224768,New confirmed cases by infection date,Increasing,0.048
Africa,25226 (12235 -- 49556),25226,27108,11599,12235,19162,22764,27654,32539,49556,New confirmed cases by infection date,Likely decreasing,0.81
Oceania,1.6 (1 -- 2.5),1.6,1.6,0.46,1,1.3,1.5,1.7,1.9,2.5,Effective reproduction no.,Increasing,0.048
Europe,1 (0.88 -- 1.2),1,1,0.097,0.88,0.98,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.32
Global,0.95 (0.81 -- 1.1),0.95,0.95,0.085,0.81,0.9,0.93,0.97,1,1.1,Effective reproduction no.,Likely decreasing,0.73
Africa,0.87 (0.63 -- 1.1),0.87,0.87,0.15,0.63,0.78,0.83,0.9,0.97,1.1,Effective reproduction no.,Likely decreasing,0.81
Americas,0.85 (0.67 -- 1.1),0.85,0.86,0.12,0.67,0.77,0.82,0.88,0.93,1.1,Effective reproduction no.,Likely decreasing,0.88
Asia,0.75 (0.55 -- 0.96),0.75,0.75,0.13,0.55,0.67,0.72,0.78,0.83,0.96,Effective reproduction no.,Decreasing,0.97
