region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Africa,2021-11-23,,estimate,149.7,150.9,18,123.4,138.5,145.2,154.2,162.1,182.2
Africa,2021-11-24,,estimate,147.5,148.5,17.5,121.4,136.4,143.1,151.8,159.6,179.4
Africa,2021-11-25,,estimate,145.4,146.4,17.1,120.1,134.5,141.4,149.7,157.1,177
Africa,2021-11-26,,estimate,143.9,144.7,17,118.4,132.8,139.6,147.8,155.5,174.5
Africa,2021-11-27,,estimate,142.5,143.5,16.9,117.1,131.8,138.4,147.1,154.2,172.6
Africa,2021-11-28,,estimate,141.9,142.7,17,116.2,131,137.4,146.1,153.7,171.9
Africa,2021-11-29,,estimate,141.5,142.5,17.1,115.4,130.7,137.2,145.9,153.8,171.9
Africa,2021-11-30,,estimate,142,142.8,17.3,115.6,130.9,137.5,146.4,153.9,172.2
Africa,2021-12-01,,estimate,142.9,143.6,17.6,115.9,131.4,138.4,147.3,154.7,173.8
Africa,2021-12-02,,estimate,144.3,145.1,17.9,116.9,132.7,140,148.9,156.4,175.3
Africa,2021-12-03,,estimate,146.4,147.2,18.2,118.6,134.7,141.9,150.9,158.7,177.9
Africa,2021-12-04,,estimate,149.2,149.9,18.6,120.6,137.3,144.6,153.6,161.7,181.6
Africa,2021-12-05,,estimate,152.3,153.3,19,123.4,140.3,147.7,157.2,165.1,185.6
Africa,2021-12-06,,estimate,156.3,157.3,19.4,126.8,144.1,151.5,161.5,169.5,190.3
Africa,2021-12-07,,estimate,161.2,162.1,19.9,130.7,148.5,156.1,166.4,174.8,195.5
Africa,2021-12-08,,estimate,166.6,167.6,20.3,135.5,153.6,161.6,172,180.7,202.2
Africa,2021-12-09,,estimate,173,173.8,20.8,141.7,159.2,167.8,178.2,187.3,209.4
Africa,2021-12-10,,estimate,179.9,180.7,21.3,147.7,165.8,174.4,185.1,194.4,217.6
Africa,2021-12-11,,estimate,187.3,188.4,22,154,173.3,182,193.1,202.4,226.6
Africa,2021-12-12,,estimate,195.4,196.9,22.7,161.4,181.4,190.4,201.6,211.4,236.1
Africa,2021-12-13,,estimate,204.9,206.1,23.5,169.6,190,199.2,210.7,221,246.9
Africa,2021-12-14,,estimate,214.9,216.1,24.4,178.1,199.4,208.7,220.6,231.7,257.8
Africa,2021-12-15,,estimate,225.5,226.7,25.4,186.8,209.3,219.2,231.6,242.6,268.9
Africa,2021-12-16,,estimate,236.5,237.9,26.5,196.3,219.7,230.4,243.2,254.4,282.7
Africa,2021-12-17,,estimate,248.2,249.6,27.7,206.8,230.6,241.7,255.1,267.2,297.7
Africa,2021-12-18,,estimate,260.3,261.7,28.9,217.5,241.9,253.1,267.3,280.1,310.8
Africa,2021-12-19,,estimate,272.8,274,30.1,228.6,253.5,264.5,279.9,293.5,326.1
Africa,2021-12-20,,estimate,284.7,286.5,31.3,238.7,264.9,276.8,292.8,306.2,340
Africa,2021-12-21,,estimate,297.3,299,32.5,249.3,276.7,288.9,305.1,319,355
Africa,2021-12-22,,estimate,308.3,311.1,33.7,260.1,288.1,300.8,317.6,332.7,369.4
Africa,2021-12-23,,estimate,320.1,322.9,35,270,299.1,311.8,329.5,345.1,383.4
Africa,2021-12-24,,estimate,331.2,334,36.2,278.4,309.1,323,341,356.6,397.4
Africa,2021-12-25,,estimate,341.4,344.2,37.4,287.7,318.1,332.9,351.5,367.6,409.4
Africa,2021-12-26,,estimate,350.8,353.4,38.5,294.8,326.7,341.6,361.1,377,419.8
Africa,2021-12-27,,estimate,359.2,361.4,39.6,301.5,334.3,348.9,369,385.1,430.6
Africa,2021-12-28,,estimate,365.7,368.1,40.5,306.8,340.2,356.1,375.1,392,438.5
Africa,2021-12-29,,estimate,370.7,373.5,41.1,311.8,344.9,361.3,380,398.3,444.9
Africa,2021-12-30,,estimate,374.3,377.4,41.6,314.2,348.4,364.8,384.1,402,451.1
Africa,2021-12-31,,estimate,376.9,379.9,41.7,316.6,351.3,367.1,386.6,404.7,453.3
Africa,2022-01-01,,estimate,378.4,381.2,41.7,318.2,352.3,368,388.1,406.3,453.5
Africa,2022-01-02,,estimate,378.2,381.3,41.5,318.5,351.9,368.5,388.3,406.5,454.7
Africa,2022-01-03,,estimate,377.8,380.4,41.2,318.1,351.5,367.3,388.1,405.9,452.3
Africa,2022-01-04,,estimate,376.4,378.8,41,316.6,349.9,365.6,386.8,404.7,449.5
Africa,2022-01-05,,estimate,373.8,376.5,40.9,313.2,348.3,364.1,384.3,402.7,446.8
Africa,2022-01-06,,estimate,371.5,374,40.8,310.2,346.2,361.9,381.6,400,443.6
