region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Africa,2021-02-17,,estimate,403,408.1,74.6,294,356,385,422,457,537
Africa,2021-02-18,,estimate,403,406.6,74.6,291,354,383,422,454,540
Africa,2021-02-19,,estimate,342,345.3,62.8,247,301,326,358,385,454
Africa,2021-02-20,,estimate,353,356.7,64.4,258,312,337.6,368,397,468
Africa,2021-02-21,,estimate,297,300.6,54.6,219,262,283,312,335,396
Africa,2021-02-22,,estimate,294,298.2,52.9,218,261,282,308,332,391
Africa,2021-02-23,,estimate,308,310.6,55.7,224,272,293,323,346,404
Africa,2021-02-24,,estimate,406,410.6,73.8,297,359,388,426,459,536
Africa,2021-02-25,,estimate,397,399.8,70.9,292,351,379,414.4,445,520
Africa,2021-02-26,,estimate,330,334.1,60.3,242,293,315,345,372,439
Africa,2021-02-27,,estimate,338,341.4,62.2,248,298,322,353,380,448
Africa,2021-02-28,,estimate,283,286.5,52.6,207,250,270,296,320,377
Africa,2021-03-01,,estimate,283,286,51.7,207,250,270,295,318,377
Africa,2021-03-02,,estimate,294,295.9,52.7,213.9,259,281,308,330,386
Africa,2021-03-03,,estimate,388,392.3,70.8,282,344,371,405,435,517
Africa,2021-03-04,,estimate,375,380.4,68,278,332,359,393,424,495
Africa,2021-03-05,,estimate,314,317.8,58.5,227,278,299,329,355,419
Africa,2021-03-06,,estimate,320,323.4,57.6,236.9,283,305,335,361,424
Africa,2021-03-07,,estimate,266,270,50,194,236,255,278.4,301,357
Africa,2021-03-08,,estimate,264,267.1,48.1,192.9,234,254,276,297,351
Africa,2021-03-09,,estimate,276,279.4,50,204,245,264,289,311,365
Africa,2021-03-10,,estimate,358,363.8,65.6,263,318,345,376,404,481
Africa,2021-03-11,,estimate,350,353.7,63.6,257.9,309,333,367,394,466
Africa,2021-03-12,,estimate,295,297.4,53.6,214,260,282,308.4,332,388
Africa,2021-03-13,,estimate,301,305,54.9,221,267,288,315,340,403
Africa,2021-03-14,,estimate,252,255.6,46.1,184,223,242,265,285,335
Africa,2021-03-15,,estimate,251,254,45.3,185,222,239.6,263,283,332
Africa,2021-03-16,,estimate,263,266.2,48.4,193,233,251,275,297,349
