region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Global,10366 (6459 -- 15031),10366,10533,2678,6459,8762,9779,10952,12104,15031,New confirmed cases by infection date,Stable,0.59
Americas,4333 (1502 -- 9103),4333,4730,2531,1502,2918,3751,4931,6063,9103,New confirmed cases by infection date,Likely decreasing,0.62
Asia,4258 (2024 -- 7944),4258,4557,1899,2024,3276,3860,4697,5541,7944,New confirmed cases by infection date,Likely increasing,0.18
Europe,3073 (2320 -- 3987),3073,3106,525,2320,2771,2959,3193,3423,3987,New confirmed cases by infection date,Stable,0.56
Africa,631 (303 -- 1658),631,769,550,303,463,561,715,891,1658,New confirmed cases by infection date,Likely increasing,0.2
Oceania,25 (2 -- 178),25,53,111,2,11,19,34,56,178,New confirmed cases by infection date,Likely decreasing,0.82
Africa,1.1 (0.89 -- 1.5),1.1,1.1,0.2,0.89,1,1.1,1.2,1.2,1.5,Effective reproduction no.,Likely increasing,0.2
Asia,1.1 (0.87 -- 1.4),1.1,1.1,0.15,0.87,1,1.1,1.2,1.2,1.4,Effective reproduction no.,Likely increasing,0.18
Europe,0.99 (0.9 -- 1.1),0.99,0.99,0.055,0.9,0.96,0.98,1,1,1.1,Effective reproduction no.,Stable,0.56
Global,0.98 (0.84 -- 1.1),0.98,0.98,0.085,0.84,0.93,0.96,1,1,1.1,Effective reproduction no.,Stable,0.59
Americas,0.96 (0.68 -- 1.2),0.96,0.95,0.16,0.68,0.85,0.92,0.99,1,1.2,Effective reproduction no.,Likely decreasing,0.62
Oceania,0.74 (0.34 -- 1.3),0.74,0.77,0.31,0.34,0.57,0.67,0.8,0.92,1.3,Effective reproduction no.,Likely decreasing,0.82
