region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Brussels,2020-11-16,,estimate,228.9,231,26.5,193.4,212.5,222.7,235.1,246.1,277.8
Brussels,2020-11-17,,estimate,217,218.7,23.7,184,202.3,211.6,222.8,232.7,260.3
Brussels,2020-11-18,,estimate,205.8,206.7,21.6,173.1,192.1,200.3,211,219.9,244
Brussels,2020-11-19,,estimate,194.8,195.4,20.4,163.1,181.6,189.8,199.6,208.4,230
Brussels,2020-11-20,,estimate,184.7,185.2,20.1,152.1,172,179.8,190.2,198,218.7
Brussels,2020-11-21,,estimate,176.4,176.1,20.2,142.4,162.6,171,181.4,189.4,209.1
Brussels,2020-11-22,,estimate,168.5,168.1,20.5,133.9,154.6,163.6,173.9,181.8,201.1
Brussels,2020-11-23,,estimate,162.3,161.3,20.7,126.6,147.6,157,167.4,175.5,194.6
Brussels,2020-11-24,,estimate,156.9,155.6,20.8,120.2,141.9,151.7,161.8,169.8,188.6
Brussels,2020-11-25,,estimate,152.4,151,20.7,115.5,137.4,147.4,157.1,164.8,183.8
Brussels,2020-11-26,,estimate,148.7,147.4,20.3,111.9,134.2,143.9,153.5,161,179.1
Brussels,2020-11-27,,estimate,145.8,144.7,19.6,110,132.3,141.2,150.7,158,175.2
Brussels,2020-11-28,,estimate,144,142.9,18.8,109.7,131.2,139.5,148.4,155.5,172.1
Brussels,2020-11-29,,estimate,142.9,142,17.8,110.9,130.9,138.6,146.6,153.7,169.9
Brussels,2020-11-30,,estimate,142.3,141.8,16.9,113.2,131.3,138.1,146.1,152.5,169
Brussels,2020-12-01,,estimate,142.2,142.3,16.1,116.4,131.9,138.6,145.9,152.5,168.2
Brussels,2020-12-02,,estimate,142.8,143.5,15.7,118.6,133,139.2,146.5,153.1,169.9
Brussels,2020-12-03,,estimate,143.7,145.1,15.9,121.2,134.5,140,147.8,154.6,173.7
Brussels,2020-12-04,,estimate,145,147,16.7,122.3,135.7,141.1,149.3,156.4,177.9
Brussels,2020-12-05,,estimate,146.6,149,18.1,123.4,136.5,142.3,151,159.4,181.8
Brussels,2020-12-06,,estimate,147.6,150.9,19.7,123.7,136.9,143.3,152.5,162.1,187.7
Brussels,2020-12-07,,estimate,148.5,152.5,21.2,124.5,137.4,144.2,153.8,164.3,192.8
Brussels,2020-12-08,,estimate,149,153.4,22.1,124.7,137.8,144.5,154.3,165.6,196.6
Brussels,2020-12-09,,estimate,149.2,153.7,22.3,124.9,138.2,144.6,154.5,165.4,196.8
Brussels,2020-12-10,,estimate,149.1,153.2,21.5,125.3,138.5,144.7,154.1,164,195.6
Brussels,2020-12-11,,estimate,148.7,151.9,19.9,125.5,138.6,144.7,153.2,161.9,190.3
Brussels,2020-12-12,,estimate,148,150.1,17.8,125.3,138.3,144.2,152,159.5,183.3
Brussels,2020-12-13,,estimate,146.8,148.1,16.1,124.1,137.4,143.3,150.5,157.3,176.5
Brussels,2020-12-14,,estimate,145.4,146.1,15.5,121.8,135.9,141.6,149.4,155.6,172.2
Brussels,2020-12-15,,estimate,144.2,144.4,16.5,117.5,133.1,140.1,148.4,155.2,171.3
Brussels,2020-12-16,,estimate,143.6,143.4,18.7,112.2,130.4,138.9,148.5,156.3,173.1
Brussels,2020-12-17,,estimate,144.1,143.2,21.4,106.9,127.8,138.3,149.8,158.6,176.3
Brussels,2020-12-18,,estimate,145.9,144,24,102.9,126.1,138.3,152.4,161.9,180.6
Brussels,2020-12-19,,estimate,148.9,145.9,26.3,100.6,126.3,140.1,155.9,165.7,185.2
Brussels,2020-12-20,,estimate,152.8,149.1,28,100.6,127.8,143.6,160,170.3,190.5
Brussels,2020-12-21,,estimate,157.6,153.6,28.9,102.9,131.9,148.4,165.2,175.7,196.2
Brussels,2020-12-22,,estimate,163.8,159.5,29,108,137.8,154.7,171.1,181.1,202.1
Brussels,2020-12-23,,estimate,170.8,166.9,28.3,116.3,147,162.4,177.7,187.9,208.3
Brussels,2020-12-24,,estimate,179.2,175.9,26.6,128.7,157.9,171.7,185.4,195,215.3
Brussels,2020-12-25,,estimate,188.6,186.5,24.3,144.1,171.1,182.6,194.1,203.2,223.7
Brussels,2020-12-26,,estimate,199.4,198.7,22,161.4,184.7,194,204.4,213.2,233.8
Brussels,2020-12-27,,estimate,211.8,212.1,21.2,178.4,198,206.5,216.8,225.2,248.5
Brussels,2020-12-28,,estimate,224.2,226.5,23.4,192.3,210.6,219.2,230,240.2,268.3
Brussels,2020-12-29,,estimate,237,241.1,28.7,200.8,220.8,230.7,243.9,256.9,295.7
Brussels,2020-12-30,,estimate,248.8,254.9,35.5,207,229.7,240.9,257.3,274.8,324.6
Brussels,2020-12-31,,estimate,258.6,267,41.9,212.1,236.3,249.6,269.1,290.6,348.7
Brussels,2021-01-01,,estimate,267,276.3,46.2,216.3,242.1,256.3,279,303.8,364.4
Brussels,2021-01-02,,estimate,272.5,282.1,47.7,220.1,246.4,261.3,285.4,311.3,373.8
Brussels,2021-01-03,,estimate,275.9,284.3,46.3,222.8,249.7,264.6,288.6,312.4,371.7
Brussels,2021-01-04,,estimate,276.6,283.1,42.4,225.3,251.6,266.3,287.7,308.6,363
Brussels,2021-01-05,,estimate,274.5,279.1,37.4,226.5,252.2,265.2,283.5,301.7,347.9
Brussels,2021-01-06,,estimate,269.5,273.1,32.5,225.8,249.7,262,277.8,292.3,332
Brussels,2021-01-07,,estimate,263.7,266,28.8,223.6,245.6,256.6,271,283.8,317.3
Brussels,2021-01-08,,estimate,257.3,258.4,27.1,216.5,239.9,250.3,264,275.3,305.3
Brussels,2021-01-09,,estimate,251,251,27,207.4,233.5,244.2,257.2,268.3,295.7
Brussels,2021-01-10,,estimate,244.7,244.1,27.9,196.6,227.1,238.1,251.4,261.9,289
Brussels,2021-01-11,,estimate,239.6,237.8,28.9,186.3,220.5,232.4,245.8,256.7,283.1
Brussels,2021-01-12,,estimate,234.8,232.4,29.7,178.9,214.6,227,241,252.7,277.6
Brussels,2021-01-13,,estimate,230.5,228,29.9,175.4,208.8,222.8,237.1,248.7,273.3
Brussels,2021-01-14,,estimate,226.7,224.5,29.6,173.1,205,219.1,233.8,245.4,269.7
Brussels,2021-01-15,,estimate,223.7,221.9,28.8,171.7,202.9,216.4,230.6,242.5,266.2
Brussels,2021-01-16,,estimate,221.4,220.2,27.6,171.6,201.8,214.5,228.3,239.9,262.7
Brussels,2021-01-17,,estimate,220,219.3,26.3,174,201.8,213.7,226.6,237.5,259.9
Brussels,2021-01-18,,estimate,219.6,219.1,25,176.2,202.3,213.8,225.7,236.2,258.8
Brussels,2021-01-19,,estimate,219.5,219.5,24.1,179.5,203.6,213.5,225.4,235.7,258.5
Brussels,2021-01-20,,estimate,220,220.4,23.7,182.4,204.8,214.5,225.7,236,259.8
Brussels,2021-01-21,,estimate,220.7,221.7,23.7,184.4,205.8,215.2,226.8,236.6,261.7
Brussels,2021-01-22,,estimate,221.8,223,24.1,186.3,206.8,216,227.8,237.7,264.5
Brussels,2021-01-23,,estimate,222.6,224.4,24.6,187.6,207.9,217.1,228.7,239.2,267
Brussels,2021-01-24,,estimate,223.2,225.7,25.2,188.8,208.9,217.8,229.9,240.7,270.1
Brussels,2021-01-25,,estimate,224,226.7,25.6,189.1,209.2,218.6,230.7,241.5,271.8
Brussels,2021-01-26,,estimate,225.1,227.4,25.7,189.8,209.8,219.4,231.3,242.4,273.5
Brussels,2021-01-27,,estimate,225.7,227.8,25.5,190.2,210.5,220.1,231.8,242.9,272.4
Brussels,2021-01-28,,estimate,225.9,228,25,191.5,211,220.1,232.1,242.8,273
Brussels,2021-01-29,,estimate,226.4,228.1,24.5,191.3,211.1,220.5,232.2,242.7,270.4
Brussels,2021-01-30,,estimate,226.7,228.1,23.9,191.6,211.2,220.8,232.4,243.1,269.7
Brussels,2021-01-31,,estimate,227.1,228.2,23.6,191.5,211.6,221.2,233,243.6,269.2
Brussels,2021-02-01,,estimate,228.1,228.7,23.6,191.6,212,222.1,234.1,243.8,268.9
Brussels,2021-02-02,,estimate,229.2,229.6,24,191.1,212.9,223.5,235.5,245.4,269.9
Brussels,2021-02-03,,estimate,231.2,231.2,24.8,190.9,214.5,225,237.4,247.7,272.3
Brussels,2021-02-04,,estimate,233.5,233.5,25.9,191.1,216.3,227.2,240.4,250.9,275.8
Brussels,2021-02-05,,estimate,236.9,236.7,26.9,191.1,219.1,230.3,243.8,254.5,280.5
Brussels,2021-02-06,,estimate,241,240.8,27.8,194.1,222.3,234.6,248.7,259.4,285.7
Brussels,2021-02-07,,estimate,246.8,246,28.5,198.3,227.2,239.3,253.5,265.1,291.1
Brussels,2021-02-08,,estimate,252.7,252.2,28.8,203.9,233.9,245.4,259.4,271.5,299.2
Brussels,2021-02-09,,estimate,259.3,259.4,29,211.2,241.2,252,266.4,278.2,307.3
Brussels,2021-02-10,,estimate,266.9,267.5,29.1,220.3,248.9,259.9,274.3,286.2,316.2
Brussels,2021-02-11,,estimate,275.6,276.5,29.3,230.4,257.3,268.2,282.6,295.3,325.6
Brussels,2021-02-12,,estimate,285.2,286.2,29.9,240.1,265.9,277.4,292,305.3,336.9
Brussels,2021-02-13,,estimate,293.9,296.2,31.2,249.3,274.3,286.2,301.9,315.8,350
Brussels,2021-02-14,,estimate,303.6,306.3,33.4,257.1,282.5,295.4,312,326.7,364.9
Brussels,2021-02-15,,estimate,312.9,316,36.3,262.8,290.3,304.1,321.5,338,380.6
Brussels,2021-02-16,,estimate,321,324.7,39.6,267.5,296.8,311.4,331,347.6,397.1
Brussels,2021-02-17,,estimate,327.5,332,42.7,270.9,301.7,317.2,338,357.2,410.5
Brussels,2021-02-18,,estimate,331.7,337.2,45.3,273.7,304.8,321.6,342.9,363.2,422.3
Brussels,2021-02-19,,estimate,334.4,339.9,46.7,275.1,306.5,323.3,345.2,365.9,428.6
Brussels,2021-02-20,,estimate,334,339.8,46.5,275.4,306.5,323.3,344.7,365.8,429.6
Brussels,2021-02-21,,estimate,331.4,336.7,44.8,274.3,305.3,321.3,341.3,361.2,421.5
Brussels,2021-02-22,,estimate,325.6,330.6,41.8,271.5,301.7,316.7,335.8,353.5,408.2
Brussels,2021-02-23,,estimate,318.3,321.8,38.8,265.4,295.1,309.3,327.6,344.3,392.2
Brussels,2021-02-24,,estimate,308.8,311,37.5,253.1,285.1,299.4,318,334.4,377.5
Brussels,2021-02-25,,estimate based on partial data,296.8,298.5,39.6,236.8,270.8,286.9,306.5,323.2,366.9
Brussels,2021-02-26,,estimate based on partial data,283,285.2,45.2,214.4,253.3,272.1,295.2,314.2,362.5
Brussels,2021-02-27,,estimate based on partial data,269.6,271.7,53.3,187.4,233.7,256.9,284.4,306.2,360.9
Brussels,2021-02-28,,estimate based on partial data,257.4,258.5,62.5,157.9,214,240.6,273.4,299.8,363.7
Brussels,2021-03-01,,estimate based on partial data,244,245.9,71.9,131.8,194.4,225.9,262.7,293.4,366.5
Brussels,2021-03-02,,estimate based on partial data,230.9,234.4,81,108.3,175.9,211.3,252.3,289.2,372.1
Brussels,2021-03-03,,estimate based on partial data,219.2,224,89.8,86.4,157.4,196.8,242.9,283.3,378.2
Brussels,2021-03-04,,estimate based on partial data,207.6,214.9,98.3,68.7,140.4,182.2,233.9,278.4,390.3
Brussels,2021-03-05,,estimate based on partial data,196.5,207.1,106.9,53.9,125.7,168.4,225.6,273.7,399.9
Brussels,2021-03-06,,estimate based on partial data,186.4,200.7,115.9,42.7,111.4,155.7,217.9,270.6,412.2
Brussels,2021-03-07,,estimate based on partial data,176.5,195.6,126.2,33.2,99.6,144.5,210,267.6,428.4
Brussels,2021-03-08,,forecast,168.6,191.8,135.6,26.9,89.8,134.8,202.8,264.2,440.9
Brussels,2021-03-09,,forecast,159.9,188.7,146.2,21.9,81,125.4,195.9,259.9,455
Brussels,2021-03-10,,forecast,152.3,186.2,158.7,17.9,73.4,116.6,189.8,257.3,468.9
Brussels,2021-03-11,,forecast,144.7,184.5,173.7,14.4,65.9,108.5,183.1,254.2,483.8
Brussels,2021-03-12,,forecast,138,183.4,192.1,11.7,59.1,101.6,176,250.8,498.3
Brussels,2021-03-13,,forecast,130.9,183,215,9.5,53.3,94.5,169.8,247.4,512.2
Brussels,2021-03-14,,forecast,124.6,183.4,244.2,7.7,47.9,88.2,163.7,245.1,532.7
Brussels,2021-03-15,,forecast,118.6,184.5,281.6,6.3,43.1,81.9,158.8,242.7,552.1
Brussels,2021-03-16,,forecast,112.4,186.3,329.7,5.1,38.6,76.4,153.5,239.3,568.6
Brussels,2021-03-17,,forecast,106.6,189.1,391.6,4.1,34.6,71.3,148,236.9,589.9
Brussels,2021-03-18,,forecast,101.2,192.9,471.4,3.4,31.1,66.7,142.7,234.6,611.9
Brussels,2021-03-19,,forecast,95.6,197.8,574,2.7,27.9,62,138,232.3,639.1
Brussels,2021-03-20,,forecast,90.7,204,705.6,2.2,25.2,57.6,133.5,230.4,667.7
Brussels,2021-03-21,,forecast,86.2,211.7,874.2,1.8,22.6,53.7,129.3,226.8,691.3
Flanders,2020-11-16,,estimate,1335.4,1337.5,109.7,1159.4,1264,1310.2,1362,1409.3,1519.7
Flanders,2020-11-17,,estimate,1307.2,1309.9,109.5,1131,1235.4,1282,1334.4,1381.3,1495.8
Flanders,2020-11-18,,estimate,1282.6,1285.8,110.7,1107.5,1209.5,1255.6,1310.9,1360.1,1472.6
Flanders,2020-11-19,,estimate,1261.8,1266.7,112.5,1088.7,1187.5,1233.5,1291.5,1341.5,1456.6
Flanders,2020-11-20,,estimate,1246.1,1253.1,114.2,1073.9,1170.9,1218.1,1277.5,1330.9,1446.7
Flanders,2020-11-21,,estimate,1238.9,1245.3,115,1064.7,1163.3,1209.6,1270.4,1325.1,1440.3
Flanders,2020-11-22,,estimate,1236.6,1243.4,114.7,1061.1,1160.5,1207.7,1268.9,1322.7,1438.6
Flanders,2020-11-23,,estimate,1243.2,1247.3,113,1066.7,1167.5,1213.2,1275,1324.7,1439
Flanders,2020-11-24,,estimate,1255.1,1256.8,110.2,1078.5,1178.8,1225.3,1285.5,1332.3,1441
Flanders,2020-11-25,,estimate,1271.3,1271.7,106.4,1096.6,1198.8,1243.3,1302.6,1345,1445.8
Flanders,2020-11-26,,estimate,1293.4,1291.6,102,1122.8,1222.7,1266.5,1320.8,1360.2,1454
Flanders,2020-11-27,,estimate,1318.7,1315.8,97.8,1152.6,1249.6,1293.1,1343.1,1379.1,1472.7
Flanders,2020-11-28,,estimate,1344.7,1343.6,94.7,1186.5,1281.2,1319.8,1367.1,1404.5,1499.2
Flanders,2020-11-29,,estimate,1373.1,1373.9,93.8,1222.8,1310.5,1349.2,1395.5,1434.7,1529.8
Flanders,2020-11-30,,estimate,1402.6,1405.5,96.1,1256.4,1338.9,1377.6,1425.1,1466.5,1566.9
Flanders,2020-12-01,,estimate,1432.4,1436.8,101.8,1279,1365.5,1407.8,1459.1,1501.2,1610.1
Flanders,2020-12-02,,estimate,1461.5,1466.2,110.4,1290,1389.8,1435.1,1490.5,1539,1654.6
Flanders,2020-12-03,,estimate,1488.5,1491.8,120.5,1295.2,1409.8,1459.6,1519.9,1570.3,1695.4
Flanders,2020-12-04,,estimate,1509.9,1511.8,130.6,1295.4,1425.3,1478.6,1542.3,1597.4,1729.2
Flanders,2020-12-05,,estimate,1524.3,1524.4,138.9,1293,1432.1,1490.8,1558.7,1615.8,1753.8
Flanders,2020-12-06,,estimate,1529.1,1528.4,144.2,1287.8,1430.3,1493.4,1563.8,1624.4,1764.5
Flanders,2020-12-07,,estimate,1523.8,1522.9,145.5,1279.1,1421.3,1488.4,1559.7,1620.3,1760.9
Flanders,2020-12-08,,estimate,1508,1507.8,142.5,1270.8,1408.2,1471.5,1543.6,1601.3,1744.5
Flanders,2020-12-09,,estimate,1484.4,1483.4,135.4,1260.8,1391.4,1446.7,1516.8,1570.8,1707.9
Flanders,2020-12-10,,estimate,1449.6,1450.9,125.2,1246.3,1363.3,1417.6,1480.8,1532,1662.6
Flanders,2020-12-11,,estimate,1408.2,1411.9,113.1,1229.8,1332.2,1379.5,1437.2,1485.9,1605
Flanders,2020-12-12,,estimate,1362.5,1368.1,101,1211.5,1298.3,1337.8,1389.3,1434.9,1542.8
Flanders,2020-12-13,,estimate,1315.1,1321.6,90.9,1179.6,1260.1,1294.7,1339.4,1380.4,1475.5
Flanders,2020-12-14,,estimate,1271.5,1274.4,84.5,1142.1,1217.6,1250.5,1292.1,1328.4,1415.2
Flanders,2020-12-15,,estimate,1228.5,1228,82.6,1091.2,1173,1207,1248.2,1282.5,1364.3
