region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Brussels,2021-08-23,,estimate,496,515.9,169.6,279,394,455,539,616.2,823
Brussels,2021-08-24,,estimate,519,540.9,180.6,284.9,413,476,565.4,646.2,877
Brussels,2021-08-25,,estimate,544,567.8,186.5,302,434,501.6,593,680,908
Brussels,2021-08-26,,estimate,541,563.2,187,301,429.8,499,585,668,912
Brussels,2021-08-27,,estimate,565,584.9,196.7,310,443,518,610,698,945
Brussels,2021-08-28,,estimate,393,407.3,132.8,215,314,361,425,487,643.1
Brussels,2021-08-29,,estimate,269,279.9,95.4,143,212,246,291,336,455
Brussels,2021-08-30,,estimate,615,641.6,211.8,344,489,565,669,769,1031
Brussels,2021-08-31,,estimate,592.5,611.9,199.9,328.9,465,544,645.4,730,968
Brussels,2021-09-01,,estimate,572,598.6,196.7,323.9,460,528,623,711,955
Brussels,2021-09-02,,estimate,546,564.2,182,307,432,497,591,669.2,898
Brussels,2021-09-03,,estimate,552,571.9,187,299,440,507,602,682.2,905
Brussels,2021-09-04,,estimate,378.5,391.4,126.5,210,301,346,411,466,617
Brussels,2021-09-05,,estimate,254,263.9,86.5,142,202.8,233,275,314,421
Brussels,2021-09-06,,estimate,584.5,606.1,199.2,318,466,538,630,723,977
Brussels,2021-09-07,,estimate,559,578.7,186.2,313.9,448.8,514.6,605,684,914
Brussels,2021-09-08,,estimate,546,569.9,183.1,310,441,502,594,681,898
Brussels,2021-09-09,,estimate,502,525.3,168.5,285,409,467,546,622,829
Brussels,2021-09-10,,estimate,514,534.3,171.4,286,412,477,559,640,838
Brussels,2021-09-11,,estimate,351,364.7,121.4,193,279,323,381,437,578
Brussels,2021-09-12,,estimate,239,248.6,82.4,131,190.8,220,259,297.2,398
Brussels,2021-09-13,,estimate,549,575.4,184.3,317,446,507,598,685,908.1
Brussels,2021-09-14,,estimate,515.5,536,176.7,281.9,410,473,560,640,858
Brussels,2021-09-15,,estimate,508,524.9,169.9,280,403,467,549,624,828
Brussels,2021-09-16,,estimate,468,489.1,162.7,260,374,433,510,581,783.2
Brussels,2021-09-17,,estimate,476,493.8,160.5,266,382,437,516,587,784
Brussels,2021-09-18,,estimate,321,334.4,109.5,180.9,256.8,296,349,399,530
Brussels,2021-09-19,,estimate,217.5,226.6,75.2,118,173,200,236,271,366
Brussels,2021-09-20,,estimate,497,519.4,168,277.9,402,459,541.4,616,823
Brussels,2021-09-21,,estimate,467,487.3,160.5,260,375,430,509,583,772
Brussels,2021-09-22,,estimate,458,476.8,155.9,254,366,422,498,570,763
Brussels,2021-09-23,,estimate,425,440.1,140,240,342,392,457.4,521,690
Brussels,2021-09-24,,estimate,434,447.8,142.9,245,345,396.6,470,531,710
Brussels,2021-09-25,,estimate,294,303.6,99.1,162.9,231,269,315,361,485
Brussels,2021-09-26,,estimate,199.5,207.3,68.7,109,158,183,216,247,329
Brussels,2021-09-27,,estimate,456,472.6,151.7,253,363,419,493,562,749
Brussels,2021-09-28,,estimate,429.5,447.4,146.2,239,344,396,466.4,533,715
Brussels,2021-09-29,,estimate,419,438.9,146.1,235,338,386,457,522,695
Brussels,2021-09-30,,estimate,399,413.4,137.1,220,314.8,367,430,492,664
Brussels,2021-10-01,,estimate,405,421.2,136.2,224,325,373.6,439,501.2,663
Brussels,2021-10-02,,estimate,281,292.3,95.9,156,222,259,307,348,463
Brussels,2021-10-03,,estimate,194,201.9,65.7,109,154,178,211,239,321
Brussels,2021-10-04,,estimate,451.5,472,155.6,251.9,362,416,491,564,757
Brussels,2021-10-05,,estimate,440,459.4,151.6,249,349,406,478,546,739
