region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Brussels,2020-12-17,,estimate,-0.03225241250546,-0.031492309374502,0.0410058549353169,-0.0979277545217014,-0.0616440570220489,-0.0432776983399914,-0.0202110887135192,-0.000177995151689142,0.0340105384468938
Brussels,2020-12-18,,estimate,-0.0254588666428315,-0.0248069340287022,0.0372448199811781,-0.0855550980461273,-0.0519552005721556,-0.035226792360041,-0.0146137835935327,0.00347536648146886,0.0347762475236455
Brussels,2020-12-19,,estimate,-0.0170041931790963,-0.0169912037356082,0.0333597744406965,-0.0724947162048582,-0.0409916403294785,-0.0256990433374857,-0.00747013558378586,0.00824934324899693,0.0353933956670297
Brussels,2020-12-20,,estimate,-0.00705283939406142,-0.00811673891070388,0.0292514160128613,-0.0577080773743342,-0.0282114573004076,-0.014747301233289,0.00076380906478244,0.0135828595152783,0.0366260141367908
Brussels,2020-12-21,,estimate,0.00352385369798192,0.00166290532209551,0.0249615403514564,-0.0419739923864798,-0.0144153858744664,-0.00299204227869121,0.00946807466743613,0.0198916744244657,0.0387271744353733
Brussels,2020-12-22,,estimate,0.0141584775026132,0.0120989016418352,0.0207939806702726,-0.0246695136309827,-0.000448343360875758,0.0085537374072444,0.0190404735815728,0.0268364120285345,0.0426155244681755
Brussels,2020-12-23,,estimate,0.0237554442142408,0.0228376551553111,0.017507019136993,-0.00714560984105152,0.0124129954670338,0.0190843655267734,0.0281036580870789,0.0343618313408881,0.0496550448341544
Brussels,2020-12-24,,estimate,0.0329540051982238,0.0334203241697653,0.0163288520798492,0.00805608004599886,0.0228028405266704,0.0287536699278397,0.0366062612547338,0.0437220437489255,0.0607951308056751
Brussels,2020-12-25,,estimate,0.0417341846012864,0.0432976763553828,0.0179515547649644,0.0168095233294216,0.0308262569736933,0.0375614859983111,0.0459921570751149,0.054206520699585,0.0759681719575837
Brussels,2020-12-26,,estimate,0.0495541365251327,0.0518658181479,0.0214758368573117,0.0207603255283524,0.0361577694090092,0.0442416197846006,0.0552494659678937,0.0650969715750422,0.0906751893614741
Brussels,2020-12-27,,estimate,0.0558178761414931,0.0585245811271225,0.0254042382184195,0.0223106109311505,0.0392292817739632,0.0493560146963154,0.062746635368984,0.0748408360685744,0.104969785325104
Brussels,2020-12-28,,estimate,0.0595019784451638,0.0627534589500107,0.0285885222886347,0.0222570905088483,0.0403945147341355,0.0516723007417155,0.0677133525208266,0.0816703719441732,0.114096362227868
Brussels,2020-12-29,,estimate,0.0603908786262976,0.0641916951498709,0.0303100176698182,0.0217649809778027,0.0404347160137634,0.0524643925429015,0.0693103400758551,0.0838492364675117,0.118979261152298
Brussels,2020-12-30,,estimate,0.0591124996334887,0.0627032071738255,0.0302265988441808,0.0208503590869607,0.0392287514890685,0.0510309522169623,0.0677829119808083,0.0818805929446113,0.11754985121322
Brussels,2020-12-31,,estimate,0.0555897613228606,0.0584076064233723,0.0283575394630335,0.019066273114756,0.0369523845259203,0.0473585937826298,0.0627488757631383,0.0765811489591233,0.110285966476363
Brussels,2021-01-01,,estimate,0.0490218407623434,0.0516670715391204,0.0250702124766956,0.0163985904473058,0.032929873217318,0.0421589562438815,0.0556810444993152,0.0674242938129151,0.0971571341458994
Brussels,2021-01-02,,estimate,0.0407383008322828,0.0430321987898696,0.0210621133237796,0.0132055357274159,0.027546089539347,0.0352303220443338,0.0463916564313642,0.0560850646083486,0.0802800088719539
Brussels,2021-01-03,,estimate,0.0316294045524211,0.0331620875667573,0.0173575483604261,0.00780845320159504,0.0206629810373469,0.027325170167666,0.0359939894096117,0.0442171288889268,0.0640121882665167
Brussels,2021-01-04,,estimate,0.0219713083416868,0.0227394770500356,0.015196352419435,-0.000859987509657014,0.0126029583046909,0.0185184266039812,0.0257671291561649,0.0323858150489107,0.0489065445986087
Brussels,2021-01-05,,estimate,0.0131144023649948,0.012399248211918,0.0153124520551087,-0.0136755027624167,0.00344479055836367,0.00960925211586775,0.0164805932213757,0.0225776647579921,0.0359330206127513
Brussels,2021-01-06,,estimate,0.00493944375984365,0.00268064176142519,0.0170974871078299,-0.0283550379539289,-0.00718628556203406,0.00106793828873628,0.0087857742655803,0.0143199104718948,0.0271569342969493
Brussels,2021-01-07,,estimate,-0.00260793614991876,-0.00599545801922402,0.0193540480359545,-0.0416960210184886,-0.0173730488587614,-0.00768044357014666,0.00171043067534463,0.00781234119489675,0.0201773776049693
Brussels,2021-01-08,,estimate,-0.00973470957252474,-0.0133293072989705,0.0212547948079633,-0.0521742741568623,-0.0269740081340051,-0.0150974671397039,-0.00455781888727879,0.00279155770367455,0.0146658417333769
Brussels,2021-01-09,,estimate,-0.0156975802073901,-0.0191329467909503,0.0224075935284205,-0.060177180727495,-0.0337875647930103,-0.0215591989206231,-0.00974611594831898,-0.00166746685780539,0.0105701810593113
Brussels,2021-01-10,,estimate,-0.0203172044229863,-0.0233159730343665,0.0226867332912988,-0.0646060233876511,-0.0375954828944357,-0.0261816642028516,-0.014152986721243,-0.00548121430290293,0.00728787143746524
Brussels,2021-01-11,,estimate,-0.0230598895421516,-0.0258714554568398,0.0221253727615747,-0.0659697262844736,-0.0401610975889017,-0.0292135966791892,-0.0171908738516741,-0.00870040257177885,0.00519637125658936
Brussels,2021-01-12,,estimate,-0.0244707422669536,-0.0268643597879308,0.0208671734768633,-0.0641366759052176,-0.0403946819471238,-0.0304669393485429,-0.019127184178152,-0.0107437519707553,0.00292024117257381
Brussels,2021-01-13,,estimate,-0.0245765592027461,-0.0264225703986605,0.0191497770640407,-0.0604279624620708,-0.0389520567711188,-0.0297588678721843,-0.0196656009827818,-0.0118931748865459,0.00111383868233152
Brussels,2021-01-14,,estimate,-0.0231392776952156,-0.0247290948976286,0.0173012103922778,-0.0552095509689366,-0.0363689874187708,-0.0277622711904335,-0.0187766611571135,-0.0120497413012901,0.000775805199692903
Brussels,2021-01-15,,estimate,-0.0208453356147373,-0.0220134220747247,0.0157239354043964,-0.0491473969486699,-0.0326860800343477,-0.0253007086186891,-0.017019292161404,-0.0106973590065861,0.00175135888001575
Brussels,2021-01-16,,estimate,-0.0179602718391059,-0.0185402851181192,0.0148157018128238,-0.0429130520789276,-0.0278416583511758,-0.0219389609719539,-0.0143674997104659,-0.00827902809116527,0.00377627017053195
Brussels,2021-01-17,,estimate,-0.0143414460043585,-0.0145950629394596,0.0147916143874439,-0.0379163355656509,-0.0242761748400751,-0.0179867291901471,-0.0112137528297256,-0.00573295558520441,0.00917016999612662
Brussels,2021-01-18,,estimate,-0.0110867210826272,-0.0104663163713329,0.0155370395958964,-0.0340250035992234,-0.0207617182539325,-0.0145859817895788,-0.00761229314977914,-0.00189138126577077,0.0159242221227327
Brussels,2021-01-19,,estimate,-0.00798765182683142,-0.00642699724333054,0.0166901632337405,-0.0307353430200577,-0.0174336710295058,-0.0115497243928397,-0.00432544641315689,0.00202246471132595,0.0243102266632093
Brussels,2021-01-20,,estimate,-0.00494455923819882,-0.00271636125452701,0.0178520409722769,-0.0273354706456706,-0.0148378785984542,-0.00879119053031312,-0.00138415798433789,0.00636062637183137,0.0304745641867373
Brussels,2021-01-21,,estimate,-0.00271819844081911,0.000475425081212959,0.0187142142418121,-0.0248561032804863,-0.0123871458540779,-0.00625913899045675,0.00149644170016163,0.0106245697342914,0.0358268927223244
Brussels,2021-01-22,,estimate,-0.000491149516873487,0.00301833223958753,0.0190912276002445,-0.0227454964268643,-0.0103389510229663,-0.00423950843641447,0.00405950477034104,0.0135148825662136,0.0387343154543952
Brussels,2021-01-23,,estimate,0.00134368393934658,0.00484797780503149,0.0189204040202109,-0.0204989873692164,-0.00844711109311726,-0.00256270757877237,0.00598288833554903,0.0154636247012815,0.0399088942707731
Brussels,2021-01-24,,estimate,0.00277970581699934,0.0059650047582782,0.0182562852618952,-0.0187064886960547,-0.00675302935391997,-0.00112178926749098,0.00741900536523856,0.0166210870613326,0.0395275131947109
Brussels,2021-01-25,,estimate,0.00390200848429683,0.00642856160939745,0.017259695426165,-0.0174648834193833,-0.00556065537367624,-6.2667707064255e-05,0.00851196191416069,0.0166037139624493,0.0378563081393271
Brussels,2021-01-26,,estimate,0.00448278460839312,0.00634509325042842,0.0161724080490805,-0.0165915435234617,-0.00485653240428817,0.000769963143638712,0.00867333886977466,0.0158564206073472,0.0358592605646206
Brussels,2021-01-27,,estimate,0.00481148450948782,0.00585444426294867,0.015265114543832,-0.0167820900369595,-0.00448453762648695,0.000969773903382881,0.00864566127885115,0.0147230300124994,0.0325549825103059
Brussels,2021-01-28,,estimate,0.00437347117861145,0.00511550827800267,0.0147527305655059,-0.0180404772933982,-0.00445917260904949,0.000982788172076735,0.00814225283311437,0.0142901312392984,0.0302307965312083
