region,date,confirm
Brussels,2021-09-07,591
Flanders,2021-09-07,898
Unknown,2021-09-07,45
Wallonia,2021-09-07,827
Brussels,2021-09-08,563
Flanders,2021-09-08,794
Unknown,2021-09-08,38
Wallonia,2021-09-08,793
Brussels,2021-09-09,503
Flanders,2021-09-09,800
Unknown,2021-09-09,45
Wallonia,2021-09-09,757
Brussels,2021-09-10,564
Flanders,2021-09-10,881
Unknown,2021-09-10,40
Wallonia,2021-09-10,838
Brussels,2021-09-11,325
Flanders,2021-09-11,468
Unknown,2021-09-11,40
Wallonia,2021-09-11,473
Brussels,2021-09-12,224
Flanders,2021-09-12,296
Unknown,2021-09-12,26
Wallonia,2021-09-12,133
Brussels,2021-09-13,666
Flanders,2021-09-13,1143
Unknown,2021-09-13,95
Wallonia,2021-09-13,1026
Brussels,2021-09-14,556
Flanders,2021-09-14,933
Unknown,2021-09-14,48
Wallonia,2021-09-14,958
Brussels,2021-09-15,514
Flanders,2021-09-15,826
Unknown,2021-09-15,46
Wallonia,2021-09-15,935
Brussels,2021-09-16,573
Flanders,2021-09-16,849
Unknown,2021-09-16,58
Wallonia,2021-09-16,947
Brussels,2021-09-17,476
Flanders,2021-09-17,908
Unknown,2021-09-17,52
Wallonia,2021-09-17,954
Brussels,2021-09-18,294
Flanders,2021-09-18,461
Unknown,2021-09-18,20
Wallonia,2021-09-18,485
Brussels,2021-09-19,179
Flanders,2021-09-19,295
Unknown,2021-09-19,18
Wallonia,2021-09-19,160
Brussels,2021-09-20,604
Flanders,2021-09-20,1132
Unknown,2021-09-20,62
Wallonia,2021-09-20,1140
Brussels,2021-09-21,449
Flanders,2021-09-21,792
Unknown,2021-09-21,54
Wallonia,2021-09-21,972
Brussels,2021-09-22,464
Flanders,2021-09-22,779
Unknown,2021-09-22,42
Wallonia,2021-09-22,886
Brussels,2021-09-23,431
Flanders,2021-09-23,730
Unknown,2021-09-23,39
Wallonia,2021-09-23,879
Brussels,2021-09-24,492
Flanders,2021-09-24,754
Unknown,2021-09-24,44
Wallonia,2021-09-24,962
Brussels,2021-09-25,314
Flanders,2021-09-25,415
Unknown,2021-09-25,32
Wallonia,2021-09-25,455
Brussels,2021-09-26,254
Flanders,2021-09-26,314
Unknown,2021-09-26,21
Wallonia,2021-09-26,134
Brussels,2021-09-27,500
Flanders,2021-09-27,1011
Unknown,2021-09-27,64
Wallonia,2021-09-27,1052
Brussels,2021-09-28,461
Flanders,2021-09-28,946
Unknown,2021-09-28,48
Wallonia,2021-09-28,936
Brussels,2021-09-29,343
Flanders,2021-09-29,867
Unknown,2021-09-29,43
Wallonia,2021-09-29,912
Brussels,2021-09-30,461
Flanders,2021-09-30,840
Unknown,2021-09-30,47
Wallonia,2021-09-30,815
Brussels,2021-10-01,410
Flanders,2021-10-01,789
Unknown,2021-10-01,41
Wallonia,2021-10-01,908
Brussels,2021-10-02,264
Flanders,2021-10-02,437
Unknown,2021-10-02,49
Wallonia,2021-10-02,394
Brussels,2021-10-03,198
Flanders,2021-10-03,333
Unknown,2021-10-03,16
Wallonia,2021-10-03,130
Brussels,2021-10-04,478
Flanders,2021-10-04,1092
Unknown,2021-10-04,57
Wallonia,2021-10-04,1164
Brussels,2021-10-05,395
Flanders,2021-10-05,975
Unknown,2021-10-05,47
Wallonia,2021-10-05,872
Brussels,2021-10-06,419
Flanders,2021-10-06,1115
Unknown,2021-10-06,43
Wallonia,2021-10-06,968
Brussels,2021-10-07,375
Flanders,2021-10-07,1118
Unknown,2021-10-07,39
Wallonia,2021-10-07,983
Brussels,2021-10-08,383
Flanders,2021-10-08,1086
Unknown,2021-10-08,56
Wallonia,2021-10-08,1017
Brussels,2021-10-09,288
Flanders,2021-10-09,570
Unknown,2021-10-09,34
Wallonia,2021-10-09,525
Brussels,2021-10-10,204
Flanders,2021-10-10,418
Unknown,2021-10-10,22
Wallonia,2021-10-10,176
Brussels,2021-10-11,584
Flanders,2021-10-11,1791
Unknown,2021-10-11,70
Wallonia,2021-10-11,1477
Brussels,2021-10-12,484
Flanders,2021-10-12,1571
Unknown,2021-10-12,57
Wallonia,2021-10-12,1321
