region,date,type,median,lower_90,upper_90,lower_50,upper_50
Acre,2020-06-21,estimate,337.5,258,435,299,370
Acre,2020-06-22,estimate,333.6,249,420,299,367
Acre,2020-06-23,estimate,329.6,244,412,298,365
Acre,2020-06-24,estimate,324.6,246,412,292,358
Acre,2020-06-25,estimate,318.9,242,406,277,341
Acre,2020-06-26,estimate,313.8,238,401,282,345
Acre,2020-06-27,estimate,309.9,232,393,275,337
Acre,2020-06-28,estimate,304.9,232,390,270,331
Acre,2020-06-29,estimate,300.8,227,382,269,329
Acre,2020-06-30,estimate,296.7,224,377,271,330
Acre,2020-07-01,estimate,292.3,220,370,264,323
Acre,2020-07-02,estimate,289.4,213,361,255,313
Acre,2020-07-03,estimate,286.8,209,357,256,314
Acre,2020-07-04,estimate,283.7,211,356,248,305
Acre,2020-07-05,estimate,281.1,212,353,245,301
Acre,2020-07-06,estimate,278.9,212,350,244,300
Acre,2020-07-07,estimate,276.6,212,351,242,297
Acre,2020-07-08,estimate,273.6,207,347,241,297
Acre,2020-07-09,estimate,271.7,209,348,246,301
Acre,2020-07-10,estimate,269.3,204,343,234,289
Acre,2020-07-11,estimate,266.7,202,339,234,289
Acre,2020-07-12,estimate,264,202,340,234,289
Acre,2020-07-13,estimate,261.7,202,339,228,281
Acre,2020-07-14,estimate,258.3,198,335,228,281
Acre,2020-07-15,estimate,254.4,199,335,224,277
Acre,2020-07-16,estimate,250.7,185,319,217,271
Acre,2020-07-17,estimate,246.5,180,314,219,273
Acre,2020-07-18,estimate,242.3,176,309,214,268
Acre,2020-07-19,estimate,236.8,175,310,202,257
Acre,2020-07-20,estimate,232.7,170,308,201,257
Acre,2020-07-21,estimate based on partial data,227.5,155,299,193,250
Acre,2020-07-22,estimate based on partial data,222.6,146,300,188,247
Acre,2020-07-23,estimate based on partial data,217.1,136,301,182,246
Acre,2020-07-24,estimate based on partial data,212,132,309,172,240
Acre,2020-07-25,estimate based on partial data,206.6,110,300,165,238
Acre,2020-07-26,estimate based on partial data,201.6,100,303,159,237
Acre,2020-07-27,estimate based on partial data,197,89,310,147,232
Acre,2020-07-28,estimate based on partial data,191.9,85,321,142,233
Acre,2020-07-29,estimate based on partial data,187.7,72,328,130,227
Acre,2020-07-30,estimate based on partial data,182.5,53,327,127,231
Acre,2020-07-31,estimate based on partial data,178,42,333,114,225
Acre,2020-08-01,estimate based on partial data,173.9,27,334,100,217
Acre,2020-08-02,estimate based on partial data,169.1,19,342,88,210
Acre,2020-08-03,forecast,165.3,11,351,76,206
Acre,2020-08-04,forecast,162.1,9,364,64,199
Acre,2020-08-05,forecast,157.7,5,379,68,208
Acre,2020-08-06,forecast,153.8,4,389,42,186
Acre,2020-08-07,forecast,150.9,2,406,9,154
Acre,2020-08-08,forecast,147.2,1,430,7,151
Acre,2020-08-09,forecast,144,1,455,5,147
Acre,2020-08-10,forecast,139,1,492,1,139
Acre,2020-08-11,forecast,136.2,0,529,0,136
Acre,2020-08-12,forecast,132.7,0,554,1,133
Acre,2020-08-13,forecast,129.4,0,595,0,129
Acre,2020-08-14,forecast,126.8,0,630,0,127
Acre,2020-08-15,forecast,124.7,0,663,0,125
Acre,2020-08-16,forecast,123.7,0,717,0,124
Alagoas,2020-06-21,estimate,1210.5,989,1498,1114,1315
Alagoas,2020-06-22,estimate,1178.9,937,1441,1051,1248
Alagoas,2020-06-23,estimate,1146.2,921,1413,1047,1241
Alagoas,2020-06-24,estimate,1120.8,901,1379,1040,1225
Alagoas,2020-06-25,estimate,1097,875,1340,1027,1206
Alagoas,2020-06-26,estimate,1074.8,872,1320,996,1172
Alagoas,2020-06-27,estimate,1053.7,850,1290,946,1119
Alagoas,2020-06-28,estimate,1036.3,828,1249,931,1099
Alagoas,2020-06-29,estimate,1018.2,831,1245,929,1099
Alagoas,2020-06-30,estimate,1003.9,809,1224,906,1076
Alagoas,2020-07-01,estimate,992.5,782,1202,886,1053
Alagoas,2020-07-02,estimate,980.3,777,1200,892,1061
Alagoas,2020-07-03,estimate,971.9,756,1184,881,1050
Alagoas,2020-07-04,estimate,964.5,752,1177,867,1039
Alagoas,2020-07-05,estimate,957.6,756,1179,869,1042
Alagoas,2020-07-06,estimate,950,738,1157,851,1024
Alagoas,2020-07-07,estimate,944.3,721,1140,862,1038
Alagoas,2020-07-08,estimate,938,740,1158,822,995
Alagoas,2020-07-09,estimate,932.1,731,1150,828,1001
Alagoas,2020-07-10,estimate,929.4,727,1146,825,996
Alagoas,2020-07-11,estimate,929.7,739,1165,810,984
Alagoas,2020-07-12,estimate,934.5,729,1157,807,982
Alagoas,2020-07-13,estimate,943.1,736,1174,848,1024
Alagoas,2020-07-14,estimate,955.5,743,1189,845,1023
Alagoas,2020-07-15,estimate,972.6,762,1210,867,1050
Alagoas,2020-07-16,estimate,994.1,760,1217,897,1080
Alagoas,2020-07-17,estimate,1021.4,788,1248,922,1111
Alagoas,2020-07-18,estimate,1051,800,1272,944,1135
Alagoas,2020-07-19,estimate,1090,846,1327,999,1190
Alagoas,2020-07-20,estimate,1132.4,887,1382,1026,1223
Alagoas,2020-07-21,estimate based on partial data,1184.4,927,1441,1072,1273
Alagoas,2020-07-22,estimate based on partial data,1245.6,985,1528,1125,1336
Alagoas,2020-07-23,estimate based on partial data,1313.5,1009,1601,1173,1408
Alagoas,2020-07-24,estimate based on partial data,1387.6,1041,1700,1245,1513
Alagoas,2020-07-25,estimate based on partial data,1472.2,1073,1846,1302,1619
Alagoas,2020-07-26,estimate based on partial data,1560.8,1087,2026,1379,1767
Alagoas,2020-07-27,estimate based on partial data,1653.5,1089,2260,1388,1874
Alagoas,2020-07-28,estimate based on partial data,1758.9,1082,2555,1319,1913
Alagoas,2020-07-29,estimate based on partial data,1854.3,1078,2927,1386,2111
Alagoas,2020-07-30,estimate based on partial data,1964.6,1023,3312,1408,2298
Alagoas,2020-07-31,estimate based on partial data,2058.9,880,3760,1370,2425
Alagoas,2020-08-01,estimate based on partial data,2166,732,4283,1336,2564
Alagoas,2020-08-02,estimate based on partial data,2280.5,625,5009,1321,2761
Alagoas,2020-08-03,forecast,2392.7,440,5869,1076,2741
