region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Acre,2020-12-23,,estimate,175.7,178,25,141.1,160.7,170,181.7,193.6,223
Acre,2020-12-24,,estimate,178.9,181.4,24.9,144.4,164.2,173.5,185.5,196.8,226
Acre,2020-12-25,,estimate,182.2,184.6,24.5,148.4,167.7,176.6,188.8,199.5,228.4
Acre,2020-12-26,,estimate,185.2,187.6,24,152.1,171.2,179.5,191.9,201.7,230.5
Acre,2020-12-27,,estimate,188.5,190.7,23.5,156,174.7,182.6,194.8,204.7,232.7
Acre,2020-12-28,,estimate,191.8,193.8,23.1,159.4,178.2,186.2,198,207.7,235.1
Acre,2020-12-29,,estimate,195.1,197,22.7,163.1,181.5,189.6,200.7,210.7,237.6
Acre,2020-12-30,,estimate,198.2,200.3,22.4,166.8,185.1,193.1,203.9,214,239.8
Acre,2020-12-31,,estimate,201.5,203.6,22.2,170.3,188.8,196.6,207.5,217.4,242.9
Acre,2021-01-01,,estimate,205,207,22,173.7,192.2,199.8,210.9,220.6,245.7
Acre,2021-01-02,,estimate,208.5,210.5,21.8,177.4,195.8,203.3,214.4,224,248.5
Acre,2021-01-03,,estimate,212.2,214,21.8,181.3,199.1,206.8,218.2,227.5,252
Acre,2021-01-04,,estimate,215.8,217.6,21.8,184.7,202.6,210.8,221.7,231.2,255.3
Acre,2021-01-05,,estimate,219.7,221.3,21.8,188.5,206.2,214.6,225.3,234.7,259.3
Acre,2021-01-06,,estimate,223.6,224.9,21.9,192,209.7,218.1,229.2,238.3,263.2
Acre,2021-01-07,,estimate,227.3,228.6,22.1,195.7,213.4,221.9,232.9,242.1,266.6
Acre,2021-01-08,,estimate,231,232.4,22.3,198.3,217,225.8,236.6,246.1,270.6
Acre,2021-01-09,,estimate,234.7,236.1,22.6,201.5,220.4,229.6,240.4,249.7,275
Acre,2021-01-10,,estimate,238.4,239.9,22.9,204.9,224,233.3,244.1,253.9,279.3
Acre,2021-01-11,,estimate,242.3,243.7,23.2,208.3,227.5,236.8,247.7,257.8,283.8
Acre,2021-01-12,,estimate,246,247.5,23.5,211.8,231.2,240.4,251.7,261.4,288.4
Acre,2021-01-13,,estimate,249.9,251.2,23.8,215,234.5,243.9,255.4,265.5,292.4
Acre,2021-01-14,,estimate,253.6,255,24.2,218.5,238.1,247.5,259.3,269.5,297.1
Acre,2021-01-15,,estimate,257.2,258.8,24.5,222.2,241.7,251,263.1,273.4,301.3
Acre,2021-01-16,,estimate,260.7,262.5,24.9,225.6,245.3,254.6,266.7,277.3,306.4
Acre,2021-01-17,,estimate,264.2,266.3,25.3,228.7,248.7,258.1,270.6,281.4,311.4
Acre,2021-01-18,,estimate,267.9,270,25.6,232,252.1,261.5,274.2,285.1,315
Acre,2021-01-19,,estimate,271.6,273.6,26,235.7,255.1,264.8,277.9,289,319.6
Acre,2021-01-20,,estimate,275,277.3,26.4,238.7,258.8,268.4,281.5,292.9,324.1
Acre,2021-01-21,,estimate,278.4,280.8,26.7,241.6,261.9,271.7,285.3,296.6,327.6
Acre,2021-01-22,,estimate,281.7,284.4,27.1,244.5,265.3,275.5,289,300.2,331.7
Acre,2021-01-23,,estimate,285.3,287.8,27.5,247.4,268.7,278.9,292.5,303.9,335.6
Acre,2021-01-24,,estimate,289.1,291.2,27.9,250.1,272,282.3,296,307.7,339.4
Acre,2021-01-25,,estimate,292.4,294.6,28.3,252.7,274.7,285.6,299.5,311.3,343.4
Acre,2021-01-26,,estimate,295.4,297.8,28.7,255.2,277.8,288.7,302.8,314.9,347.6
Acre,2021-01-27,,estimate,298.8,301,29.1,257.5,280.8,291.7,305.8,318.2,352
Acre,2021-01-28,,estimate,301.9,304.1,29.5,259.8,283.4,294.4,309,321.9,355.9
Acre,2021-01-29,,estimate,304.7,307.1,29.9,261.7,286.1,297.3,312.1,325.7,359.8
Acre,2021-01-30,,estimate,307.2,310,30.3,264,288.7,300,315.3,329,363
Acre,2021-01-31,,estimate,310.2,312.8,30.7,266.1,291.2,302.8,318.4,332.8,366.4
Acre,2021-02-01,,estimate,312.9,315.6,31.1,268.5,293.6,305.2,321.3,335.9,369.3
Acre,2021-02-02,,estimate,315.6,318.3,31.5,270.8,296.2,307.9,324.3,338.8,372.4
Acre,2021-02-03,,estimate,318.4,321,31.9,273,298.5,310.6,327.1,341.3,375.8
Acre,2021-02-04,,estimate,321.1,323.6,32.2,274.2,300.6,313.2,330.1,344.1,379.9
Acre,2021-02-05,,estimate,323.7,326.1,32.5,276.1,303,315.9,332.7,346.5,382.8
Acre,2021-02-06,,estimate,326.4,328.6,32.8,278.8,305.3,318.7,335.4,349.5,385.3
Acre,2021-02-07,,estimate,329.1,331.1,33.1,280.7,307.8,321.3,337.7,352.3,388.4
Acre,2021-02-08,,estimate,331.7,333.6,33.4,282.7,310.1,323.5,340,354.7,391.3
Acre,2021-02-09,,estimate,334.3,336.1,33.7,284.6,312.3,325.8,342.8,357.4,394.6
Acre,2021-02-10,,estimate,336.7,338.5,34,286.9,314.4,328.3,345.1,359.8,397.6
Acre,2021-02-11,,estimate,339,340.9,34.2,289.6,316.5,330.8,347.3,362.1,400.8
Acre,2021-02-12,,estimate,341.3,343.4,34.4,292.1,318.9,333,350,364.8,402.9
Acre,2021-02-13,,estimate,343.5,345.8,34.6,293.7,321.5,335,352.6,367.7,406.5
Acre,2021-02-14,,estimate,345.9,348.2,34.8,295.9,323.4,337.2,354.8,370.6,409.4
Acre,2021-02-15,,estimate,348,350.6,35,297.5,326,339.3,357.4,373.6,411.6
Acre,2021-02-16,,estimate,350.2,353,35.2,299.7,328,341.6,359.8,375.9,413.9
Acre,2021-02-17,,estimate,352.7,355.4,35.3,302.1,330.4,343.7,362.5,378.7,416.5
Acre,2021-02-18,,estimate,354.8,357.8,35.4,304.3,332.8,346,364.5,381.2,419
Acre,2021-02-19,,estimate,357.1,360.2,35.6,306.6,335.1,348.2,366.4,383.9,420.9
Acre,2021-02-20,,estimate,359.7,362.6,35.7,308.4,337.4,350.7,368.6,386.1,423.3
Acre,2021-02-21,,estimate,362.1,364.9,35.8,310.6,339.6,352.7,371.1,388.2,426.7
Acre,2021-02-22,,estimate,364.3,367.2,35.8,313.5,341.8,355.3,373.7,390.6,428.8
Acre,2021-02-23,,estimate,366.3,369.5,35.9,316,344.2,357.6,375.7,392.6,431.5
Acre,2021-02-24,,estimate,368.8,371.7,36.1,318.6,346.7,359.8,378.1,394.5,434.2
Acre,2021-02-25,,estimate,371.1,373.9,36.2,320.3,348.9,362,380.3,396.3,437.4
Acre,2021-02-26,,estimate,373.5,376,36.3,322.2,351,364.2,382.6,398,440.1
Acre,2021-02-27,,estimate,375.1,378.1,36.5,323.5,353.3,366.1,384.4,400.1,442
Acre,2021-02-28,,estimate,377.1,380.1,36.7,325.6,355.4,368.5,386.6,402.4,443.8
Acre,2021-03-01,,estimate,379.1,381.9,37,327,356.8,370.7,388.3,404.5,445.1
Acre,2021-03-02,,estimate,380.9,383.7,37.3,328.3,358.5,372.4,389.9,406.1,446.9
Acre,2021-03-03,,estimate,382.5,385.4,37.6,329.1,359.8,373.8,391.5,407.9,449.5
Acre,2021-03-04,,estimate,384,386.9,37.9,330.5,360.9,374.9,392.9,409.3,451.9
Acre,2021-03-05,,estimate,385.4,388.3,38.3,331.3,361.5,376.3,394.5,411.1,454.6
Acre,2021-03-06,,estimate,386.7,389.5,38.7,332.3,362.7,377.3,395.7,412.9,457.2
