region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Acre,2020-12-01,,estimate,114,129.3,78.5,34,73,96.6,132,169,275
Acre,2020-12-02,,estimate,137,154.6,91.3,42,88,116,159,203,328
Acre,2020-12-03,,estimate,151,168.8,97.9,45,98,130,175,220,350
Acre,2020-12-04,,estimate,153,172.9,101.1,49,99,131,178,223,364
Acre,2020-12-05,,estimate,170,192.9,113.2,51,110,146,198.4,254,408
Acre,2020-12-06,,estimate,73,84.6,52,22,47,62,85,112,182
Acre,2020-12-07,,estimate,118.5,132.8,78,36,76,100,138,173,279
Acre,2020-12-08,,estimate,134,150.4,89.6,40,86,114,155,194,323
Acre,2020-12-09,,estimate,156,176.1,104.7,49,102,133,181,226,380
Acre,2020-12-10,,estimate,169,190.2,110.6,53,111,147,195.4,245,403
Acre,2020-12-11,,estimate,170.5,192.4,113.5,52,111,148,197,247,407
Acre,2020-12-12,,estimate,184,211.1,125.5,59,122,159,214.4,273,460
Acre,2020-12-13,,estimate,82,91.5,53.2,24,53,70,94,118,193
Acre,2020-12-14,,estimate,129,146.1,85.9,40,85,110,150,188,313
Acre,2020-12-15,,estimate,144,162.6,95.4,43,94,124,168,212,337
Acre,2020-12-16,,estimate,162,184.6,109.7,49,106,140,189,239,393
Acre,2020-12-17,,estimate,180,202.9,119.9,58,116.8,154,210,262,420
Acre,2020-12-18,,estimate,182,204.5,121,54,119,155,209,267,434
Acre,2020-12-19,,estimate,202,223.4,127.3,61,129,172,232,291.2,469
Acre,2020-12-20,,estimate,87,98.2,57.2,25,56,74,101,129,207
Acre,2020-12-21,,estimate,135,153.3,91.9,41,87,116,157,201,330
Acre,2020-12-22,,estimate,157,175.6,102.3,50,100,133,181,228,372
Acre,2020-12-23,,estimate,173,195.6,115.5,53.9,112,149,201,254,407
Acre,2020-12-24,,estimate,186,211.7,122.6,60,123,160,217,273,449
Acre,2020-12-25,,estimate,191,212.7,123.3,60.9,123,163,219,275,441
Acre,2020-12-26,,estimate,209,235.3,137.9,66,135,177,242,306,497
Acre,2020-12-27,,estimate,92,104.5,62.9,28,60,79,107,136,221
Acre,2020-12-28,,estimate,141,160.2,95.2,46,90,120,165,209,337
Acre,2020-12-29,,estimate,158.5,179.1,102.7,48,105.8,136,186,233,380
Acre,2020-12-30,,estimate,187,208.2,119,56,122,160,214,272.2,434
Acre,2020-12-31,,estimate,202,227,134,62,130,173,233.4,296,474
Acre,2021-01-01,,estimate,202,230.7,137,64,132,172,236,298,493
Acre,2021-01-02,,estimate,221,247.2,144.2,69,143,190,255,320,526
Acre,2021-01-03,,estimate,98,110.3,63.7,31,64,84,114,142,232
Acre,2021-01-04,,estimate,151,171.6,102,47,97,130,174,223,368
Acre,2021-01-05,,estimate,170,192.5,113,53,110,145,197,251,405
Acre,2021-01-06,,estimate,197,224.7,131.6,63,130,169,228,289,478.1
Acre,2021-01-07,,estimate,212,238.4,139.8,65,137,179,245.4,310.2,499
Acre,2021-01-08,,estimate,217.5,245.3,145.7,65,142,186,250,316,522
Acre,2021-01-09,,estimate,241,268.9,156.2,75,157,204,278,350,557
Acre,2021-01-10,,estimate,105,117.8,69.1,33,68,90,120,151,246
Acre,2021-01-11,,estimate,164,184.8,107.1,50,107,141,190,239,390
Acre,2021-01-12,,estimate,186,209.9,122.1,57,121,158,218,275,445
Acre,2021-01-13,,estimate,213,239.8,139.3,70,141,181.6,245,310,504
Acre,2021-01-14,,estimate,233,263.6,154.5,74,154,200,269,340.2,548.1
Acre,2021-01-15,,estimate,235.5,266.1,155.5,75,153,200,275.4,346,566
