region,date,confirm
Acre,2021-08-04,44
Alagoas,2021-08-04,411
Amapá,2021-08-04,106
Amazonas,2021-08-04,587
Bahia,2021-08-04,1906
Ceará,2021-08-04,0
Distrito Federal,2021-08-04,633
Espirito Santo,2021-08-04,716
Goiás,2021-08-04,3313
Maranhão,2021-08-04,714
Mato Grosso,2021-08-04,1104
Mato Grosso do Sul,2021-08-04,506
Minas Gerais,2021-08-04,5292
Pará,2021-08-04,656
Paraíba,2021-08-04,872
Paraná,2021-08-04,3252
Pernambuco,2021-08-04,738
Piauí,2021-08-04,334
Rio de Janeiro,2021-08-04,4289
Rio Grande do Norte,2021-08-04,224
Rio Grande do Sul,2021-08-04,1601
Rondônia,2021-08-04,284
Roraima,2021-08-04,180
Santa Catarina,2021-08-04,1710
São Paulo,2021-08-04,10490
Sergipe,2021-08-04,116
Tocantins,2021-08-04,459
Acre,2021-08-05,59
Alagoas,2021-08-05,468
Amapá,2021-08-05,52
Amazonas,2021-08-05,343
Bahia,2021-08-05,1595
Ceará,2021-08-05,1187
Distrito Federal,2021-08-05,665
Espirito Santo,2021-08-05,906
Goiás,2021-08-05,2977
Maranhão,2021-08-05,626
Mato Grosso,2021-08-05,1264
Mato Grosso do Sul,2021-08-05,569
Minas Gerais,2021-08-05,4921
Pará,2021-08-05,607
Paraíba,2021-08-05,570
Paraná,2021-08-05,2188
Pernambuco,2021-08-05,644
Piauí,2021-08-05,470
Rio de Janeiro,2021-08-05,3319
Rio Grande do Norte,2021-08-05,249
Rio Grande do Sul,2021-08-05,3161
Rondônia,2021-08-05,221
Roraima,2021-08-05,160
Santa Catarina,2021-08-05,1483
São Paulo,2021-08-05,10099
Sergipe,2021-08-05,236
Tocantins,2021-08-05,445
Acre,2021-08-06,88
Alagoas,2021-08-06,184
Amapá,2021-08-06,76
Amazonas,2021-08-06,455
Bahia,2021-08-06,1267
Ceará,2021-08-06,926
Distrito Federal,2021-08-06,992
Espirito Santo,2021-08-06,447
Goiás,2021-08-06,3689
Maranhão,2021-08-06,603
Mato Grosso,2021-08-06,1164
Mato Grosso do Sul,2021-08-06,417
Minas Gerais,2021-08-06,5270
Pará,2021-08-06,547
Paraíba,2021-08-06,423
Paraná,2021-08-06,6732
Pernambuco,2021-08-06,690
Piauí,2021-08-06,244
Rio de Janeiro,2021-08-06,1959
Rio Grande do Norte,2021-08-06,241
Rio Grande do Sul,2021-08-06,3036
Rondônia,2021-08-06,280
Roraima,2021-08-06,155
Santa Catarina,2021-08-06,1817
São Paulo,2021-08-06,10557
Sergipe,2021-08-06,140
Tocantins,2021-08-06,272
Acre,2021-08-07,10
Alagoas,2021-08-07,250
Amapá,2021-08-07,48
Amazonas,2021-08-07,400
Bahia,2021-08-07,1675
Ceará,2021-08-07,636
Distrito Federal,2021-08-07,583
Espirito Santo,2021-08-07,337
Goiás,2021-08-07,559
Maranhão,2021-08-07,314
Mato Grosso,2021-08-07,660
Mato Grosso do Sul,2021-08-07,400
Minas Gerais,2021-08-07,4488
Pará,2021-08-07,74
Paraíba,2021-08-07,406
Paraná,2021-08-07,2522
Pernambuco,2021-08-07,723
Piauí,2021-08-07,131
Rio de Janeiro,2021-08-07,12417
