region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
São Paulo,17863 (10310 -- 30471),17863,18892,6392,10310,15070,16722,19129,21789,30471,New confirmed cases by infection date,Likely increasing,0.26
Ceará,5508 (3145 -- 8089),5508,5595,1578,3145,4648,5179,5854,6454,8089,New confirmed cases by infection date,Likely increasing,0.16
Minas Gerais,4481 (1689 -- 9449),4481,4920,2509,1689,3102,3961,5103,6294,9449,New confirmed cases by infection date,Likely decreasing,0.91
Goiás,4142 (1793 -- 6543),4142,4152,1498,1793,3176,3807,4463,4976,6543,New confirmed cases by infection date,Likely increasing,0.29
Rio de Janeiro,2903 (1805 -- 5999),2903,3272,1467,1805,2341,2679,3177,3781,5999,New confirmed cases by infection date,Likely increasing,0.31
Mato Grosso do Sul,2078 (1493 -- 2979),2078,2137,465,1493,1829,1984,2191,2379,2979,New confirmed cases by infection date,Likely increasing,0.072
Espirito Santo,1973 (763 -- 3184),1973,1984,734,763,1497,1792,2151,2471,3184,New confirmed cases by infection date,Likely decreasing,0.63
Rio Grande do Sul,1818 (637 -- 4643),1818,2142,1381,637,1217,1575,2097,2728,4643,New confirmed cases by infection date,Likely decreasing,0.92
Bahia,1782 (657 -- 4346),1782,2081,1287,657,1217,1555,2082,2625,4346,New confirmed cases by infection date,Likely decreasing,0.8
Pernambuco,1767 (1167 -- 2333),1767,1766,344,1167,1594,1706,1832,1945,2333,New confirmed cases by infection date,Likely increasing,0.32
Piauí,1744 (1102 -- 2639),1744,1789,478,1102,1472,1637,1855,2040,2639,New confirmed cases by infection date,Likely increasing,0.17
Pará,1713 (604 -- 2672),1713,1675,640,604,1235,1556,1856,2069,2672,New confirmed cases by infection date,Stable,0.5
Mato Grosso,1496 (610 -- 2807),1496,1585,706,610,1083,1328,1683,2015,2807,New confirmed cases by infection date,Likely decreasing,0.77
Paraná,1344 (360 -- 4522),1344,1782,1737,360,801,1117,1616,2184,4522,New confirmed cases by infection date,Likely decreasing,0.91
Rio Grande do Norte,1252 (641 -- 1975),1252,1275,423,641,1016,1166,1343,1486,1975,New confirmed cases by infection date,Stable,0.43
Paraíba,1225 (698 -- 1799),1225,1235,358,698,996,1148,1308,1437,1799,New confirmed cases by infection date,Stable,0.52
Distrito Federal,1223 (624 -- 2615),1223,1380,674,624,932,1105,1371,1674,2615,New confirmed cases by infection date,Likely decreasing,0.61
Santa Catarina,1099 (344 -- 2528),1099,1227,725,344,715,944,1262,1586,2528,New confirmed cases by infection date,Decreasing,0.96
Sergipe,1093 (562 -- 1916),1093,1145,429,562,854,1000,1198,1377,1916,New confirmed cases by infection date,Stable,0.4
Amazonas,701 (286 -- 1459),701,771,405,286,499,617,788,957,1459,New confirmed cases by infection date,Likely decreasing,0.72
Tocantins,543 (222 -- 1519),543,674,613,222,377,476,624,785,1519,New confirmed cases by infection date,Likely decreasing,0.64
Alagoas,525 (280 -- 894),525,554,201,280,409,479,579,677,894,New confirmed cases by infection date,Likely decreasing,0.76
Rondônia,475 (214 -- 1001),475,525,256,214,348,424,533,644,1001,New confirmed cases by infection date,Likely decreasing,0.93
Acre,424 (228 -- 625),424,423,122,228,343,392,451,498,625,New confirmed cases by infection date,Stable,0.41
