Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Acre,7 (3 -- 13),Decreasing,0.88 (0.73 -- 0.97),-0.032 (-0.078 -- -0.0077),-21 (-91 -- -8.9)
Alagoas,169 (93 -- 325),Stable,1 (0.83 -- 1.2),6e-04 (-0.049 -- 0.061),1100 (11 -- -14)
Amapá,10 (5 -- 22),Likely decreasing,0.87 (0.74 -- 1.1),-0.037 (-0.075 -- 0.038),-19 (18 -- -9.2)
Amazonas,76 (55 -- 118),Likely decreasing,0.87 (0.79 -- 1),-0.035 (-0.06 -- 0.0082),-20 (85 -- -11)
Bahia,393 (246 -- 613),Likely decreasing,0.9 (0.79 -- 1),-0.028 (-0.06 -- 0.0034),-25 (200 -- -12)
Ceará,211 (124 -- 506),Likely decreasing,0.91 (0.83 -- 1.1),-0.025 (-0.049 -- 0.031),-28 (22 -- -14)
Distrito Federal,988 (777 -- 1344),Likely increasing,1.1 (1 -- 1.2),0.017 (-0.00097 -- 0.043),41 (16 -- -720)
Espirito Santo,788 (474 -- 1247),Stable,1 (0.83 -- 1.2),0.0037 (-0.048 -- 0.058),190 (12 -- -15)
Goiás,2291 (1238 -- 3463),Stable,1 (0.87 -- 1.1),-0.0013 (-0.035 -- 0.016),-510 (44 -- -20)
Maranhão,623 (379 -- 1285),Likely increasing,1.1 (0.98 -- 1.5),0.039 (-0.0052 -- 0.13),18 (5.3 -- -130)
Mato Grosso,709 (541 -- 859),Likely decreasing,0.96 (0.9 -- 1),-0.01 (-0.029 -- 0.0018),-67 (390 -- -24)
Mato Grosso do Sul,86 (35 -- 184),Decreasing,0.76 (0.54 -- 0.92),-0.069 (-0.14 -- -0.021),-10 (-33 -- -5.1)
Minas Gerais,2149 (1620 -- 2730),Likely decreasing,0.94 (0.89 -- 1),-0.015 (-0.031 -- 0.0015),-45 (470 -- -22)
Paraná,1522 (401 -- 7918),Stable,0.99 (0.52 -- 2.1),-0.0021 (-0.14 -- 0.27),-330 (2.6 -- -4.8)
Paraíba,362 (176 -- 759),Stable,1 (0.78 -- 1.3),0.0038 (-0.061 -- 0.075),180 (9.3 -- -11)
Pará,211 (101 -- 335),Likely decreasing,0.92 (0.72 -- 1),-0.022 (-0.082 -- 0.0057),-31 (120 -- -8.5)
Pernambuco,516 (318 -- 1050),Stable,1 (0.91 -- 1.3),0.0039 (-0.024 -- 0.067),180 (10 -- -29)
Piauí,127 (97 -- 181),Decreasing,0.93 (0.88 -- 1),-0.019 (-0.034 -- -0.00071),-36 (-980 -- -20)
Rio Grande do Norte,96 (23 -- 405),Likely decreasing,0.92 (0.58 -- 1.4),-0.022 (-0.12 -- 0.1),-31 (6.9 -- -5.6)
Rio Grande do Sul,902 (336 -- 3362),Likely decreasing,0.95 (0.68 -- 1.5),-0.014 (-0.092 -- 0.13),-49 (5.3 -- -7.5)
Rio de Janeiro,1080 (384 -- 2541),Likely decreasing,0.82 (0.58 -- 1),-0.051 (-0.12 -- 0.0045),-13 (160 -- -5.6)
Rondônia,82 (37 -- 148),Likely decreasing,0.91 (0.75 -- 1),-0.025 (-0.07 -- 0.0071),-28 (97 -- -9.9)
Roraima,68 (33 -- 118),Likely decreasing,0.91 (0.76 -- 1),-0.024 (-0.067 -- 0.0044),-29 (160 -- -10)
Santa Catarina,1022 (691 -- 1329),Likely decreasing,0.95 (0.83 -- 1),-0.013 (-0.047 -- 0.0066),-53 (110 -- -15)
Sergipe,6 (2 -- 15),Decreasing,0.71 (0.52 -- 0.97),-0.085 (-0.14 -- -0.0079),-8.1 (-88 -- -4.9)
São Paulo,4327 (2843 -- 6182),Likely decreasing,0.94 (0.83 -- 1),-0.016 (-0.047 -- 0.011),-43 (64 -- -15)
Tocantins,167 (91 -- 219),Decreasing,0.94 (0.79 -- 0.98),-0.017 (-0.058 -- -0.0055),-40 (-130 -- -12)
