region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alberta,2020-03-08,,estimate,15.8,16.2,4,10.6,13.4,14.9,16.7,18.5,23.6
Alberta,2020-03-09,,estimate,17.5,18,4.2,12.1,15.1,16.6,18.5,20.4,25.7
Alberta,2020-03-10,,estimate,19.5,20,4.4,13.8,16.9,18.5,20.5,22.5,28
Alberta,2020-03-11,,estimate,21.6,22.1,4.5,15.6,18.9,20.6,22.7,24.8,30.4
Alberta,2020-03-12,,estimate,24,24.5,4.7,17.7,21.1,22.9,25.1,27.2,33
Alberta,2020-03-13,,estimate,26.6,27.1,5,20,23.5,25.4,27.8,30,36.1
Alberta,2020-03-14,,estimate,29.5,30,5.3,22.4,26.2,28.2,30.8,33.1,39.4
Alberta,2020-03-15,,estimate,32.6,33.2,5.7,25,29.1,31.2,34.1,36.5,43.3
Alberta,2020-03-16,,estimate,36.1,36.6,6.1,27.8,32.2,34.5,37.7,40.3,47.4
Alberta,2020-03-17,,estimate,39.8,40.4,6.6,30.7,35.6,38.1,41.5,44.5,51.9
Alberta,2020-03-18,,estimate,43.9,44.5,7.3,33.8,39.2,42.1,45.7,49,56.9
Alberta,2020-03-19,,estimate,48.3,48.9,8,37.1,43.2,46.2,50.2,54,62.6
Alberta,2020-03-20,,estimate,53,53.6,8.7,40.5,47.3,50.8,55.1,59.1,68.8
Alberta,2020-03-21,,estimate,58,58.6,9.6,44.3,51.7,55.5,60.3,64.6,75.3
Alberta,2020-03-22,,estimate,63.2,64,10.5,48.2,56.5,60.6,65.7,70.5,82.4
Alberta,2020-03-23,,estimate,68.7,69.6,11.5,52.4,61.4,66,71.6,76.7,90.2
Alberta,2020-03-24,,estimate,74.7,75.6,12.6,56.7,66.5,71.7,77.8,83.4,97.9
Alberta,2020-03-25,,estimate,80.8,81.8,13.8,61.3,71.9,77.4,84.2,90.1,106
Alberta,2020-03-26,,estimate,87.2,88.2,14.9,65.9,77.6,83.4,90.9,97.2,114.9
Alberta,2020-03-27,,estimate,93.6,94.9,16.2,70.7,83.4,89.6,97.6,104.6,124.1
Alberta,2020-03-28,,estimate,100.2,101.7,17.4,75.7,89.4,96.1,104.6,112.3,133.1
Alberta,2020-03-29,,estimate,107,108.6,18.6,81.1,95.4,102.5,111.7,119.5,142.4
Alberta,2020-03-30,,estimate,113.7,115.5,19.8,86.5,101.5,109.2,118.9,127.2,151.4
Alberta,2020-03-31,,estimate,120.5,122.5,21,91.9,107.7,115.8,126,134.7,160.5
Alberta,2020-04-01,,estimate,127.3,129.3,22.1,97.3,113.8,122.2,132.9,142,169.6
Alberta,2020-04-02,,estimate,134,136,23.1,102.8,119.7,128.5,139.7,149.5,178.3
Alberta,2020-04-03,,estimate,140.2,142.5,24.1,108.3,125.5,134.8,146.3,156.4,186.3
Alberta,2020-04-04,,estimate,146.3,148.6,24.9,113.2,131.1,140.6,152.3,163.1,193.5
Alberta,2020-04-05,,estimate,151.8,154.4,25.6,117.6,136.2,146,158.1,169.1,199.9
Alberta,2020-04-06,,estimate,157.2,159.6,26.2,121.7,141,151.2,163.4,174.7,206.3
Alberta,2020-04-07,,estimate,161.7,164.2,26.7,125.8,145.4,155.5,168,179.6,211.5
Alberta,2020-04-08,,estimate,165.5,168.1,27,129,149,159.2,171.8,183.8,216.2
Alberta,2020-04-09,,estimate,168.4,171.3,27.1,132.3,152.5,162.4,174.9,187.3,219.5
Alberta,2020-04-10,,estimate,170.7,173.7,27.2,134.2,155.2,164.6,177.2,189.8,221.9
Alberta,2020-04-11,,estimate,172.3,175.1,27,135.6,156.6,166,178.8,191.3,223.1
Alberta,2020-04-12,,estimate,172.7,175.7,26.8,136.7,157.5,166.8,179.1,191.4,222.4
Alberta,2020-04-13,,estimate,172.7,175.3,26.5,136.5,157.4,166.7,178.8,190.9,221.9
Alberta,2020-04-14,,estimate,171.6,174,26,135.9,156.1,165.4,177.7,189.3,219.5
Alberta,2020-04-15,,estimate,169.2,171.7,25.5,134.5,154.1,163.5,175.4,186.7,216.8
Alberta,2020-04-16,,estimate,166.3,168.6,24.9,132,151.4,160.5,172.1,183.5,212.6
Alberta,2020-04-17,,estimate,162.6,164.7,24.2,129.3,147.8,156.7,168.5,179.2,207.4
Alberta,2020-04-18,,estimate,158,160.1,23.5,125.9,143.5,152.3,164,174.4,201.6
Alberta,2020-04-19,,estimate,152.6,154.8,22.7,121.5,138.6,147.3,158.7,168.6,195.2
Alberta,2020-04-20,,estimate,146.9,149,21.9,117,133.5,141.8,152.7,162.6,187.5
Alberta,2020-04-21,,estimate,140.6,142.8,21,112,127.9,135.8,146.2,156.3,179.9
Alberta,2020-04-22,,estimate,134.2,136.2,20.1,106.8,121.9,129.4,139.5,148.9,171.8
Alberta,2020-04-23,,estimate,127.7,129.5,19.2,101.3,115.7,122.9,132.6,141.5,163.4
Alberta,2020-04-24,,estimate,121.1,122.7,18.4,95.8,109.6,116.4,125.8,134.2,154.7
Alberta,2020-04-25,,estimate,114.2,115.9,17.5,90.3,103.3,109.9,118.8,127,147.2
Alberta,2020-04-26,,estimate,107.5,109.1,16.6,84.5,97.4,103.5,111.9,119.7,138.6
Alberta,2020-04-27,,estimate,101.2,102.5,15.8,79.3,91.3,97.3,105.1,112.4,130.2
Alberta,2020-04-28,,estimate,94.8,96.1,14.9,74.1,85.4,91.2,98.7,105.7,122.5
Alberta,2020-04-29,,estimate,88.9,90,14.2,69.1,79.9,85.4,92.4,98.9,114.8
Alberta,2020-04-30,,estimate,83,84.2,13.4,64.4,74.6,79.9,86.5,92.6,107.8
Alberta,2020-05-01,,estimate,77.5,78.7,12.7,59.9,69.7,74.6,80.8,86.5,101.1
Alberta,2020-05-02,,estimate,72.5,73.5,12,55.7,65,69.6,75.6,81.2,94.8
Alberta,2020-05-03,,estimate,67.8,68.7,11.4,51.8,60.7,64.9,70.7,76.1,89
Alberta,2020-05-04,,estimate,63.2,64.2,10.8,48.2,56.6,60.6,66.2,71.2,83.6
Alberta,2020-05-05,,estimate,59.2,60.1,10.2,44.8,52.8,56.7,62,66.9,78.4
Alberta,2020-05-06,,estimate,55.3,56.3,9.7,41.9,49.4,53.2,58.1,62.7,73.3
Alberta,2020-05-07,,estimate,51.9,52.8,9.2,38.9,46.3,49.7,54.5,58.8,68.8
Alberta,2020-05-08,,estimate,48.8,49.6,8.8,36.4,43.3,46.7,51.2,55.3,64.9
