region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alberta,2020-03-08,,estimate,4,4.9,4.6,0,2,3,5,7,14
Alberta,2020-03-09,,estimate,7,9.2,8.4,0,3,5,9,13,26
Alberta,2020-03-10,,estimate,6,8.1,7.7,0,3,5,8,11,22
Alberta,2020-03-11,,estimate,7,10.1,9.3,0,4,6,10,14,29
Alberta,2020-03-12,,estimate,10,12.5,11.4,1,5,7,12,17,34
Alberta,2020-03-13,,estimate,10,13.4,11.8,1,5,8,13,18,37
Alberta,2020-03-14,,estimate,9,11.3,10,1,4,7,11,16,31
Alberta,2020-03-15,,estimate,9,11.5,10,1,4,7,11,16,31
Alberta,2020-03-16,,estimate,16,20.5,17.7,2,8,12,20,28,56
Alberta,2020-03-17,,estimate,14,18.1,15.6,2,7,11,17,25,48
Alberta,2020-03-18,,estimate,17,21.5,18.5,2,8,13,21,29,57
Alberta,2020-03-19,,estimate,21,26.5,22.3,3,11,17,26,36,69
Alberta,2020-03-20,,estimate,22,28.2,23.7,3,11,17,28,39,74
Alberta,2020-03-21,,estimate,19,23.8,19.9,3,10,15,23,32,64
Alberta,2020-03-22,,estimate,19,23.6,19.7,2,9,15,23,32,62
Alberta,2020-03-23,,estimate,34,42.8,34.9,5,18,27,42,58,112
Alberta,2020-03-24,,estimate,28,35.3,29.3,4,14,22,35,49,92
Alberta,2020-03-25,,estimate,34,43.6,36,5,18,27,43,59,112
Alberta,2020-03-26,,estimate,40,50.7,42.1,5,20,31,50,69,133
Alberta,2020-03-27,,estimate,44,55,44.2,6,22,35,54,75,139
Alberta,2020-03-28,,estimate,36,45.8,38.1,5,19,28,44,62,122
Alberta,2020-03-29,,estimate,35,44.9,36.7,5,18,28,45,61.2,114
Alberta,2020-03-30,,estimate,60,77.2,63.4,10,31,47,76,105,202
Alberta,2020-03-31,,estimate,52,66.3,54.9,8,27,41,65,89,174
Alberta,2020-04-01,,estimate,61,77.1,61.7,10,33,49,76,105,200
Alberta,2020-04-02,,estimate,71,89.5,71.8,10.9,37,55,89,123,235
Alberta,2020-04-03,,estimate,75,95.3,78.6,11,39,60,93,129,252
Alberta,2020-04-04,,estimate,62,78.5,64.4,9,32,49,77,107,206
Alberta,2020-04-05,,estimate,59.5,75.1,62.5,9,31,47,73,101,197
Alberta,2020-04-06,,estimate,100,128.7,107.8,16,52.8,80,123,175,334
Alberta,2020-04-07,,estimate,82.5,106.6,86.2,13,45,67,104,145,282
Alberta,2020-04-08,,estimate,96,121.6,98.9,15,51,77,120,166,314
Alberta,2020-04-09,,estimate,111,139.7,112.8,18,58,89,138,189,357
Alberta,2020-04-10,,estimate,112,144.1,120.6,17,59,90,139,194,379
Alberta,2020-04-11,,estimate,89,112.8,91.3,15,47,71,111,152,290
Alberta,2020-04-12,,estimate,87,107.9,84.5,15,47,71,107,146,273
Alberta,2020-04-13,,estimate,141,179.6,147.4,22,72,111,175.4,244,470
Alberta,2020-04-14,,estimate,114,144.3,115.8,19,60,91,141,195.2,378
Alberta,2020-04-15,,estimate,125.5,158.8,128.6,21,65,100,157.4,216,405
Alberta,2020-04-16,,estimate,141,177.4,146.2,22,74,111,172,240,464
Alberta,2020-04-17,,estimate,138,172.9,138.4,22,71,109,168,237,439
Alberta,2020-04-18,,estimate,107,134.4,106.3,16,57,85,133,185,338
Alberta,2020-04-19,,estimate,97,123.3,102.7,15,50,77,120,167,320
Alberta,2020-04-20,,estimate,165,200.6,156.5,26,84,131,203,274,503
Alberta,2020-04-21,,estimate,126,158,127.3,20,67,101.6,154,213,408
Alberta,2020-04-22,,estimate,133,166.3,133.9,21,72,105,165,227,418
Alberta,2020-04-23,,estimate,140,179.1,145,23,75,111,177,241,461
Alberta,2020-04-24,,estimate,140,176.2,139.8,23.9,75,113,170,240,444.1
Alberta,2020-04-25,,estimate,101,131.4,109,15,52,81,128,182,347
Alberta,2020-04-26,,estimate,89,113.8,92.9,14,46,70,111,154,294
Alberta,2020-04-27,,estimate,137,174.9,142.9,23,74,110,171,236.2,453
Alberta,2020-04-28,,estimate,106.5,134.7,111.4,17,55,86,131,182,352
Alberta,2020-04-29,,estimate,115,145.5,116.5,20,62,92,145,197.2,377
Alberta,2020-04-30,,estimate,116,148.9,122.8,17,62,92,145,202,385
Alberta,2020-05-01,,estimate,110,137.9,111.4,17,57,87,135,186,364
Alberta,2020-05-02,,estimate,81,100.4,78.6,13,42,65,101,139,248
Alberta,2020-05-03,,estimate,72,89.9,72.7,11.9,38,57.6,88,120,233
Alberta,2020-05-04,,estimate,109,137.3,110,16,55,86,137,191,349
Alberta,2020-05-05,,estimate,78,99,79.9,12,41,63,97,136,257
Alberta,2020-05-06,,estimate,79,101.2,84,12,42,63,98,136,264
Alberta,2020-05-07,,estimate,85,108.2,88.7,13,45,67,104,145,285
Alberta,2020-05-08,,estimate,79,98.3,79.2,12,40,62,98,133,250
Alberta,2020-05-09,,estimate,55,69.7,57.1,9,28,44,68,95,180
Alberta,2020-05-10,,estimate,49,61.5,51.7,7,25,38,59,83,160
Alberta,2020-05-11,,estimate,71,91.1,77.8,10,36,56,89,122,236
Alberta,2020-05-12,,estimate,54,68.4,55.9,8.9,28,43,67,92,179
Alberta,2020-05-13,,estimate,55,69.9,59.1,8,28,43,68,94,183
Alberta,2020-05-14,,estimate,56,71.1,55.3,9,31,45,71,98,181
Alberta,2020-05-15,,estimate,52,66.7,55.6,8,27,42,64,92,172
Alberta,2020-05-16,,estimate,39,48.1,38.5,6,20,30.6,48,65,122
Alberta,2020-05-17,,estimate,31,39.6,33,5,16,25,39,53,105
Alberta,2020-05-18,,estimate,48,60.8,48.9,7.9,25,39,60,83,157
Alberta,2020-05-19,,estimate,36,45.6,38.5,6,18,28,45,62,117
Alberta,2020-05-20,,estimate,38,47.8,38.9,6,20,31,47,64,124
Alberta,2020-05-21,,estimate,39,47.9,38.8,6,20,30,48,65,124
Alberta,2020-05-22,,estimate,37,46.1,38.1,6,19,29,45,62,121
Alberta,2020-05-23,,estimate,25,32.6,28.1,3,13,20,31,44,91
Alberta,2020-05-24,,estimate,22,28.5,23.5,3,12,18,28,39,74
Alberta,2020-05-25,,estimate,34,44.2,36.2,5,18,27,44,61,113
Alberta,2020-05-26,,estimate,25.5,32.6,27.3,3,13,20,31,44,86
Alberta,2020-05-27,,estimate,27,34.6,28.3,4,14,21.6,34,48,91
Alberta,2020-05-28,,estimate,29,36.3,29.7,4,15,23,35,50,94
Alberta,2020-05-29,,estimate,28,35.4,29.7,4,14,22,34,49,93
Alberta,2020-05-30,,estimate,20,25.8,21.5,3,10,16,25,35,68
Alberta,2020-05-31,,estimate,18,23.4,19.4,3,9,14,23,32,62
Alberta,2020-06-01,,estimate,28,35.9,29.1,5,15,23,35,49,92
Alberta,2020-06-02,,estimate,22,28.5,24.2,3,11,17,28,39,74
Alberta,2020-06-03,,estimate,24,29.9,25,3,12,19,29,40,78
Alberta,2020-06-04,,estimate,26,32.7,26.5,3,13,20,32,45,84
Alberta,2020-06-05,,estimate,26,31.8,25.9,4,13,20,32,44,81
Alberta,2020-06-06,,estimate,19,23.9,20,3,10,15,23,32,64
Alberta,2020-06-07,,estimate,17,22,18,2,9,13.6,22,31,58
Alberta,2020-06-08,,estimate,28,35.7,29.6,4,14,22,35,49.2,92
Alberta,2020-06-09,,estimate,21,27,22.8,3,11,17,27,37,71
Alberta,2020-06-10,,estimate,24,31.4,26.3,3,13,19,30,42,86
Alberta,2020-06-11,,estimate,27,34.6,28.2,4,14,22,34,48,91
Alberta,2020-06-12,,estimate,28,34.1,27.9,4,14,22,34,46,88
Alberta,2020-06-13,,estimate,21,26,22.2,3,10,16,25,35,69
Alberta,2020-06-14,,estimate,20,24.7,20.6,3,10,16,24,33,65
Alberta,2020-06-15,,estimate,31,39.3,31.8,4,16,25,39,54,102
Alberta,2020-06-16,,estimate,25,31.4,25.2,3,13,20,31,43,81
Alberta,2020-06-17,,estimate,28,36.1,30.1,4,15,22,35,49,93
Alberta,2020-06-18,,estimate,32,39.8,32.5,5,17,25,39,54,102
Alberta,2020-06-19,,estimate,31,39.3,31.8,4,16,25,39,54,102
Alberta,2020-06-20,,estimate,24,30.9,25.5,3,12,19,30,42,82
Alberta,2020-06-21,,estimate,23,29.5,24.5,3,12,19,29,40,75
Alberta,2020-06-22,,estimate,37,46.9,38.7,6,20,30,46,63,122
Alberta,2020-06-23,,estimate,31,39.1,31.6,5,16,24,38,53,101
Alberta,2020-06-24,,estimate,34,43.4,35.3,5,18,27,43,59,113
Alberta,2020-06-25,,estimate,39,48.2,39,6,20,31,48,65,124
Alberta,2020-06-26,,estimate,39,48.7,39.5,6,20,31,48,66,126
Alberta,2020-06-27,,estimate,30,37.5,30.9,4,15,23,37,52,97
Alberta,2020-06-28,,estimate,28,35.3,29.3,4,14,22,35,48,93
Alberta,2020-06-29,,estimate,46,59,47.3,8,25,37,57,81,151
