region,date,confirm
British Columbia,2020-01-31,1
Ontario,2020-01-31,3
British Columbia,2020-02-08,3
Ontario,2020-02-08,0
British Columbia,2020-02-16,1
Ontario,2020-02-16,0
British Columbia,2020-02-21,1
Ontario,2020-02-21,0
British Columbia,2020-02-24,0
Ontario,2020-02-24,1
British Columbia,2020-02-25,1
Ontario,2020-02-25,0
British Columbia,2020-02-26,0
Ontario,2020-02-26,1
British Columbia,2020-02-27,0
Ontario,2020-02-27,1
British Columbia,2020-02-29,0
Ontario,2020-02-29,2
British Columbia,2020-03-01,1
Ontario,2020-03-01,7
Quebec,2020-03-01,1
British Columbia,2020-03-03,4
Ontario,2020-03-03,5
Quebec,2020-03-03,0
British Columbia,2020-03-05,9
Ontario,2020-03-05,2
Quebec,2020-03-05,1
British Columbia,2020-03-06,0
Ontario,2020-03-06,6
Quebec,2020-03-06,0
British Columbia,2020-03-07,6
Ontario,2020-03-07,0
Quebec,2020-03-07,0
Alberta,2020-03-08,1
British Columbia,2020-03-08,0
Ontario,2020-03-08,3
Quebec,2020-03-08,1
Alberta,2020-03-09,6
British Columbia,2020-03-09,5
Ontario,2020-03-09,3
Quebec,2020-03-09,1
Alberta,2020-03-11,7
British Columbia,2020-03-11,7
Manitoba,2020-03-11,0
New Brunswick,2020-03-11,0
Newfoundland and Labrador,2020-03-11,0
Northwest Territories,2020-03-11,0
Nova Scotia,2020-03-11,0
Nunavut,2020-03-11,0
Ontario,2020-03-11,8
Prince Edward Island,2020-03-11,0
Quebec,2020-03-11,3
Repatriated Travellers,2020-03-11,1
Saskatchewan,2020-03-11,0
Yukon,2020-03-11,0
Alberta,2020-03-12,5
British Columbia,2020-03-12,7
Manitoba,2020-03-12,1
New Brunswick,2020-03-12,1
Newfoundland and Labrador,2020-03-12,0
Northwest Territories,2020-03-12,0
Nova Scotia,2020-03-12,0
Nunavut,2020-03-12,0
Ontario,2020-03-12,17
Prince Edward Island,2020-03-12,0
Quebec,2020-03-12,6
Repatriated Travellers,2020-03-12,0
Saskatchewan,2020-03-12,1
Yukon,2020-03-12,0
Alberta,2020-03-13,4
British Columbia,2020-03-13,7
Manitoba,2020-03-13,2
New Brunswick,2020-03-13,0
Newfoundland and Labrador,2020-03-13,0
Northwest Territories,2020-03-13,0
Nova Scotia,2020-03-13,0
Nunavut,2020-03-13,0
Ontario,2020-03-13,20
Prince Edward Island,2020-03-13,0
Quebec,2020-03-13,4
Repatriated Travellers,2020-03-13,1
Saskatchewan,2020-03-13,0
Yukon,2020-03-13,0
Alberta,2020-03-14,6
British Columbia,2020-03-14,11
Manitoba,2020-03-14,1
New Brunswick,2020-03-14,1
Newfoundland and Labrador,2020-03-14,0
Northwest Territories,2020-03-14,0
Nova Scotia,2020-03-14,0
Nunavut,2020-03-14,0
Ontario,2020-03-14,0
Prince Edward Island,2020-03-14,0
Quebec,2020-03-14,0
Repatriated Travellers,2020-03-14,0
Saskatchewan,2020-03-14,1
Yukon,2020-03-14,0
Alberta,2020-03-15,10
British Columbia,2020-03-15,9
Manitoba,2020-03-15,0
New Brunswick,2020-03-15,0
Newfoundland and Labrador,2020-03-15,1
Northwest Territories,2020-03-15,0
Nova Scotia,2020-03-15,0
Nunavut,2020-03-15,0
Ontario,2020-03-15,24
Prince Edward Island,2020-03-15,1
Quebec,2020-03-15,7
Repatriated Travellers,2020-03-15,2
Saskatchewan,2020-03-15,0
Yukon,2020-03-15,0
Alberta,2020-03-16,17
British Columbia,2020-03-16,0
Manitoba,2020-03-16,3
New Brunswick,2020-03-16,4
Newfoundland and Labrador,2020-03-16,0
Northwest Territories,2020-03-16,0
Nova Scotia,2020-03-16,3
Nunavut,2020-03-16,0
Ontario,2020-03-16,42
Prince Edward Island,2020-03-16,0
Quebec,2020-03-16,15
Repatriated Travellers,2020-03-16,0
Saskatchewan,2020-03-16,4
Yukon,2020-03-16,0
Alberta,2020-03-17,18
British Columbia,2020-03-17,30
Manitoba,2020-03-17,0
New Brunswick,2020-03-17,1
Newfoundland and Labrador,2020-03-17,0
Northwest Territories,2020-03-17,0
Nova Scotia,2020-03-17,2
Nunavut,2020-03-17,0
Ontario,2020-03-17,32
Prince Edward Island,2020-03-17,0
Quebec,2020-03-17,11
Repatriated Travellers,2020-03-17,4
Saskatchewan,2020-03-17,1
Yukon,2020-03-17,0
Alberta,2020-03-18,23
British Columbia,2020-03-18,83
Manitoba,2020-03-18,8
New Brunswick,2020-03-18,1
Newfoundland and Labrador,2020-03-18,2
Northwest Territories,2020-03-18,0
Nova Scotia,2020-03-18,2
Nunavut,2020-03-18,0
Ontario,2020-03-18,12
Prince Edward Island,2020-03-18,0
Quebec,2020-03-18,24
Repatriated Travellers,2020-03-18,1
Saskatchewan,2020-03-18,1
Yukon,2020-03-18,0
Alberta,2020-03-19,49
British Columbia,2020-03-19,85
Manitoba,2020-03-19,2
New Brunswick,2020-03-19,3
Newfoundland and Labrador,2020-03-19,0
Northwest Territories,2020-03-19,0
Nova Scotia,2020-03-19,7
Nunavut,2020-03-19,0
Ontario,2020-03-19,69
Prince Edward Island,2020-03-19,1
Quebec,2020-03-19,47
Repatriated Travellers,2020-03-19,1
Saskatchewan,2020-03-19,12
Yukon,2020-03-19,0
Alberta,2020-03-20,49
British Columbia,2020-03-20,0
Manitoba,2020-03-20,0
New Brunswick,2020-03-20,0
Newfoundland and Labrador,2020-03-20,1
Northwest Territories,2020-03-20,0
Nova Scotia,2020-03-20,1
Nunavut,2020-03-20,0
Ontario,2020-03-20,53
Prince Edward Island,2020-03-20,0
Quebec,2020-03-20,18
Repatriated Travellers,2020-03-20,3
Saskatchewan,2020-03-20,6
Yukon,2020-03-20,0
Alberta,2020-03-21,31
British Columbia,2020-03-21,153
Manitoba,2020-03-21,2
New Brunswick,2020-03-21,6
Newfoundland and Labrador,2020-03-21,2
Northwest Territories,2020-03-21,1
Nova Scotia,2020-03-21,6
Nunavut,2020-03-21,0
Ontario,2020-03-21,66
Prince Edward Island,2020-03-21,0
Quebec,2020-03-21,82
Repatriated Travellers,2020-03-21,0
Saskatchewan,2020-03-21,18
Yukon,2020-03-21,0
Alberta,2020-03-22,33
British Columbia,2020-03-22,0
Manitoba,2020-03-22,0
New Brunswick,2020-03-22,0
Newfoundland and Labrador,2020-03-22,3
Northwest Territories,2020-03-22,0
Nova Scotia,2020-03-22,7
Nunavut,2020-03-22,0
Ontario,2020-03-22,48
Prince Edward Island,2020-03-22,1
Quebec,2020-03-22,0
Repatriated Travellers,2020-03-22,0
Saskatchewan,2020-03-22,8
Yukon,2020-03-22,0
Alberta,2020-03-23,42
British Columbia,2020-03-23,48
Manitoba,2020-03-23,1
New Brunswick,2020-03-23,0
Newfoundland and Labrador,2020-03-23,15
Northwest Territories,2020-03-23,0
Nova Scotia,2020-03-23,13
Nunavut,2020-03-23,0
Ontario,2020-03-23,78
Prince Edward Island,2020-03-23,0
Quebec,2020-03-23,407
Repatriated Travellers,2020-03-23,0
Saskatchewan,2020-03-23,14
Yukon,2020-03-23,2
Alberta,2020-03-24,57
British Columbia,2020-03-24,145
Manitoba,2020-03-24,1
New Brunswick,2020-03-24,1
Newfoundland and Labrador,2020-03-24,11
Northwest Territories,2020-03-24,0
Nova Scotia,2020-03-24,10
Nunavut,2020-03-24,0
Ontario,2020-03-24,85
Prince Edward Island,2020-03-24,0
Quebec,2020-03-24,385
Repatriated Travellers,2020-03-24,0
Saskatchewan,2020-03-24,6
Yukon,2020-03-24,0
Alberta,2020-03-25,61
British Columbia,2020-03-25,42
Manitoba,2020-03-25,14
New Brunswick,2020-03-25,8
Newfoundland and Labrador,2020-03-25,32
Northwest Territories,2020-03-25,0
Nova Scotia,2020-03-25,17
Nunavut,2020-03-25,0
Ontario,2020-03-25,100
Prince Edward Island,2020-03-25,2
Quebec,2020-03-25,326
Repatriated Travellers,2020-03-25,0
Saskatchewan,2020-03-25,14
Yukon,2020-03-25,1
Alberta,2020-03-26,67
British Columbia,2020-03-26,66
Manitoba,2020-03-26,1
New Brunswick,2020-03-26,7
Newfoundland and Labrador,2020-03-26,15
Northwest Territories,2020-03-26,0
Nova Scotia,2020-03-26,5
Nunavut,2020-03-26,0
Ontario,2020-03-26,170
Prince Edward Island,2020-03-26,4
Quebec,2020-03-26,290
Repatriated Travellers,2020-03-26,0
Saskatchewan,2020-03-26,9
Yukon,2020-03-26,0
Alberta,2020-03-27,56
British Columbia,2020-03-27,0
Manitoba,2020-03-27,3
New Brunswick,2020-03-27,12
Newfoundland and Labrador,2020-03-27,20
Northwest Territories,2020-03-27,0
Nova Scotia,2020-03-27,17
Nunavut,2020-03-27,0
Ontario,2020-03-27,135
Prince Edward Island,2020-03-27,2
Quebec,2020-03-27,392
Repatriated Travellers,2020-03-27,0
Saskatchewan,2020-03-27,9
Yukon,2020-03-27,0
Alberta,2020-03-28,0
British Columbia,2020-03-28,159
Manitoba,2020-03-28,25
New Brunswick,2020-03-28,6
Newfoundland and Labrador,2020-03-28,18
Northwest Territories,2020-03-28,0
Nova Scotia,2020-03-28,20
Nunavut,2020-03-28,0
Ontario,2020-03-28,0
Prince Edward Island,2020-03-28,0
Quebec,2020-03-28,477
Repatriated Travellers,2020-03-28,0
Saskatchewan,2020-03-28,30
Yukon,2020-03-28,1
Alberta,2020-03-29,79
British Columbia,2020-03-29,0
Manitoba,2020-03-29,8
New Brunswick,2020-03-29,15
Newfoundland and Labrador,2020-03-29,15
Northwest Territories,2020-03-29,0
Nova Scotia,2020-03-29,12
Nunavut,2020-03-29,0
Ontario,2020-03-29,362
Prince Edward Island,2020-03-29,0
Quebec,2020-03-29,342
Repatriated Travellers,2020-03-29,0
Saskatchewan,2020-03-29,0
Yukon,2020-03-29,0
Alberta,2020-03-30,69
British Columbia,2020-03-30,76
Manitoba,2020-03-30,24
New Brunswick,2020-03-30,2
Newfoundland and Labrador,2020-03-30,13
Northwest Territories,2020-03-30,0
Nova Scotia,2020-03-30,5
Nunavut,2020-03-30,0
Ontario,2020-03-30,351
Prince Edward Island,2020-03-30,7
Quebec,2020-03-30,590
Repatriated Travellers,2020-03-30,0
Saskatchewan,2020-03-30,41
Yukon,2020-03-30,1
Alberta,2020-03-31,64
British Columbia,2020-03-31,10
Manitoba,2020-03-31,7
New Brunswick,2020-03-31,2
Newfoundland and Labrador,2020-03-31,4
Northwest Territories,2020-03-31,0
Nova Scotia,2020-03-31,20
Nunavut,2020-03-31,0
Ontario,2020-03-31,260
Prince Edward Island,2020-03-31,3
Quebec,2020-03-31,732
Repatriated Travellers,2020-03-31,0
Saskatchewan,2020-03-31,9
Yukon,2020-03-31,0
Alberta,2020-04-01,0
British Columbia,2020-04-01,96
Manitoba,2020-04-01,24
New Brunswick,2020-04-01,11
Newfoundland and Labrador,2020-04-01,23
Northwest Territories,2020-04-01,1
Nova Scotia,2020-04-01,26
Nunavut,2020-04-01,0
Ontario,2020-04-01,426
Prince Edward Island,2020-04-01,0
Quebec,2020-04-01,449
Repatriated Travellers,2020-04-01,0
Saskatchewan,2020-04-01,9
Yukon,2020-04-01,0
Alberta,2020-04-02,214
British Columbia,2020-04-02,55
Manitoba,2020-04-02,40
New Brunswick,2020-04-02,10
Newfoundland and Labrador,2020-04-02,8
Northwest Territories,2020-04-02,0
Nova Scotia,2020-04-02,20
Nunavut,2020-04-02,0
Ontario,2020-04-02,401
Prince Edward Island,2020-04-02,1
Quebec,2020-04-02,907
Repatriated Travellers,2020-04-02,0
Saskatchewan,2020-04-02,13
Yukon,2020-04-02,1
