region,date,type,median,lower_90,upper_90,lower_50,upper_50
Alberta,2020-06-19,estimate,71.8,41,110,57,80
Alberta,2020-06-20,estimate,73.8,43,113,56,80
Alberta,2020-06-21,estimate,75.4,42,113,58,83
Alberta,2020-06-22,estimate,77.1,45,118,58,84
Alberta,2020-06-23,estimate,78.6,47,120,60,87
Alberta,2020-06-24,estimate,80.4,46,122,65,92
Alberta,2020-06-25,estimate,82.2,44,122,65,92
Alberta,2020-06-26,estimate,83.9,48,128,67,95
Alberta,2020-06-27,estimate,85.4,48,131,71,100
Alberta,2020-06-28,estimate,87.4,46,133,70,100
Alberta,2020-06-29,estimate,89.2,46,134,70,101
Alberta,2020-06-30,estimate,91.2,48,139,72,105
Alberta,2020-07-01,estimate,93.9,52,146,73,107
Alberta,2020-07-02,estimate,96.3,47,144,75,110
Alberta,2020-07-03,estimate,99,56,155,79,115
Alberta,2020-07-04,estimate,101.7,54,157,78,116
Alberta,2020-07-05,estimate,104.5,56,161,79,117
Alberta,2020-07-06,estimate,107.5,59,166,80,119
Alberta,2020-07-07,estimate,111.1,60,171,82,122
Alberta,2020-07-08,estimate,114.8,61,175,87,128
Alberta,2020-07-09,estimate,118.5,67,185,89,133
Alberta,2020-07-10,estimate,123.1,67,191,93,140
Alberta,2020-07-11,estimate,127.8,67,197,91,141
Alberta,2020-07-12,estimate,132.3,74,208,94,146
Alberta,2020-07-13,estimate,136.7,75,214,102,157
Alberta,2020-07-14,estimate,141.1,72,217,106,164
Alberta,2020-07-15,estimate,145.5,74,230,103,162
Alberta,2020-07-16,estimate,149.6,73,237,105,168
Alberta,2020-07-17,estimate,153.8,76,248,111,177
Alberta,2020-07-18,estimate,158.4,74,257,114,183
Alberta,2020-07-19,estimate based on partial data,162.9,72,269,115,188
Alberta,2020-07-20,estimate based on partial data,166.4,74,284,113,192
Alberta,2020-07-21,estimate based on partial data,171.3,68,295,118,205
Alberta,2020-07-22,estimate based on partial data,175,71,315,121,213
Alberta,2020-07-23,estimate based on partial data,180.2,66,336,109,211
Alberta,2020-07-24,estimate based on partial data,185.9,66,368,94,204
Alberta,2020-07-25,estimate based on partial data,191.3,58,395,95,214
Alberta,2020-07-26,estimate based on partial data,197.1,39,413,95,224
Alberta,2020-07-27,estimate based on partial data,202.2,32,447,92,233
Alberta,2020-07-28,estimate based on partial data,207.1,39,500,96,249
Alberta,2020-07-29,estimate based on partial data,212.1,23,537,89,255
Alberta,2020-07-30,estimate based on partial data,220.6,4,578,64,243
Alberta,2020-07-31,estimate based on partial data,227.2,3,639,63,256
Alberta,2020-08-01,forecast,233.2,2,699,56,262
Alberta,2020-08-02,forecast,239.6,2,772,38,255
Alberta,2020-08-03,forecast,247.6,1,856,34,263
Alberta,2020-08-04,forecast,255,1,946,34,275
Alberta,2020-08-05,forecast,262.9,1,1041,29,282
Alberta,2020-08-06,forecast,271.2,0,1152,22,286
Alberta,2020-08-07,forecast,277.5,0,1322,17,292
Alberta,2020-08-08,forecast,288.2,0,1503,3,291
Alberta,2020-08-09,forecast,295.3,0,1718,0,295
Alberta,2020-08-10,forecast,304.3,0,1935,1,305
Alberta,2020-08-11,forecast,313.8,0,2222,0,314
Alberta,2020-08-12,forecast,324.9,0,2510,0,325
Alberta,2020-08-13,forecast,335.2,0,2833,0,335
Alberta,2020-08-14,forecast,347,0,3186,0,347
British Columbia,2020-06-22,estimate,18.5,14,22,18,21
British Columbia,2020-06-23,estimate,18.9,14,23,18,21
British Columbia,2020-06-24,estimate,19.4,14,23,18,21
British Columbia,2020-06-25,estimate,19.9,15,24,19,22
British Columbia,2020-06-26,estimate,20.4,15,25,19,22
British Columbia,2020-06-27,estimate,20.9,15,26,19,23
British Columbia,2020-06-28,estimate,21.6,16,27,20,24
British Columbia,2020-06-29,estimate,22.2,16,27,21,25
British Columbia,2020-06-30,estimate,22.9,17,28,21,25
British Columbia,2020-07-01,estimate,23.6,18,29,22,26
British Columbia,2020-07-02,estimate,24.4,18,30,22,27
British Columbia,2020-07-03,estimate,25.3,19,31,23,28
British Columbia,2020-07-04,estimate,26.1,20,32,24,29
British Columbia,2020-07-05,estimate,26.9,21,33,25,29
British Columbia,2020-07-06,estimate,27.9,22,34,25,30
British Columbia,2020-07-07,estimate,28.9,23,35,26,31
British Columbia,2020-07-08,estimate,29.9,24,37,27,32
British Columbia,2020-07-09,estimate,31,25,38,28,33
British Columbia,2020-07-10,estimate,32.2,26,39,28,34
British Columbia,2020-07-11,estimate,33.3,26,40,30,35
British Columbia,2020-07-12,estimate,34.4,27,42,31,37
British Columbia,2020-07-13,estimate,35.6,28,44,32,38
British Columbia,2020-07-14,estimate,36.8,29,45,33,39
British Columbia,2020-07-15,estimate,38,30,47,34,40
British Columbia,2020-07-16,estimate,39.3,31,49,35,42
British Columbia,2020-07-17,estimate,40.7,31,51,36,44
British Columbia,2020-07-18,estimate,41.9,32,53,37,45
British Columbia,2020-07-19,estimate based on partial data,43.2,33,55,39,47
British Columbia,2020-07-20,estimate based on partial data,44.6,34,57,39,48
British Columbia,2020-07-21,estimate based on partial data,45.9,34,59,39,49
British Columbia,2020-07-22,estimate based on partial data,47.4,36,62,40,50
British Columbia,2020-07-23,estimate based on partial data,48.8,36,65,41,53
British Columbia,2020-07-24,estimate based on partial data,50.3,36,69,42,55
British Columbia,2020-07-25,estimate based on partial data,51.9,35,72,43,57
British Columbia,2020-07-26,estimate based on partial data,53.5,35,76,45,60
British Columbia,2020-07-27,estimate based on partial data,55.4,34,80,46,63
British Columbia,2020-07-28,estimate based on partial data,57.1,33,86,47,66
British Columbia,2020-07-29,estimate based on partial data,58.7,35,95,47,68
British Columbia,2020-07-30,estimate based on partial data,60.5,32,101,49,71
British Columbia,2020-07-31,estimate based on partial data,62.3,27,104,50,74
British Columbia,2020-08-01,forecast,64.2,31,119,49,75
British Columbia,2020-08-02,forecast,66.1,29,128,49,78
British Columbia,2020-08-03,forecast,68.2,27,138,51,82
British Columbia,2020-08-04,forecast,70.5,27,153,49,83
British Columbia,2020-08-05,forecast,72.5,21,162,50,86
British Columbia,2020-08-06,forecast,74.7,20,177,47,86
British Columbia,2020-08-07,forecast,77.1,3,176,48,91
British Columbia,2020-08-08,forecast,79.1,3,192,48,94
British Columbia,2020-08-09,forecast,81.4,2,210,48,97
British Columbia,2020-08-10,forecast,83.9,2,228,49,103
British Columbia,2020-08-11,forecast,86.3,0,248,50,107
British Columbia,2020-08-12,forecast,89.2,0,272,51,112
British Columbia,2020-08-13,forecast,92.5,1,299,45,112
British Columbia,2020-08-14,forecast,95.5,0,328,46,116
Manitoba,2020-06-19,estimate,1.3,0,2,1,2
Manitoba,2020-06-20,estimate,1.1,0,2,1,1
Manitoba,2020-06-21,estimate,0.9,0,2,0,1
Manitoba,2020-06-22,estimate,0.7,0,1,0,1
Manitoba,2020-06-23,estimate,0.6,0,1,0,1
Manitoba,2020-06-24,estimate,0.5,0,1,0,1
Manitoba,2020-06-25,estimate,0.4,0,1,0,1
Manitoba,2020-06-26,estimate,0.4,0,1,0,0
Manitoba,2020-06-27,estimate,0.3,0,1,0,0
Manitoba,2020-06-28,estimate,0.3,0,1,0,0
