region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alberta,2021-11-01,,estimate,450.8,458,68.1,356.3,411.1,435.6,468.6,499.4,581.3
Alberta,2021-11-02,,estimate,448.9,454.6,66,356.9,408.1,433.3,464.8,495,573.3
Alberta,2021-11-03,,estimate,443.1,449,63.7,354,404.3,428,459.3,488.4,564.6
Alberta,2021-11-04,,estimate,437.5,442.4,61.7,350.7,399,422.3,453.1,480.6,554
Alberta,2021-11-05,,estimate,431.9,435.4,60.1,345.3,392.3,416.8,446.9,471.7,541.2
Alberta,2021-11-06,,estimate,424.8,428.4,58.8,338.8,386.8,410.6,439.1,463.9,531.1
Alberta,2021-11-07,,estimate,417.6,421.5,57.7,332.9,380.9,403.7,431.7,457.1,520.8
Alberta,2021-11-08,,estimate,410.9,414.5,56.6,328,375.5,396.1,424.3,449.5,512.9
Alberta,2021-11-09,,estimate,403.1,407.6,55.6,323.8,369.3,389.9,418,442.3,503.3
Alberta,2021-11-10,,estimate,396.8,400.7,54.5,318.7,363,383,409.5,434.3,497.2
Alberta,2021-11-11,,estimate,389.8,393.8,53.4,312.7,356.2,376.7,402.7,426.7,487.1
Alberta,2021-11-12,,estimate,383,386.8,52.3,308,349.8,369.5,395.5,418.7,478.4
Alberta,2021-11-13,,estimate,375.6,379.6,51.2,302.8,343.3,362.6,388.8,410.9,468.4
Alberta,2021-11-14,,estimate,368.3,372.3,50.1,297,337.3,356,380.9,402.7,460.4
Alberta,2021-11-15,,estimate,360.2,364.9,49.1,292,331.1,348.7,372.7,394.6,451.7
Alberta,2021-11-16,,estimate,352.7,357.3,48.1,285.4,324.4,342.3,364.8,386.5,441.4
Alberta,2021-11-17,,estimate,345.5,349.6,47.1,280.2,317.3,334.9,356.8,377.9,433.9
Alberta,2021-11-18,,estimate,338.2,341.8,46.1,273.2,310.2,326.7,349.1,369.6,423.5
Alberta,2021-11-19,,estimate,329.7,333.9,45,266.9,302.7,318.7,341.8,362.1,414
Alberta,2021-11-20,,estimate,321.8,326.1,43.9,260.6,295.2,311.7,333.5,353.9,403.7
Alberta,2021-11-21,,estimate,314.9,318.5,42.7,255.1,288.7,304.4,325.4,345.4,394.3
Alberta,2021-11-22,,estimate,307.3,311.3,41.6,249.8,282.2,297.4,317.9,336.8,383.7
Alberta,2021-11-23,,estimate,300.6,304.5,40.5,244.5,276.4,291.3,310.9,329.4,375.8
Alberta,2021-11-24,,estimate,294.7,298.3,39.5,239.2,270.9,285.3,304.8,322.9,368.2
Alberta,2021-11-25,,estimate,289.4,293,38.7,235.1,266.5,280.6,299.1,316.6,362.6
Alberta,2021-11-26,,estimate,284.9,288.7,38.2,232.3,262.7,276.3,294.9,311.5,357.3
Alberta,2021-11-27,,estimate,281.7,285.6,37.8,229.5,259.9,273.1,291.6,308.4,353
Alberta,2021-11-28,,estimate,279.8,283.9,37.8,227,257.9,271.8,289.5,307,350.2
Alberta,2021-11-29,,estimate,280.2,283.9,38.1,227.3,258,271.5,289,306.6,350.3
Alberta,2021-11-30,,estimate,282.1,285.7,38.7,228.1,258.9,273.1,291.3,309,353.3
Alberta,2021-12-01,,estimate,286.4,289.7,39.8,231.1,262.1,276.6,295.8,314.2,360.2
Alberta,2021-12-02,,estimate,292.1,296.3,41.4,235.9,267.6,282.5,303.2,321.4,369.9
Alberta,2021-12-03,,estimate,301.4,305.7,43.4,243.1,275.3,291.1,312.3,332.1,382.9
Alberta,2021-12-04,,estimate,313.6,318.4,46,252.1,286.5,302.5,325.7,346.6,399
Alberta,2021-12-05,,estimate,330,335.1,49.1,263.6,301,318.4,343.1,365.5,420.4
Alberta,2021-12-06,,estimate,350.9,356.3,52.7,279.1,319.5,338.3,364.7,388.5,445.9
Alberta,2021-12-07,,estimate,377.4,382.9,57.1,297.9,342.6,363.3,392.1,417.5,481.2
Alberta,2021-12-08,,estimate,409.5,415.9,62.2,323.1,372.3,394.6,425.7,454.3,524.2
Alberta,2021-12-09,,estimate,449.5,456.4,68.1,354.3,409.5,434.1,466.3,498.1,575.4
Alberta,2021-12-10,,estimate,498.5,505.9,75,395.4,454.2,481.3,517,551.5,639.2
Alberta,2021-12-11,,estimate,558.4,565.9,83,443.4,508.5,539.2,578.4,614.5,715.1
Alberta,2021-12-12,,estimate,630.1,638.5,92.4,503,575.5,608.4,652.7,693.8,801.5
Alberta,2021-12-13,,estimate,717.5,725.8,103.5,571.7,654.5,692,743.5,787.1,908
Alberta,2021-12-14,,estimate,820.9,830.3,116.5,658.3,750.5,794.7,848.8,899.4,1036.6
Alberta,2021-12-15,,estimate,944.2,954.4,132.1,757.2,862.5,914.1,975.1,1033.6,1189.6
Alberta,2021-12-16,,estimate,1089.4,1101,150.7,875,995.9,1053.6,1126.7,1189.1,1365.5
Alberta,2021-12-17,,estimate,1259.7,1272.4,172.9,1013,1152.5,1218,1302.8,1372.1,1580.3
Alberta,2021-12-18,,estimate,1457.8,1471.1,199.3,1176.7,1332.2,1409.6,1505.2,1587.6,1828.8
Alberta,2021-12-19,,estimate,1680.1,1698.7,230.1,1360.3,1537.4,1627.2,1737.9,1832.6,2103.9
Alberta,2021-12-20,,estimate,1934.1,1956.3,265.7,1562.6,1773.8,1874.6,1998.8,2113.4,2437.8
Alberta,2021-12-21,,estimate,2218.1,2243.5,306.1,1791.5,2035.4,2144.8,2296.6,2425.4,2784.6
Alberta,2021-12-22,,estimate,2533.7,2558.9,351.2,2038.2,2314.3,2444.9,2620,2769.9,3177
Alberta,2021-12-23,,estimate,2869,2899.3,400.5,2295.6,2619.1,2770.3,2961.4,3147.4,3602
Alberta,2021-12-24,,estimate,3218.7,3259.7,453,2567.7,2947.2,3114.7,3334.1,3544.1,4054.1
Alberta,2021-12-25,,estimate,3590.6,3633.3,507.3,2873.9,3282.3,3472.4,3714.7,3951.5,4529.7
Alberta,2021-12-26,,estimate,3961.5,4011.5,561.7,3161,3620.7,3830.4,4103.4,4370.6,4995.3
Alberta,2021-12-27,,estimate,4321.8,4384.1,614.2,3450.2,3955.5,4187.1,4486.3,4767,5459
Alberta,2021-12-28,,estimate,4675.5,4739.9,663.1,3742.4,4277.2,4521.2,4858.3,5156.7,5896.5
Alberta,2021-12-29,,estimate,5003,5067.3,706.5,4013.8,4571.9,4833.7,5193.9,5509.8,6305.2
Alberta,2021-12-30,,estimate,5297.2,5355,742.7,4251.4,4823.8,5111.5,5483.8,5819.6,6613.3
Alberta,2021-12-31,,estimate,5533.9,5592.9,770.3,4440.6,5048.1,5345,5723.7,6068.1,6926.9
Alberta,2022-01-01,,estimate,5714.2,5772.7,788.7,4603.9,5220.8,5526.9,5917.5,6254,7138.5
Alberta,2022-01-02,,estimate,5818.5,5888.9,797.7,4702.6,5326.9,5635.9,6037.3,6370.9,7311.9
Alberta,2022-01-03,,estimate,5868.5,5939.5,798.1,4756.1,5394.7,5684.2,6072.8,6405.2,7367.5
Alberta,2022-01-04,,estimate,5858.9,5925.4,791.2,4746.4,5378.4,5672.3,6043.9,6388.3,7359.2
Alberta,2022-01-05,,estimate,5782.2,5851,778.5,4712.4,5317.5,5600,5973.6,6318.5,7254.5
Alberta,2022-01-06,,estimate,5649.1,5723.5,761.7,4605,5187.9,5483.8,5844.4,6177.7,7073.3
Alberta,2022-01-07,,estimate,5485.9,5552.1,742,4445.9,5034.4,5304.3,5669.3,5998.8,6862.6
Alberta,2022-01-08,,estimate,5285.1,5347,720.6,4289.5,4836.2,5108.7,5453.5,5766,6620.1
Alberta,2022-01-09,,estimate,5059.1,5119,698.3,4086,4632.1,4892.9,5222.6,5531.1,6344.9
Alberta,2022-01-10,,estimate,4823.7,4878.3,676,3893.4,4404.5,4659.7,4981.7,5277.7,6082.1
Alberta,2022-01-11,,estimate,4572.8,4634,654.3,3689,4180.4,4416.9,4730.6,5019.7,5793.8
Alberta,2022-01-12,,estimate,4331.8,4393.6,633.4,3477.3,3955.9,4193.6,4490.8,4760,5502.4
Alberta,2022-01-13,,estimate,4101,4163.1,613.4,3266.5,3741.3,3964.8,4259.2,4520.9,5230.2
Alberta,2022-01-14,,estimate,3892.1,3946.7,594.1,3077.7,3535.6,3760.6,4046.9,4292.8,4990.7
Alberta,2022-01-15,,estimate,3698.3,3747.1,574.9,2908.1,3352.3,3570.3,3837.7,4079.5,4775.9
Alberta,2022-01-16,,estimate,3519,3565.4,555.2,2747.2,3185.5,3399.1,3646.3,3889.5,4573
Alberta,2022-01-17,,estimate,3359.2,3401.8,534.4,2610.1,3036.5,3242,3482.3,3714.8,4353.8
Alberta,2022-01-18,,estimate,3220.1,3255.5,512.3,2507.6,2903.8,3096.2,3337.7,3556.1,4165.3
Alberta,2022-01-19,,estimate,3092.1,3125.2,489,2405.6,2791.5,2969.2,3208.8,3415.8,4006.9
Alberta,2022-01-20,,estimate,2973.5,3008.6,464.7,2317.2,2690.8,2862.8,3087.7,3283.7,3823.8
Alberta,2022-01-21,,estimate,2872,2903.4,440.1,2235.7,2608.5,2764.9,2978.6,3167,3676.2
Alberta,2022-01-22,,estimate,2777.1,2806.8,416.2,2175.9,2526.7,2675.5,2873,3057.7,3539.2
Alberta,2022-01-23,,estimate,2690.3,2715.5,393.9,2114.4,2450.4,2595.1,2779.3,2952.7,3419.1
Alberta,2022-01-24,,estimate,2598.3,2626.3,374.3,2061.5,2371.3,2509.1,2683.2,2853.5,3305
Alberta,2022-01-25,,estimate,2507.3,2535.5,358.1,2004.2,2289,2421.1,2595.2,2743.9,3177.3
Alberta,2022-01-26,,estimate,2409.9,2439.6,345.4,1923.5,2200.4,2332.6,2496.9,2643.2,3041.9
Alberta,2022-01-27,,estimate,2308.2,2335.2,335.5,1842.4,2097.5,2232.3,2390.2,2532.9,2932.7
Alberta,2022-01-28,,estimate,2193.6,2219.6,326.6,1745.6,1987.7,2116.2,2272.1,2411.1,2798.8
Alberta,2022-01-29,,estimate,2063.9,2090.5,316.6,1630.4,1864.4,1990.2,2140.6,2283.2,2654.8
Alberta,2022-01-30,,estimate,1919.8,1947.2,303,1506.1,1732.3,1849.3,1993,2125.1,2494.4
Alberta,2022-01-31,,estimate,1764.5,1790.4,284.2,1377.5,1587.5,1699.1,1831.3,1958.4,2314.7
Alberta,2022-02-01,,estimate,1597.2,1622.4,259.6,1247.9,1439.3,1531.3,1660.5,1772.9,2101
Alberta,2022-02-02,,estimate,1423,1446.9,230,1114.5,1284.1,1370.4,1480.1,1580.7,1865.1
Alberta,2022-02-03,,estimate,1250,1268.8,197.5,983.9,1127.4,1201.6,1297.9,1382.2,1625.1
Alberta,2022-02-04,,estimate,1077.6,1093.8,165.3,852.5,976.3,1036.9,1119.2,1190.9,1390.3
Alberta,2022-02-05,,estimate,915.1,927.1,136.8,725.8,831.8,879.6,949,1010.4,1167.2
Alberta,2022-02-06,,estimate,762.3,773.3,115.1,604.6,692,735.7,792.1,842.5,971.3
Alberta,2022-02-07,,estimate,626.9,635.5,100.9,488.9,564.2,603.9,652.4,696.5,812
Alberta,2022-02-08,,estimate,509.7,515.6,92.9,376.2,451.6,484.9,532.2,570.4,677.3
Alberta,2022-02-09,,estimate,406.7,413.7,88.2,283.4,352.2,385.8,427.6,465.8,564.6
Alberta,2022-02-10,,estimate,320.9,329.1,84.3,206.7,271.2,302.4,341.7,378,474.7
Alberta,2022-02-11,,estimate,250.5,260.2,80,147,204.8,232.3,271.1,305.1,402.8
Alberta,2022-02-12,,estimate,193,204.8,74.8,101.8,152.6,176.8,212.9,245.8,342.5
Alberta,2022-02-13,,estimate,148.6,160.9,69,69.6,112.3,133.8,166.6,197.4,292.8
Alberta,2022-02-14,,estimate based on partial data,114.3,126.4,62.8,47.3,81.8,100.6,129.8,158.6,247.4
Alberta,2022-02-15,,estimate based on partial data,87.2,99.4,56.7,31.8,59.1,75.6,100.9,126.3,209.9
Alberta,2022-02-16,,estimate based on partial data,66.3,78.4,50.8,21.5,42.5,56.5,78.4,100.2,180.4
Alberta,2022-02-17,,estimate based on partial data,50.6,62.1,45.4,14.3,30.3,42.1,60.7,79.9,153
Alberta,2022-02-18,,estimate based on partial data,38.5,49.5,40.5,9.5,21.8,31.3,46.9,63.7,129.1
Alberta,2022-02-19,,estimate based on partial data,29.3,39.7,36.3,6.2,15.6,23.3,36.4,51,109.4
Alberta,2022-02-20,,estimate based on partial data,22.3,32,32.6,4,11.3,17.4,28.1,40.7,93.3
Alberta,2022-02-21,,estimate based on partial data,17,26,29.5,2.7,8.1,13.1,21.7,32.5,79.4
Alberta,2022-02-22,,forecast,13.3,21.6,26.6,2,6.1,10.1,17.3,26.3,68.3
Alberta,2022-02-23,,forecast,10.4,17.9,24.1,1.4,4.6,7.8,13.7,21.4,58.9
Alberta,2022-02-24,,forecast,8.1,14.9,22,1,3.5,6,10.9,17.4,50.2
Alberta,2022-02-25,,forecast,6.4,12.5,20.2,0.8,2.6,4.6,8.6,14.1,43.1
Alberta,2022-02-26,,forecast,5,10.5,18.6,0.5,2,3.6,6.8,11.4,36.8
Alberta,2022-02-27,,forecast,3.9,8.8,17.3,0.4,1.5,2.8,5.4,9.3,31.6
Alberta,2022-02-28,,forecast,3,7.5,16.2,0.3,1.1,2.1,4.3,7.5,27.3
Alberta,2022-03-01,,forecast,2.4,6.3,15.3,0.2,0.8,1.6,3.4,6.1,23.3
Alberta,2022-03-02,,forecast,1.8,5.4,14.5,0.1,0.6,1.3,2.7,4.9,20.2
Alberta,2022-03-03,,forecast,1.4,4.6,13.9,0.1,0.5,1,2.1,4,17.4
Alberta,2022-03-04,,forecast,1.1,4,13.3,0.1,0.4,0.7,1.7,3.2,14.9
Alberta,2022-03-05,,forecast,0.9,3.5,12.9,0.1,0.3,0.6,1.3,2.6,12.9
Alberta,2022-03-06,,forecast,0.7,3,12.5,0,0.2,0.4,1.1,2.1,11
Alberta,2022-03-07,,forecast,0.5,2.6,12.3,0,0.2,0.3,0.8,1.7,9.4
British Columbia,2021-11-01,,estimate,508.7,515.7,73.8,405.4,464,491.7,526.7,560.1,643.9
