region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alberta,2020-12-08,,estimate,1208,1223.5,234.8,863.9,1056,1147,1266.4,1374,1636
Alberta,2020-12-09,,estimate,1646.5,1669.1,329.8,1171.9,1441,1566,1728.4,1874.2,2252
Alberta,2020-12-10,,estimate,1819,1841.6,359.7,1294,1590,1724.6,1910,2065,2468.1
Alberta,2020-12-11,,estimate,1850,1874.8,361.8,1333,1615,1758,1948,2106,2518
Alberta,2020-12-12,,estimate,1667,1690.7,318,1209.9,1470.8,1591,1746,1894,2253
Alberta,2020-12-13,,estimate,1450,1461.6,280.5,1042,1263,1378,1513,1636,1953
Alberta,2020-12-14,,estimate,1410.5,1425.4,272.6,1000.9,1236.8,1345,1477,1599,1909
Alberta,2020-12-15,,estimate,1213,1228.5,231.9,880,1065.8,1155,1268,1369,1635
Alberta,2020-12-16,,estimate,1532,1557.1,291.6,1123,1353.8,1461.6,1609,1735.2,2064
Alberta,2020-12-17,,estimate,1582,1610.7,308.2,1149,1396,1511,1663,1809,2154
Alberta,2020-12-18,,estimate,1551,1569.3,291.9,1126.9,1366,1478,1626,1748,2081
Alberta,2020-12-19,,estimate,1354.5,1376.1,264.7,982,1188,1284,1425,1542,1842.1
Alberta,2020-12-20,,estimate,1175,1189.1,222.6,848,1037,1122,1224,1326,1579.1
Alberta,2020-12-21,,estimate,1145,1156.3,216.3,826,1005,1089,1196.4,1291,1534
Alberta,2020-12-22,,estimate,978,990,187.1,711,861,929,1023,1103,1320
Alberta,2020-12-23,,estimate,1244,1262.1,241,892,1094,1187,1306.4,1417.2,1678
Alberta,2020-12-24,,estimate,1289,1306.7,250.7,931,1134.8,1231,1348,1453,1736.1
Alberta,2020-12-25,,estimate,1279,1300.7,248.7,935,1126,1216,1345.4,1457.2,1733
Alberta,2020-12-26,,estimate,1129,1147.1,223.8,809,991,1074,1185,1285,1542
Alberta,2020-12-27,,estimate,984,996.9,187.4,718,863,939,1030,1116.2,1321
Alberta,2020-12-28,,estimate,967,979.3,184.4,699,850,922,1013,1096.2,1302
Alberta,2020-12-29,,estimate,838,849.5,163.8,606,734,797,877,950,1133
Alberta,2020-12-30,,estimate,1077.5,1091.9,210.7,773,942,1028,1130,1220,1466.1
Alberta,2020-12-31,,estimate,1124,1134.5,214.9,811,982,1071,1176,1268,1508
Alberta,2021-01-01,,estimate,1132,1143.2,215.7,815,993.8,1079,1186,1279,1509
Alberta,2021-01-02,,estimate,999,1010.8,190.1,725,874,953,1045,1124,1345
Alberta,2021-01-03,,estimate,875,885.5,166.7,633,771,834,915,991,1170
Alberta,2021-01-04,,estimate,857,870.5,161.6,624.9,758,818,901,974,1152
Alberta,2021-01-05,,estimate,752,757.3,144.3,533,658,712,786.4,850,999
Alberta,2021-01-06,,estimate,958,969.4,186.2,688,840.8,911,1006,1082,1299
Alberta,2021-01-07,,estimate,1002,1015.9,192.3,728,882,956,1049,1130,1358.1
Alberta,2021-01-08,,estimate,995,1011.2,193.1,712,879,950.6,1045.4,1133,1356
Alberta,2021-01-09,,estimate,879,889.1,170.7,631,771,837,919,994,1193
Alberta,2021-01-10,,estimate,757,768.6,149.5,544,663,722,795,859,1029
Alberta,2021-01-11,,estimate,746,754.6,146.5,531,654,709,782,844.2,1011
Alberta,2021-01-12,,estimate,641,649.1,124.3,460,560.8,609,672,729,863
Alberta,2021-01-13,,estimate,820,829.7,157.6,592,719,782,861,928,1103
Alberta,2021-01-14,,estimate,850.5,861.4,163.8,611,744,808,891,969,1148
Alberta,2021-01-15,,estimate,834,844.6,163.6,599,730,791,877,949,1123
Alberta,2021-01-16,,estimate,727,735,139.3,519.9,638.8,691,763,821,975
