Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alberta,399 (159 -- 807),Likely increasing,1.1 (0.9 -- 1.3),0.02 (-0.02 -- 0.08),30.4 (8.6 -- -35.4)
British Columbia,221 (74 -- 410),Unsure,1.1 (0.9 -- 1.3),0.02 (-0.03 -- 0.08),37 (8.2 -- -20.3)
Manitoba,190 (18 -- 436),Unsure,1.1 (0.6 -- 1.6),0.03 (-0.11 -- 0.16),23.5 (4.4 -- -6.2)
New Brunswick,1 (0 -- 13),Likely decreasing,0.5 (0 -- 1.2),-0.15 (-0.37 -- 0.07),-4.7 (9.5 -- -1.9)
Newfoundland and Labrador,1 (0 -- 2),Unsure,1 (0.4 -- 1.5),0.01 (-0.18 -- 0.12),53.8 (5.7 -- -3.9)
Nova Scotia,0 (0 -- 2),Unsure,1 (0.4 -- 1.6),0.01 (-0.18 -- 0.17),102.9 (4.1 -- -3.9)
Ontario,1096 (362 -- 1918),Unsure,1.1 (0.8 -- 1.3),0.02 (-0.05 -- 0.07),33.1 (9.5 -- -14)
Prince Edward Island,1 (0 -- 3),Unsure,1 (0.4 -- 1.6),0.01 (-0.17 -- 0.14),56.3 (4.8 -- -4.1)
Quebec,904 (274 -- 1657),Unsure,1 (0.7 -- 1.3),-0.01 (-0.09 -- 0.08),-64.7 (8.6 -- -7.4)
Saskatchewan,69 (2 -- 252),Unsure,1 (0.3 -- 1.9),0.01 (-0.22 -- 0.23),53.9 (3 -- -3.2)
