region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Amazonas,2020-04-17,,estimate,6.8,7.2,2.6,3.9,5.4,6.2,7.4,8.6,12.1
Amazonas,2020-04-18,,estimate,7.8,8.3,2.8,4.6,6.3,7.2,8.5,9.8,13.6
Amazonas,2020-04-19,,estimate,9,9.5,3,5.5,7.3,8.3,9.7,11.1,15.2
Amazonas,2020-04-20,,estimate,10.4,10.9,3.3,6.4,8.5,9.6,11.1,12.7,17
Amazonas,2020-04-21,,estimate,11.9,12.5,3.5,7.6,10,11.1,12.8,14.4,18.9
Amazonas,2020-04-22,,estimate,13.8,14.3,3.8,9,11.6,12.9,14.7,16.5,21.2
Amazonas,2020-04-23,,estimate,15.9,16.5,4.1,10.7,13.5,14.9,17,18.9,23.8
Amazonas,2020-04-24,,estimate,18.4,18.9,4.4,12.7,15.7,17.4,19.5,21.5,27
Amazonas,2020-04-25,,estimate,21.2,21.7,4.9,14.9,18.2,20,22.4,24.6,30.5
Amazonas,2020-04-26,,estimate,24.4,24.9,5.4,17.2,21,23.1,25.7,28.2,34.3
Amazonas,2020-04-27,,estimate,27.9,28.4,6,19.8,24.2,26.3,29.3,32.1,38.9
Amazonas,2020-04-28,,estimate,31.6,32.3,6.7,22.7,27.5,30,33.2,36.3,44.1
Amazonas,2020-04-29,,estimate,35.6,36.4,7.6,25.7,31.2,33.8,37.4,40.9,50
Amazonas,2020-04-30,,estimate,39.8,40.8,8.5,28.6,34.8,37.7,41.7,45.7,56.2
Amazonas,2020-05-01,,estimate,44.1,45.2,9.6,31.8,38.6,41.8,46.3,50.7,63.1
Amazonas,2020-05-02,,estimate,48.4,49.7,10.6,35,42.3,45.9,50.9,55.6,69.5
Amazonas,2020-05-03,,estimate,52.5,54,11.7,38.1,45.8,49.7,55.2,60.4,75.8
Amazonas,2020-05-04,,estimate,56.4,58,12.7,40.7,49.1,53.4,59.4,64.9,81.6
Amazonas,2020-05-05,,estimate,59.8,61.6,13.5,43,52.1,56.6,63,69,87.1
Amazonas,2020-05-06,,estimate,62.8,64.7,14.2,45,54.6,59.5,66.1,72.6,91.7
Amazonas,2020-05-07,,estimate,65.2,67.1,14.8,46.3,56.7,61.8,68.6,75.5,95.7
Amazonas,2020-05-08,,estimate,66.9,68.9,15.1,47.8,58.1,63.5,70.4,77.6,97.8
Amazonas,2020-05-09,,estimate,67.8,70,15.3,48.4,59.1,64.5,71.5,78.9,99.4
Amazonas,2020-05-10,,estimate,68.2,70.3,15.3,48.7,59.5,64.8,72.1,79.2,98.8
Amazonas,2020-05-11,,estimate,68,70.1,15.2,48.6,59.2,64.6,72,78.9,98.2
Amazonas,2020-05-12,,estimate,67.1,69.2,14.9,48,58.4,63.8,71.1,78,96.6
Amazonas,2020-05-13,,estimate,65.7,67.7,14.6,47.2,57.2,62.6,69.6,76.3,94.7
Amazonas,2020-05-14,,estimate,64,65.8,14.1,45.7,55.7,60.7,67.7,74.1,91.7
Amazonas,2020-05-15,,estimate,61.9,63.6,13.6,44.1,53.9,58.8,65.5,71.6,88.3
Amazonas,2020-05-16,,estimate,59.5,61.1,13.1,42.4,51.8,56.6,62.8,68.6,84.7
Amazonas,2020-05-17,,estimate,56.9,58.3,12.5,40.4,49.5,54.1,60.1,65.5,80.9
Amazonas,2020-05-18,,estimate,54.1,55.5,11.8,38.2,47.1,51.6,57.2,62.3,76.8
Amazonas,2020-05-19,,estimate,51.4,52.5,11.2,36.2,44.6,48.7,54.1,59.2,73
Amazonas,2020-05-20,,estimate,48.6,49.6,10.6,34.3,42.1,46,51.1,55.7,68.8
Amazonas,2020-05-21,,estimate,45.7,46.7,10,32.3,39.7,43.4,48.2,52.5,64.6
Amazonas,2020-05-22,,estimate,42.9,43.9,9.4,30.4,37.3,40.7,45.2,49.4,60.7
Amazonas,2020-05-23,,estimate,40.2,41.2,8.8,28.6,35,38.1,42.4,46.5,57.3
Amazonas,2020-05-24,,estimate,37.7,38.6,8.3,26.7,32.7,35.7,39.7,43.7,53.7
Amazonas,2020-05-25,,estimate,35.4,36.1,7.8,24.9,30.6,33.4,37.2,40.8,50
Amazonas,2020-05-26,,estimate,33,33.8,7.3,23.3,28.6,31.3,34.9,38.3,46.8
Amazonas,2020-05-27,,estimate,30.9,31.7,6.9,21.9,26.8,29.2,32.7,35.9,43.8
Amazonas,2020-05-28,,estimate,28.9,29.7,6.5,20.3,25,27.4,30.7,33.7,41.3
Amazonas,2020-05-29,,estimate,27.1,27.8,6.1,19,23.5,25.7,28.8,31.6,38.7
Amazonas,2020-05-30,,estimate,25.5,26.1,5.8,17.9,22,24.1,26.9,29.6,36.5
Amazonas,2020-05-31,,estimate,23.9,24.6,5.5,16.7,20.7,22.6,25.3,27.9,34.5
Amazonas,2020-06-01,,estimate,22.5,23.1,5.2,15.7,19.5,21.3,23.8,26.2,32.5
Amazonas,2020-06-02,,estimate,21.2,21.8,4.9,14.8,18.3,20.2,22.5,24.7,30.7
Amazonas,2020-06-03,,estimate,20.1,20.6,4.7,14,17.3,19,21.2,23.4,29.1
Amazonas,2020-06-04,,estimate,19,19.5,4.5,13.2,16.3,18,20.1,22.2,27.7
Amazonas,2020-06-05,,estimate,18,18.5,4.3,12.5,15.4,17,19.1,21,26.3
Amazonas,2020-06-06,,estimate,17.1,17.6,4.1,11.9,14.6,16.2,18.2,20,25
Amazonas,2020-06-07,,estimate,16.3,16.8,3.9,11.3,13.9,15.4,17.3,19.1,23.9
Amazonas,2020-06-08,,estimate,15.5,16,3.7,10.8,13.3,14.7,16.5,18.3,22.8
Amazonas,2020-06-09,,estimate,14.9,15.3,3.6,10.3,12.7,14.1,15.8,17.5,21.8
Amazonas,2020-06-10,,estimate,14.3,14.7,3.4,9.9,12.3,13.5,15.1,16.8,20.9
Amazonas,2020-06-11,,estimate,13.8,14.2,3.3,9.6,11.8,13,14.6,16.1,20.1
Amazonas,2020-06-12,,estimate,13.3,13.7,3.2,9.3,11.4,12.5,14.1,15.5,19.5
Amazonas,2020-06-13,,estimate,12.9,13.2,3,9,11,12.1,13.6,14.9,18.8
Amazonas,2020-06-14,,estimate,12.5,12.8,2.9,8.7,10.7,11.8,13.1,14.5,18.1
Amazonas,2020-06-15,,estimate,12.1,12.4,2.8,8.5,10.4,11.4,12.8,14,17.5
Amazonas,2020-06-16,,estimate,11.7,12.1,2.7,8.3,10.1,11.1,12.4,13.6,16.9
Amazonas,2020-06-17,,estimate,11.4,11.8,2.6,8.1,9.9,10.8,12.1,13.3,16.4
Amazonas,2020-06-18,,estimate,11.1,11.5,2.5,7.9,9.7,10.6,11.8,12.9,16
Amazonas,2020-06-19,,estimate,10.9,11.2,2.5,7.8,9.4,10.3,11.5,12.6,15.7
Amazonas,2020-06-20,,estimate,10.6,10.9,2.4,7.6,9.3,10.1,11.2,12.3,15.3
Amazonas,2020-06-21,,estimate,10.4,10.7,2.3,7.5,9.1,9.9,11,12,15
Amazonas,2020-06-22,,estimate,10.2,10.5,2.3,7.3,8.9,9.7,10.7,11.7,14.7
Amazonas,2020-06-23,,estimate,10,10.2,2.2,7.2,8.7,9.5,10.5,11.4,14.3
Amazonas,2020-06-24,,estimate,9.7,10,2.2,7,8.5,9.3,10.2,11.2,14
Amazonas,2020-06-25,,estimate,9.5,9.8,2.1,6.9,8.3,9,10,10.9,13.7
Amazonas,2020-06-26,,estimate,9.3,9.5,2.1,6.7,8.1,8.8,9.8,10.7,13.3
Amazonas,2020-06-27,,estimate,9,9.3,2,6.5,7.9,8.6,9.5,10.4,13
Amazonas,2020-06-28,,estimate,8.8,9.1,2,6.4,7.7,8.4,9.3,10.1,12.6
Amazonas,2020-06-29,,estimate,8.6,8.8,1.9,6.2,7.5,8.2,9.1,9.9,12.3
Amazonas,2020-06-30,,estimate,8.4,8.6,1.9,6,7.3,7.9,8.9,9.6,11.9
Amazonas,2020-07-01,,estimate,8.2,8.4,1.8,5.8,7.1,7.7,8.6,9.4,11.5
Amazonas,2020-07-02,,estimate,7.9,8.1,1.8,5.6,6.9,7.5,8.4,9.1,11.3
