region,date,confirm
Bogota,2020-03-06,1
Antioquia,2020-03-09,1
Bogota,2020-03-09,0
Valle Del Cauca,2020-03-09,1
Antioquia,2020-03-11,3
Bogota,2020-03-11,2
Bolivar,2020-03-11,1
Valle Del Cauca,2020-03-11,0
Antioquia,2020-03-12,0
Bogota,2020-03-12,2
Bolivar,2020-03-12,0
Huila,2020-03-12,3
Valle Del Cauca,2020-03-12,0
Antioquia,2020-03-13,0
Bogota,2020-03-13,1
Bolivar,2020-03-13,0
Caldas,2020-03-13,1
Huila,2020-03-13,0
Meta,2020-03-13,1
Valle Del Cauca,2020-03-13,2
Antioquia,2020-03-14,3
Bogota,2020-03-14,10
Bolivar,2020-03-14,0
Caldas,2020-03-14,0
Huila,2020-03-14,4
Meta,2020-03-14,0
Risaralda,2020-03-14,1
Valle Del Cauca,2020-03-14,0
Antioquia,2020-03-15,1
Bogota,2020-03-15,10
Bolivar,2020-03-15,2
Caldas,2020-03-15,0
Cundinamarca,2020-03-15,1
Huila,2020-03-15,0
Meta,2020-03-15,0
Norte De Santander,2020-03-15,1
Risaralda,2020-03-15,0
Santander,2020-03-15,1
Valle Del Cauca,2020-03-15,0
Antioquia,2020-03-16,0
Atlantico,2020-03-16,2
Bogota,2020-03-16,6
Bolivar,2020-03-16,2
Caldas,2020-03-16,0
Cundinamarca,2020-03-16,1
Huila,2020-03-16,0
Meta,2020-03-16,0
Norte De Santander,2020-03-16,0
Risaralda,2020-03-16,0
Santander,2020-03-16,1
Valle Del Cauca,2020-03-16,2
Antioquia,2020-03-17,0
Atlantico,2020-03-17,0
Bogota,2020-03-17,7
Bolivar,2020-03-17,1
Caldas,2020-03-17,0
Cundinamarca,2020-03-17,2
Huila,2020-03-17,1
Meta,2020-03-17,0
Norte De Santander,2020-03-17,2
Quindio,2020-03-17,2
Risaralda,2020-03-17,1
Santander,2020-03-17,0
Tolima,2020-03-17,1
Valle Del Cauca,2020-03-17,8
Antioquia,2020-03-18,0
Atlantico,2020-03-18,0
Bogota,2020-03-18,5
Bolivar,2020-03-18,3
Caldas,2020-03-18,0
Cundinamarca,2020-03-18,0
Huila,2020-03-18,0
Meta,2020-03-18,0
Norte De Santander,2020-03-18,0
Quindio,2020-03-18,0
Risaralda,2020-03-18,3
Santander,2020-03-18,0
Tolima,2020-03-18,1
Valle Del Cauca,2020-03-18,0
Antioquia,2020-03-19,3
Atlantico,2020-03-19,3
Bogota,2020-03-19,8
Bolivar,2020-03-19,1
Caldas,2020-03-19,1
Cauca,2020-03-19,2
Cundinamarca,2020-03-19,1
Huila,2020-03-19,1
Meta,2020-03-19,0
Norte De Santander,2020-03-19,3
Quindio,2020-03-19,1
Risaralda,2020-03-19,0
Santander,2020-03-19,1
Tolima,2020-03-19,0
Valle Del Cauca,2020-03-19,1
Antioquia,2020-03-20,11
Atlantico,2020-03-20,0
Bogota,2020-03-20,27
Bolivar,2020-03-20,1
Caldas,2020-03-20,0
Cauca,2020-03-20,0
Cundinamarca,2020-03-20,5
Huila,2020-03-20,0
Magdalena,2020-03-20,2
Meta,2020-03-20,0
Norte De Santander,2020-03-20,0
Quindio,2020-03-20,0
Risaralda,2020-03-20,1
Santander,2020-03-20,0
Tolima,2020-03-20,0
Valle Del Cauca,2020-03-20,1
Antioquia,2020-03-21,3
Atlantico,2020-03-21,2
Bogota,2020-03-21,5
Bolivar,2020-03-21,4
Caldas,2020-03-21,1
Cauca,2020-03-21,0
Cundinamarca,2020-03-21,2
Huila,2020-03-21,1
Magdalena,2020-03-21,0
Meta,2020-03-21,0
Norte De Santander,2020-03-21,2
Quindio,2020-03-21,0
Risaralda,2020-03-21,1
Santander,2020-03-21,0
Tolima,2020-03-21,1
Valle Del Cauca,2020-03-21,12
Antioquia,2020-03-22,5
Atlantico,2020-03-22,0
Bogota,2020-03-22,4
Bolivar,2020-03-22,0
Caldas,2020-03-22,3
Casanare,2020-03-22,1
Cauca,2020-03-22,0
Cesar,2020-03-22,1
Cundinamarca,2020-03-22,0
Huila,2020-03-22,0
Magdalena,2020-03-22,0
Meta,2020-03-22,0
Norte De Santander,2020-03-22,0
Quindio,2020-03-22,3
Risaralda,2020-03-22,5
"San Andres, Providencia Y Santa Catalina",2020-03-22,1
Santander,2020-03-22,0
Tolima,2020-03-22,1
Valle Del Cauca,2020-03-22,5
Antioquia,2020-03-23,22
Atlantico,2020-03-23,0
Bogota,2020-03-23,29
Bolivar,2020-03-23,1
Caldas,2020-03-23,1
Casanare,2020-03-23,0
Cauca,2020-03-23,0
Cesar,2020-03-23,0
Cundinamarca,2020-03-23,5
Huila,2020-03-23,1
Magdalena,2020-03-23,1
Meta,2020-03-23,4
Norte De Santander,2020-03-23,0
Quindio,2020-03-23,1
Risaralda,2020-03-23,1
"San Andres, Providencia Y Santa Catalina",2020-03-23,0
Santander,2020-03-23,1
Tolima,2020-03-23,0
Valle Del Cauca,2020-03-23,6
Antioquia,2020-03-24,0
Atlantico,2020-03-24,2
Bogota,2020-03-24,41
Bolivar,2020-03-24,5
Caldas,2020-03-24,2
Casanare,2020-03-24,0
Cauca,2020-03-24,1
Cesar,2020-03-24,1
Cundinamarca,2020-03-24,7
Huila,2020-03-24,3
Magdalena,2020-03-24,0
Meta,2020-03-24,2
Narino,2020-03-24,1
Norte De Santander,2020-03-24,3
Quindio,2020-03-24,1
Risaralda,2020-03-24,3
"San Andres, Providencia Y Santa Catalina",2020-03-24,0
Santander,2020-03-24,0
Tolima,2020-03-24,4
Valle Del Cauca,2020-03-24,29
Antioquia,2020-03-25,8
Atlantico,2020-03-25,4
Bogota,2020-03-25,14
Bolivar,2020-03-25,5
Boyaca,2020-03-25,1
Caldas,2020-03-25,2
Casanare,2020-03-25,0
Cauca,2020-03-25,6
Cesar,2020-03-25,0
Cundinamarca,2020-03-25,3
Huila,2020-03-25,0
Magdalena,2020-03-25,1
Meta,2020-03-25,1
Narino,2020-03-25,0
Norte De Santander,2020-03-25,4
Quindio,2020-03-25,4
Risaralda,2020-03-25,2
"San Andres, Providencia Y Santa Catalina",2020-03-25,0
Santander,2020-03-25,0
Tolima,2020-03-25,1
Valle Del Cauca,2020-03-25,5
Antioquia,2020-03-26,0
Atlantico,2020-03-26,0
Bogota,2020-03-26,7
Bolivar,2020-03-26,0
Boyaca,2020-03-26,1
Caldas,2020-03-26,0
Casanare,2020-03-26,0
Cauca,2020-03-26,0
Cesar,2020-03-26,0
Cundinamarca,2020-03-26,0
Huila,2020-03-26,0
Magdalena,2020-03-26,0
Meta,2020-03-26,0
Narino,2020-03-26,0
Norte De Santander,2020-03-26,0
Quindio,2020-03-26,0
Risaralda,2020-03-26,0
"San Andres, Providencia Y Santa Catalina",2020-03-26,0
Santander,2020-03-26,0
Tolima,2020-03-26,0
Valle Del Cauca,2020-03-26,2
Antioquia,2020-03-27,0
Atlantico,2020-03-27,3
Bogota,2020-03-27,38
Bolivar,2020-03-27,0
Boyaca,2020-03-27,0
Caldas,2020-03-27,1
Casanare,2020-03-27,0
Cauca,2020-03-27,0
Cesar,2020-03-27,0
Cundinamarca,2020-03-27,1
Huila,2020-03-27,0
Magdalena,2020-03-27,3
Meta,2020-03-27,0
Narino,2020-03-27,0
Norte De Santander,2020-03-27,0
Quindio,2020-03-27,3
Risaralda,2020-03-27,0
"San Andres, Providencia Y Santa Catalina",2020-03-27,0
Santander,2020-03-27,0
Tolima,2020-03-27,0
Valle Del Cauca,2020-03-27,0
Antioquia,2020-03-28,7
Atlantico,2020-03-28,4
Bogota,2020-03-28,38
Bolivar,2020-03-28,2
Boyaca,2020-03-28,0
Caldas,2020-03-28,1
Casanare,2020-03-28,0
Cauca,2020-03-28,0
Cesar,2020-03-28,1
Cordoba,2020-03-28,1
Cundinamarca,2020-03-28,2
Huila,2020-03-28,0
Magdalena,2020-03-28,0
Meta,2020-03-28,0
Narino,2020-03-28,1
Norte De Santander,2020-03-28,0
Quindio,2020-03-28,1
Risaralda,2020-03-28,0
"San Andres, Providencia Y Santa Catalina",2020-03-28,0
Santander,2020-03-28,0
Tolima,2020-03-28,0
Valle Del Cauca,2020-03-28,11
Antioquia,2020-03-29,19
Atlantico,2020-03-29,4
Bogota,2020-03-29,33
Bolivar,2020-03-29,9
Boyaca,2020-03-29,1
Caldas,2020-03-29,1
Casanare,2020-03-29,0
Cauca,2020-03-29,0
Cesar,2020-03-29,1
Cordoba,2020-03-29,1
Cundinamarca,2020-03-29,0
Huila,2020-03-29,2
Magdalena,2020-03-29,0
Meta,2020-03-29,0
Narino,2020-03-29,0
Norte De Santander,2020-03-29,0
Quindio,2020-03-29,0
Risaralda,2020-03-29,10
"San Andres, Providencia Y Santa Catalina",2020-03-29,0
Santander,2020-03-29,4
Sucre,2020-03-29,1
Tolima,2020-03-29,0
Valle Del Cauca,2020-03-29,8
Antioquia,2020-03-30,10
Atlantico,2020-03-30,1
Bogota,2020-03-30,55
Bolivar,2020-03-30,3
Boyaca,2020-03-30,1
Caldas,2020-03-30,1
Casanare,2020-03-30,0
Cauca,2020-03-30,0
Cesar,2020-03-30,0
Cordoba,2020-03-30,0
Cundinamarca,2020-03-30,5
Huila,2020-03-30,5
Magdalena,2020-03-30,1
Meta,2020-03-30,0
Narino,2020-03-30,0
Norte De Santander,2020-03-30,1
Quindio,2020-03-30,0
Risaralda,2020-03-30,0
"San Andres, Providencia Y Santa Catalina",2020-03-30,0
Santander,2020-03-30,0
Sucre,2020-03-30,0
Tolima,2020-03-30,0
Valle Del Cauca,2020-03-30,13
Antioquia,2020-03-31,5
Atlantico,2020-03-31,8
Bogota,2020-03-31,40
Bolivar,2020-03-31,2
Boyaca,2020-03-31,2
Caldas,2020-03-31,0
Casanare,2020-03-31,0
Cauca,2020-03-31,0
Cesar,2020-03-31,7
Cordoba,2020-03-31,0
Cundinamarca,2020-03-31,9
Huila,2020-03-31,3
La Guajira,2020-03-31,1
Magdalena,2020-03-31,2
Meta,2020-03-31,3
Narino,2020-03-31,2
Norte De Santander,2020-03-31,3
Quindio,2020-03-31,0
Risaralda,2020-03-31,6
"San Andres, Providencia Y Santa Catalina",2020-03-31,0
Santander,2020-03-31,3
Sucre,2020-03-31,0
Tolima,2020-03-31,0
Valle Del Cauca,2020-03-31,11
Antioquia,2020-04-01,6
Atlantico,2020-04-01,2
Bogota,2020-04-01,81
Bolivar,2020-04-01,0
Boyaca,2020-04-01,0
Caldas,2020-04-01,0
Casanare,2020-04-01,1
Cauca,2020-04-01,3
Cesar,2020-04-01,5
Cordoba,2020-04-01,0
Cundinamarca,2020-04-01,6
Huila,2020-04-01,6
La Guajira,2020-04-01,0
Magdalena,2020-04-01,2
Meta,2020-04-01,1
Narino,2020-04-01,2
Norte De Santander,2020-04-01,0
Quindio,2020-04-01,7
Risaralda,2020-04-01,0
"San Andres, Providencia Y Santa Catalina",2020-04-01,1
Santander,2020-04-01,1
Sucre,2020-04-01,0
Tolima,2020-04-01,5
Valle Del Cauca,2020-04-01,31
Antioquia,2020-04-02,20
Atlantico,2020-04-02,0
Bogota,2020-04-02,68
Bolivar,2020-04-02,0
Boyaca,2020-04-02,0
Caldas,2020-04-02,1
Casanare,2020-04-02,0
Cauca,2020-04-02,0
Cesar,2020-04-02,0
Cordoba,2020-04-02,0
Cundinamarca,2020-04-02,2
Huila,2020-04-02,0
La Guajira,2020-04-02,0
Magdalena,2020-04-02,0
Meta,2020-04-02,0
Narino,2020-04-02,0
Norte De Santander,2020-04-02,2
Quindio,2020-04-02,0
Risaralda,2020-04-02,0
"San Andres, Providencia Y Santa Catalina",2020-04-02,0
Santander,2020-04-02,0
Sucre,2020-04-02,0
Tolima,2020-04-02,0
Valle Del Cauca,2020-04-02,3
Antioquia,2020-04-03,18
Atlantico,2020-04-03,12
Bogota,2020-04-03,44
Bolivar,2020-04-03,3
Boyaca,2020-04-03,0
Caldas,2020-04-03,0
Casanare,2020-04-03,0
Cauca,2020-04-03,0
Cesar,2020-04-03,0
Cordoba,2020-04-03,0
Cundinamarca,2020-04-03,3
Huila,2020-04-03,2
La Guajira,2020-04-03,0
Magdalena,2020-04-03,0
Meta,2020-04-03,1
Narino,2020-04-03,0
Norte De Santander,2020-04-03,4
Quindio,2020-04-03,0
Risaralda,2020-04-03,2
"San Andres, Providencia Y Santa Catalina",2020-04-03,0
Santander,2020-04-03,0
Sucre,2020-04-03,0
Tolima,2020-04-03,1
Valle Del Cauca,2020-04-03,15
Antioquia,2020-04-04,5
Atlantico,2020-04-04,0
Bogota,2020-04-04,104
Bolivar,2020-04-04,0
Boyaca,2020-04-04,7
Caldas,2020-04-04,0
Casanare,2020-04-04,0
Cauca,2020-04-04,0
Cesar,2020-04-04,0
Cordoba,2020-04-04,1
Cundinamarca,2020-04-04,7
Huila,2020-04-04,2
La Guajira,2020-04-04,0
Magdalena,2020-04-04,0
Meta,2020-04-04,0
Narino,2020-04-04,0
Norte De Santander,2020-04-04,0
Quindio,2020-04-04,0
Risaralda,2020-04-04,0
"San Andres, Providencia Y Santa Catalina",2020-04-04,0
Santander,2020-04-04,0
Sucre,2020-04-04,0
Tolima,2020-04-04,0
Valle Del Cauca,2020-04-04,14
Antioquia,2020-04-05,22
Atlantico,2020-04-05,4
Bogota,2020-04-05,30
Bolivar,2020-04-05,0
Boyaca,2020-04-05,0
Caldas,2020-04-05,0
Casanare,2020-04-05,0
Cauca,2020-04-05,0
Cesar,2020-04-05,0
Cordoba,2020-04-05,0
Cundinamarca,2020-04-05,5
Huila,2020-04-05,0
La Guajira,2020-04-05,0
Magdalena,2020-04-05,0
Meta,2020-04-05,1
Narino,2020-04-05,0
Norte De Santander,2020-04-05,0
Quindio,2020-04-05,0
Risaralda,2020-04-05,0
"San Andres, Providencia Y Santa Catalina",2020-04-05,0
Santander,2020-04-05,0
Sucre,2020-04-05,0
Tolima,2020-04-05,0
Valle Del Cauca,2020-04-05,17
Antioquia,2020-04-06,11
Atlantico,2020-04-06,1
Bogota,2020-04-06,51
Bolivar,2020-04-06,11
Boyaca,2020-04-06,0
Caldas,2020-04-06,0
Casanare,2020-04-06,0
Cauca,2020-04-06,1
Cesar,2020-04-06,0
Cordoba,2020-04-06,0
Cundinamarca,2020-04-06,4
Huila,2020-04-06,0
La Guajira,2020-04-06,0
Magdalena,2020-04-06,0
Meta,2020-04-06,0
Narino,2020-04-06,0
Norte De Santander,2020-04-06,0
Quindio,2020-04-06,0
Risaralda,2020-04-06,0
"San Andres, Providencia Y Santa Catalina",2020-04-06,0
Santander,2020-04-06,2
Sucre,2020-04-06,0
Tolima,2020-04-06,0
Valle Del Cauca,2020-04-06,13
Antioquia,2020-04-07,15
Atlantico,2020-04-07,8
Bogota,2020-04-07,84
Bolivar,2020-04-07,3
Boyaca,2020-04-07,0
Caldas,2020-04-07,0
Casanare,2020-04-07,0
Cauca,2020-04-07,1
Cesar,2020-04-07,0
Cordoba,2020-04-07,0
Cundinamarca,2020-04-07,5
Huila,2020-04-07,0
La Guajira,2020-04-07,0
Magdalena,2020-04-07,0
Meta,2020-04-07,0
Narino,2020-04-07,0
Norte De Santander,2020-04-07,0
Quindio,2020-04-07,0
Risaralda,2020-04-07,0
"San Andres, Providencia Y Santa Catalina",2020-04-07,0
Santander,2020-04-07,0
Sucre,2020-04-07,0
Tolima,2020-04-07,0
Valle Del Cauca,2020-04-07,13
Antioquia,2020-04-08,37
Atlantico,2020-04-08,9
Bogota,2020-04-08,130
Bolivar,2020-04-08,12
Boyaca,2020-04-08,6
Caldas,2020-04-08,3
Casanare,2020-04-08,0
Cauca,2020-04-08,1
Cesar,2020-04-08,1
Cordoba,2020-04-08,4
Cundinamarca,2020-04-08,5
Huila,2020-04-08,4
La Guajira,2020-04-08,0
Magdalena,2020-04-08,14
Meta,2020-04-08,0
Narino,2020-04-08,3
Norte De Santander,2020-04-08,2
Quindio,2020-04-08,17
Risaralda,2020-04-08,10
"San Andres, Providencia Y Santa Catalina",2020-04-08,0
Santander,2020-04-08,0
Sucre,2020-04-08,0
Tolima,2020-04-08,0
Valle Del Cauca,2020-04-08,88
Antioquia,2020-04-09,4
Atlantico,2020-04-09,6
Bogota,2020-04-09,36
Bolivar,2020-04-09,17
