Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Amazonas,2 (0 -- 12),Likely increasing,1.1 (0.74 -- 1.7),0.038 (-0.075 -- 0.17),18 (4.1 -- -9.2)
Arauca,18 (6 -- 55),Likely increasing,1.1 (0.78 -- 1.5),0.02 (-0.062 -- 0.13),35 (5.4 -- -11)
Atlantico,370 (211 -- 637),Stable,1 (0.81 -- 1.2),0.0034 (-0.054 -- 0.065),200 (11 -- -13)
Bolivar,95 (51 -- 167),Stable,1 (0.82 -- 1.2),0.0016 (-0.051 -- 0.05),420 (14 -- -14)
Boyaca,38 (23 -- 66),Likely increasing,1.1 (0.97 -- 1.4),0.04 (-0.0087 -- 0.095),18 (7.3 -- -80)
Caldas,16 (7 -- 34),Likely decreasing,0.9 (0.65 -- 1.2),-0.027 (-0.1 -- 0.055),-26 (13 -- -6.8)
Caqueta,1 (0 -- 4),Likely decreasing,0.95 (0.74 -- 1.2),-0.013 (-0.076 -- 0.057),-54 (12 -- -9.1)
Casanare,10 (5 -- 19),Likely increasing,1.1 (0.92 -- 1.3),0.026 (-0.023 -- 0.077),26 (9 -- -31)
Cauca,23 (12 -- 43),Likely increasing,1.1 (0.88 -- 1.3),0.016 (-0.032 -- 0.072),42 (9.6 -- -22)
Cesar,129 (69 -- 264),Likely increasing,1.2 (0.99 -- 1.4),0.052 (-0.0041 -- 0.12),13 (6 -- -170)
Choco,2 (0 -- 8),Stable,1 (0.73 -- 1.4),0.003 (-0.076 -- 0.096),230 (7.2 -- -9.1)
Cordoba,21 (10 -- 45),Likely increasing,1.1 (0.91 -- 1.3),0.026 (-0.026 -- 0.086),27 (8.1 -- -27)
Cundinamarca,481 (257 -- 922),Increasing,1.6 (1.3 -- 2.1),0.16 (0.085 -- 0.26),4.2 (2.7 -- 8.1)
Guainia,7 (2 -- 33),Likely increasing,1.3 (0.91 -- 1.8),0.078 (-0.024 -- 0.21),8.9 (3.4 -- -29)
Guaviare,0 (0 -- 3),Likely increasing,1.1 (0.75 -- 1.5),0.02 (-0.072 -- 0.14),35 (5 -- -9.7)
Huila,34 (17 -- 70),Likely increasing,1.2 (0.98 -- 1.5),0.058 (-0.0054 -- 0.13),12 (5.4 -- -130)
La Guajira,197 (100 -- 404),Increasing,1.3 (1 -- 1.6),0.071 (0.0087 -- 0.14),9.7 (4.9 -- 80)
Magdalena,163 (104 -- 263),Likely increasing,1.1 (0.96 -- 1.2),0.023 (-0.01 -- 0.06),30 (12 -- -66)
Narino,20 (10 -- NA),Likely increasing,1.1 (0.85 -- 2),0.017 (-0.042 -- 0.07),42 (9.9 -- -17)
Norte De Santander,328 (187 -- 570),Likely increasing,1.1 (0.95 -- 1.4),0.038 (-0.015 -- 0.095),18 (7.3 -- -48)
Putumayo,20 (9 -- 42),Likely increasing,1.1 (0.86 -- 1.4),0.023 (-0.04 -- 0.098),30 (7.1 -- -17)
Quindio,66 (40 -- 112),Likely increasing,1.1 (0.98 -- 1.3),0.035 (-0.0062 -- 0.083),20 (8.4 -- -110)
Risaralda,36 (17 -- 74),Likely increasing,1.2 (0.92 -- 1.5),0.049 (-0.022 -- 0.12),14 (5.6 -- -31)
"San Andres, Providencia Y Santa Catalina",63 (20 -- 198),Likely increasing,1.2 (0.84 -- 1.6),0.047 (-0.044 -- 0.15),15 (4.6 -- -16)
Santander,195 (118 -- 322),Likely increasing,1.2 (1 -- 1.4),0.053 (0.00022 -- 0.11),13 (6.2 -- 3100)
Sucre,55 (25 -- 118),Increasing,1.3 (1 -- 1.6),0.083 (0.0089 -- 0.16),8.4 (4.4 -- 78)
Tolima,52 (25 -- 115),Likely increasing,1.3 (1 -- 1.6),0.069 (-0.00049 -- 0.14),10 (4.8 -- -1400)
Valle Del Cauca,180 (109 -- 304),Likely increasing,1.1 (0.88 -- 1.3),0.014 (-0.033 -- 0.067),48 (10 -- -21)
Vaupes,0 (0 -- 4),Stable,1 (0.76 -- 1.4),0.0065 (-0.068 -- 0.092),110 (7.5 -- -10)
Vichada,2 (0 -- 9),Likely increasing,1.1 (0.72 -- 1.5),0.016 (-0.08 -- 0.12),43 (5.8 -- -8.7)
