region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Amazonas,2020-12-19,,estimate,5.5,5.6,1.2,3.8,4.7,5.2,5.8,6.3,7.8
Amazonas,2020-12-20,,estimate,5.6,5.8,1.2,4,4.9,5.3,5.9,6.5,7.9
Amazonas,2020-12-21,,estimate,5.8,5.9,1.2,4.2,5.1,5.5,6.1,6.7,8.1
Amazonas,2020-12-22,,estimate,6,6.1,1.2,4.4,5.2,5.7,6.3,6.8,8.3
Amazonas,2020-12-23,,estimate,6.2,6.3,1.2,4.5,5.5,5.9,6.5,7.1,8.5
Amazonas,2020-12-24,,estimate,6.4,6.6,1.3,4.7,5.7,6.1,6.7,7.3,8.8
Amazonas,2020-12-25,,estimate,6.7,6.8,1.3,4.9,5.9,6.4,7,7.6,9.1
Amazonas,2020-12-26,,estimate,7,7.1,1.3,5.2,6.2,6.7,7.3,7.9,9.4
Amazonas,2020-12-27,,estimate,7.3,7.4,1.4,5.4,6.5,7,7.7,8.3,9.8
Amazonas,2020-12-28,,estimate,7.7,7.8,1.4,5.7,6.8,7.4,8,8.7,10.3
Amazonas,2020-12-29,,estimate,8.1,8.2,1.5,6,7.2,7.7,8.5,9.1,10.8
Amazonas,2020-12-30,,estimate,8.5,8.6,1.6,6.3,7.5,8.1,8.9,9.5,11.4
Amazonas,2020-12-31,,estimate,9,9.1,1.6,6.7,8,8.6,9.4,10.1,12
Amazonas,2021-01-01,,estimate,9.5,9.6,1.7,7,8.4,9,9.9,10.6,12.6
Amazonas,2021-01-02,,estimate,10,10.2,1.8,7.4,8.9,9.6,10.5,11.2,13.3
Amazonas,2021-01-03,,estimate,10.6,10.8,1.9,7.9,9.4,10.2,11.1,11.9,14.1
Amazonas,2021-01-04,,estimate,11.2,11.4,2,8.4,10,10.8,11.8,12.7,15
Amazonas,2021-01-05,,estimate,12,12.1,2.2,8.9,10.6,11.4,12.5,13.5,15.9
Amazonas,2021-01-06,,estimate,12.7,12.9,2.3,9.5,11.3,12.1,13.3,14.3,16.9
Amazonas,2021-01-07,,estimate,13.5,13.7,2.4,10.1,12,12.9,14.1,15.2,18
Amazonas,2021-01-08,,estimate,14.4,14.6,2.6,10.8,12.8,13.7,15,16.1,19.1
Amazonas,2021-01-09,,estimate,15.3,15.5,2.7,11.5,13.6,14.6,16,17.1,20.3
Amazonas,2021-01-10,,estimate,16.3,16.5,2.9,12.2,14.5,15.6,17,18.3,21.7
Amazonas,2021-01-11,,estimate,17.3,17.6,3.1,13,15.4,16.6,18.1,19.5,23.1
Amazonas,2021-01-12,,estimate,18.5,18.8,3.3,13.9,16.5,17.7,19.3,20.7,24.6
Amazonas,2021-01-13,,estimate,19.7,20,3.5,14.9,17.5,18.8,20.6,22,26.2
Amazonas,2021-01-14,,estimate,20.9,21.3,3.7,15.9,18.7,20,21.9,23.4,27.8
Amazonas,2021-01-15,,estimate,22.3,22.7,3.9,17,19.9,21.3,23.3,25,29.5
Amazonas,2021-01-16,,estimate,23.7,24.1,4.2,18.2,21.2,22.7,24.7,26.6,31.4
Amazonas,2021-01-17,,estimate,25.2,25.7,4.4,19.3,22.5,24.1,26.3,28.3,33.6
Amazonas,2021-01-18,,estimate,26.8,27.3,4.7,20.6,24,25.7,27.9,30,35.6
Amazonas,2021-01-19,,estimate,28.5,29,4.9,21.9,25.5,27.2,29.6,31.8,37.9
Amazonas,2021-01-20,,estimate,30.2,30.7,5.2,23.3,27.1,28.9,31.5,33.7,40.2
Amazonas,2021-01-21,,estimate,32,32.5,5.4,24.7,28.7,30.7,33.3,35.7,42.6
Amazonas,2021-01-22,,estimate,33.9,34.4,5.7,26.2,30.4,32.5,35.3,37.7,44.8
Amazonas,2021-01-23,,estimate,35.8,36.3,6,27.6,32.1,34.3,37.2,39.8,47.1
Amazonas,2021-01-24,,estimate,37.7,38.2,6.3,29.1,33.8,36.2,39.1,41.8,49.6
Amazonas,2021-01-25,,estimate,39.6,40.2,6.7,30.5,35.5,38.1,41.1,44,52.1
Amazonas,2021-01-26,,estimate,41.5,42.1,7,32.1,37.1,39.9,43.1,46.1,54.6
Amazonas,2021-01-27,,estimate,43.3,44,7.3,33.5,38.8,41.6,45.1,48.3,57.1
Amazonas,2021-01-28,,estimate,45.1,45.9,7.6,35,40.5,43.2,47,50.2,59.6
Amazonas,2021-01-29,,estimate,46.8,47.6,7.9,36.4,42.1,44.9,48.7,52.1,61.9
Amazonas,2021-01-30,,estimate,48.3,49.3,8.2,37.7,43.5,46.5,50.5,54,63.7
Amazonas,2021-01-31,,estimate,49.8,50.9,8.4,39,45,47.9,52,55.8,65.8
Amazonas,2021-02-01,,estimate,51.3,52.3,8.7,40,46.3,49.2,53.5,57.6,67.7
Amazonas,2021-02-02,,estimate,52.7,53.6,8.9,40.9,47.4,50.5,54.8,59,69.3
Amazonas,2021-02-03,,estimate,53.8,54.8,9,41.9,48.4,51.6,56,60.3,71.1
Amazonas,2021-02-04,,estimate,54.8,55.8,9.2,42.5,49.3,52.6,57.1,61.3,72.4
Amazonas,2021-02-05,,estimate,55.6,56.7,9.3,43.2,50,53.4,58.1,62.4,73.5
Amazonas,2021-02-06,,estimate,56.3,57.3,9.4,43.7,50.6,54.2,58.8,63.1,74.2
Amazonas,2021-02-07,,estimate,56.8,57.8,9.5,44,51.1,54.6,59.2,63.6,74.8
Amazonas,2021-02-08,,estimate,57.2,58.2,9.6,44.3,51.4,54.9,59.5,63.9,75.1
Amazonas,2021-02-09,,estimate,57.3,58.3,9.6,44.5,51.6,55,59.6,64.2,75.3
Amazonas,2021-02-10,,estimate,57.2,58.3,9.5,44.6,51.7,55,59.5,64,75.7
Amazonas,2021-02-11,,estimate,56.8,58.1,9.5,44.5,51.5,54.7,59.2,63.7,75.4
Amazonas,2021-02-12,,estimate,56.5,57.7,9.4,44.1,51.2,54.4,58.8,63.1,75.1
Amazonas,2021-02-13,,estimate,55.8,57.1,9.3,43.9,50.7,53.8,58.1,62.4,74.3
Amazonas,2021-02-14,,estimate,55.1,56.3,9.2,43.4,50,53.1,57.4,61.4,73.6
Amazonas,2021-02-15,,estimate,54.2,55.4,9,42.8,49.1,52.2,56.4,60.3,72.5
Amazonas,2021-02-16,,estimate,53.2,54.3,8.8,41.9,48.1,51.2,55.3,59.1,70.9
Amazonas,2021-02-17,,estimate,52,53,8.6,40.8,47,49.9,54.1,57.7,69.1
Amazonas,2021-02-18,,estimate,50.6,51.6,8.4,39.8,45.7,48.6,52.5,56.2,67.2
Amazonas,2021-02-19,,estimate,49.1,50,8.2,38.5,44.4,47.2,50.9,54.5,65.2
Amazonas,2021-02-20,,estimate,47.4,48.3,8,37.1,42.8,45.6,49.2,52.7,62.9
Amazonas,2021-02-21,,estimate,45.6,46.5,7.7,35.6,41.1,43.9,47.4,50.7,60.7
Amazonas,2021-02-22,,estimate,43.7,44.6,7.4,34.2,39.5,42.1,45.5,48.7,58.3
Amazonas,2021-02-23,,estimate,41.9,42.7,7.1,32.8,37.7,40.3,43.5,46.6,56
Amazonas,2021-02-24,,estimate,40,40.7,6.8,31.2,35.9,38.4,41.5,44.4,53.1
Amazonas,2021-02-25,,estimate,38,38.6,6.4,29.6,34.1,36.5,39.4,42.2,50.4
Amazonas,2021-02-26,,estimate,36.1,36.6,6.1,28,32.4,34.6,37.4,40.1,47.7
Amazonas,2021-02-27,,estimate,34,34.6,5.8,26.5,30.6,32.7,35.3,37.9,44.9
Amazonas,2021-02-28,,estimate,32.1,32.6,5.4,24.9,28.9,30.8,33.4,35.7,42.1
Amazonas,2021-03-01,,estimate,30.3,30.7,5.1,23.4,27.2,29,31.4,33.6,39.7
Amazonas,2021-03-02,,estimate,28.5,28.9,4.8,22,25.6,27.3,29.6,31.6,37.3
Amazonas,2021-03-03,,estimate,26.8,27.1,4.6,20.5,24,25.6,27.8,29.7,35
Amazonas,2021-03-04,,estimate,25.1,25.4,4.3,19.1,22.4,24,26.1,28,32.9
Amazonas,2021-03-05,,estimate,23.5,23.8,4.1,17.8,20.9,22.5,24.5,26.3,30.9
Amazonas,2021-03-06,,estimate,22,22.3,3.9,16.6,19.6,21.1,23,24.7,29.2
Amazonas,2021-03-07,,estimate,20.7,21,3.8,15.4,18.3,19.7,21.7,23.3,27.6
Amazonas,2021-03-08,,estimate,19.4,19.7,3.7,14.3,17.1,18.5,20.4,21.9,26
Amazonas,2021-03-09,,estimate,18.2,18.5,3.5,13.3,16,17.3,19.2,20.7,24.7
Amazonas,2021-03-10,,estimate,17.2,17.4,3.4,12.3,15,16.3,18.1,19.6,23.5
Amazonas,2021-03-11,,estimate,16.2,16.4,3.4,11.4,14,15.3,17,18.5,22.5
Amazonas,2021-03-12,,estimate,15.3,15.5,3.3,10.6,13.2,14.5,16.1,17.6,21.5
Amazonas,2021-03-13,,estimate,14.5,14.7,3.2,9.9,12.4,13.7,15.3,16.7,20.6
Amazonas,2021-03-14,,estimate,13.7,14,3.1,9.3,11.7,13,14.6,15.9,19.5
Amazonas,2021-03-15,,estimate,13.1,13.3,3,8.8,11.1,12.3,13.9,15.2,18.8
Amazonas,2021-03-16,,estimate,12.5,12.7,2.9,8.3,10.6,11.8,13.3,14.6,18.1
Amazonas,2021-03-17,,estimate,12,12.2,2.9,7.9,10.2,11.3,12.8,14,17.4
Amazonas,2021-03-18,,estimate,11.6,11.8,2.8,7.6,9.8,10.9,12.3,13.5,16.7
Amazonas,2021-03-19,,estimate,11.2,11.4,2.7,7.3,9.4,10.5,11.9,13.1,16.1
Amazonas,2021-03-20,,estimate,10.9,11,2.6,7.1,9.2,10.2,11.5,12.7,15.5
Amazonas,2021-03-21,,estimate,10.6,10.7,2.5,6.9,9,10,11.2,12.3,15.1
Amazonas,2021-03-22,,estimate,10.4,10.5,2.4,6.7,8.8,9.8,11,12,14.7
Amazonas,2021-03-23,,estimate,10.1,10.3,2.4,6.7,8.6,9.6,10.8,11.8,14.4
Amazonas,2021-03-24,,estimate,10,10.2,2.3,6.7,8.6,9.5,10.6,11.6,14.2
Amazonas,2021-03-25,,estimate,9.9,10.1,2.3,6.7,8.5,9.4,10.5,11.5,14
Amazonas,2021-03-26,,estimate,9.9,10.1,2.2,6.8,8.5,9.4,10.4,11.4,14
Amazonas,2021-03-27,,estimate,9.9,10.1,2.3,6.8,8.5,9.3,10.4,11.5,14.1
