region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Amazonas,2021-01-24,,estimate,17,22.1,19.2,2,8,13,21,30,58
Amazonas,2021-01-25,,estimate,24,32.2,28.2,3,13,20,31,43,88
Amazonas,2021-01-26,,estimate,18,24.3,21.9,3,9,14,23,33,65
Amazonas,2021-01-27,,estimate,27,35.9,31.5,4,14,22,34,48,97
Amazonas,2021-01-28,,estimate,41,54.4,48.7,6,21,32,51,72.2,149
Amazonas,2021-01-29,,estimate,37,47.1,39.7,6,19,29,46,64,125
Amazonas,2021-01-30,,estimate,34,44.4,40.1,5,17,27,42,59,120
Amazonas,2021-01-31,,estimate,24,30.6,26.6,3,12,18,29,41,82
Amazonas,2021-02-01,,estimate,34,43.3,37.7,5,17,26,42,58,114
Amazonas,2021-02-02,,estimate,24,31.2,27.1,3,12,19,30,42,81
Amazonas,2021-02-03,,estimate,33.5,43.2,36.8,5,17,26,42,59,113
Amazonas,2021-02-04,,estimate,51,66.2,55.3,8,27,41,65,90,171
Amazonas,2021-02-05,,estimate,43,54.7,46.6,6,22,34,53,74.2,143
Amazonas,2021-02-06,,estimate,40,51.3,43,6,21,32,50,68,135
Amazonas,2021-02-07,,estimate,27,35.6,30.6,4,14,22,34.4,48,94
Amazonas,2021-02-08,,estimate,38,49.2,41.6,6,20,31,47,67,131
Amazonas,2021-02-09,,estimate,27,35.1,29.3,4,14,22,34,48,92
Amazonas,2021-02-10,,estimate,37,47.6,39,6,20,30,46,65,124
Amazonas,2021-02-11,,estimate,56,72.1,60.8,10,29,45,69,97,190
Amazonas,2021-02-12,,estimate,49,61.1,50,8,25,39,61,82,157
Amazonas,2021-02-13,,estimate,42.5,56,48.5,6,21,34,53,77,150
Amazonas,2021-02-14,,estimate,30,38.3,31.8,4,16,24,37,52,100
Amazonas,2021-02-15,,estimate,42,53.4,45,6,22,33,52,72,140
Amazonas,2021-02-16,,estimate,29,37.2,31.3,4,15,23,36,49.2,99
Amazonas,2021-02-17,,estimate,40,52.2,43.8,6,21,32,50.4,72,138
Amazonas,2021-02-18,,estimate,58,74.6,62.4,9,30,46,72,101,193
Amazonas,2021-02-19,,estimate,48,61.1,49.8,7,26,39,61,83,158
Amazonas,2021-02-20,,estimate,44,56,46.8,7,23,35,54,74,148
Amazonas,2021-02-21,,estimate,30,38.3,32.1,4,15,23,38,52,99
Amazonas,2021-02-22,,estimate,42,53.3,44,7,23,33,52,71,137
