region,date,confirm
Amazonas,2021-04-05,4
Antioquia,2021-04-05,2479
Arauca,2021-04-05,4
Atlantico,2021-04-05,2483
Bogota,2021-04-05,1136
Bolivar,2021-04-05,137
Boyaca,2021-04-05,93
Caldas,2021-04-05,284
Caqueta,2021-04-05,2
Casanare,2021-04-05,45
Cauca,2021-04-05,39
Cesar,2021-04-05,293
Choco,2021-04-05,20
Cordoba,2021-04-05,224
Cundinamarca,2021-04-05,311
Guainia,2021-04-05,0
Guaviare,2021-04-05,1
Huila,2021-04-05,62
La Guajira,2021-04-05,448
Magdalena,2021-04-05,749
Meta,2021-04-05,157
Narino,2021-04-05,35
Norte De Santander,2021-04-05,25
Putumayo,2021-04-05,13
Quindio,2021-04-05,222
Risaralda,2021-04-05,183
"San Andres, Providencia Y Santa Catalina",2021-04-05,20
Santander,2021-04-05,132
Sucre,2021-04-05,92
Tolima,2021-04-05,101
Valle Del Cauca,2021-04-05,387
Vaupes,2021-04-05,0
Vichada,2021-04-05,9
Amazonas,2021-04-06,16
Antioquia,2021-04-06,2714
Arauca,2021-04-06,7
Atlantico,2021-04-06,2877
Bogota,2021-04-06,2238
Bolivar,2021-04-06,202
Boyaca,2021-04-06,120
Caldas,2021-04-06,216
Caqueta,2021-04-06,9
Casanare,2021-04-06,31
Cauca,2021-04-06,80
Cesar,2021-04-06,166
Choco,2021-04-06,16
Cordoba,2021-04-06,312
Cundinamarca,2021-04-06,228
Guainia,2021-04-06,0
Guaviare,2021-04-06,1
Huila,2021-04-06,71
La Guajira,2021-04-06,390
Magdalena,2021-04-06,484
Meta,2021-04-06,45
Narino,2021-04-06,59
Norte De Santander,2021-04-06,104
Putumayo,2021-04-06,29
Quindio,2021-04-06,112
Risaralda,2021-04-06,163
"San Andres, Providencia Y Santa Catalina",2021-04-06,60
Santander,2021-04-06,116
Sucre,2021-04-06,114
Tolima,2021-04-06,82
Valle Del Cauca,2021-04-06,748
Vaupes,2021-04-06,3
Vichada,2021-04-06,14
Amazonas,2021-04-07,24
Antioquia,2021-04-07,3045
Arauca,2021-04-07,5
Atlantico,2021-04-07,2752
Bogota,2021-04-07,2120
Bolivar,2021-04-07,227
Boyaca,2021-04-07,86
Caldas,2021-04-07,193
Caqueta,2021-04-07,11
Casanare,2021-04-07,39
Cauca,2021-04-07,35
Cesar,2021-04-07,241
Choco,2021-04-07,20
Cordoba,2021-04-07,87
Cundinamarca,2021-04-07,247
Guainia,2021-04-07,1
Guaviare,2021-04-07,0
Huila,2021-04-07,66
La Guajira,2021-04-07,194
Magdalena,2021-04-07,459
Meta,2021-04-07,9
Narino,2021-04-07,68
Norte De Santander,2021-04-07,65
Putumayo,2021-04-07,13
Quindio,2021-04-07,155
Risaralda,2021-04-07,217
"San Andres, Providencia Y Santa Catalina",2021-04-07,0
Santander,2021-04-07,148
Sucre,2021-04-07,99
Tolima,2021-04-07,36
Valle Del Cauca,2021-04-07,696
Vaupes,2021-04-07,3
Vichada,2021-04-07,20
Amazonas,2021-04-08,15
Antioquia,2021-04-08,3850
Arauca,2021-04-08,18
Atlantico,2021-04-08,2372
Bogota,2021-04-08,2592
Bolivar,2021-04-08,262
Boyaca,2021-04-08,81
Caldas,2021-04-08,244
Caqueta,2021-04-08,1
Casanare,2021-04-08,14
Cauca,2021-04-08,59
Cesar,2021-04-08,186
Choco,2021-04-08,12
Cordoba,2021-04-08,227
Cundinamarca,2021-04-08,254
Guainia,2021-04-08,0
Guaviare,2021-04-08,2
Huila,2021-04-08,57
La Guajira,2021-04-08,84
Magdalena,2021-04-08,298
Meta,2021-04-08,46
Narino,2021-04-08,41
Norte De Santander,2021-04-08,77
Putumayo,2021-04-08,12
Quindio,2021-04-08,54
Risaralda,2021-04-08,241
"San Andres, Providencia Y Santa Catalina",2021-04-08,20
Santander,2021-04-08,148
Sucre,2021-04-08,100
Tolima,2021-04-08,61
Valle Del Cauca,2021-04-08,1031
Vaupes,2021-04-08,1
Vichada,2021-04-08,4
Amazonas,2021-04-09,18
Antioquia,2021-04-09,3100
Arauca,2021-04-09,5
Atlantico,2021-04-09,2839
Bogota,2021-04-09,2790
Bolivar,2021-04-09,148
Boyaca,2021-04-09,79
Caldas,2021-04-09,205
Caqueta,2021-04-09,4
Casanare,2021-04-09,46
Cauca,2021-04-09,80
Cesar,2021-04-09,86
Choco,2021-04-09,21
Cordoba,2021-04-09,192
Cundinamarca,2021-04-09,296
Guainia,2021-04-09,1
Guaviare,2021-04-09,0
Huila,2021-04-09,73
La Guajira,2021-04-09,71
Magdalena,2021-04-09,284
Meta,2021-04-09,55
Narino,2021-04-09,83
Norte De Santander,2021-04-09,97
Putumayo,2021-04-09,24
Quindio,2021-04-09,62
Risaralda,2021-04-09,226
"San Andres, Providencia Y Santa Catalina",2021-04-09,6
Santander,2021-04-09,164
