region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Antioquia,1447 (634 -- 3444),1447,1686,1058,634,1047,1284,1633,2025,3444,New confirmed cases by infection date,Likely increasing,0.13
Bogota,932 (479 -- 1999),932,1042,501,479,704,832,1037,1246,1999,New confirmed cases by infection date,Likely decreasing,0.62
Atlantico,254 (116 -- 814),254,338,316,116,176,221,299,389,814,New confirmed cases by infection date,Stable,0.41
Valle del cauca,195 (91 -- 494),195,232,158,91,141,172,219,268,494,New confirmed cases by infection date,Likely decreasing,0.87
Santander,150 (95 -- 246),150,157,48,95,125,140,161,180,246,New confirmed cases by infection date,Likely decreasing,0.9
Cordoba,110 (44 -- 284),110,132,88,44,76,96,127,162,284,New confirmed cases by infection date,Likely decreasing,0.71
Magdalena,105 (57 -- 164),105,107,33,57,86,98,112,125,164,New confirmed cases by infection date,Likely decreasing,0.78
Narino,104 (25 -- 583),104,183,276,25,56,80,134,203,583,New confirmed cases by infection date,Likely increasing,0.28
Cundinamarca,102 (52 -- 213),102,114,53,52,77,92,114,136,213,New confirmed cases by infection date,Likely decreasing,0.94
Amazonas,56 (14 -- 219),56,81,110,14,33,46,69,96,219,New confirmed cases by infection date,Stable,0.5
Boyaca,51 (24 -- 113),51,57,29,24,38,45,57,69,113,New confirmed cases by infection date,Likely decreasing,0.89
Quindio,43 (24 -- 95),43,49,26,24,34,39,47,57,95,New confirmed cases by infection date,Likely decreasing,0.76
Norte de santander,33 (19 -- 61),33,35,14,19,26,30,35,41,61,New confirmed cases by infection date,Likely decreasing,0.92
Cesar,28 (12 -- 60),28,31,17,12,20,25,31,37,60,New confirmed cases by infection date,Likely decreasing,0.92
Risaralda,25 (11 -- 69),25,30,21,11,18,22,28,36,69,New confirmed cases by infection date,Likely decreasing,0.77
Sucre,20 (8 -- 47),20,23,13,8,14,17,23,29,47,New confirmed cases by infection date,Likely decreasing,0.89
