Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Amazonas,53 (14 -- 259),Likely increasing,1.2 (0.81 -- 2),0.065 (-0.054 -- 0.24),11 (2.9 -- -13)
Antioquia,531 (204 -- 1092),Decreasing,0.69 (0.45 -- 0.93),-0.088 (-0.17 -- -0.02),-7.9 (-34 -- -4.1)
Arauca,32 (8 -- 83),Stable,1 (0.6 -- 1.3),0.0083 (-0.12 -- 0.075),83 (9.2 -- -6)
Atlantico,759 (441 -- 1174),Stable,1 (0.84 -- 1.1),-0.00074 (-0.046 -- 0.035),-940 (20 -- -15)
Bogota,2384 (1144 -- 4234),Decreasing,0.81 (0.6 -- 0.97),-0.054 (-0.12 -- -0.0076),-13 (-91 -- -5.9)
Bolivar,253 (103 -- 483),Likely decreasing,0.91 (0.65 -- 1.1),-0.026 (-0.1 -- 0.028),-26 (25 -- -6.8)
Boyaca,426 (195 -- 753),Likely decreasing,0.95 (0.7 -- 1.1),-0.015 (-0.086 -- 0.033),-47 (21 -- -8)
Caldas,197 (72 -- 419),Likely decreasing,0.78 (0.51 -- 1),-0.063 (-0.15 -- 0.0061),-11 (110 -- -4.7)
Caqueta,56 (38 -- 94),Stable,1 (0.92 -- 1.1),0.00035 (-0.023 -- 0.03),2000 (23 -- -31)
Casanare,93 (33 -- 171),Stable,1 (0.7 -- 1.1),-0.00047 (-0.087 -- 0.04),-1500 (18 -- -8)
Cauca,322 (139 -- 569),Stable,1 (0.77 -- 1.2),0.0084 (-0.066 -- 0.05),83 (14 -- -10)
Cesar,176 (92 -- 303),Stable,1 (0.84 -- 1.1),0.0041 (-0.044 -- 0.037),170 (19 -- -16)
Choco,99 (41 -- 247),Likely increasing,1.2 (0.89 -- 1.4),0.042 (-0.03 -- 0.11),17 (6.4 -- -23)
Cordoba,361 (169 -- 852),Increasing,1.2 (1 -- 1.5),0.063 (0.001 -- 0.14),11 (5 -- 690)
Cundinamarca,1108 (556 -- 1656),Stable,1 (0.8 -- 1.1),0.0013 (-0.057 -- 0.029),520 (24 -- -12)
Guainia,4 (1 -- 21),Likely increasing,1.2 (0.89 -- 1.8),0.056 (-0.031 -- 0.2),12 (3.5 -- -23)
Guaviare,5 (1 -- 15),Likely decreasing,0.93 (0.56 -- 1.2),-0.018 (-0.13 -- 0.06),-38 (12 -- -5.4)
Huila,390 (149 -- 816),Likely decreasing,0.93 (0.63 -- 1.2),-0.019 (-0.11 -- 0.046),-36 (15 -- -6.4)
La guajira,47 (28 -- 73),Likely decreasing,0.98 (0.88 -- 1.1),-0.0058 (-0.035 -- 0.026),-120 (27 -- -20)
Magdalena,201 (125 -- 285),Likely increasing,1 (0.9 -- 1.1),0.0061 (-0.027 -- 0.028),110 (24 -- -25)
Meta,229 (133 -- 341),Stable,1 (0.86 -- 1.1),0.00033 (-0.039 -- 0.024),2100 (29 -- -18)
Narino,312 (111 -- 678),Likely decreasing,0.85 (0.58 -- 1.1),-0.042 (-0.12 -- 0.018),-17 (39 -- -5.6)
Norte de santander,139 (75 -- 217),Decreasing,0.87 (0.72 -- 0.98),-0.037 (-0.082 -- -0.006),-19 (-120 -- -8.4)
Putumayo,63 (37 -- 98),Likely increasing,1 (0.9 -- 1.1),0.012 (-0.027 -- 0.039),56 (18 -- -26)
Quindio,177 (96 -- 240),Likely decreasing,0.97 (0.81 -- 1),-0.0073 (-0.053 -- 0.0094),-95 (74 -- -13)
Risaralda,134 (64 -- 257),Decreasing,0.82 (0.63 -- 1),-0.051 (-0.11 -- 3.6e-05),-14 (19000 -- -6.4)
San andres y providencia,5 (1 -- 25),Stable,0.97 (0.51 -- 1.6),-0.0092 (-0.15 -- 0.14),-75 (4.9 -- -4.7)
Santander,467 (254 -- 669),Likely decreasing,0.96 (0.79 -- 1),-0.011 (-0.06 -- 0.01),-61 (66 -- -11)
Sucre,118 (62 -- 217),Likely increasing,1.1 (0.93 -- 1.3),0.033 (-0.019 -- 0.079),21 (8.8 -- -36)
Tolima,508 (222 -- 885),Likely decreasing,0.95 (0.73 -- 1.1),-0.013 (-0.078 -- 0.018),-55 (38 -- -8.9)
Valle del cauca,1602 (1269 -- 2254),Increasing,1.1 (1 -- 1.1),0.015 (0.0026 -- 0.04),48 (17 -- 270)
Vaupes,1 (0 -- 165),Likely increasing,1.4 (0.85 -- 6.5),0.11 (-0.043 -- 1.1),6.6 (0.64 -- -16)
Vichada,2 (0 -- 11),Likely decreasing,0.96 (0.64 -- 1.5),-0.012 (-0.11 -- 0.12),-56 (5.6 -- -6.5)
