region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Baden-Württemberg,2021-10-17,,estimate,2506.8,2509.6,162.9,2247.1,2401.2,2465.9,2546.2,2609.3,2787.2
Baden-Württemberg,2021-10-18,,estimate,2597.7,2600.1,167.3,2330.1,2488.4,2557,2636.1,2705.7,2880.2
Baden-Württemberg,2021-10-19,,estimate,2686.8,2690.9,173.2,2408.4,2576.1,2644.4,2728.4,2802,2978.6
Baden-Württemberg,2021-10-20,,estimate,2783.3,2788.8,180.9,2494.7,2667.9,2741,2828.6,2909.3,3087.3
Baden-Württemberg,2021-10-21,,estimate,2889.2,2897.3,189.8,2589.1,2770.5,2844.7,2939.7,3023.2,3212.7
Baden-Württemberg,2021-10-22,,estimate,3009.2,3018.4,199.4,2701.5,2881.4,2961.4,3065,3152.3,3356.6
Baden-Württemberg,2021-10-23,,estimate,3148.7,3153.9,209.1,2821.1,3008.3,3092.2,3202.9,3295.2,3508.6
Baden-Württemberg,2021-10-24,,estimate,3299.4,3305,218.7,2959.6,3148.6,3241.9,3358.2,3447.5,3674.7
Baden-Württemberg,2021-10-25,,estimate,3463.4,3472.8,227.9,3112.8,3308.7,3407.7,3526.8,3624,3861.2
Baden-Württemberg,2021-10-26,,estimate,3653.3,3658.3,236.9,3291.4,3487.3,3588.6,3714.3,3819.7,4062.7
Baden-Württemberg,2021-10-27,,estimate,3857.1,3862,245.6,3476.4,3688.3,3788.8,3924.7,4028.1,4278
Baden-Württemberg,2021-10-28,,estimate,4076.3,4084.1,254.4,3684.5,3903.7,4008,4148.2,4253.1,4505.2
Baden-Württemberg,2021-10-29,,estimate,4317.7,4324.2,263.8,3905.8,4139.5,4247.7,4388.2,4497.3,4767.6
Baden-Württemberg,2021-10-30,,estimate,4574.5,4581.6,274.3,4148.6,4388.7,4503.3,4645.8,4763.3,5048.1
Baden-Württemberg,2021-10-31,,estimate,4845.7,4854.9,286.6,4404.3,4656.9,4772.9,4914.5,5041.7,5345.1
Baden-Württemberg,2021-11-01,,estimate,5131.9,5141.9,301,4670.8,4935.5,5060,5201.7,5336,5657.7
Baden-Württemberg,2021-11-02,,estimate,5426.4,5440,317.4,4942.3,5224.8,5351,5502.7,5645,5982.4
