region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Baden-Württemberg,2021-07-21,,estimate,-0.00957920350543637,-0.00959759222669286,0.0211662119484189,-0.0448243732506697,-0.0234836155687787,-0.0150779477513928,-0.00392371846452763,0.0048330729200402,0.0247536349385633
Baden-Württemberg,2021-07-22,,estimate,-0.00561507739438509,-0.00565259280685173,0.0183426368078253,-0.0368354866884773,-0.017709144299848,-0.0101907214508365,-0.000887324496451166,0.00684697924055968,0.0240840021903246
Baden-Württemberg,2021-07-23,,estimate,-0.00115364660018109,-0.00135524082523085,0.0158207221313847,-0.0279123506907388,-0.0118048650677273,-0.00514900478594993,0.00276031517450511,0.00956213332968928,0.0242252994716162
Baden-Württemberg,2021-07-24,,estimate,0.00352054553250772,0.00327695684733526,0.0136191552771247,-0.0191483356693959,-0.00569007913597348,-5.02194444670299e-05,0.00692273701320895,0.0124221564381884,0.0252242453315182
Baden-Württemberg,2021-07-25,,estimate,0.00840268222396052,0.00821695008399235,0.0117540631638783,-0.0113560110911742,0.000447225339825119,0.00530110024184321,0.0112779086147118,0.0160401293619329,0.0274982416014735
Baden-Württemberg,2021-07-26,,estimate,0.0135370865461384,0.0134271783083097,0.010238716941494,-0.00348053984213707,0.00667256905025098,0.0110262961938321,0.0160924626329738,0.0202664657582829,0.029839783784972
Baden-Württemberg,2021-07-27,,estimate,0.0188710469543203,0.0188588450595605,0.00907951681981675,0.00391899734018999,0.0129689110154487,0.0167751090352133,0.0212031128106957,0.0250938941924224,0.0334163896142879
Baden-Württemberg,2021-07-28,,estimate,0.0246309545741077,0.0244516178517176,0.00826723363596059,0.0107435901072011,0.0192386913207583,0.0224974396819221,0.0265733960672367,0.0299456430369652,0.0378386038971612
Baden-Württemberg,2021-07-29,,estimate,0.0302321502581122,0.0301339368947343,0.00776724181542979,0.017202790578197,0.0251759621720859,0.0283432765412135,0.0320837406803941,0.0353386017849254,0.0427449784799433
Baden-Württemberg,2021-07-30,,estimate,0.0360263889107308,0.0358240702659882,0.00751752458985057,0.0234207610272405,0.0308945817723473,0.0341635173693734,0.0377720722275719,0.0406929791681646,0.0480232398311385
Baden-Württemberg,2021-07-31,,estimate,0.0415988096568878,0.0414319725806738,0.00743963587800856,0.0291183696916135,0.0365684124410303,0.0398810286228232,0.0433626425559836,0.0461207757393533,0.053559526277299
Baden-Württemberg,2021-08-01,,estimate,0.0469875894998338,0.0468619080437384,0.00745635189267011,0.0343653984032654,0.0420680421562905,0.0452191628207105,0.0487332195032569,0.0515424026773049,0.0590039436828547
Baden-Württemberg,2021-08-02,,estimate,0.0521419311626301,0.0520157056483531,0.00750528319751745,0.0394819027903416,0.0471213087406266,0.0502675580995215,0.0538300174115003,0.0567789950176423,0.0644779728176977
Baden-Württemberg,2021-08-03,,estimate,0.0567964630972312,0.0567964372691127,0.00754415042148027,0.0445116154525666,0.0517977338652887,0.0549471316294053,0.0585385701512253,0.0615689869896047,0.0694061016304092
Baden-Württemberg,2021-08-04,,estimate,0.0609569363191258,0.0611122549020114,0.00754997735626939,0.0488648191601618,0.0560926258217696,0.0591831666664459,0.0628894414362192,0.0659319739016044,0.0739983589480091
Baden-Württemberg,2021-08-05,,estimate,0.0646981394791237,0.064880094508103,0.00751573869021573,0.052902404485213,0.0597610469579215,0.0627946131532697,0.0666496901213422,0.0697102435774406,0.0777507215789526
Baden-Württemberg,2021-08-06,,estimate,0.0676837913773126,0.0680289554630497,0.0074464853493789,0.056213669728761,0.0629457794627531,0.0658814785194138,0.0697978147269853,0.0728434017232687,0.0806561845076239
Baden-Württemberg,2021-08-07,,estimate,0.0702988563320926,0.0705025034626965,0.00735528641405848,0.0587610744677699,0.0655748679963568,0.0684475929706434,0.0721106833425627,0.0753065422804346,0.0828811784218908
Baden-Württemberg,2021-08-08,,estimate,0.0719758676203747,0.072260824204834,0.00725847367598211,0.0609890806063575,0.0673565607297369,0.0703210506860195,0.0738587302314189,0.0768695976410378,0.0841245209844545
Baden-Württemberg,2021-08-09,,estimate,0.072976602115458,0.0732812656371355,0.00717008523292754,0.0621361845884379,0.0685575659403634,0.0712839567080073,0.0748608414690975,0.0777869719455603,0.0855635751391414
Baden-Württemberg,2021-08-10,,estimate,0.0733234217722387,0.0735584220395234,0.00709686600990831,0.0625691389413891,0.0689114676043837,0.0715883596066104,0.0751568753540227,0.0779964436332396,0.0858804041141439
Baden-Württemberg,2021-08-11,,estimate,0.072925017451924,0.0731034007112439,0.00703629779006115,0.0619876048271344,0.0685674358836894,0.0712722240821252,0.0745121812779782,0.077388158012605,0.0853897787226118
Baden-Württemberg,2021-08-12,,estimate,0.0717878835785954,0.0719425497077207,0.00697922395469955,0.0607901858572153,0.0673917153729743,0.070101911859465,0.0733841184578863,0.0762369311204195,0.0840495767588098
Baden-Württemberg,2021-08-13,,estimate,0.0699039753076049,0.0701158152437686,0.00691588012894549,0.0591555454380929,0.0655762884429334,0.0682690002957056,0.071631843646023,0.0743805359420543,0.0818191331436943
Baden-Württemberg,2021-08-14,,estimate,0.0675240256217755,0.0676748632278077,0.00684183409077259,0.0570672797619149,0.0630819364595147,0.0658399115043989,0.0691636172358267,0.0720093612032148,0.0791033014802116
Baden-Württemberg,2021-08-15,,estimate,0.0645305946678133,0.0646810675397196,0.0067603707990269,0.0542188593953538,0.0602029418526022,0.0628672611489326,0.0662413260594041,0.0689850749894891,0.0757418906422449
Baden-Württemberg,2021-08-16,,estimate,0.0611041277921496,0.0612034503910008,0.00668004544975534,0.0505283826031389,0.0567811214144524,0.0594347860306955,0.0628395204928899,0.0655056127147521,0.0719975634433385
Baden-Württemberg,2021-08-17,,estimate,0.0572564440452335,0.0573166502938962,0.00660906383217933,0.0467053198757107,0.0529653589589783,0.0556083658042995,0.0588287332070285,0.0616061031999391,0.0681306274561449
Baden-Württemberg,2021-08-18,,estimate,0.0531480621902801,0.0530989746219387,0.00655020881603524,0.0426697138803076,0.048824356268345,0.0514264765086628,0.0546947013487652,0.0572562794821233,0.063870257661454
Baden-Württemberg,2021-08-19,,estimate,0.0487031225261092,0.0486305581901733,0.0064997159309931,0.0383375886638609,0.0445420487620014,0.0470239682789868,0.0502551311032956,0.052657822082418,0.0593056303714708
Baden-Württemberg,2021-08-20,,estimate,0.044098514842509,0.0439916067507418,0.00645064582514116,0.0336713416301371,0.0399788242792784,0.0425464476353571,0.0455193249081342,0.0480352931225833,0.0543511399023091
Baden-Württemberg,2021-08-21,,estimate,0.0393201115957179,0.0392606784408403,0.00639806169123293,0.0286945396076932,0.0353105392563885,0.0379040779544702,0.0407749220461963,0.0432460189385818,0.0494921794567838
Baden-Württemberg,2021-08-22,,estimate,0.0346979680467956,0.0345129673950486,0.00634233418688893,0.0237490757515532,0.0305986079808639,0.033278645306689,0.0361169570210574,0.0385363973692238,0.0447809555850117
Baden-Württemberg,2021-08-23,,estimate,0.02997875679983,0.0298186025780057,0.00628858342781505,0.0190553166812183,0.0258707539607021,0.0285737138876043,0.0315063605847252,0.0340009988832502,0.039741818329774
Baden-Württemberg,2021-08-24,,estimate,0.0254502567452179,0.0252410392134229,0.00624298130863091,0.014622434806559,0.0213405619115796,0.0239259564354955,0.0269574308423091,0.0294355047038628,0.0350695126818146
Baden-Württemberg,2021-08-25,,estimate,0.0210137083723582,0.0208356677480797,0.00620856430516907,0.0102753069925699,0.0168618797956802,0.0194342785206543,0.0224584182060198,0.0250188011507523,0.0307030852311556
Baden-Württemberg,2021-08-26,,estimate,0.0167988334172046,0.0166487729833068,0.00618332471127646,0.00645960228411107,0.0126348256379116,0.0152013576355789,0.0182403431220045,0.0208148687870339,0.026537637343547
Baden-Württemberg,2021-08-27,,estimate,0.0127222263332843,0.0127169420111635,0.00616167879626396,0.00283252367317729,0.0087193636231982,0.0112203477330386,0.0143024974162235,0.0168559179023146,0.0228252215349518
Baden-Württemberg,2021-08-28,,estimate,0.00899486761231423,0.00906696163001099,0.00613814032465049,-0.000623355010248376,0.00508587908236192,0.00756883783411001,0.0105661748721674,0.0131027674194058,0.0189763942866545
Baden-Württemberg,2021-08-29,,estimate,0.00573585076231607,0.00571618878048102,0.00611072509139905,-0.00403296012526137,0.00183396710006373,0.00415860611627792,0.00722831061257095,0.00966600704805493,0.0156587245444603
Baden-Württemberg,2021-08-30,,estimate,0.00266737109313664,0.00267333896307978,0.0060819404944033,-0.00709810159828873,-0.001224033852721,0.00118225924385886,0.00416186835260478,0.0066393124858616,0.0125894460063691
