region,date,confirm
Baden-Württemberg,2021-01-09,1213
Bayern,2021-01-09,1641
Berlin,2021-01-09,252
Brandenburg,2021-01-09,443
Bremen,2021-01-09,24
Hamburg,2021-01-09,82
Hessen,2021-01-09,682
Mecklenburg-Vorpommern,2021-01-09,120
Niedersachsen,2021-01-09,781
Nordrhein-Westfalen,2021-01-09,1394
Rheinland-Pfalz,2021-01-09,433
Saarland,2021-01-09,136
Sachsen,2021-01-09,575
Sachsen-Anhalt,2021-01-09,316
Schleswig-Holstein,2021-01-09,286
Thüringen,2021-01-09,311
Baden-Württemberg,2021-01-10,796
Bayern,2021-01-10,1053
Berlin,2021-01-10,139
Brandenburg,2021-01-10,265
Bremen,2021-01-10,31
Hamburg,2021-01-10,90
Hessen,2021-01-10,279
Mecklenburg-Vorpommern,2021-01-10,44
Niedersachsen,2021-01-10,271
Nordrhein-Westfalen,2021-01-10,843
Rheinland-Pfalz,2021-01-10,245
Saarland,2021-01-10,44
Sachsen,2021-01-10,354
Sachsen-Anhalt,2021-01-10,243
Schleswig-Holstein,2021-01-10,116
Thüringen,2021-01-10,255
Baden-Württemberg,2021-01-11,805
Bayern,2021-01-11,985
Berlin,2021-01-11,609
Brandenburg,2021-01-11,470
Bremen,2021-01-11,28
Hamburg,2021-01-11,115
Hessen,2021-01-11,462
Mecklenburg-Vorpommern,2021-01-11,118
Niedersachsen,2021-01-11,486
Nordrhein-Westfalen,2021-01-11,1145
Rheinland-Pfalz,2021-01-11,325
Saarland,2021-01-11,52
Sachsen,2021-01-11,597
Sachsen-Anhalt,2021-01-11,318
Schleswig-Holstein,2021-01-11,204
Thüringen,2021-01-11,505
Baden-Württemberg,2021-01-12,1396
Bayern,2021-01-12,1763
Berlin,2021-01-12,601
Brandenburg,2021-01-12,682
Bremen,2021-01-12,42
Hamburg,2021-01-12,100
Hessen,2021-01-12,812
Mecklenburg-Vorpommern,2021-01-12,200
Niedersachsen,2021-01-12,957
Nordrhein-Westfalen,2021-01-12,1757
Rheinland-Pfalz,2021-01-12,505
Saarland,2021-01-12,111
Sachsen,2021-01-12,827
Sachsen-Anhalt,2021-01-12,421
Schleswig-Holstein,2021-01-12,279
Thüringen,2021-01-12,691
Baden-Württemberg,2021-01-13,1507
Bayern,2021-01-13,1950
Berlin,2021-01-13,601
Brandenburg,2021-01-13,715
Bremen,2021-01-13,52
Hamburg,2021-01-13,100
Hessen,2021-01-13,878
Mecklenburg-Vorpommern,2021-01-13,192
Niedersachsen,2021-01-13,981
Nordrhein-Westfalen,2021-01-13,1866
Rheinland-Pfalz,2021-01-13,527
Saarland,2021-01-13,124
Sachsen,2021-01-13,756
Sachsen-Anhalt,2021-01-13,425
Schleswig-Holstein,2021-01-13,312
Thüringen,2021-01-13,693
Baden-Württemberg,2021-01-14,1219
Bayern,2021-01-14,1713
Berlin,2021-01-14,568
Brandenburg,2021-01-14,637
Bremen,2021-01-14,41
Hamburg,2021-01-14,99
Hessen,2021-01-14,806
Mecklenburg-Vorpommern,2021-01-14,189
Niedersachsen,2021-01-14,827
Nordrhein-Westfalen,2021-01-14,1710
Rheinland-Pfalz,2021-01-14,517
Saarland,2021-01-14,111
Sachsen,2021-01-14,641
Sachsen-Anhalt,2021-01-14,373
Schleswig-Holstein,2021-01-14,286
Thüringen,2021-01-14,600
Baden-Württemberg,2021-01-15,1180
Bayern,2021-01-15,1492
Berlin,2021-01-15,500
Brandenburg,2021-01-15,623
Bremen,2021-01-15,53
Hamburg,2021-01-15,116
Hessen,2021-01-15,728
Mecklenburg-Vorpommern,2021-01-15,194
Niedersachsen,2021-01-15,797
Nordrhein-Westfalen,2021-01-15,1609
Rheinland-Pfalz,2021-01-15,431
Saarland,2021-01-15,115
Sachsen,2021-01-15,574
Sachsen-Anhalt,2021-01-15,368
Schleswig-Holstein,2021-01-15,262
Thüringen,2021-01-15,566
Baden-Württemberg,2021-01-16,981
Bayern,2021-01-16,1245
Berlin,2021-01-16,211
Brandenburg,2021-01-16,383
Bremen,2021-01-16,55
Hamburg,2021-01-16,60
Hessen,2021-01-16,629
Mecklenburg-Vorpommern,2021-01-16,144
Niedersachsen,2021-01-16,612
Nordrhein-Westfalen,2021-01-16,1287
Rheinland-Pfalz,2021-01-16,345
Saarland,2021-01-16,101
Sachsen,2021-01-16,449
Sachsen-Anhalt,2021-01-16,257
Schleswig-Holstein,2021-01-16,250
Thüringen,2021-01-16,416
Baden-Württemberg,2021-01-17,527
Bayern,2021-01-17,785
Berlin,2021-01-17,132
Brandenburg,2021-01-17,281
Bremen,2021-01-17,32
Hamburg,2021-01-17,49
Hessen,2021-01-17,269
Mecklenburg-Vorpommern,2021-01-17,68
Niedersachsen,2021-01-17,259
Nordrhein-Westfalen,2021-01-17,658
Rheinland-Pfalz,2021-01-17,218
Saarland,2021-01-17,27
Sachsen,2021-01-17,259
Sachsen-Anhalt,2021-01-17,196
Schleswig-Holstein,2021-01-17,135
Thüringen,2021-01-17,174
Baden-Württemberg,2021-01-18,567
Bayern,2021-01-18,665
