Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Württemberg,138 (48 -- 275),Stable,1 (0.6 -- 1.4),0.005 (-0.12 -- 0.098),140 (7.1 -- -5.9)
Bayern,205 (102 -- 353),Likely increasing,1.1 (0.78 -- 1.4),0.024 (-0.063 -- 0.095),29 (7.3 -- -11)
Berlin,137 (67 -- 292),Increasing,1.4 (1.1 -- 1.8),0.099 (0.017 -- 0.2),7 (3.5 -- 40)
Brandenburg,21 (7 -- 49),Stable,1 (0.62 -- 1.4),0.012 (-0.11 -- 0.11),56 (6.3 -- -6.2)
Bremen,5 (2 -- 11),Stable,1 (0.82 -- 1.3),0.0034 (-0.052 -- 0.07),200 (9.9 -- -13)
Hamburg,17 (12 -- 25),Likely decreasing,0.96 (0.86 -- 1.1),-0.0098 (-0.04 -- 0.021),-71 (34 -- -17)
Hessen,122 (70 -- 207),Likely increasing,1.1 (0.9 -- 1.4),0.035 (-0.028 -- 0.095),20 (7.3 -- -25)
Mecklenburg-Vorpommern,18 (7 -- 47),Increasing,1.4 (1 -- 2),0.12 (0.012 -- 0.24),6 (2.8 -- 59)
Niedersachsen,160 (76 -- 303),Likely increasing,1.2 (0.85 -- 1.5),0.051 (-0.041 -- 0.14),13 (5.1 -- -17)
Nordrhein-Westfalen,239 (118 -- 431),Stable,0.99 (0.69 -- 1.3),-0.0033 (-0.091 -- 0.075),-210 (9.3 -- -7.6)
Rheinland-Pfalz,39 (13 -- 88),Likely decreasing,0.86 (0.47 -- 1.2),-0.039 (-0.16 -- 0.057),-18 (12 -- -4.4)
Saarland,18 (9 -- 39),Likely increasing,1.2 (0.95 -- 1.5),0.052 (-0.014 -- 0.14),13 (5 -- -51)
Sachsen,28 (12 -- 64),Likely increasing,1.2 (0.85 -- 1.6),0.05 (-0.043 -- 0.15),14 (4.7 -- -16)
Sachsen-Anhalt,12 (2 -- 41),Stable,1.1 (0.51 -- 1.7),0.019 (-0.14 -- 0.18),37 (3.8 -- -4.8)
Schleswig-Holstein,90 (49 -- 157),Increasing,1.5 (1.2 -- 1.8),0.12 (0.041 -- 0.2),5.8 (3.4 -- 17)
Thüringen,13 (6 -- 29),Likely increasing,1.1 (0.86 -- 1.5),0.04 (-0.04 -- 0.14),17 (5 -- -17)
