region,time
Andaman and Nicobar,17.6
Andhra Pradesh,36
Arunachal Pradesh,1
Assam,56.7
Bihar,48.9
Chandigarh,37.1
Chhattisgarh,42.8
Dadra and Nagar Haveli,18.7
Goa,35.5
Gujarat,1.9
Haryana,1.1
Himachal Pradesh,34.7
Jammu and Kashmir,57.3
Jharkhand,26.2
Karnataka,36.5
Kerala,1
Ladakh,17.8
Lakshadweep,34.5
Madhya Pradesh,1.5
Maharashtra,48.6
Manipur,37.3
Meghalaya,44.8
Mizoram,19.9
Nagaland,11.7
NCT of Delhi,40.8
Odisha,42.6
Puducherry,33.5
Punjab,33.6
Rajasthan,51.4
Sikkim,31.2
Tamil Nadu,1.3
Telangana,37.4
Tripura,16.3
Uttar Pradesh,48.9
Uttarakhand,29.6
West Bengal,43.8
