region,date,type,median,lower_90,upper_90,lower_50,upper_50
Andaman and Nicobar,2020-06-23,estimate,9.3,6,14,7,10
Andaman and Nicobar,2020-06-24,estimate,9.6,6,14,8,11
Andaman and Nicobar,2020-06-25,estimate,9.7,6,14,8,11
Andaman and Nicobar,2020-06-26,estimate,9.8,6,14,8,11
Andaman and Nicobar,2020-06-27,estimate,9.5,6,14,8,11
Andaman and Nicobar,2020-06-28,estimate,9.2,6,13,7,10
Andaman and Nicobar,2020-06-29,estimate,8.9,6,13,7,10
Andaman and Nicobar,2020-06-30,estimate,8.5,5,12,7,9
Andaman and Nicobar,2020-07-01,estimate,8,5,12,6,9
Andaman and Nicobar,2020-07-02,estimate,7.6,4,11,6,8
Andaman and Nicobar,2020-07-03,estimate,7.2,4,11,5,8
Andaman and Nicobar,2020-07-04,estimate,6.9,4,10,5,8
Andaman and Nicobar,2020-07-05,estimate,6.7,4,10,5,7
Andaman and Nicobar,2020-07-06,estimate,6.6,4,11,5,8
Andaman and Nicobar,2020-07-07,estimate,6.6,3,11,5,8
Andaman and Nicobar,2020-07-08,estimate,6.6,3,11,4,7
Andaman and Nicobar,2020-07-09,estimate,6.8,3,11,5,8
Andaman and Nicobar,2020-07-10,estimate,7.2,3,12,5,8
Andaman and Nicobar,2020-07-11,estimate,7.7,4,13,5,9
Andaman and Nicobar,2020-07-12,estimate,8.5,4,14,6,10
Andaman and Nicobar,2020-07-13,estimate,9.5,5,15,7,11
Andaman and Nicobar,2020-07-14,estimate,10.8,6,18,8,12
Andaman and Nicobar,2020-07-15,estimate,12.6,7,20,9,14
Andaman and Nicobar,2020-07-16,estimate,15.1,8,23,12,17
Andaman and Nicobar,2020-07-17,estimate,18.3,11,28,14,20
Andaman and Nicobar,2020-07-18,estimate,22.6,14,35,17,25
Andaman and Nicobar,2020-07-19,estimate,28.3,18,43,22,31
Andaman and Nicobar,2020-07-20,estimate,35.5,22,54,27,39
Andaman and Nicobar,2020-07-21,estimate based on partial data,45.3,28,68,36,51
Andaman and Nicobar,2020-07-22,estimate based on partial data,57.1,35,86,43,62
Andaman and Nicobar,2020-07-23,estimate based on partial data,72.1,42,106,56,80
Andaman and Nicobar,2020-07-24,estimate based on partial data,91.1,53,136,73,104
Andaman and Nicobar,2020-07-25,estimate based on partial data,114.3,67,172,83,123
Andaman and Nicobar,2020-07-26,estimate based on partial data,142.3,84,222,109,160
Andaman and Nicobar,2020-07-27,estimate based on partial data,174.2,86,271,131,199
Andaman and Nicobar,2020-07-28,estimate based on partial data,210.4,85,343,146,242
Andaman and Nicobar,2020-07-29,estimate based on partial data,251.8,89,457,148,282
Andaman and Nicobar,2020-07-30,estimate based on partial data,300.5,83,622,153,337
Andaman and Nicobar,2020-07-31,estimate based on partial data,351.1,61,830,164,409
Andaman and Nicobar,2020-08-01,estimate based on partial data,410.8,35,1151,154,486
Andaman and Nicobar,2020-08-02,estimate based on partial data,480.8,10,1595,119,546
Andaman and Nicobar,2020-08-03,forecast,557.6,5,2355,61,598
Andaman and Nicobar,2020-08-04,forecast,662.9,5,3312,37,693
Andaman and Nicobar,2020-08-05,forecast,763,1,4722,3,763
Andaman and Nicobar,2020-08-06,forecast,882.4,1,7016,2,883
Andaman and Nicobar,2020-08-07,forecast,1030.6,0,10707,0,1031
Andaman and Nicobar,2020-08-08,forecast,1204.6,0,17241,0,1205
Andaman and Nicobar,2020-08-09,forecast,1418.3,0,27635,2,1421
Andaman and Nicobar,2020-08-10,forecast,1686.8,0,45976,0,1688
Andaman and Nicobar,2020-08-11,forecast,1942,0,76885,0,1944
