region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Andaman and Nicobar,2020-12-06,,estimate,9.2,9.4,1.7,7,8.2,8.8,9.6,10.3,12.4
Andaman and Nicobar,2020-12-07,,estimate,8.9,9,1.6,6.8,8,8.5,9.3,9.9,11.9
Andaman and Nicobar,2020-12-08,,estimate,8.5,8.7,1.5,6.5,7.6,8.2,8.8,9.5,11.3
Andaman and Nicobar,2020-12-09,,estimate,8.1,8.3,1.4,6.2,7.3,7.8,8.4,9.1,10.8
Andaman and Nicobar,2020-12-10,,estimate,7.7,7.9,1.3,6,6.9,7.4,8,8.6,10.2
Andaman and Nicobar,2020-12-11,,estimate,7.3,7.5,1.3,5.7,6.6,7,7.6,8.2,9.7
Andaman and Nicobar,2020-12-12,,estimate,7,7.1,1.2,5.4,6.3,6.7,7.2,7.7,9.2
Andaman and Nicobar,2020-12-13,,estimate,6.6,6.7,1.1,5.2,5.9,6.3,6.9,7.3,8.7
Andaman and Nicobar,2020-12-14,,estimate,6.2,6.4,1.1,4.9,5.6,6,6.5,6.9,8.3
Andaman and Nicobar,2020-12-15,,estimate,5.9,6,1,4.6,5.3,5.7,6.1,6.6,7.8
Andaman and Nicobar,2020-12-16,,estimate,5.6,5.7,0.9,4.4,5,5.3,5.8,6.2,7.4
Andaman and Nicobar,2020-12-17,,estimate,5.3,5.4,0.9,4.1,4.7,5.1,5.5,5.9,7
Andaman and Nicobar,2020-12-18,,estimate,5,5.1,0.8,3.9,4.5,4.8,5.2,5.5,6.6
Andaman and Nicobar,2020-12-19,,estimate,4.7,4.8,0.8,3.6,4.2,4.5,4.9,5.2,6.2
Andaman and Nicobar,2020-12-20,,estimate,4.4,4.5,0.8,3.4,4,4.3,4.6,5,5.9
Andaman and Nicobar,2020-12-21,,estimate,4.2,4.3,0.7,3.2,3.8,4,4.4,4.7,5.6
Andaman and Nicobar,2020-12-22,,estimate,4,4,0.7,3,3.6,3.8,4.1,4.4,5.3
Andaman and Nicobar,2020-12-23,,estimate,3.7,3.8,0.7,2.9,3.4,3.6,3.9,4.2,5
Andaman and Nicobar,2020-12-24,,estimate,3.5,3.6,0.6,2.7,3.2,3.4,3.7,4,4.7
Andaman and Nicobar,2020-12-25,,estimate,3.3,3.4,0.6,2.5,3,3.2,3.5,3.7,4.4
Andaman and Nicobar,2020-12-26,,estimate,3.2,3.2,0.6,2.4,2.8,3,3.3,3.5,4.2
Andaman and Nicobar,2020-12-27,,estimate,3,3,0.5,2.2,2.7,2.9,3.1,3.3,4
Andaman and Nicobar,2020-12-28,,estimate,2.8,2.9,0.5,2.1,2.5,2.7,3,3.2,3.8
Andaman and Nicobar,2020-12-29,,estimate,2.7,2.7,0.5,2,2.4,2.6,2.8,3,3.6
Andaman and Nicobar,2020-12-30,,estimate,2.5,2.6,0.5,1.9,2.2,2.4,2.7,2.8,3.4
Andaman and Nicobar,2020-12-31,,estimate,2.4,2.4,0.5,1.8,2.1,2.3,2.5,2.7,3.2
Andaman and Nicobar,2021-01-01,,estimate,2.3,2.3,0.4,1.7,2,2.2,2.4,2.6,3.1
Andaman and Nicobar,2021-01-02,,estimate,2.2,2.2,0.4,1.6,1.9,2.1,2.3,2.4,3
Andaman and Nicobar,2021-01-03,,estimate,2.1,2.1,0.4,1.5,1.8,2,2.2,2.3,2.8
Andaman and Nicobar,2021-01-04,,estimate,2,2,0.4,1.4,1.7,1.9,2.1,2.2,2.7
Andaman and Nicobar,2021-01-05,,estimate,1.9,1.9,0.4,1.3,1.6,1.8,2,2.1,2.6
Andaman and Nicobar,2021-01-06,,estimate,1.8,1.8,0.4,1.3,1.5,1.7,1.9,2,2.4
Andaman and Nicobar,2021-01-07,,estimate,1.7,1.7,0.3,1.2,1.5,1.6,1.8,1.9,2.3
Andaman and Nicobar,2021-01-08,,estimate,1.6,1.6,0.3,1.1,1.4,1.5,1.7,1.8,2.2
Andaman and Nicobar,2021-01-09,,estimate,1.5,1.6,0.3,1.1,1.3,1.5,1.6,1.8,2.1
Andaman and Nicobar,2021-01-10,,estimate,1.5,1.5,0.3,1,1.3,1.4,1.6,1.7,2.1
Andaman and Nicobar,2021-01-11,,estimate,1.4,1.4,0.3,1,1.2,1.3,1.5,1.6,2
Andaman and Nicobar,2021-01-12,,estimate,1.4,1.4,0.3,0.9,1.2,1.3,1.4,1.6,1.9
Andaman and Nicobar,2021-01-13,,estimate,1.3,1.3,0.3,0.9,1.1,1.2,1.4,1.5,1.8
Andaman and Nicobar,2021-01-14,,estimate,1.2,1.3,0.3,0.8,1.1,1.2,1.3,1.4,1.8
Andaman and Nicobar,2021-01-15,,estimate,1.2,1.2,0.3,0.8,1,1.1,1.3,1.4,1.7
Andaman and Nicobar,2021-01-16,,estimate,1.2,1.2,0.3,0.8,1,1.1,1.2,1.3,1.6
Andaman and Nicobar,2021-01-17,,estimate,1.1,1.1,0.3,0.7,1,1.1,1.2,1.3,1.6
Andaman and Nicobar,2021-01-18,,estimate,1.1,1.1,0.3,0.7,0.9,1,1.1,1.3,1.5
Andaman and Nicobar,2021-01-19,,estimate,1,1.1,0.2,0.7,0.9,1,1.1,1.2,1.5
Andaman and Nicobar,2021-01-20,,estimate,1,1,0.2,0.7,0.9,1,1.1,1.2,1.5
Andaman and Nicobar,2021-01-21,,estimate,1,1,0.2,0.6,0.8,0.9,1,1.2,1.4
Andaman and Nicobar,2021-01-22,,estimate,1,1,0.2,0.6,0.8,0.9,1,1.1,1.4
Andaman and Nicobar,2021-01-23,,estimate,0.9,1,0.2,0.6,0.8,0.9,1,1.1,1.3
Andaman and Nicobar,2021-01-24,,estimate,0.9,0.9,0.2,0.6,0.8,0.9,1,1.1,1.3
Andaman and Nicobar,2021-01-25,,estimate,0.9,0.9,0.2,0.6,0.8,0.9,1,1.1,1.3
Andaman and Nicobar,2021-01-26,,estimate,0.9,0.9,0.2,0.6,0.8,0.8,0.9,1,1.3
Andaman and Nicobar,2021-01-27,,estimate,0.9,0.9,0.2,0.6,0.7,0.8,0.9,1,1.3
Andaman and Nicobar,2021-01-28,,estimate,0.9,0.9,0.2,0.6,0.7,0.8,0.9,1,1.2
Andaman and Nicobar,2021-01-29,,estimate,0.8,0.9,0.2,0.6,0.7,0.8,0.9,1,1.2
Andaman and Nicobar,2021-01-30,,estimate,0.8,0.9,0.2,0.6,0.7,0.8,0.9,1,1.2
Andaman and Nicobar,2021-01-31,,estimate,0.8,0.8,0.2,0.5,0.7,0.8,0.9,1,1.2
Andaman and Nicobar,2021-02-01,,estimate,0.8,0.8,0.2,0.5,0.7,0.8,0.9,1,1.2
Andaman and Nicobar,2021-02-02,,estimate,0.8,0.8,0.2,0.5,0.7,0.8,0.9,0.9,1.2
Andaman and Nicobar,2021-02-03,,estimate,0.8,0.8,0.2,0.5,0.7,0.8,0.8,0.9,1.2
Andaman and Nicobar,2021-02-04,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.2
Andaman and Nicobar,2021-02-05,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.2
Andaman and Nicobar,2021-02-06,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.1
Andaman and Nicobar,2021-02-07,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.1
Andaman and Nicobar,2021-02-08,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.1
Andaman and Nicobar,2021-02-09,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.1
Andaman and Nicobar,2021-02-10,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.1
Andaman and Nicobar,2021-02-11,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.1
Andaman and Nicobar,2021-02-12,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.1
Andaman and Nicobar,2021-02-13,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.1
Andaman and Nicobar,2021-02-14,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.1
Andaman and Nicobar,2021-02-15,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.1
Andaman and Nicobar,2021-02-16,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.1
Andaman and Nicobar,2021-02-17,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.1
Andaman and Nicobar,2021-02-18,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.1
Andaman and Nicobar,2021-02-19,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.1
Andaman and Nicobar,2021-02-20,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.1
Andaman and Nicobar,2021-02-21,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.1
Andaman and Nicobar,2021-02-22,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.2
Andaman and Nicobar,2021-02-23,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,0.9,1.2
Andaman and Nicobar,2021-02-24,,estimate,0.8,0.8,0.2,0.5,0.7,0.8,0.8,0.9,1.2
Andaman and Nicobar,2021-02-25,,estimate,0.8,0.8,0.2,0.5,0.7,0.8,0.9,0.9,1.2
Andaman and Nicobar,2021-02-26,,estimate,0.8,0.8,0.2,0.5,0.7,0.8,0.9,1,1.2
Andaman and Nicobar,2021-02-27,,estimate,0.8,0.8,0.2,0.5,0.7,0.8,0.9,1,1.2
Andaman and Nicobar,2021-02-28,,estimate,0.8,0.9,0.2,0.6,0.7,0.8,0.9,1,1.2
Andaman and Nicobar,2021-03-01,,estimate,0.8,0.9,0.2,0.6,0.7,0.8,0.9,1,1.3
Andaman and Nicobar,2021-03-02,,estimate,0.9,0.9,0.2,0.6,0.7,0.8,0.9,1,1.3
Andaman and Nicobar,2021-03-03,,estimate,0.9,0.9,0.2,0.6,0.7,0.8,0.9,1,1.3
Andaman and Nicobar,2021-03-04,,estimate,0.9,0.9,0.2,0.6,0.7,0.8,0.9,1,1.3
Andaman and Nicobar,2021-03-05,,estimate,0.9,0.9,0.2,0.6,0.8,0.8,0.9,1,1.3
Andaman and Nicobar,2021-03-06,,estimate,0.9,0.9,0.2,0.6,0.8,0.8,1,1.1,1.3
Andaman and Nicobar,2021-03-07,,estimate,0.9,0.9,0.2,0.6,0.8,0.9,1,1.1,1.4
Andaman and Nicobar,2021-03-08,,estimate,0.9,1,0.2,0.6,0.8,0.9,1,1.1,1.4
Andaman and Nicobar,2021-03-09,,estimate,0.9,1,0.3,0.6,0.8,0.9,1,1.1,1.4
Andaman and Nicobar,2021-03-10,,estimate,1,1,0.3,0.6,0.8,0.9,1,1.1,1.5
