region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Andaman and Nicobar,2021-04-09,,estimate,16,16.9,8,6,11,14,18,21,31
Andaman and Nicobar,2021-04-10,,estimate,17,18.1,8.8,6,12,15,19,23,34
Andaman and Nicobar,2021-04-11,,estimate,18,19.2,9.3,7,13,16,20,24,36
Andaman and Nicobar,2021-04-12,,estimate,16,17.4,8.4,6,11,14,18,22,33
Andaman and Nicobar,2021-04-13,,estimate,18,19.3,9.3,7,13,16,20,24,36
Andaman and Nicobar,2021-04-14,,estimate,24,25.5,12,9,17,21,27,32,48
Andaman and Nicobar,2021-04-15,,estimate,26,27.7,12.8,11,19,23,29,34,51
Andaman and Nicobar,2021-04-16,,estimate,28,30.3,13.1,12,21,25,31,38,54
Andaman and Nicobar,2021-04-17,,estimate,30,31.6,13.8,13,22,27,33,39,57
Andaman and Nicobar,2021-04-18,,estimate,31,33.3,14.5,14,23,28,35,42,61
Andaman and Nicobar,2021-04-19,,estimate,28,29.7,13.2,12,20,25,31,37,54
Andaman and Nicobar,2021-04-20,,estimate,31,33.3,14.6,14,23,28,35,41,60
Andaman and Nicobar,2021-04-21,,estimate,41,44.4,19.4,19,30,37,46,55,81
Andaman and Nicobar,2021-04-22,,estimate,43,46.1,20.2,19,32,38,48,57,83
Andaman and Nicobar,2021-04-23,,estimate,46,49.4,20.4,21,35,42,51,61,88
Andaman and Nicobar,2021-04-24,,estimate,47,49.9,21.8,21,34,42,52,62,91
Andaman and Nicobar,2021-04-25,,estimate,49,51.2,22.1,21,35,43,54,64,91
Andaman and Nicobar,2021-04-26,,estimate,41,43.3,18.4,18,30,36,46,54,77
Andaman and Nicobar,2021-04-27,,estimate,43,46.2,20.1,20,32,39,48,57,84
Andaman and Nicobar,2021-04-28,,estimate,54,57.6,24.2,25,40,49,60,71,103
Andaman and Nicobar,2021-04-29,,estimate,54,57.6,24.6,24,40,48,60,71,102
Andaman and Nicobar,2021-04-30,,estimate,55,58.1,23.7,25,41,49,61,71,103
Andaman and Nicobar,2021-05-01,,estimate,52,55.5,23,24,40,47,58,68,97
Andaman and Nicobar,2021-05-02,,estimate,50,52.8,22.4,22,37,45,55,65,95
Andaman and Nicobar,2021-05-03,,estimate,41,43.3,18.4,18,30,37,45,54,76
Andaman and Nicobar,2021-05-04,,estimate,41,44,19.1,18,31,37,46,54,80
Andaman and Nicobar,2021-05-05,,estimate,49,52.6,22.3,23,37,44,55,65,93
Andaman and Nicobar,2021-05-06,,estimate,47,49.9,21.8,21,34,42,52,62,90
Andaman and Nicobar,2021-05-07,,estimate,45,48.7,20.8,21,34,41,51,60,87
Andaman and Nicobar,2021-05-08,,estimate,43,45.2,19.4,18,31,38,47,56,80
Andaman and Nicobar,2021-05-09,,estimate,41,43.1,18.3,19,30,36,45,53,76
Andaman and Nicobar,2021-05-10,,estimate,32,34.4,15.1,14,23,29,36,43,62
Andaman and Nicobar,2021-05-11,,estimate,33,34.7,15.3,14,24,29,36.4,43,63
Andaman and Nicobar,2021-05-12,,estimate,38,40.9,17.5,17,28,34,43,51,73
Andaman and Nicobar,2021-05-13,,estimate,37,39.4,16.9,16,27,33,41,49,69
Andaman and Nicobar,2021-05-14,,estimate,36,38.4,16.5,16,26,32,40,48,69
Andaman and Nicobar,2021-05-15,,estimate,34,36.3,16,15,25,30,38,45,65
Andaman and Nicobar,2021-05-16,,estimate,32,33.8,14.5,14,24,29,36,42,60
Andaman and Nicobar,2021-05-17,,estimate,26,27.3,12.2,11,19,23,29,34,50
Andaman and Nicobar,2021-05-18,,estimate,26,27.1,11.9,10,19,23,29,34,49
Andaman and Nicobar,2021-05-19,,estimate,31,32.4,13.9,13,22,28,34,40,58
Andaman and Nicobar,2021-05-20,,estimate,29,30.8,13.6,12,21,26,32,39,56
Andaman and Nicobar,2021-05-21,,estimate,28,30.1,13.1,12,21,25,31,37,54
Andaman and Nicobar,2021-05-22,,estimate,27,28.4,12.3,12,19,24,29.4,36,51
Andaman and Nicobar,2021-05-23,,estimate,25,27.2,12,11,19,23,28,34,50
Andaman and Nicobar,2021-05-24,,estimate,20,21.5,9.9,8,14,18,23,27,40
Andaman and Nicobar,2021-05-25,,estimate,20,21.8,10.2,8,15,18,23,27,41
Andaman and Nicobar,2021-05-26,,estimate,24,25.9,11.5,10,18,22,27,32,46
Andaman and Nicobar,2021-05-27,,estimate,23,24.8,11.1,10,17,21,26,31,46
Andaman and Nicobar,2021-05-28,,estimate,23,24.6,11.2,9,17,20,26,31,46
Andaman and Nicobar,2021-05-29,,estimate,22,23.3,10.5,9,16,19,25,29,43
Andaman and Nicobar,2021-05-30,,estimate,21,22.1,10.2,8,15,18,23,28,41
Andaman and Nicobar,2021-05-31,,estimate,17,18.2,8.6,7,12,15,19,23,34
Andaman and Nicobar,2021-06-01,,estimate,18,19,8.9,7,13,16,20,24,36
Andaman and Nicobar,2021-06-02,,estimate,22,23,10.4,9,15,19,24,29,42
Andaman and Nicobar,2021-06-03,,estimate,21,22.6,10.2,9,15,19,24,28,41
Andaman and Nicobar,2021-06-04,,estimate,21,22.9,10.3,9,16,19,24,28,41
Andaman and Nicobar,2021-06-05,,estimate,20,21.6,9.8,8,15,18,23,27,39
Andaman and Nicobar,2021-06-06,,estimate,20,21.3,9.9,8,14,17,22,27,40
Andaman and Nicobar,2021-06-07,,estimate,16,17.7,8.4,6,12,14,18,22,33
Andaman and Nicobar,2021-06-08,,estimate,17,18.5,8.6,7,12,15,19,23,35
Andaman and Nicobar,2021-06-09,,estimate,21,22.5,9.9,9,15,19,24,28,41
Andaman and Nicobar,2021-06-10,,estimate,21,21.9,9.9,8,15,18,23,28,40
Andaman and Nicobar,2021-06-11,,estimate,20,21.8,9.9,8,15,18,23,27,40
Andaman and Nicobar,2021-06-12,,estimate,19,20.5,9.4,8,14,17,22,26,38
Andaman and Nicobar,2021-06-13,,estimate,18,19.7,9.2,7,13,16,21,25,36
Andaman and Nicobar,2021-06-14,,estimate,15,15.5,7.4,5,10,13,16,20,29
Andaman and Nicobar,2021-06-15,,estimate,14,15.3,7.4,5,10,13,16,19,29
Andaman and Nicobar,2021-06-16,,estimate,17,18.2,8.5,7,12,15,19,23,34
Andaman and Nicobar,2021-06-17,,estimate,16,17.1,8.1,6,11,14,18,22,33
Andaman and Nicobar,2021-06-18,,estimate,15,15.7,7.4,6,10,13,16,20,29
Andaman and Nicobar,2021-06-19,,estimate,13,14.1,6.7,5,9,12,15,18,26
Andaman and Nicobar,2021-06-20,,estimate,12,12.8,6.3,4,8,10,13,16,24
Andaman and Nicobar,2021-06-21,,estimate,9,9.6,4.9,3,6,8,10,12,19
Andaman and Nicobar,2021-06-22,,estimate,9,9.2,4.8,3,6,7,10,12,18
Andaman and Nicobar,2021-06-23,,estimate,10,10.3,5.2,3,7,8,11,13,20
Andaman and Nicobar,2021-06-24,,estimate,9,9.3,4.7,3,6,8,10,12,18
Andaman and Nicobar,2021-06-25,,estimate,8,8.5,4.5,2,5,7,9,11,16
Andaman and Nicobar,2021-06-26,,estimate,7,7.5,4,2,5,6,8,10,15
