region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Andaman and Nicobar,2021-06-05,,estimate,-0.0608994275491008,-0.0549308062171459,0.0384358636780102,-0.10581956416167,-0.0820115209238843,-0.0688005251691251,-0.0523233017258303,-0.0349159691337233,0.0188572085682769
Andaman and Nicobar,2021-06-06,,estimate,-0.0640238652113091,-0.059334547526136,0.0341004088602628,-0.10587375335623,-0.0832635780659432,-0.0711094541346606,-0.0564525920632403,-0.040868182833395,0.00419293062349392
Andaman and Nicobar,2021-06-07,,estimate,-0.0670815154402504,-0.0637837879488103,0.0303495305992017,-0.106175909015813,-0.0851485609934411,-0.0735265721033939,-0.0604675461996321,-0.0468022387272767,-0.00807646159772061
Andaman and Nicobar,2021-06-08,,estimate,-0.0705418610146353,-0.0682269216664186,0.0272367226249345,-0.108037192574628,-0.0869335617597081,-0.0770342901310138,-0.0646059966652057,-0.0520085125414148,-0.0178527406428972
Andaman and Nicobar,2021-06-09,,estimate,-0.0738989921837452,-0.0726053193967888,0.0248222726454076,-0.109844726514957,-0.089295543771498,-0.0802109519674466,-0.0684129908663071,-0.0574823940220059,-0.0287757306032207
Andaman and Nicobar,2021-06-10,,estimate,-0.0772779683909729,-0.0768550754268856,0.0231570777921274,-0.113023164743792,-0.0920974528779309,-0.08294359557577,-0.0718494478748366,-0.0623824493312835,-0.0389283646446154
Andaman and Nicobar,2021-06-11,,estimate,-0.0804983762399218,-0.0809094407205666,0.0222519536760652,-0.116914338361128,-0.0952655476149104,-0.0860023355022371,-0.0755039756637149,-0.0667053135291584,-0.0454733511533419
Andaman and Nicobar,2021-06-12,,estimate,-0.0835597685895609,-0.0847016697990122,0.0220471483540687,-0.122686718405679,-0.0979689451609803,-0.0888690709240176,-0.0787289872627426,-0.0703990956167887,-0.0510414238969199
Andaman and Nicobar,2021-06-13,,estimate,-0.086313436860341,-0.0881678942470079,0.0224070928610529,-0.127892304587182,-0.10114641657609,-0.0915141467990888,-0.0814821745570139,-0.0732820873394303,-0.0549389111901476
Andaman and Nicobar,2021-06-14,,estimate,-0.0882475627836777,-0.091249629761986,0.0231485930707736,-0.134772411039196,-0.103816210720325,-0.0940202195685154,-0.0838940022917876,-0.0758699165027053,-0.0588048379506352
Andaman and Nicobar,2021-06-15,,estimate,-0.0906609620412207,-0.0938956370133113,0.0240823328163513,-0.139605786399242,-0.106055948554229,-0.0960216883860821,-0.0856691390583816,-0.0778251008911836,-0.0609436743425911
Andaman and Nicobar,2021-06-16,,estimate,-0.092328501007633,-0.0960630395169066,0.025043572255366,-0.144463166875422,-0.108804080678325,-0.0976320979892839,-0.0869382958739096,-0.0790103490126121,-0.0624522784176305
Andaman and Nicobar,2021-06-17,,estimate,-0.0933613572540082,-0.0977177740125497,0.0259047257076487,-0.14843640600899,-0.110489556010639,-0.0988546007903477,-0.0879373062944529,-0.0797330025797334,-0.0637424134941596
Andaman and Nicobar,2021-06-18,,estimate,-0.0938376293765495,-0.098834551895037,0.0265750974151988,-0.151730626173739,-0.111687982468473,-0.0996831885602815,-0.0884569089123872,-0.0803819363004527,-0.064662439708545
Andaman and Nicobar,2021-06-19,,estimate,-0.0940078320453696,-0.0993965338693235,0.0269949799152079,-0.153668859786475,-0.112392053512121,-0.0997925804017997,-0.0884178190840151,-0.080406964754296,-0.0653731369691999
Andaman and Nicobar,2021-06-20,,estimate,-0.0936249598087118,-0.0993948902067314,0.0271288441692713,-0.153551502866533,-0.112689089540308,-0.099721116355557,-0.088219963768614,-0.0802965070521009,-0.0658116444014923
Andaman and Nicobar,2021-06-21,,estimate,-0.0930210993435919,-0.0988283692838744,0.0269599536697894,-0.152031523402194,-0.111749908651007,-0.0992016452379224,-0.0877098786972202,-0.0800194884745534,-0.0656726366773106
Andaman and Nicobar,2021-06-22,,estimate,-0.091744343823767,-0.0977029493588272,0.0264874000467273,-0.150125989396941,-0.110362472638278,-0.0980601583425454,-0.0867640539103188,-0.0792904810407943,-0.065112702419531
Andaman and Nicobar,2021-06-23,,estimate,-0.0902260244310003,-0.0960316123205669,0.0257260168770838,-0.146646308216447,-0.108261288315472,-0.0963124751439324,-0.0855035965574392,-0.0782802994431555,-0.0642593735582811
Andaman and Nicobar,2021-06-24,,estimate,-0.0887390060000637,-0.0938342574094726,0.0247094106100123,-0.142883871571733,-0.105631409109597,-0.0944727388800433,-0.0838152742318288,-0.0769690204865464,-0.063103701604214
Andaman and Nicobar,2021-06-25,,estimate,-0.0866701460540788,-0.0911377660049883,0.0234960704448042,-0.137772434775796,-0.102271099433911,-0.0918422561180225,-0.0817968633657786,-0.0753505604426551,-0.0614599742019723
Andaman and Nicobar,2021-06-26,,estimate,-0.084280981350152,-0.0879762237609497,0.0221779719617189,-0.130993361040615,-0.0984629716941585,-0.08904442896069,-0.0795393011824234,-0.0733024844267321,-0.0594375423759246
Andaman and Nicobar,2021-06-27,,estimate,-0.0811761184894078,-0.0843912879926218,0.0208898040349044,-0.123536985451754,-0.0945770776173232,-0.0856858455876248,-0.0770958880778957,-0.0711492663483165,-0.0567616356585014
Andaman and Nicobar,2021-06-28,,estimate,-0.0781839189347661,-0.0804326536223057,0.0198134211040178,-0.115944496390049,-0.0902975133317027,-0.0824681807450239,-0.074130492984727,-0.068194374177015,-0.052991637068438
Andaman and Nicobar,2021-06-29,,estimate,-0.0746736556971951,-0.0761585343555011,0.0191650878786449,-0.109996698270588,-0.0862388703759122,-0.0788705690048112,-0.0709756788913637,-0.064923493605951,-0.048371178687617
Andaman and Nicobar,2021-06-30,,estimate,-0.0712900226208358,-0.071636047301677,0.0191492656688355,-0.10265291904782,-0.0820993779005896,-0.0750869789185258,-0.0674558083951968,-0.0613849071273647,-0.0425509786877418
Andaman and Nicobar,2021-07-01,,estimate,-0.0677326533543634,-0.0669413569058523,0.0198831400027804,-0.096755449823434,-0.0782401747802445,-0.0713949032672606,-0.0639851990932689,-0.0572362801872471,-0.0338548422287896
Andaman and Nicobar,2021-07-02,,estimate,-0.0642382766923517,-0.0621593782948225,0.0213399920884205,-0.0915857174437273,-0.074768759552996,-0.0681383959110581,-0.0605932787994797,-0.0528682198594314,-0.0242001723683756
Andaman and Nicobar,2021-07-03,,estimate,-0.0610313395491232,-0.0573827690565271,0.0233590556132623,-0.0871338384990942,-0.0713229058994139,-0.0648699433253895,-0.0568223161350429,-0.047793322710976,-0.0140628118471511
Andaman and Nicobar,2021-07-04,,estimate,-0.0576891404853693,-0.0527099022761356,0.0257033459364147,-0.0836333911661145,-0.0681829122140323,-0.0617982696050815,-0.0531730174489396,-0.0432778909912688,-0.00392011554719413
Andaman and Nicobar,2021-07-05,,estimate,-0.0545342151448156,-0.0482415812566506,0.0281155169351455,-0.0801451227904473,-0.0653925656859231,-0.0588168915573605,-0.0494739504230181,-0.0386329950969217,0.00547432356782973
Andaman and Nicobar,2021-07-06,,estimate,-0.0514524720016454,-0.0440764712963438,0.030353454263066,-0.0771136882398519,-0.0628341738081596,-0.0560182862744579,-0.046201036814846,-0.0336114581639145,0.0159841536875519
Andaman and Nicobar,2021-07-07,,estimate,-0.0486362720028131,-0.0403055607138247,0.0322137008546132,-0.0750324948898965,-0.0605757682986112,-0.053665078148478,-0.04278217769585,-0.028590066522023,0.0231585871410661
Andaman and Nicobar,2021-07-08,,estimate,-0.0461322115692335,-0.037006304381029,0.0335492714238001,-0.0729346860233236,-0.0583449244770273,-0.051348106536482,-0.03997110710564,-0.0243834000719919,0.0297887527196326
Andaman and Nicobar,2021-07-09,,estimate,-0.0438406923119492,-0.0342372786172216,0.0342795578688241,-0.0707799172173791,-0.0565589268020385,-0.0490053472179866,-0.0370399600687927,-0.0214600453282156,0.034876821561678
Andaman and Nicobar,2021-07-10,,estimate,-0.0416362604991815,-0.0320340882650462,0.0343886032660275,-0.0688164403320459,-0.0546804625329961,-0.0470932172310918,-0.0345284205725845,-0.0186377752225671,0.0356513250469202
Andaman and Nicobar,2021-07-11,,estimate,-0.0398364068639344,-0.0304069970016375,0.0339141315965799,-0.0674660199604996,-0.0529789640265967,-0.0450300573470503,-0.0324304054018938,-0.0165011489796124,0.0362904782479503
Andaman and Nicobar,2021-07-12,,estimate,-0.0379227232366926,-0.0293404957624869,0.0329351685021466,-0.0661804887238946,-0.0512070823136004,-0.0433427549101326,-0.030938700237809,-0.0153613703787799,0.0359347314436328
Andaman and Nicobar,2021-07-13,,estimate,-0.0364486644803779,-0.0287948741090155,0.0315639892072673,-0.0656669231125906,-0.0496858718728827,-0.0420704113186769,-0.0296368442938295,-0.0149567004484984,0.0324067452731427
Andaman and Nicobar,2021-07-14,,estimate,-0.0354020819601374,-0.0287097099858777,0.0299408656619136,-0.0652314317734631,-0.0486129619496393,-0.0410166085633866,-0.0291825853499717,-0.0153005674352765,0.0281317081124667
Andaman and Nicobar,2021-07-15,,estimate,-0.0347547611356303,-0.0290089213868635,0.0282259274432326,-0.0646077000676496,-0.0473527129281368,-0.0399099685099886,-0.0285801878164803,-0.0163150775355832,0.0245739076707582
Andaman and Nicobar,2021-07-16,,estimate,-0.0341496701414374,-0.0296066996169215,0.02658453293295,-0.0646440454511025,-0.0467506104962886,-0.0392719786961571,-0.0286059054530479,-0.0172115953896329,0.021671672406335
Andaman and Nicobar,2021-07-17,,estimate,-0.0341119135105902,-0.0304134750021354,0.0251667953840678,-0.0648372416564943,-0.046020937579274,-0.0387820755504107,-0.0284519401112892,-0.0185247097377744,0.0176012390472437
Andaman and Nicobar,2021-07-18,,estimate,-0.0340976940795924,-0.0313411674121897,0.0240850171109914,-0.0654691721780846,-0.0455495469087395,-0.0384588353997246,-0.0291509356620108,-0.0193819966531649,0.0131984894944518
Andaman and Nicobar,2021-07-19,,estimate,-0.0341294846785117,-0.0323072733425511,0.0233952940095844,-0.0669372852297216,-0.0455508181252072,-0.0383573833303675,-0.0291285267057179,-0.0201838823822094,0.0083162610968832
Andaman and Nicobar,2021-07-20,,estimate,-0.0339150790777167,-0.033237673172788,0.0230909021843697,-0.0690371624447352,-0.0456011552707305,-0.0382839271913702,-0.0290595877272019,-0.020626900247041,0.0042423784526643
Andaman and Nicobar,2021-07-21,,estimate,-0.0335467425952336,-0.0340682772022019,0.0231117625661887,-0.0721326689631911,-0.0457566194665632,-0.0381092065698668,-0.0290455380154098,-0.0208973452896907,0.00101183380290085
Andaman and Nicobar,2021-07-22,,estimate,-0.0333182720153258,-0.0347457291082271,0.0233662338174922,-0.0751751736711752,-0.0457459199117455,-0.0378020504544793,-0.0286976182331551,-0.0212106937460222,-0.000316859740067064
Andaman and Nicobar,2021-07-23,,estimate,-0.0330277457523936,-0.0352273869365777,0.0237555065797301,-0.0773011413376527,-0.0459222837602443,-0.0378014141565498,-0.0287293092404463,-0.0213054600715753,-0.00128626439755035
Andaman and Nicobar,2021-07-24,,estimate,-0.0327301414760709,-0.0354807657316621,0.0241921349723216,-0.0805541248924146,-0.0462331691637501,-0.0374503966769415,-0.0285011383061036,-0.0211403474818722,-0.00183595936738629
Andaman and Nicobar,2021-07-25,,estimate,-0.032290004675833,-0.0354825962347271,0.024609720342093,-0.0817959374859482,-0.0463507924065076,-0.0373087067500173,-0.0277132670401358,-0.0205034827589091,-0.00161160463089922
Andaman and Nicobar,2021-07-26,,estimate,-0.0316266758526845,-0.0352176442950979,0.0249649946854382,-0.0835017238236963,-0.0463476222413317,-0.0367982407755166,-0.0269319072823853,-0.0196853991799098,-0.00112702427689283
Andaman and Nicobar,2021-07-27,,estimate,-0.0309905031955331,-0.0346774377801404,0.0252349139419911,-0.0834865498178981,-0.0461550612512438,-0.0362236891202161,-0.0261892886743824,-0.0188820467191323,-0.00029352892685778
Andaman and Nicobar,2021-07-28,,estimate,-0.0301312774307878,-0.033859044764736,0.025411199081883,-0.0827800416418923,-0.0458106466101338,-0.0355094221414684,-0.0251742744235267,-0.0179130154931106,0.000574768777901462
Andaman and Nicobar,2021-07-29,,estimate,-0.028874837895834,-0.0327640232937072,0.0254944028137529,-0.0803163615800437,-0.0451169862139904,-0.0344199043552456,-0.0239243003096307,-0.0165944571566208,0.00171557685595005
Andaman and Nicobar,2021-07-30,,estimate,-0.0276407162493608,-0.031397615884752,0.0254892886616487,-0.0793581157719485,-0.0440064977154845,-0.0333037823962935,-0.022680094518717,-0.0151045223757698,0.00310845096409199
Andaman and Nicobar,2021-07-31,,estimate,-0.0260291420273176,-0.0297682042772544,0.0254026746842676,-0.0783696965719175,-0.0427023479157562,-0.0317029786663837,-0.0211624640671618,-0.0134745252938399,0.00476891152108814
Andaman and Nicobar,2021-08-01,,estimate,-0.0240428200417074,-0.0278869923715363,0.0252437538365136,-0.0749221507288027,-0.0410533252370624,-0.0297816160349272,-0.0193257381784441,-0.0116235540864784,0.00686983705354292
Andaman and Nicobar,2021-08-02,,estimate,-0.0223222323459788,-0.0257678615385664,0.0250257644157069,-0.0730524876751913,-0.038740127197069,-0.0274870613890728,-0.0174543368172494,-0.00975085266825924,0.00921319266245938
Andaman and Nicobar,2021-08-03,,estimate,-0.0201625054610954,-0.0234273414374311,0.0247673885334011,-0.0700735653478912,-0.0362285886970605,-0.0254433249321032,-0.0153737867228679,-0.00768327123660852,0.0113644578495574
Andaman and Nicobar,2021-08-04,,estimate,-0.0178247953649341,-0.0208846467002375,0.0244925792726673,-0.0668670103355588,-0.0336889167751144,-0.0231449526819711,-0.0129051266021858,-0.0054786168454152,0.0137116449512861
Andaman and Nicobar,2021-08-05,,estimate,-0.0155162964052735,-0.0181617261501973,0.0242284562417932,-0.0633454493011458,-0.0305966454962475,-0.0204942188174204,-0.0105265829427192,-0.00283610398628906,0.0158461819776232
Andaman and Nicobar,2021-08-06,,estimate,-0.0130809001937942,-0.0152832484711014,0.0240020174386343,-0.0594423027563823,-0.0277488155543475,-0.0180538476640045,-0.0082229834660692,-0.000534595983150087,0.0189511584627426
Andaman and Nicobar,2021-08-07,,estimate,-0.0106437317841382,-0.0122764223241435,0.023836937864506,-0.0544112190472491,-0.0250136739901746,-0.0153907142631831,-0.00560786721251327,0.00205652953311752,0.022284419505442
Andaman and Nicobar,2021-08-08,,estimate,-0.00810520246103597,-0.00917055209966421,0.023751179340276,-0.0501594164831567,-0.0221216152320899,-0.0129759714455842,-0.00265293737184611,0.00480074796350927,0.0255796848776337
Andaman and Nicobar,2021-08-09,,estimate,-0.00536911466154172,-0.0059962836828647,0.0237551307398646,-0.0460317588572073,-0.0192218417589774,-0.010351189319956,-2.40613624370049e-05,0.00803102520538771,0.0295580795146379
Andaman and Nicobar,2021-08-10,,estimate,-0.00249203880295247,-0.00278458412771561,0.0238497177486415,-0.042429699711715,-0.016120940871423,-0.00746316270736421,0.00251126745440965,0.0111619818056093,0.0340985200586734
Andaman and Nicobar,2021-08-11,,estimate,0.000265487592364466,0.000434419592208952,0.0240246436724934,-0.0390401373568049,-0.0131413685981175,-0.00459097088683752,0.00544229032961633,0.013967062036704,0.0395018863770962
Andaman and Nicobar,2021-08-12,,estimate,0.00295916862240337,0.00363259013407777,0.0242577527541503,-0.0352759630869169,-0.0102290967874433,-0.00181824919025588,0.00816437931545538,0.0172124630985308,0.0431913348874118
Andaman and Nicobar,2021-08-13,,estimate,0.0055003454362924,0.00678480202210631,0.0245166083848857,-0.0303908341687006,-0.00735198565792303,0.00111540230229184,0.0107349517173663,0.0198648681047582,0.0470856388659228
Andaman and Nicobar,2021-08-14,,estimate,0.00832970311427996,0.00986978511655556,0.0247627932467204,-0.0269211253473835,-0.00453888233366095,0.00381440747035412,0.0135157376734581,0.0226301195254213,0.0512013775604072
Andaman and Nicobar,2021-08-15,,estimate,0.0112085331036916,0.0128707710379355,0.0249586648135197,-0.0237034476454331,-0.00194265607953922,0.00654425239638978,0.0161792003931459,0.0252789522068556,0.0556235443744236
Andaman and Nicobar,2021-08-16,,estimate,0.0141984384946154,0.0157758962262142,0.0250755406272936,-0.0200818368020307,0.000816740634696967,0.00920137965101578,0.018735421166471,0.0282496440110065,0.0601153566036232
