region,date,confirm
Andaman and Nicobar,2021-05-24,9
Andhra Pradesh,2021-05-24,12994
Arunachal Pradesh,2021-05-24,480
Assam,2021-05-24,6221
Bihar,2021-05-24,2844
Chandigarh,2021-05-24,245
Chhattisgarh,2021-05-24,4209
Dadra and Nagar Haveli,2021-05-24,16
Daman and Diu,2021-05-24,0
Goa,2021-05-24,1401
Gujarat,2021-05-24,3187
Haryana,2021-05-24,3757
Himachal Pradesh,2021-05-24,1949
Jammu and Kashmir,2021-05-24,2237
Jharkhand,2021-05-24,1394
Karnataka,2021-05-24,25311
Kerala,2021-05-24,17821
Ladakh,2021-05-24,125
Lakshadweep,2021-05-24,236
Madhya Pradesh,2021-05-24,2936
Maharashtra,2021-05-24,22122
Manipur,2021-05-24,538
Meghalaya,2021-05-24,811
Mizoram,2021-05-24,112
Nagaland,2021-05-24,191
NCT of Delhi,2021-05-24,1550
Odisha,2021-05-24,11059
Puducherry,2021-05-24,922
Punjab,2021-05-24,4481
Rajasthan,2021-05-24,4414
Sikkim,2021-05-24,101
Tamil Nadu,2021-05-24,34867
Telangana,2021-05-24,3043
Tripura,2021-05-24,426
Uttar Pradesh,2021-05-24,3894
Uttarakhand,2021-05-24,2071
West Bengal,2021-05-24,17883
Andaman and Nicobar,2021-05-25,25
Andhra Pradesh,2021-05-25,15284
Arunachal Pradesh,2021-05-25,429
Assam,2021-05-25,5767
Bihar,2021-05-25,3306
Chandigarh,2021-05-25,258
Chhattisgarh,2021-05-25,3506
Dadra and Nagar Haveli,2021-05-25,34
Daman and Diu,2021-05-25,0
Goa,2021-05-25,1549
Gujarat,2021-05-25,3255
Haryana,2021-05-25,2817
Himachal Pradesh,2021-05-25,1999
Jammu and Kashmir,2021-05-25,2964
Jharkhand,2021-05-25,1247
Karnataka,2021-05-25,22758
Kerala,2021-05-25,29803
Ladakh,2021-05-25,278
Lakshadweep,2021-05-25,264
Madhya Pradesh,2021-05-25,2422
Maharashtra,2021-05-25,24136
Manipur,2021-05-25,824
Meghalaya,2021-05-25,957
Mizoram,2021-05-25,289
Nagaland,2021-05-25,276
NCT of Delhi,2021-05-25,1568
Odisha,2021-05-25,10939
Puducherry,2021-05-25,1237
Punjab,2021-05-25,4756
Rajasthan,2021-05-25,3404
Sikkim,2021-05-25,278
Tamil Nadu,2021-05-25,34285
Telangana,2021-05-25,3821
Tripura,2021-05-25,773
Uttar Pradesh,2021-05-25,3723
Uttarakhand,2021-05-25,2756
West Bengal,2021-05-25,17005
Andaman and Nicobar,2021-05-26,23
Andhra Pradesh,2021-05-26,18285
Arunachal Pradesh,2021-05-26,374
Assam,2021-05-26,5699
Bihar,2021-05-26,2603
Chandigarh,2021-05-26,224
Chhattisgarh,2021-05-26,2829
Dadra and Nagar Haveli,2021-05-26,14
Daman and Diu,2021-05-26,0
Goa,2021-05-26,1487
Gujarat,2021-05-26,3085
Haryana,2021-05-26,3138
Himachal Pradesh,2021-05-26,1365
Jammu and Kashmir,2021-05-26,3037
Jharkhand,2021-05-26,977
Karnataka,2021-05-26,26811
Kerala,2021-05-26,28798
Ladakh,2021-05-26,235
Lakshadweep,2021-05-26,118
Madhya Pradesh,2021-05-26,2182
Maharashtra,2021-05-26,24752
Manipur,2021-05-26,847
Meghalaya,2021-05-26,846
Mizoram,2021-05-26,316
Nagaland,2021-05-26,260
NCT of Delhi,2021-05-26,1491
Odisha,2021-05-26,11623
Puducherry,2021-05-26,1321
Punjab,2021-05-26,4004
Rajasthan,2021-05-26,3886
Sikkim,2021-05-26,295
Tamil Nadu,2021-05-26,33764
Telangana,2021-05-26,3762
Tripura,2021-05-26,667
Uttar Pradesh,2021-05-26,3176
Uttarakhand,2021-05-26,2991
West Bengal,2021-05-26,16225
Andaman and Nicobar,2021-05-27,16
Andhra Pradesh,2021-05-27,16167
Arunachal Pradesh,2021-05-27,444
Assam,2021-05-27,5704
Bihar,2021-05-27,2568
Chandigarh,2021-05-27,200
Chhattisgarh,2021-05-27,2824
Dadra and Nagar Haveli,2021-05-27,11
Daman and Diu,2021-05-27,0
Goa,2021-05-27,1504
Gujarat,2021-05-27,2869
Haryana,2021-05-27,2322
Himachal Pradesh,2021-05-27,1472
Jammu and Kashmir,2021-05-27,2769
Jharkhand,2021-05-27,695
Karnataka,2021-05-27,24214
Kerala,2021-05-27,24166
Ladakh,2021-05-27,141
