region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Kerala,9595 (6026 -- 15806),9595,10100,3084,6026,7996,8989,10323,11710,15806,New confirmed cases by infection date,Likely decreasing,0.72
Maharashtra,8597 (5844 -- 13701),8597,8970,2414,5844,7262,8041,9138,10203,13701,New confirmed cases by infection date,Likely decreasing,0.6
Tamil Nadu,7714 (6048 -- 10005),7714,7826,1212,6048,6965,7419,8015,8584,10005,New confirmed cases by infection date,Decreasing,1
Assam,4365 (2160 -- 10667),4365,5181,3186,2160,3219,3898,4884,6081,10667,New confirmed cases by infection date,Likely increasing,0.29
Andhra Pradesh,4088 (2519 -- 7006),4088,4342,1468,2519,3329,3788,4432,5035,7006,New confirmed cases by infection date,Likely decreasing,0.87
Karnataka,3619 (2291 -- 5591),3619,3740,1019,2291,3039,3382,3875,4294,5591,New confirmed cases by infection date,Decreasing,0.99
Odisha,2143 (1089 -- 3871),2143,2261,869,1089,1655,1945,2357,2718,3871,New confirmed cases by infection date,Decreasing,0.97
West Bengal,1577 (1002 -- 2558),1577,1652,494,1002,1306,1468,1700,1910,2558,New confirmed cases by infection date,Decreasing,0.98
Telangana,940 (436 -- 1951),940,1033,491,436,689,839,1059,1279,1951,New confirmed cases by infection date,Likely decreasing,0.87
Punjab,453 (270 -- 785),453,481,165,270,370,419,490,559,785,New confirmed cases by infection date,Likely decreasing,0.93
Tripura,407 (137 -- 1213),407,516,419,137,263,351,486,641,1213,New confirmed cases by infection date,Likely decreasing,0.75
Manipur,320 (155 -- 641),320,352,174,155,238,289,355,427,641,New confirmed cases by infection date,Likely decreasing,0.93
Meghalaya,314 (117 -- 992),314,401,329,117,207,265,361,483,992,New confirmed cases by infection date,Likely decreasing,0.6
Goa,309 (144 -- 826),309,379,254,144,224,275,357,447,826,New confirmed cases by infection date,Stable,0.53
Jammu and Kashmir,301 (179 -- 515),301,317,109,179,241,277,325,369,515,New confirmed cases by infection date,Decreasing,0.99
Haryana,261 (103 -- 666),261,309,198,103,178,227,303,384,666,New confirmed cases by infection date,Stable,0.45
Mizoram,250 (120 -- 526),250,279,148,120,188,226,276,332,526,New confirmed cases by infection date,Stable,0.48
Uttar Pradesh,248 (82 -- 778),248,322,289,82,163,211,295,395,778,New confirmed cases by infection date,Likely decreasing,0.67
Chhattisgarh,220 (94 -- 464),220,243,121,94,161,198,247,300,464,New confirmed cases by infection date,Decreasing,0.97
Bihar,203 (65 -- 630),203,258,205,65,128,172,239,318,630,New confirmed cases by infection date,Likely decreasing,0.76
Puducherry,194 (98 -- 390),194,213,98,98,147,175,215,255,390,New confirmed cases by infection date,Likely decreasing,0.93
NCT of Delhi,177 (52 -- 560),177,230,228,52,110,147,214,290,560,New confirmed cases by infection date,Likely decreasing,0.62
Arunachal Pradesh,176 (75 -- 429),176,203,122,75,122,153,201,251,429,New confirmed cases by infection date,Likely decreasing,0.71
Himachal Pradesh,143 (62 -- 357),143,169,102,62,103,126,164,210,357,New confirmed cases by infection date,Likely decreasing,0.91
Jharkhand,83 (34 -- 188),83,94,51,34,59,74,94,117,188,New confirmed cases by infection date,Decreasing,0.95
Rajasthan,82 (20 -- 330),82,117,117,20,46,65,101,143,330,New confirmed cases by infection date,Likely decreasing,0.75
Sikkim,67 (20 -- 175),67,78,53,20,44,57,77,99,175,New confirmed cases by infection date,Decreasing,0.96
Nagaland,58 (7 -- 321),58,113,288,7,28,45,75,112,321,New confirmed cases by infection date,Likely decreasing,0.81
Chandigarh,46 (19 -- 112),46,54,31,19,33,41,52,66,112,New confirmed cases by infection date,Stable,0.44
Uttarakhand,45 (15 -- 142),45,57,48,15,29,38,52,70,142,New confirmed cases by infection date,Decreasing,0.97
Ladakh,26 (6 -- 95),26,36,38,6,16,21,31,43,95,New confirmed cases by infection date,Likely decreasing,0.86
Andaman and Nicobar,20 (7 -- 58),20,25,19,7,14,17,24,31,58,New confirmed cases by infection date,Stable,0.42
Lakshadweep,7 (0 -- 83),7,28,260,0,2,5,11,20,83,New confirmed cases by infection date,Likely decreasing,0.87
Assam,1.1 (0.81 -- 1.7),1.1,1.2,0.29,0.81,0.98,1.1,1.2,1.3,1.7,Effective reproduction no.,Likely increasing,0.29
Andaman and Nicobar,1 (0.72 -- 1.5),1,1.1,0.26,0.72,0.9,0.99,1.1,1.2,1.5,Effective reproduction no.,Stable,0.42
Chandigarh,1 (0.68 -- 1.6),1,1.1,0.28,0.68,0.88,0.98,1.1,1.2,1.6,Effective reproduction no.,Stable,0.44
Haryana,1 (0.61 -- 1.7),1,1.1,0.34,0.61,0.85,0.97,1.1,1.3,1.7,Effective reproduction no.,Stable,0.45
Mizoram,1 (0.74 -- 1.4),1,1,0.2,0.74,0.9,0.97,1.1,1.1,1.4,Effective reproduction no.,Stable,0.48
Goa,0.98 (0.69 -- 1.5),0.98,1,0.28,0.69,0.85,0.92,1,1.2,1.5,Effective reproduction no.,Stable,0.53
Maharashtra,0.97 (0.79 -- 1.2),0.97,0.98,0.14,0.79,0.89,0.94,1,1.1,1.2,Effective reproduction no.,Likely decreasing,0.6
Meghalaya,0.93 (0.58 -- 1.6),0.93,0.98,0.31,0.58,0.77,0.87,1,1.1,1.6,Effective reproduction no.,Likely decreasing,0.6
Kerala,0.92 (0.72 -- 1.2),0.92,0.93,0.14,0.72,0.84,0.89,0.95,1,1.2,Effective reproduction no.,Likely decreasing,0.72
NCT of Delhi,0.89 (0.41 -- 1.7),0.89,0.95,0.42,0.41,0.66,0.79,0.98,1.2,1.7,Effective reproduction no.,Likely decreasing,0.62
Tripura,0.88 (0.59 -- 1.2),0.88,0.89,0.21,0.59,0.76,0.83,0.92,1,1.2,Effective reproduction no.,Likely decreasing,0.75
Uttar Pradesh,0.87 (0.5 -- 1.5),0.87,0.92,0.32,0.5,0.71,0.81,0.95,1.1,1.5,Effective reproduction no.,Likely decreasing,0.67
Arunachal Pradesh,0.86 (0.54 -- 1.4),0.86,0.89,0.26,0.54,0.71,0.8,0.92,1,1.4,Effective reproduction no.,Likely decreasing,0.71
Andhra Pradesh,0.85 (0.66 -- 1.1),0.85,0.86,0.13,0.66,0.77,0.82,0.88,0.94,1.1,Effective reproduction no.,Likely decreasing,0.87
Telangana,0.82 (0.58 -- 1.1),0.82,0.83,0.16,0.58,0.72,0.78,0.86,0.93,1.1,Effective reproduction no.,Likely decreasing,0.87
Bihar,0.8 (0.45 -- 1.4),0.8,0.84,0.29,0.45,0.64,0.74,0.87,0.99,1.4,Effective reproduction no.,Likely decreasing,0.76
Tamil Nadu,0.79 (0.68 -- 0.91),0.79,0.79,0.072,0.68,0.74,0.77,0.81,0.84,0.91,Effective reproduction no.,Decreasing,1
Punjab,0.78 (0.6 -- 1),0.78,0.79,0.13,0.6,0.71,0.75,0.81,0.87,1,Effective reproduction no.,Likely decreasing,0.93
Nagaland,0.75 (0.29 -- 1.5),0.75,0.8,0.42,0.29,0.57,0.68,0.82,0.93,1.5,Effective reproduction no.,Likely decreasing,0.81
Puducherry,0.75 (0.54 -- 1),0.75,0.77,0.16,0.54,0.66,0.72,0.79,0.86,1,Effective reproduction no.,Likely decreasing,0.93
Rajasthan,0.75 (0.36 -- 1.5),0.75,0.83,0.38,0.36,0.56,0.67,0.84,1,1.5,Effective reproduction no.,Likely decreasing,0.75
Manipur,0.74 (0.51 -- 1),0.74,0.75,0.17,0.51,0.64,0.7,0.78,0.85,1,Effective reproduction no.,Likely decreasing,0.93
Himachal Pradesh,0.72 (0.47 -- 1.1),0.72,0.74,0.19,0.47,0.62,0.68,0.76,0.85,1.1,Effective reproduction no.,Likely decreasing,0.91
Ladakh,0.72 (0.41 -- 1.2),0.72,0.76,0.27,0.41,0.59,0.68,0.78,0.89,1.2,Effective reproduction no.,Likely decreasing,0.86
Karnataka,0.71 (0.57 -- 0.89),0.71,0.72,0.098,0.57,0.65,0.69,0.74,0.78,0.89,Effective reproduction no.,Decreasing,0.99
West Bengal,0.71 (0.55 -- 0.91),0.71,0.71,0.11,0.55,0.64,0.68,0.73,0.78,0.91,Effective reproduction no.,Decreasing,0.98
Odisha,0.69 (0.47 -- 0.95),0.69,0.7,0.15,0.47,0.6,0.66,0.73,0.79,0.95,Effective reproduction no.,Decreasing,0.97
Jharkhand,0.68 (0.43 -- 0.99),0.68,0.69,0.17,0.43,0.58,0.65,0.72,0.8,0.99,Effective reproduction no.,Decreasing,0.95
Jammu and Kashmir,0.67 (0.51 -- 0.88),0.67,0.68,0.12,0.51,0.6,0.65,0.7,0.75,0.88,Effective reproduction no.,Decreasing,0.99
Sikkim,0.64 (0.36 -- 0.96),0.64,0.65,0.18,0.36,0.53,0.6,0.69,0.76,0.96,Effective reproduction no.,Decreasing,0.96
Chhattisgarh,0.63 (0.38 -- 0.94),0.63,0.64,0.17,0.38,0.52,0.59,0.67,0.74,0.94,Effective reproduction no.,Decreasing,0.97
Uttarakhand,0.54 (0.34 -- 0.89),0.54,0.57,0.18,0.34,0.44,0.5,0.58,0.65,0.89,Effective reproduction no.,Decreasing,0.97
Lakshadweep,0.48 (0.11 -- 1.4),0.48,0.58,0.5,0.11,0.28,0.4,0.56,0.74,1.4,Effective reproduction no.,Likely decreasing,0.87
Dadra and Nagar Haveli,0.36 (0.066 -- 0.79),0.36,0.39,0.24,0.066,0.21,0.3,0.42,0.53,0.79,Effective reproduction no.,Decreasing,0.99
Dadra and Nagar Haveli,0 (0 -- 3),0,1,1,0,0,0,0,1,3,New confirmed cases by infection date,Decreasing,0.99
