Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Andaman and Nicobar,0 (0 -- 2),Decreasing,0.44 (0.14 -- 0.81),-0.17 (-0.29 -- -0.055),-4 (-13 -- -2.4)
Andhra Pradesh,2216 (1410 -- 3456),Likely decreasing,0.87 (0.7 -- 1.1),-0.036 (-0.087 -- 0.018),-19 (38 -- -7.9)
Arunachal Pradesh,533 (256 -- 1119),Likely increasing,1.2 (0.85 -- 1.8),0.06 (-0.041 -- 0.2),12 (3.5 -- -17)
Assam,2046 (1128 -- 3889),Likely decreasing,0.96 (0.71 -- 1.3),-0.011 (-0.083 -- 0.082),-63 (8.4 -- -8.4)
Bihar,103 (45 -- 223),Likely decreasing,0.83 (0.55 -- 1.2),-0.049 (-0.14 -- 0.05),-14 (14 -- -5.1)
Chandigarh,4 (1 -- 14),Likely decreasing,0.64 (0.36 -- 1.1),-0.11 (-0.2 -- 0.027),-6.6 (26 -- -3.5)
Chhattisgarh,297 (156 -- 534),Stable,0.97 (0.69 -- 1.3),-0.0076 (-0.089 -- 0.081),-91 (8.5 -- -7.8)
Dadra and Nagar Haveli,2 (0 -- 14),Likely decreasing,0.91 (0.47 -- 1.7),-0.026 (-0.16 -- 0.17),-27 (4.2 -- -4.3)
Goa,140 (65 -- 277),Likely decreasing,0.9 (0.63 -- 1.2),-0.028 (-0.11 -- 0.061),-25 (11 -- -6.4)
Haryana,17 (6 -- 43),Decreasing,0.54 (0.3 -- 0.91),-0.14 (-0.22 -- -0.025),-5.1 (-28 -- -3.1)
Himachal Pradesh,95 (46 -- 195),Likely decreasing,0.89 (0.63 -- 1.2),-0.029 (-0.11 -- 0.065),-24 (11 -- -6.3)
Jammu and Kashmir,264 (161 -- 455),Stable,0.97 (0.76 -- 1.3),-0.0072 (-0.069 -- 0.073),-97 (9.5 -- -10)
Jharkhand,23 (8 -- 52),Decreasing,0.66 (0.38 -- 0.94),-0.099 (-0.19 -- -0.018),-7 (-39 -- -3.6)
Karnataka,1627 (1075 -- 2433),Likely decreasing,0.84 (0.68 -- 1),-0.045 (-0.092 -- 0.0037),-15 (190 -- -7.5)
Kerala,12742 (8514 -- 19020),Stable,1 (0.82 -- 1.2),0.0042 (-0.051 -- 0.064),160 (11 -- -14)
Ladakh,7 (2 -- 29),Likely decreasing,0.76 (0.42 -- 1.2),-0.068 (-0.18 -- 0.06),-10 (12 -- -3.9)
Lakshadweep,22 (3 -- 142),Likely decreasing,0.86 (0.29 -- 2),-0.04 (-0.23 -- 0.25),-17 (2.8 -- -3)
Maharashtra,9269 (6954 -- 11786),Stable,1 (0.88 -- 1.1),0.0033 (-0.033 -- 0.034),210 (20 -- -21)
Manipur,828 (451 -- 1504),Likely increasing,1.1 (0.85 -- 1.5),0.036 (-0.044 -- 0.13),19 (5.4 -- -16)
Meghalaya,393 (159 -- 1002),Stable,0.96 (0.59 -- 1.5),-0.013 (-0.12 -- 0.13),-55 (5.3 -- -5.8)
Mizoram,213 (78 -- 491),Likely decreasing,0.87 (0.56 -- 1.2),-0.036 (-0.13 -- 0.05),-19 (14 -- -5.3)
NCT of Delhi,13 (2 -- 51),Decreasing,0.39 (0.14 -- 0.8),-0.19 (-0.29 -- -0.056),-3.7 (-12 -- -2.4)
Nagaland,56 (6 -- 357),Likely decreasing,0.85 (0.26 -- 2),-0.044 (-0.24 -- 0.25),-16 (2.8 -- -2.9)
Odisha,2953 (1747 -- 4645),Stable,0.98 (0.74 -- 1.2),-0.0049 (-0.073 -- 0.059),-140 (12 -- -9.4)
Puducherry,116 (66 -- 198),Likely decreasing,0.84 (0.65 -- 1.1),-0.044 (-0.1 -- 0.016),-16 (42 -- -6.8)
Punjab,36 (14 -- 74),Decreasing,0.55 (0.33 -- 0.74),-0.13 (-0.21 -- -0.073),-5.2 (-9.4 -- -3.3)
Rajasthan,26 (8 -- 69),Decreasing,0.55 (0.27 -- 0.97),-0.13 (-0.23 -- -0.0096),-5.2 (-72 -- -3)
Sikkim,223 (90 -- 608),Likely increasing,1.2 (0.81 -- 1.8),0.055 (-0.053 -- 0.2),13 (3.5 -- -13)
Tamil Nadu,3260 (2381 -- 4367),Likely decreasing,0.96 (0.8 -- 1.1),-0.01 (-0.056 -- 0.035),-69 (20 -- -12)
Telangana,591 (321 -- 1077),Likely decreasing,0.88 (0.65 -- 1.2),-0.033 (-0.1 -- 0.044),-21 (16 -- -6.8)
Tripura,378 (161 -- 1075),Stable,1 (0.74 -- 1.5),0.004 (-0.075 -- 0.12),170 (5.6 -- -9.2)
Uttar Pradesh,42 (8 -- 132),Decreasing,0.53 (0.17 -- 1),-0.14 (-0.28 -- -0.00079),-4.9 (-870 -- -2.5)
Uttarakhand,197 (91 -- 426),Likely increasing,1.1 (0.81 -- 1.6),0.038 (-0.054 -- 0.15),18 (4.7 -- -13)
West Bengal,989 (590 -- 1556),Likely decreasing,0.86 (0.64 -- 1.1),-0.04 (-0.11 -- 0.024),-17 (29 -- -6.5)
