region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Molise,2020-03-03,,estimate,2.5,2.6,0.8,1.5,2,2.3,2.7,3,4
Molise,2020-03-04,,estimate,2.6,2.7,0.8,1.6,2.2,2.4,2.8,3.2,4.2
Molise,2020-03-05,,estimate,2.8,2.9,0.8,1.8,2.3,2.6,3.1,3.4,4.5
Molise,2020-03-06,,estimate,3.1,3.2,0.9,1.9,2.5,2.9,3.3,3.7,4.7
Molise,2020-03-07,,estimate,3.3,3.4,0.9,2.1,2.8,3.1,3.6,4,5
Molise,2020-03-08,,estimate,3.6,3.7,0.9,2.4,3.1,3.4,3.9,4.3,5.4
Molise,2020-03-09,,estimate,4,4,1,2.6,3.4,3.7,4.2,4.6,5.8
Molise,2020-03-10,,estimate,4.3,4.4,1,3,3.7,4.1,4.6,5,6.2
Molise,2020-03-11,,estimate,4.7,4.8,1,3.3,4.1,4.5,5,5.4,6.7
Molise,2020-03-12,,estimate,5.2,5.3,1.1,3.6,4.5,4.9,5.4,5.9,7.2
Molise,2020-03-13,,estimate,5.6,5.7,1.2,4,4.9,5.3,5.9,6.4,7.8
Molise,2020-03-14,,estimate,6.1,6.2,1.2,4.4,5.3,5.8,6.4,6.9,8.4
Molise,2020-03-15,,estimate,6.6,6.7,1.3,4.8,5.8,6.3,6.9,7.5,9.1
Molise,2020-03-16,,estimate,7.1,7.2,1.4,5.2,6.2,6.7,7.4,8,9.8
Molise,2020-03-17,,estimate,7.5,7.7,1.5,5.5,6.6,7.2,7.9,8.6,10.4
Molise,2020-03-18,,estimate,8,8.2,1.6,5.9,7,7.6,8.4,9.1,11.1
Molise,2020-03-19,,estimate,8.4,8.5,1.7,6.1,7.3,7.9,8.8,9.5,11.7
Molise,2020-03-20,,estimate,8.7,8.9,1.8,6.4,7.6,8.2,9.1,9.9,12.1
Molise,2020-03-21,,estimate,8.9,9.1,1.9,6.5,7.8,8.5,9.3,10.2,12.5
Molise,2020-03-22,,estimate,9,9.3,1.9,6.6,7.9,8.6,9.5,10.4,12.7
Molise,2020-03-23,,estimate,9.1,9.3,1.9,6.7,8,8.7,9.5,10.4,12.8
Molise,2020-03-24,,estimate,9,9.3,1.9,6.7,8,8.6,9.5,10.3,12.8
Molise,2020-03-25,,estimate,8.9,9.2,1.8,6.6,7.9,8.5,9.3,10.2,12.5
Molise,2020-03-26,,estimate,8.7,8.9,1.8,6.5,7.7,8.3,9.1,9.9,12.2
Molise,2020-03-27,,estimate,8.4,8.7,1.7,6.3,7.5,8,8.8,9.6,11.7
Molise,2020-03-28,,estimate,8.1,8.3,1.6,6.1,7.2,7.7,8.5,9.2,11.2
Molise,2020-03-29,,estimate,7.7,7.9,1.5,5.8,6.9,7.4,8.1,8.8,10.7
Molise,2020-03-30,,estimate,7.4,7.5,1.4,5.5,6.5,7,7.7,8.3,10.1
Molise,2020-03-31,,estimate,7,7.1,1.3,5.2,6.2,6.6,7.3,7.9,9.5
Molise,2020-04-01,,estimate,6.6,6.7,1.3,4.9,5.8,6.3,6.9,7.5,8.9
Molise,2020-04-02,,estimate,6.2,6.3,1.2,4.5,5.4,5.9,6.5,7,8.4
Molise,2020-04-03,,estimate,5.8,5.9,1.2,4.2,5.1,5.5,6.1,6.6,8
Molise,2020-04-04,,estimate,5.4,5.5,1.1,3.9,4.7,5.2,5.7,6.2,7.6
Molise,2020-04-05,,estimate,5.1,5.2,1.1,3.6,4.4,4.8,5.4,5.9,7.2
Molise,2020-04-06,,estimate,4.8,4.9,1.1,3.4,4.1,4.5,5.1,5.6,6.8
Molise,2020-04-07,,estimate,4.5,4.6,1.1,3.1,3.9,4.3,4.8,5.3,6.5
Molise,2020-04-08,,estimate,4.3,4.4,1,2.9,3.6,4,4.5,5,6.3
Molise,2020-04-09,,estimate,4.1,4.2,1,2.7,3.4,3.8,4.3,4.8,6.1
Molise,2020-04-10,,estimate,3.9,4,1,2.6,3.3,3.6,4.1,4.6,5.9
Molise,2020-04-11,,estimate,3.7,3.8,1,2.5,3.1,3.5,4,4.4,5.7
Molise,2020-04-12,,estimate,3.6,3.7,1,2.3,3,3.4,3.9,4.3,5.6
Molise,2020-04-13,,estimate,3.5,3.6,1,2.3,2.9,3.3,3.8,4.2,5.5
Molise,2020-04-14,,estimate,3.4,3.5,1,2.2,2.8,3.2,3.7,4.1,5.4
Molise,2020-04-15,,estimate,3.4,3.5,1,2.1,2.8,3.2,3.6,4.1,5.3
Molise,2020-04-16,,estimate,3.4,3.5,1,2.1,2.7,3.1,3.6,4.1,5.3
Molise,2020-04-17,,estimate,3.4,3.5,1,2.1,2.7,3.1,3.6,4.1,5.3
Molise,2020-04-18,,estimate,3.4,3.5,1,2.1,2.8,3.1,3.6,4.1,5.3
Molise,2020-04-19,,estimate,3.4,3.5,1,2.1,2.8,3.2,3.7,4.1,5.3
Molise,2020-04-20,,estimate,3.5,3.6,1,2.2,2.9,3.3,3.8,4.2,5.4
Molise,2020-04-21,,estimate,3.6,3.7,1,2.3,3,3.4,3.9,4.3,5.4
Molise,2020-04-22,,estimate,3.7,3.8,1,2.4,3.1,3.5,4,4.4,5.5
Molise,2020-04-23,,estimate,3.9,4,1,2.5,3.2,3.6,4.1,4.6,5.7
Molise,2020-04-24,,estimate,4,4.1,1,2.6,3.4,3.8,4.3,4.7,5.8
Molise,2020-04-25,,estimate,4.2,4.3,1,2.8,3.6,4,4.5,4.9,6
Molise,2020-04-26,,estimate,4.4,4.5,1,3.1,3.8,4.2,4.6,5.1,6.3
Molise,2020-04-27,,estimate,4.6,4.7,1,3.3,4,4.4,4.8,5.3,6.5
Molise,2020-04-28,,estimate,4.8,4.9,1,3.5,4.2,4.6,5,5.5,6.7
Molise,2020-04-29,,estimate,5,5.1,1,3.6,4.4,4.7,5.2,5.7,6.9
Molise,2020-04-30,,estimate,5.1,5.2,1,3.8,4.5,4.9,5.4,5.8,7.2
Molise,2020-05-01,,estimate,5.3,5.4,1.1,3.9,4.6,5,5.5,6,7.3
Molise,2020-05-02,,estimate,5.3,5.5,1.1,3.9,4.7,5.1,5.6,6.1,7.5
Molise,2020-05-03,,estimate,5.4,5.5,1.1,3.9,4.7,5.1,5.7,6.2,7.6
Molise,2020-05-04,,estimate,5.4,5.5,1.1,3.9,4.7,5.1,5.6,6.2,7.5
Molise,2020-05-05,,estimate,5.3,5.4,1.1,3.8,4.6,5,5.5,6.1,7.4
Molise,2020-05-06,,estimate,5.1,5.2,1.1,3.6,4.4,4.9,5.4,5.9,7.2
Molise,2020-05-07,,estimate,4.9,5,1.1,3.5,4.2,4.7,5.2,5.6,7
Molise,2020-05-08,,estimate,4.6,4.8,1,3.3,4,4.4,4.9,5.3,6.6
Molise,2020-05-09,,estimate,4.3,4.4,1,3,3.8,4.1,4.6,5,6.2
Molise,2020-05-10,,estimate,4,4.1,0.9,2.8,3.5,3.8,4.2,4.6,5.7
Molise,2020-05-11,,estimate,3.7,3.8,0.8,2.6,3.2,3.5,3.9,4.2,5.3
Molise,2020-05-12,,estimate,3.3,3.4,0.8,2.3,2.9,3.2,3.5,3.9,4.8
Molise,2020-05-13,,estimate,3,3.1,0.7,2.1,2.6,2.9,3.2,3.5,4.4
Molise,2020-05-14,,estimate,2.7,2.8,0.6,1.9,2.4,2.6,2.9,3.2,3.9
Molise,2020-05-15,,estimate,2.4,2.5,0.6,1.7,2.1,2.3,2.6,2.8,3.5
Molise,2020-05-16,,estimate,2.2,2.2,0.5,1.5,1.9,2.1,2.3,2.5,3.2
Molise,2020-05-17,,estimate,1.9,2,0.5,1.3,1.7,1.8,2.1,2.3,2.9
Molise,2020-05-18,,estimate,1.7,1.8,0.4,1.1,1.5,1.6,1.8,2,2.6
Molise,2020-05-19,,estimate,1.5,1.6,0.4,1,1.3,1.4,1.6,1.8,2.3
Molise,2020-05-20,,estimate,1.4,1.4,0.4,0.9,1.2,1.3,1.5,1.6,2.1
Molise,2020-05-21,,estimate,1.2,1.3,0.3,0.8,1,1.1,1.3,1.5,1.9
Molise,2020-05-22,,estimate,1.1,1.1,0.3,0.7,0.9,1,1.2,1.3,1.7
Molise,2020-05-23,,estimate,1,1,0.3,0.6,0.8,0.9,1.1,1.2,1.5
Molise,2020-05-24,,estimate,0.9,0.9,0.3,0.5,0.7,0.8,1,1.1,1.4
Molise,2020-05-25,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.9,1,1.3
Molise,2020-05-26,,estimate,0.7,0.8,0.2,0.4,0.6,0.7,0.8,0.9,1.2
Molise,2020-05-27,,estimate,0.7,0.7,0.2,0.4,0.5,0.6,0.7,0.8,1.1
Molise,2020-05-28,,estimate,0.6,0.6,0.2,0.4,0.5,0.6,0.7,0.7,1
Molise,2020-05-29,,estimate,0.6,0.6,0.2,0.3,0.4,0.5,0.6,0.7,0.9
Molise,2020-05-30,,estimate,0.5,0.5,0.2,0.3,0.4,0.5,0.5,0.6,0.8
Molise,2020-05-31,,estimate,0.5,0.5,0.2,0.3,0.4,0.4,0.5,0.6,0.8
Molise,2020-06-01,,estimate,0.4,0.5,0.2,0.2,0.3,0.4,0.5,0.5,0.7
Molise,2020-06-02,,estimate,0.4,0.4,0.1,0.2,0.3,0.4,0.4,0.5,0.7
Molise,2020-06-03,,estimate,0.4,0.4,0.1,0.2,0.3,0.4,0.4,0.5,0.7
Molise,2020-06-04,,estimate,0.4,0.4,0.1,0.2,0.3,0.3,0.4,0.5,0.6
Molise,2020-06-05,,estimate,0.3,0.4,0.1,0.2,0.3,0.3,0.4,0.4,0.6
Molise,2020-06-06,,estimate,0.3,0.3,0.1,0.2,0.3,0.3,0.3,0.4,0.6
Molise,2020-06-07,,estimate,0.3,0.3,0.1,0.2,0.2,0.3,0.3,0.4,0.5
Molise,2020-06-08,,estimate,0.3,0.3,0.1,0.2,0.2,0.3,0.3,0.4,0.5
Molise,2020-06-09,,estimate,0.3,0.3,0.1,0.1,0.2,0.3,0.3,0.4,0.5
Molise,2020-06-10,,estimate,0.3,0.3,0.1,0.1,0.2,0.2,0.3,0.3,0.5
Molise,2020-06-11,,estimate,0.3,0.3,0.1,0.1,0.2,0.2,0.3,0.3,0.5
Molise,2020-06-12,,estimate,0.2,0.3,0.1,0.1,0.2,0.2,0.3,0.3,0.5
Molise,2020-06-13,,estimate,0.2,0.3,0.1,0.1,0.2,0.2,0.3,0.3,0.4
Molise,2020-06-14,,estimate,0.2,0.3,0.1,0.1,0.2,0.2,0.3,0.3,0.4
Molise,2020-06-15,,estimate,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.4
Molise,2020-06-16,,estimate,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4
Molise,2020-06-17,,estimate,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4
Molise,2020-06-18,,estimate,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4
Molise,2020-06-19,,estimate,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4
Molise,2020-06-20,,estimate,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4
Molise,2020-06-21,,estimate,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4
Molise,2020-06-22,,estimate,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4
Molise,2020-06-23,,estimate,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4
Molise,2020-06-24,,estimate,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.3,0.4
Molise,2020-06-25,,estimate,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.4
Molise,2020-06-26,,estimate,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.4
Molise,2020-06-27,,estimate,0.2,0.3,0.1,0.1,0.2,0.2,0.3,0.3,0.4
Molise,2020-06-28,,estimate,0.3,0.3,0.1,0.1,0.2,0.2,0.3,0.3,0.5
Molise,2020-06-29,,estimate,0.3,0.3,0.1,0.1,0.2,0.2,0.3,0.3,0.5
Molise,2020-06-30,,estimate,0.3,0.3,0.1,0.1,0.2,0.3,0.3,0.4,0.5
Molise,2020-07-01,,estimate,0.3,0.3,0.1,0.1,0.2,0.3,0.3,0.4,0.5
Molise,2020-07-02,,estimate,0.3,0.3,0.1,0.2,0.2,0.3,0.3,0.4,0.6
Molise,2020-07-03,,estimate,0.3,0.4,0.1,0.2,0.3,0.3,0.4,0.4,0.6
Molise,2020-07-04,,estimate,0.4,0.4,0.1,0.2,0.3,0.3,0.4,0.5,0.6
Molise,2020-07-05,,estimate,0.4,0.4,0.1,0.2,0.3,0.4,0.4,0.5,0.7
Molise,2020-07-06,,estimate,0.4,0.4,0.2,0.2,0.3,0.4,0.5,0.5,0.7
Molise,2020-07-07,,estimate,0.5,0.5,0.2,0.3,0.4,0.4,0.5,0.6,0.8
Molise,2020-07-08,,estimate,0.5,0.5,0.2,0.3,0.4,0.5,0.5,0.6,0.8
Molise,2020-07-09,,estimate,0.6,0.6,0.2,0.3,0.4,0.5,0.6,0.7,0.9
Molise,2020-07-10,,estimate,0.6,0.6,0.2,0.4,0.5,0.6,0.7,0.7,1
Molise,2020-07-11,,estimate,0.7,0.7,0.2,0.4,0.5,0.6,0.7,0.8,1.1
Molise,2020-07-12,,estimate,0.7,0.8,0.2,0.4,0.6,0.7,0.8,0.9,1.2
Molise,2020-07-13,,estimate,0.8,0.8,0.2,0.5,0.7,0.7,0.8,1,1.3
Molise,2020-07-14,,estimate,0.9,0.9,0.3,0.5,0.7,0.8,0.9,1,1.4
Molise,2020-07-15,,estimate,0.9,1,0.3,0.6,0.8,0.9,1,1.1,1.5
Molise,2020-07-16,,estimate,1,1,0.3,0.6,0.8,0.9,1.1,1.2,1.6
Molise,2020-07-17,,estimate,1.1,1.1,0.3,0.7,0.9,1,1.1,1.3,1.7
Molise,2020-07-18,,estimate,1.1,1.2,0.3,0.7,1,1.1,1.2,1.4,1.8
Molise,2020-07-19,,estimate,1.2,1.3,0.3,0.8,1,1.1,1.3,1.4,1.9
Molise,2020-07-20,,estimate,1.3,1.3,0.3,0.8,1.1,1.2,1.3,1.5,1.9
Molise,2020-07-21,,estimate,1.3,1.4,0.4,0.9,1.1,1.2,1.4,1.6,2
Molise,2020-07-22,,estimate,1.4,1.4,0.4,0.9,1.2,1.3,1.5,1.6,2.1
Molise,2020-07-23,,estimate,1.4,1.5,0.4,0.9,1.2,1.3,1.5,1.7,2.2
Molise,2020-07-24,,estimate,1.5,1.5,0.4,1,1.2,1.4,1.6,1.7,2.2
Molise,2020-07-25,,estimate,1.5,1.5,0.4,1,1.3,1.4,1.6,1.8,2.3
Molise,2020-07-26,,estimate,1.5,1.6,0.4,1,1.3,1.4,1.6,1.8,2.3
Molise,2020-07-27,,estimate,1.6,1.6,0.4,1,1.3,1.5,1.7,1.8,2.4
Molise,2020-07-28,,estimate,1.6,1.6,0.4,1,1.3,1.5,1.7,1.9,2.4
Molise,2020-07-29,,estimate,1.6,1.7,0.4,1.1,1.4,1.5,1.7,1.9,2.4
Molise,2020-07-30,,estimate,1.6,1.7,0.4,1.1,1.4,1.5,1.7,1.9,2.5
Molise,2020-07-31,,estimate,1.7,1.7,0.4,1.1,1.4,1.6,1.8,2,2.5
Molise,2020-08-01,,estimate,1.7,1.7,0.4,1.1,1.4,1.6,1.8,2,2.5
Molise,2020-08-02,,estimate,1.7,1.8,0.4,1.1,1.5,1.6,1.8,2,2.6
Molise,2020-08-03,,estimate,1.8,1.8,0.5,1.2,1.5,1.7,1.9,2.1,2.7
Molise,2020-08-04,,estimate,1.8,1.9,0.5,1.2,1.5,1.7,1.9,2.1,2.7
Molise,2020-08-05,,estimate,1.8,1.9,0.5,1.2,1.6,1.7,2,2.2,2.7
Molise,2020-08-06,,estimate,1.9,1.9,0.5,1.3,1.6,1.8,2,2.2,2.8
Molise,2020-08-07,,estimate,1.9,2,0.5,1.3,1.6,1.8,2.1,2.3,2.8
Molise,2020-08-08,,estimate,2,2,0.5,1.4,1.7,1.9,2.1,2.3,2.9
Molise,2020-08-09,,estimate,2,2.1,0.5,1.4,1.7,1.9,2.1,2.4,3
Molise,2020-08-10,,estimate,2.1,2.1,0.5,1.4,1.8,1.9,2.2,2.4,3
Molise,2020-08-11,,estimate,2.1,2.2,0.5,1.5,1.8,2,2.3,2.5,3.1
Molise,2020-08-12,,estimate,2.2,2.2,0.5,1.5,1.9,2,2.3,2.5,3.1
Molise,2020-08-13,,estimate,2.2,2.3,0.5,1.5,1.9,2.1,2.3,2.6,3.2
Molise,2020-08-14,,estimate,2.3,2.3,0.5,1.6,1.9,2.1,2.4,2.6,3.3
Molise,2020-08-15,,estimate,2.3,2.4,0.5,1.6,2,2.2,2.4,2.7,3.3
Molise,2020-08-16,,estimate,2.3,2.4,0.5,1.6,2,2.2,2.5,2.7,3.4
Molise,2020-08-17,,estimate,2.4,2.4,0.6,1.6,2,2.2,2.5,2.8,3.5
Molise,2020-08-18,,estimate,2.4,2.5,0.6,1.7,2.1,2.3,2.6,2.8,3.5
Molise,2020-08-19,,estimate,2.5,2.5,0.6,1.7,2.1,2.3,2.6,2.9,3.6
Molise,2020-08-20,,estimate,2.5,2.6,0.6,1.7,2.2,2.4,2.7,2.9,3.7
Molise,2020-08-21,,estimate,2.6,2.6,0.6,1.8,2.2,2.4,2.7,3,3.8
Molise,2020-08-22,,estimate,2.6,2.7,0.6,1.8,2.2,2.5,2.8,3.1,3.8
Molise,2020-08-23,,estimate,2.7,2.8,0.6,1.9,2.3,2.5,2.8,3.1,3.9
Molise,2020-08-24,,estimate,2.7,2.8,0.7,1.9,2.3,2.6,2.9,3.2,4
Molise,2020-08-25,,estimate,2.8,2.9,0.7,2,2.4,2.7,3,3.3,4.1
Molise,2020-08-26,,estimate,2.9,3,0.7,2,2.5,2.7,3.1,3.3,4.2
Molise,2020-08-27,,estimate,3,3.1,0.7,2.1,2.6,2.8,3.1,3.4,4.3
Molise,2020-08-28,,estimate,3.1,3.2,0.7,2.2,2.7,2.9,3.2,3.5,4.4
Molise,2020-08-29,,estimate,3.2,3.3,0.7,2.2,2.8,3,3.3,3.7,4.6
Molise,2020-08-30,,estimate,3.3,3.4,0.7,2.3,2.9,3.1,3.4,3.8,4.7
Molise,2020-08-31,,estimate,3.4,3.5,0.8,2.4,3,3.2,3.6,3.9,4.9
Molise,2020-09-01,,estimate,3.5,3.6,0.8,2.5,3.1,3.3,3.7,4,5
Molise,2020-09-02,,estimate,3.6,3.7,0.8,2.6,3.2,3.5,3.9,4.2,5.2
Molise,2020-09-03,,estimate,3.8,3.9,0.8,2.7,3.3,3.6,4,4.4,5.4
Molise,2020-09-04,,estimate,3.9,4,0.8,2.8,3.4,3.7,4.1,4.5,5.6
Molise,2020-09-05,,estimate,4.1,4.2,0.9,3,3.6,3.9,4.3,4.7,5.7
Molise,2020-09-06,,estimate,4.2,4.3,0.9,3.1,3.7,4,4.5,4.9,5.9
Molise,2020-09-07,,estimate,4.4,4.5,0.9,3.2,3.8,4.2,4.6,5,6.1
Molise,2020-09-08,,estimate,4.5,4.6,0.9,3.3,4,4.3,4.8,5.2,6.3
Molise,2020-09-09,,estimate,4.7,4.8,1,3.4,4.1,4.4,4.9,5.4,6.5
Molise,2020-09-10,,estimate,4.8,4.9,1,3.5,4.2,4.6,5.1,5.5,6.7
Molise,2020-09-11,,estimate,5,5.1,1,3.6,4.4,4.7,5.2,5.7,6.9
Molise,2020-09-12,,estimate,5.1,5.2,1,3.7,4.5,4.9,5.4,5.8,7.1
Molise,2020-09-13,,estimate,5.3,5.4,1.1,3.8,4.6,5,5.5,6,7.3
Molise,2020-09-14,,estimate,5.4,5.5,1.1,3.9,4.7,5.1,5.7,6.1,7.5
Molise,2020-09-15,,estimate,5.5,5.6,1.1,4,4.8,5.2,5.8,6.3,7.6
Molise,2020-09-16,,estimate,5.7,5.8,1.2,4.1,4.9,5.4,5.9,6.5,7.8
Molise,2020-09-17,,estimate,5.8,5.9,1.2,4.2,5.1,5.5,6.1,6.6,8
Molise,2020-09-18,,estimate,5.9,6.1,1.2,4.3,5.2,5.6,6.2,6.8,8.2
Molise,2020-09-19,,estimate,6.1,6.2,1.3,4.4,5.3,5.8,6.4,7,8.5
Molise,2020-09-20,,estimate,6.3,6.4,1.4,4.4,5.5,6,6.6,7.2,8.8
Molise,2020-09-21,,estimate,6.5,6.6,1.4,4.6,5.6,6.2,6.9,7.5,9.2
Molise,2020-09-22,,estimate,6.8,6.9,1.5,4.7,5.8,6.4,7.2,7.8,9.6
Molise,2020-09-23,,estimate,7.1,7.2,1.6,4.8,6.1,6.7,7.5,8.1,10.1
Molise,2020-09-24,,estimate,7.4,7.6,1.7,5,6.3,7,7.9,8.6,10.7
Molise,2020-09-25,,estimate,7.8,8,1.8,5.3,6.7,7.4,8.3,9,11.3
Molise,2020-09-26,,estimate,8.3,8.5,2,5.6,7.1,7.8,8.8,9.6,12.1
Molise,2020-09-27,,estimate,8.9,9.1,2.1,6,7.6,8.3,9.4,10.3,12.9
Molise,2020-09-28,,estimate,9.6,9.8,2.3,6.5,8.2,9,10.1,11.1,13.9
Molise,2020-09-29,,estimate,10.4,10.6,2.4,7.1,8.9,9.8,11,12,15
Molise,2020-09-30,,estimate,11.3,11.6,2.6,7.8,9.7,10.7,11.9,13.1,16.2
Molise,2020-10-01,,estimate,12.4,12.7,2.8,8.7,10.7,11.8,13.1,14.4,17.8
Molise,2020-10-02,,estimate,13.7,14,3,9.7,11.8,13,14.4,15.8,19.5
Molise,2020-10-03,,estimate,15.2,15.5,3.2,10.9,13.2,14.5,16,17.4,21.3
Molise,2020-10-04,,estimate,17,17.3,3.5,12.3,14.7,16.1,17.8,19.3,23.4
Molise,2020-10-05,,estimate,18.9,19.2,3.8,13.8,16.5,18,19.8,21.4,26
