region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Molise,2020-03-03,,estimate,0,0.7,1,0,0,0,1,1,3
Molise,2020-03-04,,estimate,1,2.1,2.2,0,0,1,2,3,6
Molise,2020-03-05,,estimate,2,2.2,2.3,0,1,1,2,3,7
Molise,2020-03-06,,estimate,2,2.9,3,0,1,2,3,4,9
Molise,2020-03-07,,estimate,2,2.2,2.3,0,1,1,2,3,7
Molise,2020-03-08,,estimate,2,3.1,3.1,0,1,2,3,4,9
Molise,2020-03-09,,estimate,1,1.5,1.8,0,0,1,1,2,5
Molise,2020-03-10,,estimate,1,1.1,1.4,0,0,0,1,2,4
Molise,2020-03-11,,estimate,3,3.3,3.2,0,1,2,3,5,10
Molise,2020-03-12,,estimate,3,3.6,3.5,0,1,2,3,5,10
Molise,2020-03-13,,estimate,3,4.4,4,0,1.8,3,4,6,12
Molise,2020-03-14,,estimate,3,3.6,3.4,0,1,2,4,5,10
Molise,2020-03-15,,estimate,4,5.2,4.8,0,2,3,5,7,15
Molise,2020-03-16,,estimate,2,2.7,2.7,0,1,1,3,4,8
Molise,2020-03-17,,estimate,1,2,2.1,0,0,1,2,3,6
Molise,2020-03-18,,estimate,5,5.8,5,0,2,3,6,8,15
Molise,2020-03-19,,estimate,5,6.3,5.5,0,2,4,6,9,17
Molise,2020-03-20,,estimate,6,7.8,6.5,0,3,5,8,11,20
Molise,2020-03-21,,estimate,5,6.5,5.5,0,2,4,7,9,17
Molise,2020-03-22,,estimate,7,8.9,7.4,1,4,5,9,12,23
Molise,2020-03-23,,estimate,3,4.5,4,0,2,3,4,6,13
Molise,2020-03-24,,estimate,2,3.2,3.1,0,1,2,3,5,9
Molise,2020-03-25,,estimate,7,9.2,7.6,1,4,6,9,13,24
Molise,2020-03-26,,estimate,8,9.6,8.1,1,4,6,10,13,25
Molise,2020-03-27,,estimate,9,11.3,9.4,1,5,7,11,16,30
Molise,2020-03-28,,estimate,7,8.6,7.3,1,3,5,8,12,23
