region,date,confirm
Abruzzo,2020-02-24,0
Basilicata,2020-02-24,0
Calabria,2020-02-24,0
Campania,2020-02-24,0
Emilia-Romagna,2020-02-24,18
Friuli Venezia Giulia,2020-02-24,0
Lazio,2020-02-24,3
Liguria,2020-02-24,0
Lombardia,2020-02-24,172
Marche,2020-02-24,0
Molise,2020-02-24,0
Piemonte,2020-02-24,3
Puglia,2020-02-24,0
Sardegna,2020-02-24,0
Sicilia,2020-02-24,0
Toscana,2020-02-24,0
Trentino-Alto Adige,2020-02-24,0
Umbria,2020-02-24,0
Valle d'Aosta,2020-02-24,0
Veneto,2020-02-24,33
Abruzzo,2020-02-25,0
Basilicata,2020-02-25,0
Calabria,2020-02-25,0
Campania,2020-02-25,0
Emilia-Romagna,2020-02-25,8
Friuli Venezia Giulia,2020-02-25,0
Lazio,2020-02-25,0
Liguria,2020-02-25,1
Lombardia,2020-02-25,68
Marche,2020-02-25,0
Molise,2020-02-25,0
Piemonte,2020-02-25,0
Puglia,2020-02-25,0
Sardegna,2020-02-25,0
Sicilia,2020-02-25,3
Toscana,2020-02-25,2
Trentino-Alto Adige,2020-02-25,1
Umbria,2020-02-25,0
Valle d'Aosta,2020-02-25,0
Veneto,2020-02-25,10
Abruzzo,2020-02-26,0
Basilicata,2020-02-26,0
Calabria,2020-02-26,0
Campania,2020-02-26,0
Emilia-Romagna,2020-02-26,21
Friuli Venezia Giulia,2020-02-26,0
Lazio,2020-02-26,0
Liguria,2020-02-26,10
Lombardia,2020-02-26,18
Marche,2020-02-26,1
Molise,2020-02-26,0
Piemonte,2020-02-26,0
Puglia,2020-02-26,0
Sardegna,2020-02-26,0
Sicilia,2020-02-26,0
Toscana,2020-02-26,0
Trentino-Alto Adige,2020-02-26,0
Umbria,2020-02-26,0
Valle d'Aosta,2020-02-26,0
Veneto,2020-02-26,28
Abruzzo,2020-02-27,1
Basilicata,2020-02-27,0
Calabria,2020-02-27,0
Campania,2020-02-27,3
Emilia-Romagna,2020-02-27,50
Friuli Venezia Giulia,2020-02-27,0
Lazio,2020-02-27,0
Liguria,2020-02-27,8
Lombardia,2020-02-27,145
Marche,2020-02-27,2
Molise,2020-02-27,0
Piemonte,2020-02-27,0
Puglia,2020-02-27,1
Sardegna,2020-02-27,0
Sicilia,2020-02-27,1
Toscana,2020-02-27,0
Trentino-Alto Adige,2020-02-27,0
Umbria,2020-02-27,0
Valle d'Aosta,2020-02-27,0
Veneto,2020-02-27,40
Abruzzo,2020-02-28,0
Basilicata,2020-02-28,0
Calabria,2020-02-28,1
Campania,2020-02-28,1
Emilia-Romagna,2020-02-28,48
Friuli Venezia Giulia,2020-02-28,0
Lazio,2020-02-28,0
Liguria,2020-02-28,0
Lombardia,2020-02-28,128
Marche,2020-02-28,3
Molise,2020-02-28,0
Piemonte,2020-02-28,9
Puglia,2020-02-28,2
Sardegna,2020-02-28,0
Sicilia,2020-02-28,0
Toscana,2020-02-28,6
Trentino-Alto Adige,2020-02-28,0
Umbria,2020-02-28,0
Valle d'Aosta,2020-02-28,0
Veneto,2020-02-28,40
Abruzzo,2020-02-29,1
Basilicata,2020-02-29,0
Calabria,2020-02-29,0
Campania,2020-02-29,9
Emilia-Romagna,2020-02-29,72
Friuli Venezia Giulia,2020-02-29,0
Lazio,2020-02-29,3
Liguria,2020-02-29,23
Lombardia,2020-02-29,84
Marche,2020-02-29,5
Molise,2020-02-29,0
Piemonte,2020-02-29,0
Puglia,2020-02-29,0
Sardegna,2020-02-29,0
Sicilia,2020-02-29,0
Toscana,2020-02-29,3
Trentino-Alto Adige,2020-02-29,0
Umbria,2020-02-29,0
Valle d'Aosta,2020-02-29,0
Veneto,2020-02-29,40
Abruzzo,2020-03-01,3
Basilicata,2020-03-01,0
Calabria,2020-03-01,0
Campania,2020-03-01,4
Emilia-Romagna,2020-03-01,68
Friuli Venezia Giulia,2020-03-01,6
Lazio,2020-03-01,0
Liguria,2020-03-01,0
Lombardia,2020-03-01,369
Marche,2020-03-01,14
Molise,2020-03-01,0
Piemonte,2020-03-01,38
Puglia,2020-03-01,0
Sardegna,2020-03-01,0
Sicilia,2020-03-01,5
Toscana,2020-03-01,2
Trentino-Alto Adige,2020-03-01,0
Umbria,2020-03-01,2
Valle d'Aosta,2020-03-01,0
Veneto,2020-03-01,72
Abruzzo,2020-03-02,0
Basilicata,2020-03-02,0
Calabria,2020-03-02,0
Campania,2020-03-02,0
Emilia-Romagna,2020-03-02,50
Friuli Venezia Giulia,2020-03-02,3
Lazio,2020-03-02,1
Liguria,2020-03-02,0
Lombardia,2020-03-02,270
Marche,2020-03-02,10
Molise,2020-03-02,0
Piemonte,2020-03-02,2
Puglia,2020-03-02,1
Sardegna,2020-03-02,0
Sicilia,2020-03-02,0
Toscana,2020-03-02,0
Trentino-Alto Adige,2020-03-02,0
Umbria,2020-03-02,0
Valle d'Aosta,2020-03-02,0
Veneto,2020-03-02,10
Abruzzo,2020-03-03,1
Basilicata,2020-03-03,1
Calabria,2020-03-03,0
Campania,2020-03-03,13
Emilia-Romagna,2020-03-03,85
Friuli Venezia Giulia,2020-03-03,4
Lazio,2020-03-03,7
Liguria,2020-03-03,2
Lombardia,2020-03-03,266
Marche,2020-03-03,26
Molise,2020-03-03,3
Piemonte,2020-03-03,5
Puglia,2020-03-03,2
Sardegna,2020-03-03,1
Sicilia,2020-03-03,0
Toscana,2020-03-03,6
Trentino-Alto Adige,2020-03-03,4
Umbria,2020-03-03,6
Valle d'Aosta,2020-03-03,0
Veneto,2020-03-03,34
Abruzzo,2020-03-04,1
Basilicata,2020-03-04,0
Calabria,2020-03-04,0
Campania,2020-03-04,1
Emilia-Romagna,2020-03-04,124
Friuli Venezia Giulia,2020-03-04,5
Lazio,2020-03-04,16
Liguria,2020-03-04,2
Lombardia,2020-03-04,300
Marche,2020-03-04,23
Molise,2020-03-04,0
Piemonte,2020-03-04,26
Puglia,2020-03-04,3
Sardegna,2020-03-04,1
Sicilia,2020-03-04,11
Toscana,2020-03-04,19
Trentino-Alto Adige,2020-03-04,1
Umbria,2020-03-04,1
Valle d'Aosta,2020-03-04,0
Veneto,2020-03-04,53
Abruzzo,2020-03-05,1
Basilicata,2020-03-05,0
Calabria,2020-03-05,1
Campania,2020-03-05,14
Emilia-Romagna,2020-03-05,154
Friuli Venezia Giulia,2020-03-05,3
Lazio,2020-03-05,14
Liguria,2020-03-05,2
Lombardia,2020-03-05,431
Marche,2020-03-05,40
Molise,2020-03-05,4
Piemonte,2020-03-05,26
Puglia,2020-03-05,5
Sardegna,2020-03-05,0
Sicilia,2020-03-05,0
Toscana,2020-03-05,23
Trentino-Alto Adige,2020-03-05,2
Umbria,2020-03-05,0
Valle d'Aosta,2020-03-05,2
