region,date,type,median,lower_90,upper_90,lower_50,upper_50
Abruzzo,2020-06-19,estimate,2.5,1,3,2,3
Abruzzo,2020-06-20,estimate,2.5,1,3,2,3
Abruzzo,2020-06-21,estimate,2.6,1,3,2,3
Abruzzo,2020-06-22,estimate,2.6,1,4,2,3
Abruzzo,2020-06-23,estimate,2.7,1,4,2,3
Abruzzo,2020-06-24,estimate,2.8,2,4,2,3
Abruzzo,2020-06-25,estimate,2.8,2,4,2,3
Abruzzo,2020-06-26,estimate,2.9,2,4,2,3
Abruzzo,2020-06-27,estimate,3,2,4,3,3
Abruzzo,2020-06-28,estimate,3.1,2,4,3,4
Abruzzo,2020-06-29,estimate,3.2,2,4,3,4
Abruzzo,2020-06-30,estimate,3.3,2,4,3,4
Abruzzo,2020-07-01,estimate,3.4,2,5,3,4
Abruzzo,2020-07-02,estimate,3.5,2,5,3,4
Abruzzo,2020-07-03,estimate,3.6,2,5,3,4
Abruzzo,2020-07-04,estimate,3.7,2,5,3,4
Abruzzo,2020-07-05,estimate,3.8,2,5,3,4
Abruzzo,2020-07-06,estimate,3.9,2,5,3,4
Abruzzo,2020-07-07,estimate,4,3,6,3,4
Abruzzo,2020-07-08,estimate,4.1,3,6,3,4
Abruzzo,2020-07-09,estimate,4.2,3,6,3,5
Abruzzo,2020-07-10,estimate,4.3,3,6,3,5
Abruzzo,2020-07-11,estimate,4.5,3,6,4,5
Abruzzo,2020-07-12,estimate,4.6,3,7,4,5
Abruzzo,2020-07-13,estimate,4.7,3,7,4,5
Abruzzo,2020-07-14,estimate,4.8,3,7,4,5
Abruzzo,2020-07-15,estimate,5,3,7,4,6
Abruzzo,2020-07-16,estimate,5.1,3,7,4,6
Abruzzo,2020-07-17,estimate,5.2,3,8,4,6
Abruzzo,2020-07-18,estimate,5.4,3,8,4,6
Abruzzo,2020-07-19,estimate based on partial data,5.5,3,8,4,6
Abruzzo,2020-07-20,estimate based on partial data,5.7,3,9,4,7
Abruzzo,2020-07-21,estimate based on partial data,5.9,3,10,4,7
Abruzzo,2020-07-22,estimate based on partial data,6.1,3,10,4,7
Abruzzo,2020-07-23,estimate based on partial data,6.3,3,11,4,7
Abruzzo,2020-07-24,estimate based on partial data,6.5,3,11,4,7
Abruzzo,2020-07-25,estimate based on partial data,6.7,3,12,4,7
Abruzzo,2020-07-26,estimate based on partial data,6.9,3,14,4,8
Abruzzo,2020-07-27,estimate based on partial data,7.1,2,14,4,8
Abruzzo,2020-07-28,estimate based on partial data,7.3,1,16,4,8
Abruzzo,2020-07-29,estimate based on partial data,7.6,1,18,4,8
Abruzzo,2020-07-30,estimate based on partial data,7.8,1,19,4,9
Abruzzo,2020-07-31,estimate based on partial data,8,0,21,4,9
Abruzzo,2020-08-01,forecast,8.2,0,23,3,9
Abruzzo,2020-08-02,forecast,8.3,0,27,3,10
Abruzzo,2020-08-03,forecast,8.5,0,29,3,10
Abruzzo,2020-08-04,forecast,8.7,0,32,3,10
Abruzzo,2020-08-05,forecast,8.9,0,36,3,11
Abruzzo,2020-08-06,forecast,9.2,0,40,2,10
Abruzzo,2020-08-07,forecast,9.4,0,44,2,11
Abruzzo,2020-08-08,forecast,9.6,0,49,2,11
Abruzzo,2020-08-09,forecast,9.8,0,56,2,11
Abruzzo,2020-08-10,forecast,10,0,64,2,12
Abruzzo,2020-08-11,forecast,10.3,0,73,1,11
Abruzzo,2020-08-12,forecast,10.5,0,82,0,11
Abruzzo,2020-08-13,forecast,10.7,0,93,0,11
Abruzzo,2020-08-14,forecast,11,0,107,0,11
Basilicata,2020-06-23,estimate,0.3,0,1,0,0
Basilicata,2020-06-24,estimate,0.3,0,1,0,0
Basilicata,2020-06-25,estimate,0.4,0,1,0,0
Basilicata,2020-06-26,estimate,0.4,0,1,0,0
Basilicata,2020-06-27,estimate,0.5,0,1,0,1
Basilicata,2020-06-28,estimate,0.5,0,1,0,1
Basilicata,2020-06-29,estimate,0.6,0,1,0,1
Basilicata,2020-06-30,estimate,0.6,0,1,0,1
Basilicata,2020-07-01,estimate,0.7,0,2,0,1
Basilicata,2020-07-02,estimate,0.8,0,2,0,1
Basilicata,2020-07-03,estimate,0.9,0,2,0,1
Basilicata,2020-07-04,estimate,1,0,2,0,1
Basilicata,2020-07-05,estimate,1.1,0,3,1,1
Basilicata,2020-07-06,estimate,1.2,0,3,1,1
Basilicata,2020-07-07,estimate,1.4,0,3,1,2
Basilicata,2020-07-08,estimate,1.5,0,4,1,2
Basilicata,2020-07-09,estimate,1.7,0,4,1,2
Basilicata,2020-07-10,estimate,1.9,1,5,1,2
Basilicata,2020-07-11,estimate,2.1,1,5,1,2
Basilicata,2020-07-12,estimate,2.4,1,5,1,3
Basilicata,2020-07-13,estimate,2.6,1,6,1,3
Basilicata,2020-07-14,estimate,2.9,1,7,1,3
Basilicata,2020-07-15,estimate,3.2,1,8,2,4
Basilicata,2020-07-16,estimate,3.5,1,9,2,4
Basilicata,2020-07-17,estimate,3.9,1,10,2,4
Basilicata,2020-07-18,estimate,4.3,1,11,2,5
Basilicata,2020-07-19,estimate based on partial data,4.6,1,13,2,5
Basilicata,2020-07-20,estimate based on partial data,5.1,1,15,2,6
Basilicata,2020-07-21,estimate based on partial data,5.6,0,17,2,6
Basilicata,2020-07-22,estimate based on partial data,6.1,0,20,2,7
Basilicata,2020-07-23,estimate based on partial data,6.7,0,23,2,7
Basilicata,2020-07-24,estimate based on partial data,7.3,0,27,2,8
Basilicata,2020-07-25,estimate based on partial data,8,0,33,1,9
Basilicata,2020-07-26,estimate based on partial data,8.8,0,39,2,10
Basilicata,2020-07-27,estimate based on partial data,9.6,0,46,1,10
Basilicata,2020-07-28,estimate based on partial data,10.4,0,55,0,10
Basilicata,2020-07-29,estimate based on partial data,11.5,0,65,0,11
Basilicata,2020-07-30,estimate based on partial data,12.4,0,78,0,12
Basilicata,2020-07-31,estimate based on partial data,13.6,0,90,0,14
Basilicata,2020-08-01,forecast,15,0,107,0,15
Basilicata,2020-08-02,forecast,16.4,0,132,0,16
Basilicata,2020-08-03,forecast,18.1,0,164,0,18
Basilicata,2020-08-04,forecast,19.8,0,202,0,20
Basilicata,2020-08-05,forecast,21.8,0,252,0,22
