region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Abruzzo,2020-11-19,,estimate,568.9,576.1,71.1,473.5,524.7,552.7,586.6,618.2,706.6
Abruzzo,2020-11-20,,estimate,538.3,545.8,66.9,449.4,498.2,523.2,555.2,584.5,669.9
Abruzzo,2020-11-21,,estimate,506,513,62.3,424.5,469.4,491.6,521.9,548.2,625.6
Abruzzo,2020-11-22,,estimate,473.9,480.4,57.8,398.9,439.9,460.2,488.7,513,583.5
Abruzzo,2020-11-23,,estimate,443.4,449,53.4,373.9,412.3,430.8,455.7,478.8,542.1
Abruzzo,2020-11-24,,estimate,413.7,419.1,49.3,349.1,385.3,402.8,425.3,446.7,502.8
Abruzzo,2020-11-25,,estimate,386.1,391.1,45.5,325,360.6,375.9,396.8,416.5,470.1
Abruzzo,2020-11-26,,estimate,360.9,364.9,42,303.8,337.1,351.5,370.7,388.8,439.6
Abruzzo,2020-11-27,,estimate,337.5,340.7,38.9,283.3,315.6,328.6,346.3,362.7,409
Abruzzo,2020-11-28,,estimate,315.9,318.4,36.2,264.8,294.6,307.9,324,339.5,380.7
Abruzzo,2020-11-29,,estimate,295.7,298,33.9,247.4,275.6,288.2,303.8,318.1,356.5
Abruzzo,2020-11-30,,estimate,277.8,279.4,32,230.6,258.2,270.4,285.5,298.4,334.5
Abruzzo,2020-12-01,,estimate,261.3,262.6,30.5,215.7,242.3,253.8,268.3,281.2,314.8
Abruzzo,2020-12-02,,estimate,246,247.3,29.2,201.4,228,238.8,253.6,265.6,297.1
Abruzzo,2020-12-03,,estimate,232.5,233.7,28.3,188.7,214.7,225.8,240,251.3,281.1
Abruzzo,2020-12-04,,estimate,220.3,221.5,27.5,177.5,202.9,213.7,227.5,238.5,268.7
Abruzzo,2020-12-05,,estimate,209.9,210.7,26.9,168.4,192.4,203.3,216.2,227.4,256.5
Abruzzo,2020-12-06,,estimate,200.2,201.2,26.4,159.5,183.4,193.7,207,217.9,246.6
Abruzzo,2020-12-07,,estimate,192,192.9,25.9,152,175.5,185.5,198.5,209.4,237.5
Abruzzo,2020-12-08,,estimate,184.6,185.7,25.5,145.5,168.5,178.3,191.3,201.8,230.1
Abruzzo,2020-12-09,,estimate,178.5,179.6,25.1,139.8,162.7,172.6,185.3,195.5,222.6
Abruzzo,2020-12-10,,estimate,173.4,174.4,24.6,135.3,157.5,167.7,180.1,190.1,217.2
