region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Abruzzo,2021-06-24,,estimate,28,28.8,9.6,15,22,26,30,35,46
Abruzzo,2021-06-25,,estimate,21,22.2,7.8,11,17,19,23,27,37
Abruzzo,2021-06-26,,estimate,23,23.4,8,12,18,21,25,28,38
Abruzzo,2021-06-27,,estimate,25,25.5,8.7,13,19,23,27,31,41
Abruzzo,2021-06-28,,estimate,4,4.4,2.5,1,3,4,5,6,9
Abruzzo,2021-06-29,,estimate,21,22.1,7.6,11,17,20,23,27,36
Abruzzo,2021-06-30,,estimate,34,35.1,11.3,19,27,31,37,42,56
Abruzzo,2021-07-01,,estimate,34,35.3,11.3,19,27,31,37,42,55
Abruzzo,2021-07-02,,estimate,26,26.6,8.7,14,20,24,28,32,42
Abruzzo,2021-07-03,,estimate,27,27.8,9.1,14,21,25,29,33,44
Abruzzo,2021-07-04,,estimate,29,29.6,9.7,15,23,26,31,36,47
Abruzzo,2021-07-05,,estimate,5,5.2,2.7,1,3,4,6,7,10
Abruzzo,2021-07-06,,estimate,25,25.8,8.3,13,20,23,27,31,41
Abruzzo,2021-07-07,,estimate,40,40.8,12.6,22,32,37,43,48,63
Abruzzo,2021-07-08,,estimate,40.5,41.8,13,23,33,38,44,50,65
Abruzzo,2021-07-09,,estimate,31,31.5,10.1,17,24,28,33,38,50
Abruzzo,2021-07-10,,estimate,32,33.2,10.5,17,26,30,35,40,52
Abruzzo,2021-07-11,,estimate,35,36,11.4,19,28,32,38,43,56
Abruzzo,2021-07-12,,estimate,6,6.3,3.1,2,4,5,7,8,12
Abruzzo,2021-07-13,,estimate,31,31.7,10.2,17,25,28,33,38,49
Abruzzo,2021-07-14,,estimate,49,50.4,15.5,28,40,45,53,59,78
Abruzzo,2021-07-15,,estimate,50,51.8,15.7,29,41,46,54,61,79
Abruzzo,2021-07-16,,estimate,39,40,12.4,22,31,36,42,47,63
Abruzzo,2021-07-17,,estimate,41,42.8,13.3,23,33,38,45,50,67
Abruzzo,2021-07-18,,estimate,45,46.1,14,26,36,42,48,54,71
Abruzzo,2021-07-19,,estimate,8,8.2,3.6,3,6,7,9,10,15
Abruzzo,2021-07-20,,estimate,40,41.5,13,23,32,37,43,49,65
Abruzzo,2021-07-21,,estimate,65,67.1,19.4,39,54,61,70,79,102
Abruzzo,2021-07-22,,estimate,67,69.3,20.2,40,55,63,73,82,105
Abruzzo,2021-07-23,,estimate,52,53.7,16.1,30,42,48,57,63,82
Abruzzo,2021-07-24,,estimate,56,57.8,17.2,33,46,52,60,68,87
Abruzzo,2021-07-25,,estimate,60,62.4,18.4,36,49,56,65,73,95
Abruzzo,2021-07-26,,estimate,11,11.1,4.4,5,8,10,12,14,19
Abruzzo,2021-07-27,,estimate,55,56.7,16.9,32,45,51,59,67,86
Abruzzo,2021-07-28,,estimate,88,91,26.2,53,73,82,94.4,107,139
Abruzzo,2021-07-29,,estimate,91,93.9,26.3,56,75,85,98,110,141
Abruzzo,2021-07-30,,estimate,70,71.6,20.9,41,57,65,75,84,109
Abruzzo,2021-07-31,,estimate,75,76.4,22,44,61,69,80,90.2,116
Abruzzo,2021-08-01,,estimate,80,82.1,23.5,48,66,74,86,96,124
Abruzzo,2021-08-02,,estimate,14,14.6,5.6,6,11,13,15,18,24
Abruzzo,2021-08-03,,estimate,71.5,73.5,21.3,43,58,66,76,86,112
Abruzzo,2021-08-04,,estimate,114,115.8,32.1,69,93,106,121,135.2,172
Abruzzo,2021-08-05,,estimate,116,119.2,33.7,69,95,108.6,124,140,180
Abruzzo,2021-08-06,,estimate,87,89.7,25.9,52,71,81,93,105,135
Abruzzo,2021-08-07,,estimate,92,94.5,26.9,55,76,86,99,111,143
Abruzzo,2021-08-08,,estimate,97,100,28,59,81,91,104,116,149
Abruzzo,2021-08-09,,estimate,17,17.6,6.4,8,13,15,18,21,29
Abruzzo,2021-08-10,,estimate,84,86.1,24.8,50,69,78,90,100,130
Abruzzo,2021-08-11,,estimate,132,135.6,37.7,80,109,123,141,159,204
Abruzzo,2021-08-12,,estimate,131,133.7,36.2,80,107,122,140,156,198
Abruzzo,2021-08-13,,estimate,98,101,28.1,61,81,91,105,118,151
Abruzzo,2021-08-14,,estimate,103,104.9,29.1,62,84,95,110.4,122,156
Abruzzo,2021-08-15,,estimate,107,109.2,30.5,64,88,99,114,128,163
Abruzzo,2021-08-16,,estimate,18,18.9,6.6,9,14,17,20,23,31
Abruzzo,2021-08-17,,estimate,89,91.2,25.4,54,73,83,95,107,135
Abruzzo,2021-08-18,,estimate,139,142.5,38.9,85,115,130,148,167,213
Abruzzo,2021-08-19,,estimate,138,142.2,39,86,114,129,148,165,211
Abruzzo,2021-08-20,,estimate,102,104.6,29.4,61,83,95,110,122,158
Abruzzo,2021-08-21,,estimate,104,106.7,30.4,62,86,96,111,125,161
Abruzzo,2021-08-22,,estimate,109,110.8,30.4,66,89,101,115,129,165
Abruzzo,2021-08-23,,estimate,18,18.5,6.7,9,14,16,20,23,31
Abruzzo,2021-08-24,,estimate,88,90.5,25.6,53,73,82,94,106,137
Abruzzo,2021-08-25,,estimate,135,139.2,38.2,83,113,127,145,162,208
Abruzzo,2021-08-26,,estimate,134,136.9,37.7,81,111,125,143,160,203
Abruzzo,2021-08-27,,estimate,98,99.9,28.3,58.9,80,91,104,116,151
Abruzzo,2021-08-28,,estimate,100,102,28.8,59,82,93,107,120,154
Abruzzo,2021-08-29,,estimate,102,105,30,62,84,95,110,123,158
Abruzzo,2021-08-30,,estimate,17,17.6,6.3,8,13,16,19,21,29
Abruzzo,2021-08-31,,estimate,82,84.7,24.4,49,68,76,89,99,129
Abruzzo,2021-09-01,,estimate,126,130.2,36.1,77,105,118,136,152,195
Abruzzo,2021-09-02,,estimate,123,126.5,34.6,75,101,115,133,148,188
Abruzzo,2021-09-03,,estimate,90,92,26,54,74,83,96,108,139
Abruzzo,2021-09-04,,estimate,91,93.7,26.3,54,75.8,85,98,110,140
Abruzzo,2021-09-05,,estimate,92,94.4,26.5,55,76,86,98,111,142
Abruzzo,2021-09-06,,estimate,15,16,5.9,7,12,14,17,19,27
Abruzzo,2021-09-07,,estimate,75,76.9,22.3,44,61,70,80.4,90,117
Abruzzo,2021-09-08,,estimate,112,115,32.8,67,92,104,120,135,174
Abruzzo,2021-09-09,,estimate,109,111.9,31.5,65,91,102,117,130,168
Abruzzo,2021-09-10,,estimate,79,81.7,23.4,48,65,73,85,96,125
Abruzzo,2021-09-11,,estimate,80,81.8,23.6,47,65,74,86,96,124
Abruzzo,2021-09-12,,estimate,81,82.5,23.2,48,66,75,86,96,124
Abruzzo,2021-09-13,,estimate,13,13.8,5.2,6,10,12,15,17,23
Abruzzo,2021-09-14,,estimate,64,65.6,19,38,52,59,69,77,98
Abruzzo,2021-09-15,,estimate,95,98.6,28.3,57,79,89,103,116,148
Abruzzo,2021-09-16,,estimate,93,95.8,27.3,56,77,87,100,112,145
Abruzzo,2021-09-17,,estimate,67,68.6,19.5,40,55,62,72,80,104
Abruzzo,2021-09-18,,estimate,67,69.2,20.2,40,55,63,72,82,106
Abruzzo,2021-09-19,,estimate,67,68.8,19.6,40,55,63,72,80,104
Abruzzo,2021-09-20,,estimate,11,11.4,4.6,5,8,10,12,14,20
Abruzzo,2021-09-21,,estimate,53,54.9,16.4,30,43,49,57,65,84
Abruzzo,2021-09-22,,estimate,80,82.2,23.3,48,66,75,86,96,124
Abruzzo,2021-09-23,,estimate,77,79.5,22.5,46,63,72,83,94,120
Abruzzo,2021-09-24,,estimate,56,56.9,16.9,32,45,51,60,67,87
Abruzzo,2021-09-25,,estimate,56,57,16.7,32,45,52,60,67,87
Abruzzo,2021-09-26,,estimate,56,57.5,16.8,33,46,52,60,68,88
Abruzzo,2021-09-27,,estimate,9,9.6,4.1,4,7,8,10,12,17
Abruzzo,2021-09-28,,estimate,44,45.4,14,25,35,41,47,54,71
Abruzzo,2021-09-29,,estimate,66,68.2,19.7,39,54,61,71,80,103
Abruzzo,2021-09-30,,estimate,64,66.1,19.6,38.9,52,59,69,78,101
Abruzzo,2021-10-01,,estimate,46,47.3,14.4,26,37,42,49,56,73
Abruzzo,2021-10-02,,estimate,46,47.5,14.2,27,38,43,49,56,73
Abruzzo,2021-10-03,,estimate,47,48.7,14.6,28,38,44,51,58,74
Abruzzo,2021-10-04,,estimate based on partial data,8,8,3.6,3,5,7,9,10,14
Abruzzo,2021-10-05,,estimate based on partial data,37,38.2,11.9,21,30,34,40,45,59
